證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存入保證金減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　 處分無形資產損失（利益）,　　 採用權益法之被投資公司減資退回股款,　　 其他金融資產增加
2380,2015年01月01日至2015年09月30日,,               -110030,               -110030,,,                134116,                 11342,                   -693,                 -3064,                  2648,                 -2093,                 -5603,                  5317,                   -592,                   -185,                 -5472,                 35651,                171372,,,                    301,                 35102,                  4035,                   -966,                 68127,                 -2677,                  2865,                   -526,                106261,,                    -37,                -70707,                -16361,                   -459,                    -86,                   -552,                  1867,                -86335,                 19926,                191298,                 81268,                  2093,                  7143,                 -4461,                -14083,                 71960,,             -1494638,              1011937,                              0,                 13358,                              0,               -116029,                    260,                   -953,                 -3600,                              0,                              0,               -589665,,                              0,                -26560,                    472,                              0,                     15,                -11629,                -37702,                  2827,               -552580,              1057348,                504768,                504768,,,,,,,,,
2380,2015年01月01日至2015年06月30日,,               -101951,               -101951,,,                 88142,                  6744,                 -2653,                 -3506,                  1832,                 -1416,                              0,                  3769,                    231,                   -219,                 -1081,,                 91843,,,                   -696,                 53218,                  5794,                    124,                 13773,                  1683,                    400,                  2784,                 77080,,                    -39,                 -3676,                -37056,                     51,,                  2831,                  1262,                -36627,                 40453,                132296,                 30345,                  1416,                  1540,                 -2555,                -14093,                 16653,,             -1132848,                682790,                              0,                 13358,                              0,                -83060,                    260,                      5,                   -654,                              0,,               -520149,,                -30580,,                    507,                              0,                     15,,                -30058,                 -9752,               -543306,              1057348,                514042,                514042,,,,,,,,,
2380,2015年01月01日至2015年03月31日,,                -52385,                -52385,,,                 45077,                  3776,                              0,                 -3199,                  1004,                   -771,                              0,                  1861,                    318,                   -219,                  3102,,                 50949,,,                    413,                 63479,                   -211,                 -8450,                -11003,                 -5701,                    400,                  1068,                 39995,,                    -45,                -21957,                -39322,                    188,,                    385,                    666,                -60085,                -20090,                 30859,                -21526,                    771,                              0,                 -1414,                 -4955,                -27124,,               -742659,                370708,                              0,                 13358,                              0,                -26804,                    263,                     -9,                              0,                              0,,               -385143,,                -30517,,                    473,                              0,                     15,,                -30029,                 -3918,               -446214,              1057348,                611134,                611134,,,,,,,,,
2380,2014年度,,                -62220,                -62220,,,                194176,                 13034,                -26761,                              0,                  6020,                 -2582,                 -7772,                 10604,                  1504,                    890,                -17042,,,,,                   -687,                -21960,                  1299,                  1067,                145723,                  8818,,                 13091,                147351,,                     -7,                -40235,                  7020,                     82,                              0,                  1065,,                -27882,                119469,                291540,                229320,                  2582,                  7772,                 -5662,                -16201,                217811,,             -2395407,              2597982,                 -2998,                  1627,                              0,               -134911,                  1879,                    -43,                 -8916,                              0,,                 59213,,                 15981,,                      4,                              0,                     68,,                 16053,                 43646,                336723,                720625,              1057348,              1057348,,                172071,                  4193,,,,,,
2380,2014年01月01日至2014年09月30日,,                -88644,                -88644,,,                144890,                  9681,                  1592,                 -2120,                  4463,                 -2845,                 -7772,                  8588,                  2098,                 -1367,                -10746,                              0,                146462,,,                   -490,                -12043,                  4643,                  4327,                102070,                 12819,                  6039,                  2171,                119536,,                   -230,                 -1734,                -12100,                 -1245,                  7878,                 -1207,                  1851,                 -6787,                112749,                259211,                170567,                  2845,                  7772,                 -4463,                 -2358,                174363,,             -1651434,              1421797,                              0,                  1627,                 -3000,               -107610,                  6519,                   -513,                 -6024,                              0,                  2199,               -336439,,                 31477,                              0,                     22,                              0,                     68,                              0,                 31567,                 10570,               -119939,                720625,                600686,                600686,,,,,,,,,
2380,2014年01月01日至2014年06月30日,,                -67627,                -67627,,,                 95759,                  6354,                              0,                 -2210,                  2534,                 -1408,                              0,                  5708,                  1442,                 -1749,                 -6691,,                 99739,,,                   -560,                -82356,                  6938,                  1932,                122877,                 11641,                  3959,                  1577,                 66008,,                   -230,                 -8168,                -12202,                    763,,                  5995,                  1274,                -12568,                 53440,                153179,                 85552,                  1408,                              0,                 -2534,                 -4167,                 80259,,             -1106270,                856625,                              0,                  1627,                              0,                -56175,                  2886,                   -405,                 -3526,                              0,,               -305238,,                119483,,                      3,                              0,                     38,,                119524,                   -817,               -106272,                720625,                614353,                614353,,,,,,,,,
2380,2014年01月01日至2014年03月31日,,                -11672,                -11672,,,                 49073,                  3536,                              0,                 -1043,                    850,                   -593,                              0,                  4449,                  1087,                    185,                 -3541,,                 54003,,,                 -2155,                -51651,                  4635,                -13196,                 12013,                 12458,                    966,                 -5102,                -42032,,                    155,                -21432,                -14527,                              0,,                  8455,                    641,                -26708,                -68740,                -14737,                -26409,                    593,                              0,                 -1537,                 -3248,                -30601,,               -406725,                377323,                              0,                  1627,                              0,                -19452,                    931,                   -435,                 -3196,                              0,,                -49927,,                 31121,,                    -49,                              0,                     38,,                 31110,                 -7771,                -57189,                720625,                663436,                663436,,,,,,,,,
2380,2013年度,,               -249547,               -249547,,,                199898,                  7384,                114044,                   -847,                  6439,                 -3307,                 -6330,                 24673,                    689,                 -1440,                  1994,,,,,                  1487,                245505,                  1528,                  3873,                291210,                 -3387,,                -12723,                527493,,                 -2111,               -126040,                 14944,                    928,                              0,                 -4962,,               -117093,                410400,                753597,                504050,                  3307,                  8897,                 -7373,                -15927,                492954,,               -187587,                              0,                 -3615,                  3528,                              0,                -91308,                 15103,                  1197,                -14961,                              0,,               -277643,,               -224565,,                  1093,                              0,                     77,,               -223395,                 17915,                  9831,                710794,                720625,                720625,,                343197,                    148,,,,,,
2380,2013年01月01日至2013年12月31日,,               -249547,               -249547,,,                199898,                  7384,                114044,                   -847,                  6439,                 -3307,                 -6330,                 24673,                    689,                 -1440,                  1994,,,,,                  1487,                245505,                  1528,                  3873,                291210,                 -3387,                -12723,,                527493,,                 -2111,               -126040,                 14944,                    928,,                 -4962,,               -117093,                410400,                753597,                504050,                  3307,                  8897,                 -7373,                -15927,                492954,,,,                 -3615,                  3528,,                -91308,                 15103,                  1197,                -14961,,,               -277643,,               -224565,,                  1093,                              0,                     77,                              0,               -223395,                 17915,                  9831,                710794,                720625,                720625,,                343197,                    148,,               -187587,,                              0,                              0,
2380,2013年01月01日至2013年09月30日,,               -234474,               -234474,,,                146699,                  9205,                 91682,                              0,                  5767,                 -2355,                 -6330,                 19843,                    489,                 -2256,                     99,,,,,                 -1201,                 86364,                  2831,                -20231,                266575,                 -3906,,                  2555,                332987,,                 -2340,               -141736,                 15254,                    928,                 15064,                    545,,               -110477,                222510,                485353,                250879,                  2355,                  8897,                 -5197,                -10108,                246826,,                              0,                              0,                 -3615,                  3528,                              0,                -77010,                 15076,                  1182,                -16705,                              0,,                -77544,,               -130444,,                 -1141,                              0,                              0,,               -131585,                  6897,                 44594,                710794,                755388,                755388,,                262843,                  1808,,,,,,
