證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 已實現銷貨損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 處分無活絡市場之債務工具投資,　　 短期借款減少,　　　　 未實現銷貨利益（損失）,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分不動產、廠房及設備,　　 償還長期借款
5288,2015年01月01日至2015年09月30日,,                437697,                              0,                437697,,,                120307,                  2527,                 12341,                  1048,                -18356,                  1169,                -17287,                    446,                    -33,                102162,,,                    414,                 64899,                 -9239,                   -178,                -35187,                -11844,                   -308,                  8557,,                     -2,                              0,                -76486,                -10563,                -13893,                              0,                -19223,                  1101,               -119066,               -110509,                 -8347,                429350,                 25738,                  5094,                 -1111,                -89743,                369328,,                150233,               -100358,                              0,                 -3520,                 46355,,                -26590,                    748,               -225761,                              0,                 21892,               -229711,                 28924,                214896,                519650,                734546,                734546,                              0,,,,,,,,,,,
5288,2015年01月01日至2015年06月30日,,                245999,                              0,                245999,,,                 80151,                  1570,                 12223,                    732,                -12563,                    779,                 -9217,                    125,                    -19,                 73781,,,                    484,                102753,                  4156,                  1323,                 -6631,                 -3755,                    -38,                 98292,,                     -4,                              0,               -105813,                -13076,                -25328,                              0,                -19553,                    727,               -163047,                -64755,                  9026,                255025,                 19524,                  5094,                   -795,                -64583,                214265,,                              0,                -47014,                     -3,                 -2553,                146429,,,                  1017,,,                  6160,                 -2953,                -42814,                314927,                519650,                834577,                834577,                              0,                195999,                -10130,,,,,,,,,
5288,2015年01月01日至2015年03月31日,,                142254,                              0,                142254,,,                 41001,                    748,,                    352,                 -5560,                    390,                 -4611,,,                 32337,,,                    510,                 31071,                  4414,                   -279,                 -4781,                -17322,                   -146,                 13467,,                     -3,                              0,                -62232,                -10555,                -21960,                              0,                -17287,                    362,               -111675,                -98208,                -65871,                 76383,                  7695,,                   -415,                -31837,                 51826,,                -58878,                -18063,                     -3,                 -1026,                -77970,,                -17576,                  1347,,,                  2240,                -13989,                -20704,                -60837,                519650,                458813,                458813,                              0,,                              0,                     17,,,,,,,,
5288,2014年度,,                455774,                              0,                455774,,,                158863,                  3289,                    442,                  1097,                -26693,                  2793,                -17043,                    282,                    -13,,,,                    470,               -135358,                 -6804,                 -2214,                -52861,                -52999,                    120,               -249646,,                -46801,                   -467,                103239,                 11459,                 17581,                   -158,                 12592,,                100518,               -149128,                -31208,                424566,                 22737,                  9085,                 -1049,               -115445,                339894,,,                -77119,                   -306,                   -641,               -620624,,                 33754,                    947,               -170622,                412380,                 14600,                291059,                 48854,                 59183,                460467,                519650,                519650,                              0,,                              0,,,                 -5097,                117920,                              0,                  3073,               -542558,                              0,                              0
5288,2014年01月01日至2014年09月30日,,                317942,                              0,                317942,,,                117823,                  2542,                              0,                    658,                -15262,                  2095,                 -9980,                    101,                     12,                 97989,,,                    484,                -46984,                 -4948,                 -4664,                -35100,                -24872,                   -187,               -116271,,                -46796,                   -467,                 51906,                   -880,                 -9933,                   -158,                 -8016,                   -708,                -15052,               -131323,                -33334,                284608,                 17356,                              0,                   -672,                -90258,                211034,,               -420223,                -53478,                   -306,                   -560,               -474567,,                  6033,                    603,               -170622,                412380,                 12600,                260994,                  2079,                   -460,                460467,                460007,                460007,                              0,,,,,,,,,,,
5288,2014年01月01日至2014年06月30日,,                222248,                              0,                222248,,,                 78614,                  1758,                              0,                    441,                -11916,                  1396,                 -4249,                    102,                     -1,                 66145,,,                    606,                 -4693,                  1324,                   -453,                  4074,                -16427,                     84,                -15485,,                -46803,                   -467,                   -238,                 -1229,                -14728,                   -158,                 -7193,                 -1070,                -71886,                -87371,                -21226,                201022,                 13583,                              0,                   -454,                -65590,                148561,,                -62905,                -27434,                   -308,                   -554,                -91201,,,                    453,,,                              0,                -16312,                -12858,                 28190,                460467,                488657,                488657,                              0,                              0,                -16765,,,,,,,,,
5288,2014年01月01日至2014年03月31日,,                112636,                              0,                112636,,,                 39503,                    942,,                    245,                 -4263,                    698,                   -695,,,                 36462,,,                    449,                -47491,                  2916,                 -1264,                 -7336,                -16082,                    104,                -68704,,                -44957,                   -448,                 20568,                  2925,                -28260,                   -158,                 -5146,                 -1431,                -56907,               -125611,                -89149,                 23487,                  7021,,                   -258,                -18396,                 11854,,                -29850,                -14900,                   -308,                   -409,                -45467,,                              0,                    176,,,                              0,                    482,                 13999,                -19132,                460467,                441335,                441335,                              0,,                    306,                     32,,,,,,,,
5288,2013年度,,                420945,                              0,                420945,,,                144478,                  4379,                 -7374,                  3474,                -16233,                  3193,                -11891,                   -192,                   -453,,,,                  1479,                -41348,                 15517,                  9917,                 26956,                  5032,                     51,                 18204,,                -47642,                    -71,                 -6188,                 -5580,                 14431,                              0,                 11711,,                -34811,                -16607,                 93187,                514132,                 12861,                 12098,                 -3760,                -56425,                478906,,,               -104799,                    -94,                 -3930,               -158338,,                              0,                  1083,               -170622,                              0,                              0,               -309350,                  4688,                 15906,                444561,                460467,                460467,                              0,,               -110765,,,                 -9587,                109794,                    600,                 -1472,                -49735,                    220,                -29046
5288,2013年01月01日至2013年12月31日,,                420945,                              0,                420945,,,                144478,                  4379,                 -7374,                  3474,                -16233,                  3193,                -11891,                   -192,                   -453,,,,                  1479,                -41348,                 15517,                  9917,                 26956,                  5032,                     51,                 18204,,                -47642,                    -71,                 -6188,                 -5580,                 14431,                              0,                 11711,,                -34811,                -16607,                 93187,                514132,                 12861,                 12098,                 -3760,                -56425,                478906,,,               -104799,                    -94,                 -3930,               -158338,,,                  1083,               -170622,                              0,,               -309350,                  4688,                 15906,                444561,                460467,                460467,                              0,,               -110765,,,                 -9587,                109794,                    600,                 -1472,                -49735,                    220,                -29046
5288,2013年01月01日至2013年09月30日,,                290795,                              0,                290795,,,                106915,                  3310,                 -7265,                  2767,                 -7871,                  2395,                 -7287,                   -202,                   -417,,,,                  1133,                 44579,                  2139,                  8087,                -20160,                  4506,                   -171,                 40713,,                -53057,                    -96,                -55495,                 -9446,                   -205,                              0,                 10880,,               -107741,                -67028,                 25317,                316112,                  8588,                  2487,                 -3063,                -45435,                278689,,,                -70918,                    -30,                 -3053,               -123029,,                              0,                    953,               -170622,                              0,                              0,               -278357,                 -3168,               -125865,                444561,                318696,                318696,                              0,,                -79642,,,,                 92345,                    600,                   -322,                -49245,                    217,                -29046
