證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應付款－關係人增加（減少）,　　 其他應收款－關係人減少,　　　　　 預付款項（增加）減少,　　 收取之利息-營業活動,　　 支付之利息-營業活動,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得按攤銷後成本衡量之金融資產,　　 處分按攤銷後成本衡量之金融資產,　　 按攤銷後成本衡量之金融資產到期還本,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得避險之衍生金融資產,　　 處分避險之衍生金融資產,　　 除列避險之衍生金融負債,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 預付投資款增加,　　 預付投資款減少,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得待出售非流動資產,　　 處分待出售非流動資產,　　 預收款項增加－處分資產,　　 預收款項減少－處分資產,　　 存出保證金減少,　　 其他應收款增加,　　 其他應收款減少,　　 其他應收款－關係人增加,　　 處分無形資產,　　 概括承受他公司之淨現金收取數,　　 因合併產生之現金流入,　　 概括承受他公司之賠付款,　　 取得投資性不動產,　　 處分投資性不動產,　　 應收款項增加,　　 應收款項減少,　　 長期應收租賃款增加,　　 長期應收租賃款減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 其他預付款項增加,　　 其他預付款項減少,　　 收取之股利,　　 退還（支付）之所得稅-投資活動,　　 其他投資活動,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 取得避險之衍生金融資產-籌資活動,　　 處分避險之衍生金融資產-籌資活動,　　 除列避險之衍生金融負債-籌資活動,　　 發行公司債,　　 償還公司債,　　 其他借款增加,　　 其他借款減少,　　 附買回票券及債券負債增加,　　 附買回票券及債券負債減少,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 按攤銷後成本衡量之金融負債增加,　　 按攤銷後成本衡量之金融負債減少,　　 以成本衡量之金融負債增加,　　 以成本衡量之金融負債減少,　　 發行特別股負債,　　 償還特別股負債,　　 存入保證金增加,　　 存入保證金減少,　　 金融資產證券化款項,　　 應付款項增加,　　 應付款項減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 其他金融負債增加,　　 其他金融負債減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 現金增資,　　 現金減資,　　 員工執行認股權,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 員工購買庫藏股,　　 子公司發行特別股,　　 合併發行新股追溯調整,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 退還（支付）之所得稅-籌資活動,　　 非控制權益變動,　　 其他籌資活動,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款－關係人（增加）減少,　　　　 不動產、廠房及設備轉列費用數
4555,2015年01月01日至2015年09月30日,,                299149,                299149,,,                 91779,                  2051,                 -2064,                  7584,                 -2127,                 -1516,                  3942,                 10438,                  1152,                111239,,,                  1946,               -150899,                    167,                 -3694,                 -2008,                  9967,               -144521,,                 -5044,                 53584,                 -3671,                  9829,                 -4060,                 50638,                -93883,                 17356,                316505,                  2074,                 -7584,               -105419,                205576,,                    540,               -364033,                  3879,                   -404,                   -997,                -14057,               -375072,,                224085,                131081,                              0,               -212800,                142366,                -33764,                -60894,                533459,                472565,                472565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2015年01月01日至2015年06月30日,,                180275,                180275,,,                 60002,                  1995,                 -1231,                  4610,                 -1431,                   -240,                  2799,                    918,                              0,                 67422,,,                  9922,               -130378,                 -1754,                 -2118,                -23465,                    524,               -147269,,                 -3263,                 50283,                 -1911,                 14418,                 -2087,                 57786,                -89483,                -22061,                158214,                  1511,                 -4610,                -61393,                 93722,,,               -304808,                  1947,                   -199,                   -608,                  6203,               -297465,,                  9788,                137416,                              0,                              0,                147204,                -15839,                -72378,                533459,                461081,                461081,                    346,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2015年01月01日至2015年03月31日,,                 61763,                 61763,,,                 32743,                  1237,                  2728,                  1749,                   -245,                   -245,                    346,                    351,                    436,                 39100,,,                  7198,                 23302,                   -808,                  3562,                -14627,                      8,                 24794,,                 -5662,                 -6651,                  1594,                 -8234,                  2243,                -16710,                  8084,                 47184,                108947,                              0,                              0,                 -9012,                 98676,,                              0,               -222496,                  1833,                    -91,                   -489,                 -1048,               -222291,,                              0,                143722,                              0,                              0,                143649,                  1152,                 21186,                533459,                554645,                554645,,                              0,                  6159,                    256,                 -1515,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                    -73,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
4555,2014年度,,                418234,                418234,,,                 92470,                  8370,                    588,                  3706,                 -5460,                   -388,                  5106,                 -5911,                  1753,,,,                -19921,                -92215,                 -1070,                -10661,               -202884,                 25886,               -300075,,                -73556,                 74291,                 -7441,                 28130,                  2062,                 23486,               -276589,               -176355,                241879,                  5435,                 -3555,               -118920,                124839,,,               -315671,                  2811,,                 -2714,                -62442,               -374878,,                279842,,                -23274,               -152000,                104568,                 53590,                -91881,                625340,                533459,                533459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,,,                  3138,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,,,,,,,                              0,                              0,                              0,                              0,                100234,                    790,
4555,2014年01月01日至2014年09月30日,,                333106,                333106,,,                 75846,                  2634,                 -1061,                  2469,                 -4468,                   -403,                  5577,                  5638,                  1107,                 87339,,,                 -7026,               -197672,                 -2596,                -11744,               -231916,                 16215,               -434739,,                -68705,                230218,                 12225,                 39655,                    849,                214242,               -220497,               -133158,                199948,                  4468,                 -2469,                -92427,                109520,,                              0,               -282761,                  2077,                   -552,                 -1070,                -17763,               -300069,,                130000,                              0,                -17024,               -152000,                -39024,                -20426,               -249999,                625340,                375341,                375341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2014年01月01日至2014年06月30日,,                205349,                205349,,,                 53348,                  3548,                 -1938,                  1404,                 -3911,                    -33,                  6348,                   -379,                    557,                 58944,,,                 -2535,               -128261,                 -1203,                   -585,               -182333,                -23197,               -338114,,                -64980,                182849,                 -3774,                 12098,                    291,                126484,               -211630,               -152686,                 52663,                  3846,                 -1404,                -75011,                -19906,,,                -87671,                     49,                   -585,                   -816,                -10000,                -98233,,                110000,                              0,                -10802,               -152000,                -52802,                 -5517,               -176458,                625340,                448882,                448882,                              0,                    790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,2014年01月01日至2014年03月31日,,                 72146,                 72146,,,                 30611,                  1672,                 -1837,                    651,                 -1777,                      3,                 10246,                   -300,                    139,                 39408,,,                   -848,                -12282,                   -826,                    813,                -62985,                      2,                -69748,,                -65068,                 55200,                 -4724,                 -2198,                 -1474,                -18264,                -88012,                -48604,                 23542,                              0,                              0,                -33110,                 -8464,,                              0,                -29739,                              0,                    -15,                              0,                -36225,                -65189,,                              0,                              0,                 -4607,                              0,                 -4607,                  4833,                -73427,                625340,                551913,                551913,,                    790,                  6378,                  1755,                   -651,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
4555,2013年度,,                476040,                476040,,,                 57667,                  9826,                -16594,                  3097,                 -8903,                  1386,                              0,                  3910,                    557,,,,                 -2837,                124367,                     69,                 -1495,               -220030,                -58579,               -159295,,                -14138,                -49826,                 11588,                -15445,                  1033,                -66788,               -226083,               -175236,                300804,                  8177,                 -3097,               -158338,                147546,,,               -197524,                  2878,,                 -4430,                   -666,               -197432,,                              0,,                -24919,                -80700,                 41781,                 10874,                  2769,                622571,                625340,                625340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                  2289,,,,,,,,,,                     21,,,,,,,,,,,,,,,,,,,,,,,,                -25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                172400,,,,,,,,,,,,,,                    418,                     96,                   -216,                   -397,                 50847,                   -790,
4555,2013年01月01日至2013年12月31日,,                476040,                476040,,,                 57667,                  9826,                -16627,                  3097,                 -8903,                  1386,                              0,                  3910,                    557,,,,                 -2837,                124400,                     69,                 -1495,               -220030,                -58579,               -159262,,                -14138,                -49826,                 11588,                -15445,                  1033,                -66788,               -226050,               -175236,                300804,                  8177,                 -3097,               -158338,                147546,,,               -197524,                  2878,,                 -4430,                   -666,               -197432,,                -25000,                              0,                -24919,                -80700,                 41781,                 10874,                  2769,                622571,                625340,                625340,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,                  2289,,,,,,,,,,                     21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,,                              0,,                172400,,,,,,,,,,,,,,                    418,                     96,                   -216,                   -397,                 50814,                   -790,                              0
4555,2012年01月01日至2012年12月31日,,                564089,                564089,,,                 43896,                  6303,                 22738,                  3470,                 -4265,                  8367,                 22480,                 -9294,                    385,,,,                  9644,                -34753,                   -716,                   -701,               -118169,                 -4654,               -149349,,                 30203,                 53654,                              0,                 -5953,                  1115,                 79019,                -70330,                 23986,                588075,                  4265,                 -3470,               -148102,                440768,,,               -378557,                313934,,                 -2425,                 -4946,                -48763,,                -95000,                 94462,                              0,                -99600,                -36296,                  8867,                364576,                257995,                622571,                622571,,                    214,,,,,,,,,,,,,,,,,,,,,,,,,,,                 22859,,,,,,,,,,                    158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -56160,,,,,,                      2,,                120000,,,,,,,,,,,,,,                    152,                 -2513,                  1071,                              0,                 94316,                              0,                  1526
