證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 存出保證金增加,　　 存入保證金增加,　　 存入保證金減少,　　 取得無活絡市場之債券投資,　　　　　 應付建造合約款（增加）減少
5519,2015年01月01日至2015年09月30日,,                228370,                228370,,,                  8150,                  1089,                    730,                  1414,                   -301,                 -1540,                     15,                  9557,,,                 21009,                112210,                 -8675,                 86682,               -974703,                198210,               -157010,               -722277,,                -15334,                              0,                 31299,                 -2857,                -64024,                 74447,                 50132,                              0,                 73663,               -648614,               -639057,               -410687,                    305,                -17911,               -428293,,               -155147,                              0,                 -6067,                   -723,                      3,                              0,                 -1027,               -132439,                   -275,                              0,               -295675,,                              0,               -247100,                              0,                -59996,                600000,                904076,               -489880,                    126,               -103500,                -49845,                553881,                  1688,               -168399,                364449,                196050,                196050,,,,,,,,,,
5519,2014年度,,                559568,                559568,,,                  6609,                  1397,,                  1982,                   -768,                  7881,                   -199,,,,                -14147,                 -4264,                   -183,                 -6410,               -779719,               -219708,                 -8852,             -1033283,,                 27051,                 -8237,                 58176,                -29394,                 13822,                -24472,                -97472,,                -60298,             -1093581,             -1076679,               -517111,                    869,                   -779,               -517021,,,,                 -3027,                -14453,                  2847,                              0,                 -3993,               -209673,,,               -185576,,                165700,,                 30039,,,              1239590,               -660520,,               -150000,                 -1516,                624466,,                -78131,                442580,                364449,                364449,,                 16902,                 -1600,                  1828,                 34549,                  8174,                  1173,                              0,,
5519,2014年01月01日至2014年09月30日,,                395481,                395481,,,                  4789,                    776,                              0,                  1417,                   -488,                  6146,                   -248,                 12392,,,                -33607,                -82341,                 -6694,                -94588,               -989467,               -207505,               -189397,             -1603599,,                 -2870,                 -6358,                 50084,                -17320,                 18612,                -32768,                162506,                  1363,                173249,             -1430350,             -1417958,             -1022477,                    592,                   -746,             -1022631,,                              0,                 31240,                 -1335,                -14443,                  2788,                              0,                 -3631,               -151278,                              0,                  8364,               -128295,,                147700,                              0,                 30005,                              0,                              0,              1174562,               -226730,                    158,               -150000,                -32995,                942700,                              0,               -208226,                442580,                234354,                234354,,,,,,,,,,
5519,2014年01月01日至2014年03月31日,,                 73359,                 73359,,,                  1308,                    225,,                    297,                    -99,                    918,                   -133,,,,                 -4750,                 50936,                   -151,                -49684,                  6565,                -57789,                -53902,               -108775,,                    143,                 -1678,                -14497,                -15114,                 -8677,                -27907,                 61648,,                 -5629,               -114404,               -111888,                -38529,                    193,                              0,                -38336,,,,,                   -493,                    465,,                   -252,,,,                 25171,,                              0,               -179300,,                -29957,,                252040,                -63700,,,                   -285,                -20944,,                -34109,                442580,                408471,                408471,,                  2516,,                    453,,                    963,,                    258,                 24488,
5519,2013年度,,                605866,                605866,,,                  5768,                    918,,                  3074,                   -850,                  3025,                    190,,,,                 19964,               -163737,                     64,                 48998,               -628682,                -74005,                 12968,               -784430,,                 -1432,                  1269,                 54739,                 26564,                 46662,                 23995,                216044,,                374336,               -410094,               -397969,                207897,                    893,                   -177,                208613,,,,                              0,                 -1047,                  1570,                 -3921,                 -1174,                              0,,,                 20580,,                174300,,                 29957,,,              1214841,             -1315680,,               -129600,                 -3231,                -29491,,                199702,                242878,                442580,                442580,,                 12125,                  4891,                  1604,                 25152,                              0,                              0,                    -78,,
5519,2013年01月01日至2013年12月31日,,                605866,                605866,,,                  5768,                    918,,                  3074,                   -850,                  3025,                    190,,,,                 19964,               -163737,                     64,                 48998,               -628682,                -74005,                 12968,               -784430,,                 -1432,                  1269,                 54739,                 26564,,                 23995,                216044,,                374336,               -410094,               -397969,                207897,                    893,                   -177,                208613,,,,,                 -1047,                  1570,,                 -1174,,,,                 20580,,                174300,,                 29957,,,              1214841,             -1315680,,               -129600,                 -3231,                -29491,,                199702,                242878,                442580,                442580,,                 12125,                  4891,                  1604,,                 -3921,,                    -78,                 25152,                 46662
5519,2013年01月01日至2013年09月30日,,                474929,                474929,,,                  4435,                    618,,                  2482,                   -490,                  2300,                    293,,,,                 11072,               -130736,                     64,                  3703,               -213951,               -137799,                -17339,               -484986,,                 29529,                 -1979,                 63852,                 17984,                 36497,                  4200,                221470,,                372757,               -112229,               -102591,                372338,                    527,                   -135,                372730,,,,                              0,                   -597,                  1255,                 -2743,                   -878,                              0,,,                 15009,,                112900,,                              0,,,                826152,               -896681,,               -129600,                 -2639,                -88218,,                299521,                242878,                542399,                542399,,                  9638,,                  1204,                 17972,                              0,                  1650,,,
5519,2013年01月01日至2013年06月30日,,                 80428,                 80428,,,                  3049,                    428,,                  1969,                   -378,                  1314,                     49,,,,                -14297,               -165893,                     61,                -58911,               -705532,                -89206,                -20840,             -1054618,,                  3438,                 -3677,                 99730,                  8560,,                  1327,                250499,,                350317,               -704301,               -697870,               -617442,                    377,                    -47,               -617112,,,,,                   -440,                              0,,                   -450,,,,                 -5593,,                143900,,                 29965,,,                482054,                -34480,,,                 -1330,                620109,,                 -2596,                242878,                240282,                240282,,                  6431,,                    789,,                -13282,,                              0,                  8579,                -10349
5519,2013年01月01日至2013年03月31日,,                 45510,                 45510,,,                  1556,                    225,,                  1501,                   -141,                    467,                     49,,,,                -13202,                -47583,                     33,                -47246,                -96582,               -347382,                  4867,               -547095,,                 10723,                 -1066,                -17828,                 -1454,                -10207,                 -5671,                 81586,,                 56484,               -490611,               -486954,               -441444,                    184,                    -19,               -441279,,,,,                    -70,                              0,,                   -369,,,,                 -4967,,                116100,                              0,,                              0,,                320828,                -21480,,,                   -983,                415165,,                -31081,                242878,                211797,                211797,,                  3657,,                    401,,                -12210,,                    700,                  7682,
5519,2012年01月01日至2012年12月31日,,                488627,                488627,,,                  6205,                    856,,                  7723,                   -877,                 -2171,                     27,,,,                 -9947,                -38482,                    -64,               -122474,               -433294,                424237,                -19536,               -199560,,                 18094,                  4699,                 43502,                 -3914,,                  1760,                 12602,,                 60964,               -138596,               -126833,                361794,                    888,                 -3247,                359435,,,,,                 -2107,                     28,,                 -1087,,,,                 24787,,                 60000,,                              0,,,                330614,               -522400,,               -107580,                 -7413,               -247018,,                137204,                105674,                242878,                242878,,                 11763,                    968,                  1617,,                    259,,                   -239,                 27694,                -18364
