證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　　　 金融資產減損損失,　　 存出保證金減少,　　 預付設備款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 發行公司債,　　 其他非流動負債減少,　　　　　 其他營業資產（增加）減少
6702,2015年01月01日至2015年09月30日,,               -495231,               -495231,,,                937472,                 18245,                -57376,                169731,                -17941,                -13672,                -43637,                 83470,                   -542,                              0,               -148710,                927040,,,                 11831,                  9846,                   -646,                -17852,               -773329,               -320103,             -1090253,,                   -413,                  1638,                 15410,                  8861,                -42463,               -181778,               -278226,                156941,               -113020,               -433050,             -1523303,               -596263,             -1091494,                 17941,               -113083,                -48411,             -1235047,,                -50100,                 52405,                              0,                 18666,                              0,             -2240045,              1114391,               -137959,                -51702,                393804,                 46640,               -853900,,                570000,                 80120,                              0,                677301,                  1892,                              0,              1329313,                 87069,               -672565,              4370859,              3698294,              3698294,,,,,,,,,,
6702,2015年01月01日至2015年06月30日,,               -273764,               -273764,,,                622956,                 10578,                -25793,                111144,                -12804,                     -4,                -27433,                138069,                    457,                              0,               -106109,                711061,,,                  8838,                 66350,                    948,                 -5154,               -372649,               -184374,               -486041,,                    728,                  4089,                 17689,                 19368,                -49906,                 32229,               -332892,                158441,                -95454,               -245708,               -731749,                -20688,               -294452,                 12804,               -109032,                -31288,               -421968,,                -50100,                  1913,                              0,                 16600,                              0,               -851430,              1014984,                -35588,                -27824,               -733474,                 46640,               -618279,,                750000,                 80029,                              0,                 63266,                  6737,,                900032,                -56578,               -196793,              4370859,              4174066,              4174066,                              0,,,,,,,,,
6702,2015年01月01日至2015年03月31日,,                -55138,                -55138,,,                324166,                  4282,                -26686,                 55339,                 -7430,                     -4,                -11282,                390415,                    457,,                -55146,                674111,,,                 28742,                 39078,                   -279,                 -3573,                -97318,               -399130,               -432480,,                  7280,                  1674,                 -9221,                 15381,               -119275,                253505,               -360485,                 43134,                -57558,               -225565,               -658045,                 16066,                -39072,                  7430,                -55410,                   -478,                -87530,,,                  1913,                              0,                 16600,,               -755311,                197341,                              0,                   -353,               -188376,,               -713061,,                              0,                    120,,                 -6965,                  4119,,                 -2726,                -25034,               -828351,              4370859,              3542508,              3542508,,                              0,                 15125,                              0,,,,,,
6702,2014年度,,                446307,                446307,,,              1195053,                 24886,                -89895,                179570,                -53071,                -10573,                -61259,                 33002,,                277723,               -146487,,,,                -24301,                -72351,                 -1137,                   -331,               -218467,                157436,               -159151,,                   -388,                     -2,                -29747,                  8183,                181475,                213172,                256704,                 88855,,                699514,                540363,              1889312,              2335619,                 53071,               -176494,               -169392,              2042804,,                              0,                              0,                -40000,,              1943807,             -6549100,                124960,               -244883,                -18434,               -308857,                 45651,             -5046856,,                              0,                              0,                -70007,              2777338,                  7835,                -55422,              3568582,                132488,                697018,              3673841,              4370859,              4370859,                -90000,,                              0,                              0,,              1348949,                -18738,                998838,                              0,
6702,2014年01月01日至2014年09月30日,,                393433,                393433,,,                875771,                 19283,               -115585,                125381,                -42858,                              0,                -52484,                 15410,                              0,                277723,                -91341,              1011300,,,                  1571,                -29999,                   -865,                    309,                -39808,                 22603,                -46189,,                  3644,                    603,                 13539,                  9804,                229408,                280053,                -19930,                280061,                -21459,                775723,                729534,              1740834,              2134267,                 42858,               -121249,               -178842,              1877034,,                              0,                              0,                -40000,                              0,              1943807,             -3957401,                108761,               -170457,                 -9755,             -1115454,                 43675,             -3196824,,                113000,                              0,                -69887,              1584815,                 10772,                -55422,              1583278,                 48878,                312366,              3673841,              3986207,              3986207,,,,,,,,,,
6702,2014年01月01日至2014年06月30日,,                231762,                231762,,,                574008,                 13647,               -115585,                 78658,                -26668,                              0,                -34190,                -73380,                              0,                277723,                -31483,                662730,,,                -31439,               -134180,                   -644,                  5451,                -59722,                 61023,               -159511,,                  8838,                    737,                 -1179,                  4728,                218958,                              0,                198601,                122137,                -13541,                539279,                379768,              1042498,              1274260,                 26668,                -77137,               -119542,              1104249,,                              0,                              0,                -40000,                              0,              1943807,               -168138,                 97752,               -153322,                 -7508,             -2894865,                 43675,             -1178599,,                              0,                              0,                -69887,              1065781,                  4441,,                920335,                  9441,                855426,              3673841,              4529267,              4529267,                -80000,,,,,,,,,
6702,2014年01月01日至2014年03月31日,,                 68921,                 68921,,,                263860,                  7102,                -77444,                 37014,                -10675,                              0,                -15031,                -73374,                              0,,                     63,                339636,,,                -13221,                -75309,                   -502,                 -7140,                 -3911,                 89113,                -10970,,                    416,                  1405,                  3049,                  5396,                -24862,                              0,                 11670,                 10290,                 -7153,                    211,                -10759,                328877,                397798,                 10675,                -35687,                   -429,                372357,,,                              0,                -40000,                              0,,             -2448224,                 97732,                -27653,                 -5762,                              0,,             -1940217,,                445000,                129974,,                366308,                    876,,                942158,                 49174,               -576528,              3673841,              3097313,              3097313,,                208121,                              0,                483690,,,,,,
6702,2013年度,,                149626,                149626,,,              2024430,                 28331,                  3577,                133278,                -22170,                -10269,                -65192,                -69084,,                240489,                    -59,,,,                 -2367,                -25223,                   -601,                 74677,                -19622,                271937,                298801,,                 -4274,                     87,               -218452,                -17617,                 26883,                     80,                203331,                 42060,,                  8512,                307313,              2570644,              2720270,                 22170,               -130861,                -64135,              2547444,,                -10000,                  1200,                 27000,,                              0,             -4732318,                 94174,                              0,                -24095,                              0,                 61854,             -4191380,,                125000,                174920,                              0,              1959275,                              0,                -55422,              4406264,                     13,              2762341,                911500,              3673841,              3673841,                              0,,                  9911,                380894,,              2263331,                -23586,              2206683,                 -4192,
6702,2013年01月01日至2013年12月31日,,                149626,                149626,,,              2024430,                 28331,                  3577,                133278,                -22170,                -10269,                -65192,                -69084,                              0,,                    -59,,,,                 -2367,                -25223,                   -601,                 74677,                -19622,                271937,                298801,,                 -4274,                     87,               -218452,                -17617,                 26883,                     80,                203331,                 42060,,                  8512,                307313,              2570644,              2720270,                 22170,               -130861,                -64135,              2547444,,                -10000,                  1200,                              0,                 27000,,             -1257050,                 94174,,                -24095,             -3094374,                 61854,             -4191380,,                125000,                174920,                              0,              1959275,                              0,                -55422,              4406264,                     13,              2762341,                911500,              3673841,              3673841,                              0,                240489,                  9911,,,              2263331,                -23586,              2206683,                 -4192,
6702,2013年01月01日至2013年09月30日,,               -116891,               -116891,,,              1581172,                 21382,                     51,                 95355,                -14357,,                -45530,                  5521,,                              0,                   -593,,,,                  3992,                -61553,                 -1448,                -51743,                 35382,               -219816,               -295186,,                  9011,                    974,               -222226,                -15653,                167388,                    -71,                 81826,                 63341,,                 66421,               -228765,              1421036,              1304145,                 14357,                -59242,                -58305,              1200955,,                -10000,                  1200,                              0,,                              0,             -2392876,                    853,                 -4898,                -21420,             -1114690,                 78585,             -3463246,,                 55277,,                -14967,              2602452,                              0,                -55422,              2583661,                      8,                321378,                911500,              1232878,              1232878,,                  6800,,,,              1649801,                -18169,,                 -3679,
