證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 預付設備款減少
2433,2014年度,,                577154,                577154,,,                934215,                    792,                  3968,                              0,                 17285,                 -4153,                   -100,               -139411,                 29411,                -74270,                              0,                767737,,,                              0,                 -1783,                 16091,                -40023,                 -8416,                  9267,               -331511,                -68485,                  8152,               -416708,,                  1674,                -39248,                 -6433,                   -551,                    695,                -43863,               -460571,                307166,                884320,                    100,                -16462,                -80065,                787893,,               -450662,                140278,                  4616,             -1191233,                148384,                 -3363,                              0,                    -63,                -20675,               -130694,                139411,             -1364001,,                524231,                              0,                199998,                              0,                250000,                              0,                  3628,                              0,               -577984,                147504,                547377,                     32,                -28699,                128650,                 99951,                 99951,,
2433,2014年01月01日至2014年09月30日,,                476053,                476053,,,                683693,                    604,                  4742,                              0,                 11727,                 -4153,                    -79,               -139411,                 22966,                -69315,,                510774,,,                              0,                 -3646,                  7191,                -72357,                  3664,                 11927,               -221636,                -55463,                  9222,               -321098,,                    135,                 49992,                -22551,                  4765,                    513,                 32854,               -288244,                222530,                698583,                     79,                -11694,                -79971,                606997,,               -310399,                121443,                  4616,               -906679,                104901,                   -911,                              0,                    -32,                -20559,                              0,                139411,               -849680,,                 78801,                              0,,                -49847,                600000,,                  5486,                              0,               -577984,                147504,                203960,                     14,                -38709,                128650,                 89941,                 89941,                              0,                 18529
2433,2014年01月01日至2014年06月30日,,                243409,                243409,,,                446598,                    408,                  3021,                              0,                  6967,                 -4153,                    -48,,                 16356,                -64921,,                404228,,,                              0,                 -5506,                  4820,                -62056,                -31695,                  4967,               -148724,                -35234,                  6044,               -267384,,                 -6144,                   -243,                -20585,                    190,                    335,                -26447,               -293831,                110397,                353806,                     48,                 -7244,                -50455,                296155,,               -226725,                105427,                  4616,               -584201,                 66150,                   -222,                              0,                    -32,                -20559,                -10516,,               -666062,,,                -47335,,                -99831,                400000,                              0,                  5295,                              0,,                147504,                405633,                    -87,                 35639,                128650,                164289,                164289,                              0,
2433,2014年01月01日至2014年03月31日,,                 82752,                 82752,,,                218762,                    205,                  1835,,                  3190,,                     -8,,                  7438,                              0,,                231422,,,,                   -829,                  7257,                -19463,                -21765,                  5869,                -49626,                -14335,                  8589,                -84303,,                -14694,                   -132,                -33642,                  4144,                    -31,                -44355,               -128658,                102764,                185516,                      8,                 -3346,,                182178,,                -22327,                              0,,               -288605,                 34267,                   -567,                              0,                              0,,               -149478,,               -426710,,,               -229994,                250032,                              0,                150000,                              0,                  4502,                              0,,                147504,                322044,                   -472,                 77040,                128650,                205690,                205690,                              0,
2433,2013年度,,                879930,                879930,,,                781429,                  1445,                  2899,                    -16,                 13264,                              0,                 -1511,               -120158,                 41746,               -433243,                    683,                286538,,,                     16,                 25221,                 24733,                 22033,                -37671,                 -4267,               -279333,                -70244,                  7184,               -312328,,                  2611,                 -6847,                  7595,                 -2226,                   -212,                    921,               -311407,                -24869,                855061,                  1511,                -13423,                -55353,                787796,,                              0,                825189,                              0,             -1041449,                100843,                              0,                  1772,                   -138,                              0,                -18529,                120158,                -12154,,                              0,                -71065,                              0,               -190078,                              0,               -200000,                              0,                 -3696,               -361240,                              0,               -826079,                 -3695,                -54132,                182782,                128650,                128650,,
2433,2013年01月01日至2013年12月31日,,                879930,                879930,,,                781429,                  1445,                  2899,                    -16,                 13264,,                 -1511,               -120158,                 41746,               -433243,,                286538,,,                     16,                 25221,                 24733,                 22033,                -37671,                 -4267,               -279333,                -70244,                  7184,               -312328,,                  2611,                 -6847,                  7595,                 -2226,                   -212,                    921,               -311407,                -24869,                855061,                  1511,                -13423,                -55353,                787796,,                              0,                825189,,             -1041449,                100843,,                  1772,                   -138,,                -18529,                120158,                -12154,,                              0,                -71065,                              0,               -190078,                              0,               -200000,,                 -3696,               -361240,,               -826079,                 -3695,                -54132,                182782,                128650,                128650,                    683,
2433,2013年01月01日至2013年09月30日,,                791746,                791746,,,                572874,                  1223,                  2357,                    -16,                  9811,                              0,                   -790,               -120158,                 32725,               -433243,,                 66452,,,                     16,                 22986,                 29660,                  2393,                -38401,                  7205,               -211894,                -55259,                  6216,               -237078,,                -10665,                -12414,                -11897,                -11043,                  1258,                -44761,               -281839,               -215387,                576359,                    790,                -10044,                -55346,                511759,,                              0,                825189,                              0,               -757895,                 72411,                              0,                     51,                   -138,                              0,                 -7542,                120158,                252234,,                              0,               -137338,,               -199977,                              0,,                              0,                    -42,               -361240,                              0,               -698597,                 -2572,                 62824,                182782,                245606,                245606,                  1669,                              0
2433,2013年01月01日至2013年06月30日,,                585431,                585431,,,                373463,                    818,                  1687,                    -16,                  6522,                              0,                   -401,,                 24433,               -433243,,                -24980,,,                     16,                  2828,                 49093,                 -4177,                -26835,                  7869,               -137429,                -38756,                  5933,               -141458,,                -10932,                -12446,                -13279,                   -589,                  1482,                -35764,               -177222,               -202202,                383229,                    401,                 -6957,                -27811,                348862,,                              0,                825189,                              0,               -473675,                 43712,                              0,                    748,                   -138,                              0,                              0,,                395836,,,               -446409,,               -349979,                              0,                -20000,                              0,                    -83,,                              0,               -816471,                   -383,                -72156,                182782,                110626,                110626,                  1757,
2433,2013年01月01日至2013年03月31日,,                183041,                183041,,,                182935,                    408,                    866,,                  4162,,                   -342,,                 12152,               -114809,,                 86442,,,,                  8091,                 29090,                   -498,                -15840,                  8175,                -64289,                -23653,                  8739,                -50185,,                -14033,                -12628,                -25676,                -10553,                    727,                -62163,               -112348,                -25906,                157135,                    342,                 -3888,,                153589,,                              0,                 45321,,               -166808,                 21653,                              0,                    804,                   -138,,                              0,,                -99168,,,                -32230,                              0,                -49996,                              0,                -50000,                              0,                    -70,,                              0,               -132296,                   -360,                -78235,                182782,                104547,                104547,                  1070,
2433,2012年01月01日至2012年12月31日,,                525972,                525972,,,                686093,                  1245,                  2197,                              0,                 15834,,                    -74,               -156189,                 48246,                -26269,,                573721,,,                              0,                 -3910,                 -2072,                -15212,                 -5656,                 -9168,               -301393,                  1462,                   -573,               -336522,,                  5713,                 41782,                 -3256,                  4555,                  2163,                 50957,               -285565,                288156,                814128,                     74,                -16096,                -84143,                713963,,                -34611,                 51857,,               -602981,                 78159,,                   -159,                 -2614,,                              0,                156189,               -354160,,                 47665,                              0,                269976,                              0,                 50000,                              0,,                    -34,               -628558,,               -260951,                   -455,                 98397,                 84385,                182782,                182782,                  2638,
