證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金增加,　　 其他金融資產減少,　　 短期借款減少,　　 處分採用權益法之投資,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應付票據增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　 取得備供出售金融資產,　　 預付設備款增加,　　 員工執行認股權,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 取得以成本衡量之金融資產,　　 其他金融資產增加,　　　　　 應付建造合約款（增加）減少,　　 處分以成本衡量之金融資產,　　 預付投資款增加
5434,2015年01月01日至2015年09月30日,,                906290,                906290,,,                 78841,                  5097,                  4643,                 11803,                 -4597,                -17651,               -126348,                 25706,                  1979,                -20527,,,               -571076,                 26617,                 32173,                 20396,                 18491,                151081,               -322318,,                120650,                 -1998,                -20143,                 -4445,                 73757,                 11812,                -12494,                167139,               -155179,               -175706,                730584,                  4271,                122750,                -12197,               -183981,                661427,,                              0,                 26423,                -19829,                              0,               -463401,                 -8047,                 66139,               -398715,,                251285,                150000,                -31651,               -584264,                -32537,               -247167,                 11952,                 27497,              1427977,              1455474,              1455474,,,,,,,,,,,,,,,,,,,,,
5434,2015年01月01日至2015年06月30日,,                583475,                583475,,,                 52132,                  3214,                   -680,                  7342,                 -3386,                -17639,                -77970,                 24258,                  1815,                -10914,,,               -325886,                 41721,                 56507,                 30830,                 18670,                -66898,               -245056,,                 53876,                  6784,                 -3498,                -48533,                  3079,                 29470,                  6302,                 47480,               -197576,               -208490,                374985,                  3005,                 65151,                 -7708,               -103137,                332296,,,,,,               -399429,                 -6849,                              0,               -329659,,,                150000,                -16919,,                 -2139,                120280,                -26246,                 96671,              1427977,              1524648,              1524648,                -12600,                 26423,                 -1502,                 64298,                -10662,,,,,,,,,,,,,,,,
5434,2015年01月01日至2015年03月31日,,                278285,                278285,,,                 25520,                  1450,                   -102,                  3539,                 -1837,,                -24399,                 22608,                              0,                 26779,,,               -323348,                 91460,                 16701,                 36071,                 17636,               -208685,               -370165,,                -33168,                   -362,                 -6930,                 -8380,                -39947,                  1359,                 15559,                -71869,               -442034,               -415255,               -136970,                  1525,,                 -3480,                 -2157,               -141082,,,,,,                -44527,                 -2091,,                 19628,,                              0,                150000,                 -6799,,                              0,                131606,                -24330,                -14178,              1427977,              1413799,              1413799,,,                              0,                 64020,                -11595,                              0,                  2226,,,,,,,,,,,,,,
5434,2014年度,,              1051338,              1051338,,,                 77639,                  4515,                 12874,                  9991,                 -9617,                -13250,                -94299,                  7331,                 -2435,,,,               -541365,               -165595,               -166684,                -41359,                 28462,                344246,               -542295,,                              0,                 23717,                 -3405,               -147832,                 -1609,                  8919,                  8148,                627258,                 84963,                 77712,              1129050,                 10138,                 89705,                 -9547,               -172322,              1047024,,,,                  5064,                  2320,               -653710,,                 10559,               -631676,,,                175923,                -46720,               -557327,                 -1046,               -335787,                  9965,                 89526,              1338451,              1427977,              1427977,                              0,,,,                 93383,                  5366,,,                 -7251,                              0,                739320,                              0,                 -1275,                              0,                              0,,,,,,
5434,2014年01月01日至2014年09月30日,,                776883,                776883,,,                 58164,                    868,                  3005,                  6992,                 -7365,                -13161,                -65157,                  6819,                    108,                 -9727,,,               -384602,               -198980,                -68483,                -63216,                 22633,                418375,               -274273,,                866322,                  3125,                -26961,                -26992,                 37820,                 -3827,                   -173,                849314,                575041,                565314,              1342197,                  7385,                 89613,                 -6892,               -165028,              1267275,,                  5366,                              0,                  5064,                  2320,               -452051,                 -2509,                  7714,               -434096,,                -33217,                176107,                -30867,               -557327,                 -1046,               -446350,                 -9063,                377766,              1338451,              1716217,              1716217,,,,,,,,,,,,,,,,,,,,,
5434,2014年01月01日至2014年06月30日,,                488787,                488787,,,                 36593,                    555,                 -3192,                  4530,                 -4443,                -13105,                -37082,                  2203,                    -72,                -14013,,,               -533497,                -82913,               -100875,                -27775,                -26644,                 20257,               -751447,,                854190,                 47672,                -13567,                -24892,                   -908,                 19498,                  2930,                884923,                133476,                119463,                608250,                  4474,                 38400,                 -4389,                -89985,                556750,,,,,,               -318266,                 -2510,                    871,               -321138,,,                176107,                -17197,,                    597,                114000,                 -4950,                344662,              1338451,              1683113,              1683113,                              0,                              0,                 -5500,                  4267,                -45507,,,,,,,,,,,,,,,,
5434,2014年01月01日至2014年03月31日,,                216221,                216221,,,                 18061,                    853,                 -2973,                  2448,                 -2098,,                -24672,                    549,                    133,                 -7699,,,               -247560,                  7864,                 89058,                 -5380,                -14976,                114666,                -56328,,                165149,                  7775,                -23499,                -42833,                -42179,                   -502,                  1505,                 65416,                  9088,                  1389,                217610,                  1773,,                 -1991,                              0,                217392,,,,,,               -271434,                 -2592,,               -287274,,                 61620,                 24464,                -12116,,                  1271,                 75239,                  5530,                 10887,              1338451,              1349338,              1349338,,,                -15181,                  1062,                              0,                    871,                              0,,,,,,,,,,,,,,
5434,2013年度,,                978599,                978599,,,                 63910,                  2025,                  4020,                  8167,                 -9903,                -10440,                -75591,                 17158,                    166,,,,                255660,                 31231,                -10227,                -51103,                -51121,               -120087,                 54353,,                              0,                -28810,                -33997,                 62144,                 -6757,                -41219,                  6785,               -264409,               -210056,               -210544,                768055,                  9747,                 86442,                 -8025,               -162285,                693934,,,,                              0,                              0,               -338916,,                  8422,               -414363,,,                 91779,                -15837,               -536887,                 35572,               -239456,                 30689,                 70804,              1267647,              1338451,              1338451,                -36500,,,,                 71517,                  6346,,,                   -488,                              0,               -222555,                              0,                 -1312,                -52403,                114400,,,,,,
5434,2013年01月01日至2013年12月31日,,                978599,                978599,,,                 63910,                  2025,                  4020,                  8167,                 -9903,                -10440,                -75591,                 17158,                    166,,,,                255660,                 31231,                -10227,                -51103,                -51121,               -120087,                 54353,,                              0,,                -33997,                 62144,                 -6757,                -41219,                  6785,               -264409,               -210056,               -210544,                768055,                  9747,                 86442,                 -8025,               -162285,                693934,,,,,                              0,               -338916,,                  8422,               -414363,,,                 91779,                -15837,               -536887,                 35572,               -239456,                 30689,                 70804,              1267647,              1338451,              1338451,                -36500,,,,                 71517,                  6346,,,                   -488,                              0,               -222555,                              0,                 -1312,                -52403,                114400,,,,                -28810,,
5434,2013年01月01日至2013年09月30日,,                758068,                758068,,,                 46551,                  1211,                  2751,                  4580,                 -6524,                -10440,                -57299,                              0,,,,,                -87733,                 32891,                 42268,                -37978,               -122236,                 35003,               -137785,,               -171598,                -20882,                -23203,                110657,                 65704,               -123310,                  3668,               -158964,               -296749,               -315202,                442866,                  5208,                 86442,                 -4036,               -159773,                370707,,                              0,,                              0,                              0,               -271942,,                  3473,               -268469,,                198430,                 81177,                -10658,               -536887,                 32328,               -168044,                 23965,                -41841,              1267647,              1225806,              1225806,,,,,                              0,,,,                -18453,,,,,,                 67566,                    717,,,,,
