證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 預付投資款減少,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款減少,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　 存出保證金增加,　　 其他非流動資產增加,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分以成本衡量之金融資產,　　 其他籌資活動,　　 其他金融資產減少,　　 其他應收款增加,　　 持有至到期日金融資產到期還本,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 其他應收款－關係人減少,　　 其他預付款項減少,　　 其他非流動負債增加
1701,2015年01月01日至2015年09月30日,,                403204,                403204,,,                179649,                  1331,                   -563,                 28745,                 -9098,                -11013,                -96055,                -36692,                              0,                  1799,                 58103,,,                -30128,                -30737,                  5882,                 43658,                 -3099,                -14424,,                 48142,                 16212,                -61208,                -49980,                 -1043,                 -9962,                -57839,                -72263,                -14160,                389044,                  9121,                 46637,                -29450,                -98449,                316903,,                              0,                -15000,                 30000,               -182170,                239459,                 -1353,                -56666,                              0,                -12202,                              0,                              0,                  2068,,               -158682,                -54978,                550000,               -580000,                  1386,               -178849,                 17229,               -403894,                 11851,                -73072,                795907,                722835,                722835,,,,,,,,,,,,,,,,,,
1701,2015年01月01日至2015年06月30日,,                262732,                262732,,,                119710,                    874,                   -580,                 19506,                 -5864,                -11013,                -69956,                              0,                              0,                  7089,                 59766,,,                -59211,                 12305,                -25288,                -37581,                 -2573,               -112348,,                -13028,                    452,                -24412,,                 14488,                 -6765,                -29265,               -141613,                -81847,                180885,                  5884,                 37971,                -20473,                -54643,                149624,,                              0,,,               -120873,                     22,,                  3290,                              0,                  3021,,,                -85751,,                 -3977,                 86022,                150000,               -410000,                  2464,,                 20000,               -155491,                -11350,               -102968,                795907,                692939,                692939,                 30000,                    626,                 -1837,,,,,,,,,,,,,,,
1701,2015年01月01日至2015年03月31日,,                122450,                122450,,,                 59824,                    423,                 -1569,                  9639,                 -3140,                              0,                -52704,                              0,                              0,                  1396,                 13869,,,                -56305,                -16155,                -14668,                  3112,                -26532,               -110548,,                -41000,                 32920,                -34353,,                 18358,                 -2957,                -27032,               -137580,               -123711,                 -1261,                  3162,,                 -9990,                 -1858,                 -9947,,                              0,,                 30000,                -70560,                     10,                    534,                  2234,,                  8448,,,                -29604,,               -206527,,                150000,                -30000,                 -1936,,                 20000,                -69609,                 -4462,               -113622,                795907,                682285,                682285,,,                   -270,                 -1146,,,,,,,,,,,,,,
1701,2014年度,,                432874,                432874,,,                217112,                  1249,                   -758,                 44807,                -26443,                 -6351,                -54007,                 -1739,                -98199,                -44413,,,,                 70631,                -10360,                  5171,                -79745,                 -6228,                -20531,,                -29346,                  2607,                -42535,,                  2426,                -14256,                -81104,               -101635,                -70377,                362497,                 26391,                 49515,                -44261,                -63733,                330409,,                168085,                -15000,,               -289128,                 13177,,                -51525,                 -1202,,                  9141,                142250,                -46292,,               -244021,,                920000,               -850000,                  1630,               -149041,,               -332510,                 25645,                -22748,                818655,                795907,                795907,                -30000,                  7910,,                 -9945,,                 31258,                              0,                 -1133,,,,,,,,,,
1701,2014年01月01日至2014年09月30日,,                293527,                293527,,,                157611,                    502,                  3425,                 34440,                -12876,                 -6351,                -38438,                 -1123,                   -743,                -41791,                 94656,,,                 63160,                 28917,                -33399,                -76074,                  9104,                 -8292,,                 28578,                -16812,                -93511,                              0,                  5342,                 -8310,                -84713,                -93005,                  1651,                295178,                 10847,                 49515,                -34373,                -52214,                268953,,                  4096,                -15000,                              0,               -230309,                  5648,                 11013,                -60816,                 -1202,                 -6117,                 19215,                137168,               -136304,,               -280709,                 35076,                920000,               -670000,                 -1792,               -149041,                 -1133,               -147599,                 -1128,                -16078,                818655,                802577,                802577,,,,,,,,,,,,,,,,,,
1701,2014年01月01日至2014年06月30日,,                215318,                215318,,,                 99543,                    335,                  2432,                 23081,                 -8623,                 -6351,                -31135,                 -1211,                   -743,                -10052,                 67276,,,                 34950,                 -1306,                -14789,                -71112,                -16266,                -68523,,                 59031,                 15173,                -28140,,                 -9150,                 -5514,                 31400,                -37123,                 30153,                245471,                  9062,                 32184,                -23409,                -37064,                226244,,                  4096,,,               -198374,                  5514,,                -61887,                 -1202,                -11271,,,               -245133,,               -263330,                 35076,                730000,               -640000,                 -1349,,                              0,               -139603,                 -4592,               -163084,                818655,                655571,                655571,                              0,                  9980,                  8011,,,,,,,,,,,,,,,
1701,2014年01月01日至2014年03月31日,,                 88557,                 88557,,,                 48871,                    171,                  2598,                 11243,                 -1630,                              0,                -12896,                 -1193,                   -743,                 -8834,                 37587,,,                  3696,                 -8437,                -20879,                 27784,                -11138,                 -8974,,                 30749,                 21030,                -46506,,                 -8561,                 -2590,                 -5878,                -14852,                 22735,                111292,                  3010,,                -11244,                 -6562,                 96496,,                  4096,,                              0,                -92862,                  4312,                  5677,                -51749,,                 -6143,,,               -137587,,               -325725,,                730000,               -610000,                  2388,,                              0,                  3739,                  2098,                -35254,                818655,                783401,                783401,,,                   -918,                207076,,,,,,,,,,,,,,
1701,2013年度,,                326583,                326583,,,                193047,                    771,                 10686,                 41111,                -21039,                 -7216,                -77219,                     22,                              0,                  7559,,,,                 22764,                -32178,                 -9103,               -152129,                  8506,               -162140,,                  4833,                 79633,                 10368,,                  9492,                -15277,                 89049,                -73091,                 74631,                401214,                 21629,                 76689,                -40862,                -53263,                405407,,                              0,                              0,,               -788234,                    952,,                 93202,                              0,,                 20139,                144645,               -536707,,                432545,,                955000,               -965000,                  9950,               -149041,,                229423,                  3696,                101819,                716836,                818655,                818655,                              0,                 -7411,,                -54031,,                147722,                              0,                              0,,,,,,,,,,
1701,2013年01月01日至2013年12月31日,,                326583,                326583,,,                193047,                    771,                 10686,                 41111,                -21039,                 -7216,                -77219,                     22,                              0,                  7559,,,,                 22764,                -32178,                 -9103,               -152129,                  5682,               -164964,,                  4833,                 79633,                 10368,,                  9492,                -15277,                 89049,                -75915,                 71807,                398390,                 21629,                 76689,                -40862,                -53263,                402583,,,,,               -788234,                    952,,                 60568,,,                 20139,                144645,               -569341,,                468003,,                955000,               -965000,                  9950,               -149041,,                264881,                  3696,                101819,                716836,                818655,                818655,,                 -7411,,                -54031,,                147722,                              0,,,,                              0,,,,,,,
1701,2013年01月01日至2013年09月30日,,                247522,                247522,,,                143455,                    587,                  4809,                 31311,                 -6087,                 -7216,                -63884,                     59,                              0,                  1784,,,,                 27270,                -56532,                -17515,                -73303,                 -3423,               -123503,,                  7640,                 50891,                -53112,,                  6517,                 -5944,                  5992,               -117511,                -12693,                234829,                  5923,                 58047,                -30873,                -34679,                233247,,                              0,                              0,,               -600569,                    246,,                 67564,,,                 12352,                151331,               -372801,,                410602,,                755000,               -705000,                  5476,               -149041,                              0,                200082,                 11594,                 72122,                716836,                788958,                788958,,                 -2362,,               -116955,,                104818,                              0,,                 -1363,,,,,,,,,
