證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 退還（支付）之所得稅,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 持有至到期日金融資產到期還本,　　 現金增資,　　　　　 應付票據增加（減少）
5871,2015年01月01日至2015年09月30日,,              7261183,              7261183,,,              1183369,                113274,                 19203,              3586386,            -15315987,                -67418,                 10106,                 -7097,                 64166,               -114600,              3482603,                202660,             -6843335,,,                 89404,            -23661438,                              0,                155340,               -839595,             -2719082,            -26975371,,                479088,             20776146,              2551867,                 -7488,                 13138,               -168579,             23644172,             -3331199,            -10174534,             -2913351,             15326361,                 67518,             -3759250,             -2732453,              5988825,,               -192180,                116889,             -4333180,              3932209,                              0,                              0,               -106047,                  3152,                 -9150,               -588307,,             -3067157,               -220652,             -3287809,                 45483,              2158192,              8330204,             10488396,             10488396,                              0,,,,,,,,
5871,2015年01月01日至2015年06月30日,,              4831650,              4831650,,,                769113,                 74349,                  2923,              2387701,            -10051209,                 -9885,                  8189,                -16031,                 44530,               -114600,              2181046,                122255,             -4601619,,,                -72927,            -13812819,                              0,                 40971,             -1023310,             -1689102,            -16557187,,               -182080,             11276936,                982784,                 71168,                  8568,                 25116,             12182492,             -4374695,             -8976314,             -4144664,             10077688,                  9985,             -2419857,,              1803078,,               -184048,                116889,             -1911290,              2836968,                              0,,                -65223,                  1493,                 -8008,                786781,,,               -220652,               -220652,               -142591,              2226616,              8330204,             10556820,             10577561,                -20741,             -1720074,,,,,,,
5871,2014年度,,              9676714,              9676714,,,              1325494,                 72513,                 60735,              4357416,            -18248570,                -33691,                 11077,               -107378,                -70648,                -67388,              3972869,                297167,,,,                107633,            -45103441,                567545,                 50113,              8235648,             -3395825,            -39538327,,               -641650,,              3412617,                454183,,             31771238,             34999252,             -4539075,            -12969479,             -3292765,             17887100,                 33791,             -4277275,,              8062473,,,                 56491,             -6894322,              2982157,               -168745,               -407979,               -162770,                 20057,                 -4863,             -4577912,,             -1991661,               -165968,             -2157629,               -498865,                828067,              7502137,              8330204,              8338117,                 -7913,             -2288378,,             -8430404,                  2864,                  2062,,,
5871,2014年01月01日至2014年09月30日,,              7327123,              7327123,,,                994477,                 52842,                -36095,              3158315,            -13236233,                -31326,                  8845,               -112639,                   -583,                -39881,              2891016,                196498,             -6154764,,,                978041,            -28389713,                567441,                371992,                 31988,             -1302170,            -27742421,,             -1181244,             25591543,              2011418,                 83823,                  9959,                420331,             26935830,               -806591,             -6961355,                365768,             12919874,                 31426,             -3064038,             -2167570,              8085460,,                              0,                 56347,             -5625075,              2178315,               -135255,                -79281,               -138835,                  5389,                 -3461,             -3741856,,             -1991661,               -169964,             -2161625,               -141642,              2040337,              7502137,              9542474,              9655671,               -113197,,,,,,,,
5871,2014年01月01日至2014年06月30日,,              4652776,              4652776,,,                660884,                 34490,                 53008,              2051041,             -8643034,                 -2853,                  4371,                -17648,                              0,                -39881,              1750336,                114670,             -4034616,,,               -116471,            -14152279,                567373,                 39737,               -399578,               -992773,            -15053991,,             -1422728,             13093883,                  1492,                -14260,                  5445,                269207,             11933039,             -3120952,             -7155568,             -2502792,              8332210,                    100,             -2010293,,              2713593,,                 -3517,                 56347,             -3018591,                598763,                -20906,,                -77559,                 46559,                    -11,             -2418915,,,               -167680,               -167680,               -118976,                  8022,              7502137,              7510159,              7607684,                -97525,             -1105632,,,,,,,
5871,2014年01月01日至2014年03月31日,,              2208784,              2208784,,,                334016,                 16845,                 26143,              1015436,             -4270123,,                  1543,                -15942,,                -10246,                765687,                 48647,,,,               -167515,             -8105615,                554792,                389395,               -491396,               -311326,             -8131665,,             -1314867,,               -401693,               -480075,,              9102523,              6906934,             -1224731,             -3312725,             -1103941,              4227044,,               -950737,,              2008220,,,                 18766,             -2424886,,,,                -49669,                 17431,                    -11,             -2370869,,,,,                147148,               -215501,              7502137,              7286636,              7454389,               -167753,               -164146,,             -2087994,                  1046,,                 67500,,
5871,2013年度,,              8576581,              8576581,,,              1491409,                 87491,                 81398,              3985775,            -16109434,                -33876,                  2459,                -30222,                 -2967,                -53627,              2802759,                427690,,,,                -14114,            -40611358,                203751,             -1179379,              8272132,               -791839,            -34120807,,                575688,,              2507546,               -285513,,             23060586,             25844793,             -8276014,            -15627159,             -7050578,             16216739,                 33876,             -3945232,,              3444712,,,                 60664,             -5076240,              2239100,               -127441,                              0,             -1709535,                  3910,                 -2267,             -4611188,,             -1810600,               -184132,             -1994732,                598624,             -2562584,             10064721,              7502137,              7586221,                -84084,             -1810093,,             -7351145,                -13514,                    621,,,
5871,2013年01月01日至2013年12月31日,,              8576581,              8576581,,,              1491409,                 87491,                 81398,              3985775,            -16109434,                -33876,                  2459,                -30222,                 -2967,                -53627,              2802759,                427690,,,,                -14114,            -31825004,                203751,             -1179379,               -514222,               -791839,            -34120807,,                575688,,              2507546,               -285513,,             23060586,             25844793,             -8276014,            -15627159,             -7050578,             16216739,                 33876,             -3945232,,              3444712,,                              0,                 60664,             -5076240,              2239100,               -127441,,             -1709535,                  3910,                 -2267,             -4611188,,             -1810600,               -184132,             -1994732,                598624,             -2562584,             10064721,              7502137,              7586221,                -84084,             -1810093,,             -7351145,                -13514,                    621,,                              0,
5871,2013年01月01日至2013年09月30日,,              6284032,              6284032,,,              1133148,                 56811,                 58145,              2989112,            -11839974,                -32834,                  1298,                 16258,                 -2971,                -26596,              1741775,                336395,,,,                  9290,            -30170872,               -161396,               -762529,              9600882,             -1369561,            -22854186,,               -824034,,              1288945,               -383658,,             14787051,             14902108,             -7952078,            -13521511,             -7237479,             12113232,                 32934,             -2967391,,                283069,,,                 31286,             -1234438,                421874,               -112906,                              0,                -83852,                  4826,                   -283,               -973493,,             -1810600,               -184132,             -1994732,                345947,             -2339209,             10064721,              7725512,              7906997,               -181485,             -1658227,,             -5569433,                 33804,,,,
5871,2013年01月01日至2013年06月30日,,              4227757,              4227757,,,                769043,                 31910,                 43116,              2003656,             -7680830,                              0,                  3088,                 35643,                 -2966,                -21160,              1080861,                210527,,,,               -105918,            -17555718,               -115590,             -1832899,                263436,               -828554,            -20175243,,               -773487,,              3505569,              1202626,,              9311015,             13269307,             -6905936,            -10433048,             -6205291,              7665942,                    100,             -2039531,,             -1775608,,                              0,                 24417,               -218501,                              0,                              0,,                -48221,                502930,                   -283,                260342,,,               -184132,               -184132,               -299878,             -1999276,             10064721,              8065445,              8230226,               -164781,             -1196828,,             -3527112,                 23584,,,,
