證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分備供出售金融資產,　　 取得待出售非流動資產,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）
6165,2015年01月01日至2015年09月30日,,                -51523,                 31131,                -20392,,,                 15996,                    554,                 17106,                   -887,                      4,                   -896,                  2019,                -41726,                 -7830,,,                    310,                   -907,                -13700,                 80709,                 -4966,                  2957,                    234,                 64637,,                    -59,                 -2490,                 47308,                  6324,                 -7634,                              0,                 43449,                108086,                100256,                 79864,                    896,                    -88,                   -850,                 79822,,                -51090,                -36672,                   -820,                  2250,                   -142,                              0,                              0,                   -155,                -86629,,                              0,                   -469,                              0,                    -75,                   -544,                 -2434,                 -9785,                171366,                161581,                161581,,,,,,,,,
6165,2015年01月01日至2015年06月30日,,                -42120,,                -42120,,,                 12916,                    674,                   -722,                     32,                    718,,                  1964,                              0,                 15582,,,                              0,                  1090,                  8482,                 -3648,                 -5855,                  1121,,                  1190,,                  1944,                -11250,                 13076,                    767,                 -7634,                              0,                 -3097,                 -1907,                 13675,                -28445,,                   -718,                   -161,                -29324,,                -51090,,                   -666,                  1881,                   -136,,                              0,                              0,                -88418,,                              0,,,                    -77,                    -77,                 -2603,               -120422,                171366,                 50944,                 50944,                              0,                -38255,                              0,                   -152,,,,,
6165,2015年01月01日至2015年03月31日,,                -27496,,                -27496,,,                  6711,                    352,                    -97,                   -246,                    720,,                  2079,                              0,                  9519,,,                -10000,                 -2386,                 17996,                 -1059,                 -4725,                  1271,,                  1097,,                    -50,                 -6049,                 -3630,                  5189,                 -7633,                              0,                -12173,                -11076,                 -1557,                -29053,,                   -720,                   -184,                -29957,,,,                   -614,                  1881,,                      1,                              0,                              0,                  1100,,,                   -190,,                    -31,                   -221,                 -2951,                -32029,                171366,                139337,                139337,                              0,,,                   -168,                              0,,,,
6165,2014年度,,               -131061,,               -131061,,,                 28120,                  1114,                 66605,                   -293,                  2782,,                  2552,                              0,,,,                -31000,                 33664,                 24986,                 20246,                 22087,                  1106,,                 71089,,                      9,                 -7217,                  7901,                  2227,,                              0,                  1890,                 72979,                188838,                 57777,,                 -2782,                 -9998,                 44997,,,,                 -5232,                 10017,,                    352,                   -234,                   -153,                  4190,,,                  3632,                  3535,,                  7167,                -12305,                 44049,                127317,                171366,                171366,                              0,,,                   -479,                    -81,,                 14979,                115859,                 -1030
6165,2014年01月01日至2014年09月30日,,                -76055,                -38788,               -114843,,,                 21171,                  1246,                 65819,                              0,                  2145,                   -914,                    -48,                              0,                 89419,,,                              0,                -12798,                 20790,                 19463,                 19014,                  1185,                              0,                 47654,,                    -47,                 -6972,                 10823,                  2698,                   -231,                   -670,                  5601,                 53255,                142674,                 27831,                    914,                 -2145,                 -8536,                 18064,,                              0,                              0,                 -4796,                  6026,                              0,                    360,                   -213,                    -99,                  1278,,                  3086,                              0,                    225,                              0,                  3311,                    253,                 22906,                127317,                150223,                150223,,,,,,,,,
6165,2014年01月01日至2014年06月30日,,                -33159,,                -33159,,,                 14493,                    853,                   -910,                              0,                    813,,                  1269,                              0,                 16518,,,                              0,                -39778,                  6739,                 -3380,                 22538,                  1018,,                -12863,,                    180,                  2138,                 17690,                  2444,                     10,                   -713,                 21749,                  8886,                 25404,                 -7755,,                   -813,                 -4614,                -13182,,                              0,,                 -3084,                  2587,                    363,,                   -115,                    -24,                   -147,,                 13266,,,                    225,                 13491,                  5920,                  6082,                127317,                133399,                133399,                              0,                              0,                    126,                              0,,,,,
6165,2014年01月01日至2014年03月31日,,                -25419,,                -25419,,,                  8693,                    418,                   -923,                              0,                    537,,                    462,                              0,                  9187,,,                              0,                -34326,                 10305,                 13225,                  8743,                  2768,,                    715,,                     -3,                  3744,                -13242,                    627,                   -228,                   -402,                 -9504,                 -8789,                    398,                -25021,,                   -537,                 -2356,                -27914,,,,                   -962,                              0,,                     35,                   -117,                    -15,                 -1059,,,                 29929,,                              0,                 29929,                  2803,                  3759,                127317,                131076,                131076,                              0,,,                              0,                              0,,,,
6165,2013年度,,                -77430,,                -77430,,,                 37070,                  1953,                -13487,                    -94,                  2897,,                    765,                   -726,,,,                  9547,                -26347,                 83952,                 -7664,                 19900,                 22119,,                101507,,                 -1297,                -24956,                 12926,                 -1255,,                    554,                -15013,                 86494,                114872,                 37442,,                 -2897,                 -9698,                 24847,,,,                 -7553,                  1415,,                 18085,                              0,                   -880,                 12088,,,                -41186,                              0,,                -41186,                -10150,                -14401,                141718,                127317,                127317,                  1725,,,                              0,                   -704,,                              0,                 28378,                   -985
6165,2013年01月01日至2013年12月31日,,                -77430,,                -77430,,,                 37070,                  1953,                -13487,                    -94,                  2897,,                    765,                   -726,,,,                  9547,                -26347,                 83952,                 -7664,                 19900,                 22119,,                101507,,                 -1297,                -24956,                 12926,                 -1255,,                    554,                -15013,                 86494,                114872,                 37442,,                 -2897,                 -9698,                 24847,,,,                 -7553,                  1415,,                 18085,                              0,                   -880,                 12088,,,                -41186,                              0,,                -41186,                -10150,                -14401,                141718,                127317,                127317,                  1725,,,                              0,                   -704,,,                 28378,                   -985
6165,2013年01月01日至2013年09月30日,,                -57255,,                -57255,,,                 28345,                  1534,                -12171,                    -94,                  1191,,                    806,                   -726,,,,                  9547,                -45639,                 55236,                  4384,                 11032,                 20740,,                 55300,,                   -285,                 -1729,                -10555,                   -209,,                  1100,                -11723,                 43577,                 62462,                  5207,,                 -1191,                 -6863,                 -2847,,,,                 -5670,                  2380,,                 18277,                              0,                              0,                 15820,,,                 -1503,                              0,,                 -1503,                 -8085,                  3385,                141718,                145103,                145103,                  1725,,                   -892,                              0,,,,                 18885,                    -45
