證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 預付投資款增加,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 處分採用權益法之投資,　　 非控制權益變動,　　 處分持有至到期日金融資產,　　 處分無形資產,　　 處分投資性不動產,　　 償還長期借款,　　　　　 其他營業負債增加（減少）
3706,2015年01月01日至2015年09月30日,,              1827689,              1827689,,,                360245,                196458,                  2057,                 31868,                 32894,                -85445,               -115130,                 49458,               -972430,                      3,                              0,                    379,                  9760,                -14952,               -504835,,,                  1712,              2218209,                 37463,                -46552,                -27855,              2182977,,                              0,             -2588036,                182410,                -32483,                234481,                  1027,             -2202601,                -19624,               -524459,              1303230,                 92814,                523226,                -36116,               -138408,              1744746,,                 -6840,                 25000,                              0,                              0,                              0,                -63942,                -25000,                 17135,               -463512,                  3303,                              0,                 23765,                -26908,              1161190,                -16475,                              0,                627716,,                              0,               -751683,                              0,                -12206,               -525270,                287667,               -162139,                 66875,             -1096756,                -19394,              1256312,              8494325,              9750637,              9750637,,,,,,,,,,,,,,
3706,2015年01月01日至2015年06月30日,,              1207295,              1207295,,,                243860,                135032,                     21,                 34421,                 23751,                -63179,                              0,                  7537,               -671906,                    204,                              0,                    375,                  5232,                -30268,               -314920,,,                  2331,             -2573534,                 26426,               -188812,                 22462,             -2711127,,                              0,                433610,                529143,                -27078,                -39954,                    740,                896461,             -1814666,             -2129586,               -922291,                 68432,                152024,                -21508,               -109760,               -833103,,                 -1031,                 25000,,                              0,                              0,,,                 17135,               -377760,                  2484,                              0,                 15956,                -10680,              1123701,                              0,,                795480,,                184418,,                              0,                -11878,,                270166,,,                442706,                 71164,                476247,              8494325,              8970572,              8970572,                    675,,,,,,,,,,,,,
3706,2015年01月01日至2015年03月31日,,                568562,                568562,,,                116153,                 68035,                   -938,                  2861,                 10915,                -31903,                              0,                  3769,               -358030,                    201,,                    -29,                  5232,                 -3032,               -186766,,,                 -5578,             -2164055,                -18320,             -1577508,                -70664,             -3836125,,                              0,              2403960,                -13543,                -12475,                 22144,                    448,              2400534,             -1435591,             -1622357,             -1053795,                 30138,,                -10264,                -28524,             -1062445,,                 -1031,                 25000,,,,,,,               -101828,                  1962,,                    248,                 -4328,                308148,,,                229574,,                431547,,                              0,                 -2761,,                  9843,,,                438629,                 67017,               -327225,              8494325,              8167100,              8167100,                  1403,                              0,,,,,,,,,,,,
3706,2014年度,,              1050823,              1050823,,,                486984,                296229,                -26594,                -18362,                 44146,               -147848,               -105534,                 66639,             -1213705,                -11227,                -15832,                -58609,                104593,                131792,,,,                  4529,             -1103894,                 58923,               -725420,               -124017,             -1889879,,                 -1622,                672842,                -61266,               -119909,                 68648,,                558254,             -1331625,             -1687348,               -636525,                147414,                340579,                -40808,               -180688,               -370028,,                -45000,                 82770,                -25957,                  2879,                 63223,                 -7839,,,               -452480,                 48156,                -22231,,               -119239,                597064,                 -7791,                 19401,                132956,,              1481607,                              0,                 20688,,               -444654,                226850,,                 78316,              1362307,                178367,              1303602,              7190723,              8494325,              8494325,,                              0,,                111605,               -355723,                   -439,                              0,                              0,                   -500,,,,,
3706,2014年01月01日至2014年09月30日,,                697360,                697360,,,                366688,                213293,                 -6593,                -23131,                 31591,               -111837,               -100056,                 62176,               -775693,                 -1367,                -15832,                -47688,                              0,                 65157,               -343292,,,                  5794,                482561,                 73743,               -920787,               -198126,               -556815,,                   -626,                254650,               -115377,                -41663,                 20534,                  1610,                119128,               -437687,               -780979,                -83619,                 94259,                313137,                -27332,                -97369,                199076,,                -45000,                 59441,                -25000,                  2862,                 63223,                 -7839,                              0,                              0,               -342225,                 15312,                -13357,                              0,                -73087,                181583,                 -3072,                 19401,               -167758,,              1600349,                              0,                  8145,                              0,               -444654,                203666,                              0,                 78316,              1445822,                 72818,              1549958,              7190723,              8740681,              8740681,,,,,,,,,,,,,,
3706,2014年01月01日至2014年06月30日,,                413704,                413704,,,                261578,                136648,                 -7133,                  4524,                 20690,                -74441,                              0,                 31228,               -471512,                 -1477,                -15832,                -41162,                              0,                  3512,               -153377,,,                  7528,               -272006,                 62076,                307374,               -103948,                  1024,,                 -1622,               -143149,                176189,                -26136,                 61361,                  1035,                 67678,                 68702,                -84675,                329029,                 63762,                              0,                -19075,                -70519,                303197,,                              0,                 48913,,                  2852,                -25000,,,                              0,               -253370,                  4414,                 -8309,                              0,                -16976,                  8190,                 -5382,,               -225267,,              1728726,,                  3015,                              0,,                119767,,,              1851508,                -45676,              1883762,              7190723,              9074485,              9074485,                 19401,,,,,,,,,,,,,
3706,2014年01月01日至2014年03月31日,,                  3613,                  3613,,,                135156,                 66745,                 -8278,                 15586,                  7773,                -35739,                              0,                 12505,               -191192,                 -1157,,                -31580,                              0,                 19990,                -10191,,,                  3510,              1178561,                 43907,               -246311,                -96555,                883112,,                 -1622,             -1517381,               -315517,                -27054,                 63660,                    515,             -1797399,               -914287,               -924478,               -920865,                 25734,,                 -7923,                -14982,               -918036,,                              0,                 42995,,,,,,,                -53995,                  3540,,                  1818,                 -4972,                              0,,,                -19489,,                479006,,                  1478,                              0,,                 94582,,,                575066,                 22107,               -340352,              7190723,              6850371,              6850371,                  4685,                -13560,,,,,,,,,,,,
3706,2013年度,,                644844,                644844,,,                160073,                 74197,                 19444,                -12339,                  7137,                -30600,                -31738,                 15481,               -327463,                 -4221,                              0,               -272489,                    531,                -35913,,,,                 -9345,               -906751,                 41178,                426186,                 93875,               -354857,,                  1382,                840055,                135693,                 -9329,                 52122,,              1017932,                663075,                225175,                870019,                 21348,                 31738,                 -6337,                -47698,                869070,,                -96337,                 67000,                -25000,                              0,                              0,                              0,,,               -153433,                  6108,                   -918,,               -129950,                              0,                 -2096,                              0,             -1436490,,                              0,               -245924,                  1432,,                              0,                123065,,                              0,               -121427,                 30016,               -658831,              7849554,              7190723,              7190723,,             -1756918,,                              0,               -437900,                 -1991,                  3530,                651524,                              0,,,,,
3706,2013年01月01日至2013年12月31日,,                644844,                644844,,,                160073,                 74197,                 19444,                -12339,                  7137,                -30600,                -31738,                 15481,               -327463,                 -4221,,               -272489,                    531,                -35913,,,,                 -9345,               -906751,                 41178,                426186,                 93875,               -354857,,                  1382,                840055,                135693,                 -9329,                 52122,,              1017932,                663075,                225175,                870019,                 21348,                 31738,                 -6337,                -47698,                869070,,                -96337,                 67000,                -25000,,,,,,               -153433,                  6108,                   -918,,               -129950,,                 -2096,,             -1436490,,,               -245924,                  1432,,,                123065,,,               -121427,                 30016,               -658831,              7849554,              7190723,              7190723,,             -1756918,,,               -437900,                 -1991,                  3530,                651524,,,,,,
3706,2013年01月01日至2013年09月30日,,                 72305,                 72305,,,                 26568,                 14732,                 -7557,                  4655,                  1334,                 -5617,                -17329,                  2976,                -45784,                    764,                              0,                -29230,,                 -6101,,,,                 -3624,                449973,                -59801,                 64336,                -25871,                425013,,                   -240,                 14833,                 31462,                -19656,                 69039,,                 95266,                520279,                459690,                531995,                  5617,                 17329,                 -1334,                -11834,                541773,,                              0,                              0,                              0,                              0,                              0,                              0,,,                -40429,                    171,                   -564,,                -18020,                              0,                              0,                              0,                 16330,,                393277,,                    356,,                              0,                              0,,                              0,                393633,                -16664,                935072,              7849554,              8784626,              8784626,                  1534,,,,                -60589,                   -172,                  3530,                 70108,,                              0,                              0,                              0,                              0,
