證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款減少,　　 處分子公司股權（未喪失控制力）,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分待出售非流動資產損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分待出售非流動資產,　　 預付設備款增加,　　 應付短期票券增加,　　　　　 其他營業負債增加（減少）,　　　　　 其他營業資產（增加）減少,　　 發放現金股利,　　 非控制權益變動,　　 其他非流動資產減少,　　　　　 負債準備增加（減少）
1512,2015年01月01日至2015年09月30日,,               -142287,               -142287,,,                230322,                 46309,                  5525,                 60615,                 -3386,                  7472,                -57524,                  7874,                   -260,                296947,,,                 21271,                303007,                -16421,                 21352,                 21171,                  1144,                351524,,                 -9643,               -167827,                 -3163,                 42712,                    503,                -16379,               -153797,                197727,                494674,                352387,                  3377,                -64490,                -37294,                253980,,                 -7529,                  4059,                 85803,               -209715,                173645,                 -6116,                  1015,                 -9756,               -169399,                108762,                 -6946,                              0,                -36177,,              2039541,             -2247749,                -50000,                 57400,               -117991,                 13382,                -13144,                 -1126,                132493,               -187194,                    930,                 31539,                356798,                388337,                388337,,,,,,,,,,,,,,
1512,2015年01月01日至2015年06月30日,,               -146596,               -146596,,,                154091,                 32140,                  1180,                 41846,                   -957,                  6927,,                  5283,                    543,                241053,,,                 20549,                305942,                 -9142,                 12199,                -31050,                  6636,                305134,,                -13041,               -145409,                -26436,                 32554,                    -11,                -11737,               -164080,                141054,                382107,                235511,                    755,                -45573,                -29374,                161319,,                 -7529,                  2548,,               -163558,                166541,                 -3654,                    975,                 -2377,                -85873,                 59913,                 -6680,                              0,                -39694,,              1364873,             -1539941,                -50000,                 57400,                -68370,                 13382,                -13125,                   -745,                132493,               -104033,                -27975,                -10383,                356798,                346415,                346415,,,,,,,,,,,,,,
1512,2015年01月01日至2015年03月31日,,                -42308,                -42308,,,                 80603,                 27189,                              0,                 22032,                   -434,                  6874,,                  2582,                    -49,                138797,,,                 14095,                120967,                 -5492,                -22855,                 -7149,                -10284,                 89282,,                -11395,                -87184,                -26787,                 18594,                    -78,                 -2114,               -108964,                -19682,                119115,                 76807,                    310,                -22768,                -19518,                 34831,,                 -5022,                  1535,,               -122043,                162153,                   -322,                    657,                 -1188,                -11237,                 38592,                 -3288,                              0,                 59837,,                648219,               -640765,                -50000,                 57400,                -52750,,                 13356,                   -370,,                -24910,                -17809,                 51949,                356798,                408747,                408747,,,,,,,,,,,,,,
1512,2014年度,,               -175195,               -175195,,,                321397,                 58869,                 17296,                 88497,                 -4262,                 -7885,,                 69832,                  1521,,,,                -17009,                148697,                  1966,                -91968,                -76446,                  2380,                -32380,,                  6561,                -30918,                -19997,                 58538,                   -366,,                -19075,                -51455,                474722,                299527,                  2291,                -86432,                -67971,                147415,,                 -4514,                  7577,,               -260097,                 61244,                 -3851,                 12430,                 -6144,               -362743,                316720,                -38726,                -57930,               -326335,,              3295441,             -3184026,,                 30000,                -40419,                     16,                    -45,                 -2280,,                 98687,                 62620,                -17613,                374411,                356798,                356798,,                -15729,                 -3359,                526177,                -32893,                  9699,,,,,,,,
1512,2014年01月01日至2014年09月30日,,               -157955,               -157955,,,                239702,                 35646,                  8574,                 64410,                 -3476,                 -9704,                              0,                  4119,                  1659,                340930,,,                -13450,                253371,                -15801,                -78367,                -96268,                 12623,                 62108,,                -14271,               -135493,                 11004,                 90080,                    350,                -28925,                -77255,                -15147,                325783,                167828,                  3476,                -64493,                -56490,                 50321,,                 -4514,                  3042,                              0,               -233242,                 55346,                 -1342,                  9068,                 -4955,               -219071,                216462,                -33223,                -57930,               -270359,,              2400712,             -2219794,                              0,                              0,                -30563,                      2,                    -45,                 -1757,                              0,                148555,                 16498,                -54985,                374411,                319426,                319426,,,,,,,,,,,,,,
1512,2014年01月01日至2014年06月30日,,               -124760,               -124760,,,                156965,                 14276,                  8574,                 40718,                   -724,                     74,,                  3688,                  1185,                224756,,,                 -9087,                126533,                -12661,               -134253,                -77240,                  1678,               -105030,,                 11681,                -71328,                -20366,                115442,                   -329,                -19266,                 15834,                -89196,                135560,                 10800,                    724,                -40960,                -49115,                -78551,,                              0,                              0,,               -137999,                 33709,                   -966,                  8593,                 -2377,               -178431,                145506,                -27103,                -57930,               -216998,,              1626870,             -1402890,                              0,                              0,                -20348,                      2,                    -45,                 -1163,                              0,                202426,                  3229,                -89894,                374411,                284517,                284517,,,,,,,,,,,,,,
1512,2014年01月01日至2014年03月31日,,                -61961,                -61961,,,                 77606,                  4297,                  1596,                 20559,                   -314,                    269,,                  1117,                    -94,                105036,,,                 -2718,                104589,                 -3113,                -70656,                -45160,                 -1318,                -18376,,                  5752,                -62122,                  1124,                 73979,                   -301,                 -9509,                  8923,                 -9453,                 95583,                 33622,                    314,                -21007,                -29252,                -16323,,                              0,                              0,,                -82971,                 18446,                   -246,                     64,                 -1188,                -85335,                 73170,                 -4630,                -56769,               -139459,,                731141,               -639665,                              0,                              0,                -10164,,                              0,                   -577,,                 80735,                  5796,                -69251,                374411,                305160,                305160,,,,,,,,,,,,,,
1512,2013年度,,                -47915,                -47915,,,                299723,                 23300,                    277,                 79882,                 -4117,                -11072,,                  6387,                  3267,,,,                 16374,               -134207,                    897,               -219584,                 51530,                 -1464,               -286454,,                 -8799,                 58622,                 -6645,               -112028,                  7068,,               -102010,               -388464,                  5126,                -42789,                  4117,                -75681,                -14982,               -129335,,                 -3014,                  5013,,               -268714,                 25177,                 -9663,                  3854,                   -736,               -102719,                172892,                 -9372,                 -3219,               -190501,,              2234886,             -2555699,,              1272771,               -674082,                  6114,                    -96,                 -2518,,                281376,                 86891,                 48431,                325980,                374411,                374411,,                              0,                 -4057,                393590,                -40228,                              0,,,,,,,,
1512,2013年01月01日至2013年12月31日,,                -47915,                -47915,,,                299723,                 23300,                    277,                 79882,                 -4117,                -11072,,                  6387,                  3267,,,,                 16374,               -133507,                    897,               -219584,                 51530,                 -1464,               -286454,,                 -8799,                 58622,                 -6645,               -112028,                  7068,,               -102010,               -388464,                  5126,                -42789,                  4117,                -75681,                -14982,               -129335,,                 -3014,                  5013,,               -149727,                 25177,                 -9663,                  3854,                   -736,               -102719,                172892,                 -9372,                 -3219,               -190501,,              2234886,             -2555699,,              1272771,               -674082,                  6114,                    -96,                 -2518,,                281376,                 86891,                 48431,                325980,                374411,                374411,,,                 -4057,                393590,                -40228,,               -118987,                              0,                              0,                   -700,                              0,                              0,,
1512,2013年01月01日至2013年09月30日,,               -134893,               -134893,,,                228207,                  6872,                              0,                 59757,                 -2461,                 -1262,,                  4334,                  2422,,,,                -44826,                345972,                -13118,               -404459,               -115793,                 16371,               -215853,,                 -6044,               -103988,                 -2718,                 73631,                   -511,,                -70529,               -286382,                 11487,               -123406,                  2461,                -54919,                -14824,               -190688,,                 -3014,                  5013,,               -111602,                 14523,                 -8923,                  1162,                              0,                -87033,                145338,                 -6219,                              0,               -117937,,              1684256,             -1959566,                -30000,              1271250,               -658779,                  6114,                              0,                 -1895,,                311380,                 38276,                 41031,                325980,                367011,                367011,,,,                297869,                -30899,,                -67182,,,,,,,
