證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 處分待出售非流動資產損失（利益）,　　　　 非金融資產減損迴轉利益,　　 按攤銷後成本衡量之金融資產到期還本,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應付票據增加（減少）,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 收取之股利,　　 短期借款減少,　　 處分無活絡市場之債券投資,　　 處分採用權益法之投資,　　 預付設備款增加
2417,2015年01月01日至2015年09月30日,,               -214126,               -214126,,,                 95181,                  8466,                 -1137,                     21,                -10363,                    -53,                  5135,                 -2303,                  6424,                 -6841,                 94530,,,                114043,                  2935,                -46094,                 -1899,                  6928,                 -5444,                 70469,,                  3306,                -21831,                -23816,                  2048,                 -4374,                   -265,                -44932,                 25537,                120067,                -94059,                -20003,               -114062,,                              0,                  2303,                -25394,                  1260,                    529,                   -709,                 10396,                -11615,,                     13,                              0,                -19671,                -39268,                    -21,               -107006,               -165953,                  9099,               -282531,              2091599,              1809068,              1809068,                              0,,,,,,,,,,,,,,,,
2417,2015年01月01日至2015年06月30日,,               -178052,               -178052,,,                 63915,                  6205,                 -1375,                     21,                 -7099,                      1,                  3115,,                  7803,                 11578,                 81861,,,                 97111,                  2415,                 13651,                 -2536,                -29957,                 -4583,                 76101,,                    720,                -35680,                -41454,                  1520,                 -3224,                   -256,                -78374,                 -2273,                 79588,                -98464,                -11961,               -110425,,                              0,                  2303,                -19274,                  1052,                    238,,                  7220,                 -8461,,                              0,                    -15,,                              0,                    -21,                -60906,                -60942,                -11855,               -191683,              2091599,              1899916,              1899916,                              0,                 -2303,                              0,,,,,,,,,,,,,,
2417,2015年01月01日至2015年03月31日,,               -106547,               -106547,,,                 31939,                  3168,                 -1576,                      1,                 -3523,                     10,                  1732,                 -2303,                 10176,                 19519,                 59143,,,                 88003,                  3966,                 13179,                 -3360,                -43947,                 -5659,                 52182,,                   -132,                -15500,                -49729,                    440,                   -881,                   -138,                -65940,                -13758,                 45385,                -61162,                 -5076,                -66238,,,                  2303,                 -9071,                     93,                    740,                              0,                  3349,                 -2586,,                              0,                 -2304,,                              0,                     -1,,                 -2305,                -12028,                -83157,              2091599,              2008442,              2008442,                              0,,                              0,                              0,,,,,,,,,,,,,
2417,2014年度,,               -149855,               -149855,,,                 42868,                  6121,                    554,                     85,                -10716,                  1951,,,                  3849,                 -3119,,,,                -45985,                   -575,                102827,                  6132,                  7857,                  1478,                 71734,,                              0,                -34485,                -22093,                              0,                  2732,,                -53846,                 17888,                 50248,                -99607,                 -4053,               -103660,,,,                -11095,                    130,                  3284,                              0,                 10996,                 31526,,                    179,,                -19671,                -72354,                    -85,,                -91931,                  6921,               -157144,              1320257,              1163113,              1163113,                              0,,                              0,,,                              0,                 -9233,                              0,                 32360,                              0,                 20000,                              0,                  8211,                              0,,,
2417,2014年01月01日至2014年09月30日,,                -51932,                -51932,,,                 99272,                 11468,                   -363,                     59,                -11679,                      2,                  2617,                              0,                 10911,                 11088,                123375,,,               -120787,                    456,                -14516,                  4811,                  8745,                 -8124,               -129415,,                              0,                    431,                -12575,                  1572,                  1872,                    469,                 -8231,               -137646,                -14271,                -66203,                -20048,                -86251,,                 20000,                              0,                -18409,                    168,                  4165,                 -3191,                 12118,                 14851,,                              0,                     -6,                -19671,                -72354,                    -59,                  2465,                -89625,                 -1270,               -162295,              2135764,              1973469,              1973469,                              0,,,,,,,,,,,,,,,,
2417,2014年01月01日至2014年06月30日,,                -24258,                -24258,,,                 66622,                  7800,                    229,                     57,                 -7946,                     -2,                  1745,,                              0,                  3311,                 70814,,,                183187,                    755,                -26286,                 10291,                -14021,                -14622,                139304,,                   -213,                 36570,                -52524,                  1082,                    739,                    266,                -14080,                125224,                196038,                171780,                 -6717,                165063,,                 20000,                              0,                -11423,                     72,                  3617,,                  8072,                 20338,,                    808,                              0,,                -72354,                    -57,                              0,                -71603,                 -1682,                112116,              2135764,              2247880,              2247880,                              0,                              0,                 -1002,,,,,,,,,,,,,,
2417,2014年01月01日至2014年03月31日,,                -17403,                -17403,,,                 33865,                  4784,                    286,                     11,                 -3687,                     -2,                              0,                              0,                              0,                  1681,                 36838,,,                 42852,                  3089,                 35338,                   -127,                 26671,                   -847,                106976,,                    457,                -52590,                -72612,                     83,                 -1424,                    412,               -125674,                -18698,                 18140,                    737,                   -772,                    -35,,,                              0,                 -5010,                     72,                    712,                     -4,                  3498,                 19268,,                     16,                              0,,                -72354,                    -11,,                -72349,                  2373,                -50743,              2135764,              2085021,              2085021,                              0,,                   -100,                 20000,,,,,,,,,,,,,
2417,2013年度,,               -151088,               -151088,,,                 52796,                  6182,                   -121,                     27,                -13821,                  5511,,,                              0,                 -6608,,,,                  2728,                  1730,                 13731,                  3137,                 54605,                 -3072,                 72859,,                 -3674,                 -6467,                 78710,                              0,                 -1244,,                 67325,                140184,                174239,                 23151,                 -5150,                 18001,,,,                 -6060,                  3742,                 20623,                     -5,                 13868,               -102273,,                    426,,                -81798,                -27486,                    -27,,               -108885,                  7308,               -185849,              1506106,              1320257,              1320257,                              0,,                -11486,,,                              0,                 21657,                -20082,                 34055,                              0,                -20000,               -131385,                 16944,                              0,,,
2417,2013年01月01日至2013年12月31日,,               -151088,               -151088,,,                 52796,                  6182,                   -121,                     27,                -13821,                  5511,,,,                 -6608,,,,                  2728,                  1730,                 13731,                  3137,                 54605,                 -3072,                 72859,,                 -3674,                 -6467,                 78710,                              0,                 -1244,,                 67325,                140184,                174239,                 23151,                 -5150,                 18001,,,,                 -6060,                  3742,                 20623,                     -5,                 13868,               -102273,,                    426,,                -81798,                -27486,                    -27,,               -108885,                  7308,               -185849,              1506106,              1320257,              1320257,                              0,,                -11486,,,                              0,                 21657,                -20082,                 34055,                              0,                -20000,               -131385,                 16944,                              0,,,
2417,2013年01月01日至2013年09月30日,,                -82255,                -82255,,,                 40170,                  4707,                   -198,                     26,                -10621,                  2005,,,                  2437,                   -952,,,,                141028,                  1659,                -13526,                    536,                 23557,                  2375,                155629,,                 -3674,                -15767,                 40112,,                 -1242,,                 19429,                175058,                199144,                116889,                 -4049,                112840,,,,                 -5001,                    192,                 20581,                     -5,                 10882,               -107949,,                    448,,                -81798,                              0,                    -26,,                -81376,                  3309,                -73176,              1506106,              1432930,              1432930,                              0,,,,,,                  6646,                -20134,                 24086,,                -20000,               -131542,                 16944,,,,
