證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得避險之衍生金融資產,　　 處分避險之衍生金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他營業資產（增加）減少,　　　　　 應付票據增加（減少）,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 應付款項減少,　　 應付租賃款增加,　　 存出保證金減少,　　　　　 應付建造合約款（增加）減少,　　 處分子公司,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 處分以成本衡量之金融資產,　　 其他投資活動,　　 應付租賃款減少
3703,2015年01月01日至2015年09月30日,,                380726,                380726,,,                187824,                 13236,                 -6411,                              0,                159472,               -137212,                -88196,                 17193,                 -9372,                 -1943,              1065272,               -917495,                  6857,                289225,,,                -46131,                213395,               -725828,               -191678,             -2930871,               -483898,               -270606,             -4435617,,                189978,               -188467,               -157830,                 -9636,                671340,                 50340,                    221,                555946,             -3879671,             -3590446,             -3209720,                207632,               -281022,               -145569,             -3428679,,              3398645,               -295642,                108457,                              0,               -155251,                 16955,                105383,                -78530,               -229783,               -158477,                 88196,              2799953,,             18523038,            -17279649,              6020000,             -6050000,              6978666,             -7048167,                              0,                 -7280,                              0,                -52515,                              0,              1084093,                 19350,                474717,              1581758,              2056475,              2056475,                              0,,,,,,,,,,,,,,,,,
3703,2015年01月01日至2015年06月30日,,                510444,                510444,,,                128362,                  8825,,                              0,                106124,                -11348,                -88196,                -10829,                 -9374,                 -1943,,,                  4704,                126325,,,                -20287,                116848,               -256134,                 58881,                344409,               -224429,               -240346,               -221058,,,               -343654,               -280016,                 -4779,             -2515543,                 52700,                 -4417,             -3066062,             -3287120,             -3160795,             -2650351,                  9438,               -184263,               -110024,             -2935200,,                 14330,                -18292,                  7124,,               -130412,                 16086,,                -42824,               -145698,                -33379,                 88196,               -244869,,             15035410,            -12062897,              5050000,             -4550000,              6149412,             -6354917,                              0,                 -5052,,,                              0,              3261956,                -29436,                 52451,              1581758,              1634209,              1634209,,                              0,                 29647,,,,,,,,,,,,,,,
3703,2015年01月01日至2015年03月31日,,                528283,                528283,,,                 76237,                  4412,,                              0,                 49630,                 -5605,,                 -8352,                    -35,,,,                 -9838,                106449,,,                 21139,                -63328,               -317328,                 55575,                808721,               -128935,               -251234,                124610,,               -148502,                141010,               -224780,                 -2201,             -2792343,                 13836,                 -7416,             -3020396,             -2895786,             -2789337,             -2261054,                  5497,                -87811,                -97149,             -2440517,,,,                  7124,,               -115849,                    632,,                -21428,                -75255,                 -3259,,               -208035,,              7671212,             -5069400,              2750000,             -2050000,              2296750,             -3100792,                              0,                 -6215,,,                              0,              2491555,                -10276,               -167273,              1581758,              1414485,              1414485,,,,                              0,,,,,,,,,,,,,,
3703,2014年度,,               -825208,               -825208,,,                341519,                 14668,                142715,                     55,                227597,                -32883,                -88196,                202937,                -21714,                   -302,              2259009,                              0,                 12076,,,,                  9167,                577711,               -530124,                -81608,                885015,                 86377,                814751,              1762027,,                 29788,                141185,                 81114,                -13732,              1258970,                 13801,,              1513420,              3275447,              6332928,              5507720,                 36001,               -352698,               -120811,              5070212,,,,                 66920,                 -6298,               -498372,                 26001,,                -75751,               -174473,               -183487,                 88196,               -750131,,,             -3447656,                              0,             -1450000,                805291,,                              0,                 -5328,               -420579,,               -126966,             -4645238,                 15953,               -309204,              1444219,              1135015,              1135015,                              0,                    738,,,,              3057481,                  2294,                 -7367,                 14500,,,,,,,,,
3703,2014年01月01日至2014年09月30日,,              1280694,              1280694,,,                207591,                 11001,                              0,                     55,                177499,                -20078,                -88196,               -115717,                -15250,                    988,                              0,                              0,                  1385,                159278,,,                 90083,                558415,              1093713,                550790,             -1455395,                 53113,                 49708,                940427,,               -760463,                103249,               -166638,                 -4713,              1605120,                -50168,                 -1455,                724932,              1665359,              1824637,              3105331,                 18135,               -258347,               -204727,              2660392,,                              0,                              0,                 44965,                 -6298,               -302911,                153786,                              0,                -59231,               -122932,                -94807,                 88196,               -299232,,             15472738,            -17846800,              6750000,             -8200000,              5876000,             -4805834,                  4506,                              0,               -420579,                              0,               -126978,             -3296947,                 20463,               -915324,              2073438,              1158114,              1158114,                              0,,,,,,,,,,,,,,,,,
3703,2014年01月01日至2014年06月30日,,                952415,                952415,,,                143057,                  7334,,                     55,                134377,                -12737,                -88196,                -30414,                 -4713,                              0,,,                 -7185,                141578,,,                -86732,                865355,              1466760,                586937,                384512,                -77381,                 61946,              3120744,,,                113189,                -89373,                 -4015,               -551019,                 -1077,                 -4351,             -1124042,              1996702,              2138280,              3090695,                 14498,               -179623,               -183220,              2742350,,                              0,                              0,                 45405,,               -194934,                 45342,,                -37939,                              0,                -27898,                              0,               -170024,,             10573558,            -12501600,              4700000,             -6200000,              2963000,             -2399917,                  2821,                              0,,,               -126865,             -2989003,                 13456,               -403221,              2073438,              1670217,              1670217,,                -80653,               -587396,,,,,,,,,,,,,,,
3703,2014年01月01日至2014年03月31日,,                -88582,                -88582,,,                 88397,                  3667,,                    760,                 69369,                 -5714,,                 39351,                    -87,,,,                   -231,                195512,,,                 21660,                738301,              1587073,                534821,               -219019,                -62210,               -282049,              2318577,,               -885498,                295739,               -184445,                 -3247,                -95117,                 92615,                 -3039,               -782992,              1535585,              1731097,              1642515,                  5251,                -69369,                -17635,              1560762,,,,                 25904,,                -88964,                 20278,,                -21793,                              0,                -80733,,               -121619,,              6424471,             -7337900,              2300000,             -3150000,              1144000,               -614917,                  3717,                              0,,,               -140693,             -1371322,                 39463,                107284,              2073438,              2180722,              2180722,,,,                 23689,,,,,,,,,,,,,,
3703,2013年度,,              1124988,              1124988,,,                385756,                 25694,                              0,                  1637,                327494,                -38559,                              0,               -408578,                   -251,                              0,                              0,                -19523,               -648150,,,,                -33755,             -1857180,             -1061631,               -224193,             -1293403,                -17790,                 33025,             -4157965,,                762720,                480060,                 85491,                -20583,                439212,                 23010,,              1767067,             -2390898,             -2765378,             -1640390,                 38559,               -326554,                -95615,             -2024000,,,,                              0,                              0,               -178393,                 39770,,                -48115,               -207135,                -11589,                 88211,               -318888,,,               -306868,                 84000,                              0,              2448609,,                 10218,                              0,               -420579,,                -69577,              1745803,                -35036,               -632121,              2076340,              1444219,              1444219,                              0,                296962,,,,               -374480,                 -2843,                 -1637,                              0,,,,,,,,,
3703,2013年01月01日至2013年12月31日,,              1124988,              1124988,,,                385756,                 25694,,                  1637,                327494,                -38559,                 88211,               -408578,                   -251,,                              0,                -19523,               -648150,,,,                -33755,             -1857180,             -1061631,               -224193,             -1293403,                -17790,                 33025,             -4365100,,                762720,,                 85491,                -20583,                439212,                 23010,,              1767067,             -2598033,             -2884302,             -1759314,                 38559,               -326554,                -95615,             -2142924,,,                              0,,,               -178393,                 39770,,                -48115,,                -11589,,               -199964,,                              0,               -306868,                 84000,,              2448609,,                 10218,,               -420579,,                -69577,              1745803,                -35036,               -632121,              2076340,              1444219,              1444219,,                 89827,,,,               -286269,                 -2843,                 -1637,                              0,                              0,                              0,,                480060,                              0,                              0,,,
3703,2013年01月01日至2013年09月30日,,                347936,                347936,,,                262534,                 14712,,                  1693,                249624,                -27252,,               -261206,                   -168,,,,               -593229,,,,                 41407,               -750178,               -938867,                  4112,             -1535701,                -21053,                 41901,             -3079051,,                299344,                375940,                -49217,                 -8263,                762967,                 -5322,,              1384724,             -1694327,             -2047619,             -1699683,                 27252,               -249093,                -17228,             -1938752,,,,                 18609,,               -135976,                 24051,,                -35080,,                -90305,,               -220394,,             35239240,            -33868300,              9286000,             -9291000,              4599000,             -4248410,                  6968,,               -420579,,                -69579,              1233340,                 45396,               -880410,              2076340,              1195930,              1195930,                              0,                 79328,,,,               -353292,                  9275,                 -1693,,                              0,                              0,,,,,,,
3703,2013年01月01日至2013年06月30日,,                 19038,                 19038,,,                180659,                  9944,,                  1693,                163669,                -19491,                -88211,               -135994,                   -174,,,,               -384220,,,,                 -7297,               -352671,               -671660,                 42081,             -1058591,                 81900,                -62023,             -2039180,,                 71176,                500533,                335343,                 -6214,                294432,                 20358,,              1221791,               -817389,             -1089514,             -1070476,                 19469,               -163228,                -80874,             -1295109,,,,                 12095,,                -85381,                  7944,,                -20145,,                -30344,,               -115831,,              8975500,             -8338210,              6496000,             -6151000,                469000,               -314000,                  2512,,               -420579,,                  5726,                724949,                 12928,               -673063,              2076340,              1403277,              1403277,,                -10919,,,,               -272125,                  6163,,,,,                              0,,,,,,
3703,2013年01月01日至2013年03月31日,,                 -2759,                 -2759,,,                 83333,                  3212,,                  1693,                 78471,                -10217,,                -14079,                              0,,,,                -68395,,,,                -31194,               -143446,               -361205,                 70322,               -586403,                243632,               -156821,               -943780,,               -233084,                 65598,               -171354,                              0,                 22341,                 36685,,               -276736,             -1220516,             -1146498,             -1149257,                 10217,                -78402,                 49578,             -1167864,,,                 -7677,                              0,,                -54652,                    142,,                -10104,,                -22336,,                -94627,,              4030533,             -3303013,                250000,               -280000,                244000,               -303444,                  2344,,,,                  5726,                646146,                 43563,               -572782,              2076340,              1503558,              1503558,,                 21335,,,,                 74018,                  3078,,,,,                              0,,,,,,
3703,2012年01月01日至2012年12月31日,,              2497559,              2497559,,,                418366,              1136612,,                  7246,                273720,                -73419,                 88584,               -659594,                 10293,,                  1290,                              0,                129951,,,,                197826,                713831,               -838253,                -16999,             -9242499,                -30643,               -704368,             -9167636,,                353509,,                184394,                -19025,                628104,                -11699,,                205225,             -8962411,             -7629362,             -5131803,                 73419,               -261322,               -345081,             -5664787,,,                -45976,,,               -226698,                              0,,               -116208,,                              0,,             -2667736,,              5441326,                              0,                916000,,               -194841,,                  3528,,               -420579,,                              0,              5720173,               -153767,             -2766117,              4842457,              2076340,              2076340,,                753469,,,,              1333049,                 40100,                 -7246,                205200,                -26808,                    890,,               -970158,             -2476808,                    657,,,
3703,2012年01月01日至2012年09月30日,,              2114625,              2114625,,,                395740,                971977,,                              0,                190877,                -53908,,               -394279,                 10671,                   -276,,,                 13035,,,,                291211,               -279232,             -1149292,                254064,             -6096084,                 83838,               -399717,             -7252111,,               -406465,,                -98043,                -16377,             -1459853,                358936,,             -1649225,             -8901336,             -7767499,             -5652874,                 53908,               -278600,               -181751,             -6059317,,,                -40817,                              0,,               -375600,                114204,,                -85071,,                 -7316,,               -624788,,              4685085,,                100000,                              0,                 98526,,                  1017,,               -420579,,                              0,              4441686,               -127089,             -2369508,              4842457,              2472949,              2472949,,                 43101,,,,              1133837,                  8863,                              0,,                -22636,                    273,,                -36286,,,                205200,               -435388,
3703,2012年01月01日至2012年06月30日,,              2060222,              2060222,,,                254849,                913227,,                              0,                116046,                -34848,                -51439,               -301904,                  6939,                   -276,,,                 12223,,,,                159883,                 50958,             -2169654,                260482,             -2276724,                 -7411,               -339793,             -4216580,,                263739,,                -31593,                -12103,             -2183368,                 -8248,,             -1289774,             -5506354,             -4591537,             -2531315,                 34848,               -101110,               -190506,             -2788083,,,                 -4426,                              0,,               -230119,                 19586,,                -84856,,                -11487,,               -486508,,              1249601,,               -100000,,                545479,,                  2470,,                              0,,                              0,              1691251,                -91645,             -1674985,              4842457,              3167472,              3167472,,                105679,,,,                914817,                  5858,                              0,,                 -6495,                    196,,                675941,,,                205200,               -380406,
3703,2012年01月01日至2012年03月31日,,              1029815,              1029815,,,                173712,                511299,,                              0,                 58097,                -14196,,               -142107,                 -2062,,,,                 -7659,,,,                 33522,                 17596,               -312199,                302459,                933422,                 11273,               -210362,                563706,,                190715,,                190033,                  8650,             -1346635,                  5695,,             -1366860,               -803154,               -226070,                803745,                 14196,                -60201,                -27054,                730686,,,                 -4778,,,               -528372,                164532,,                -46739,,                 -9131,,               -424488,,               -499218,,,               -100000,                519017,                              0,                  5069,,,,                              0,                -90984,                -95925,                119289,              4842457,              4961746,              4961746,,               -212005,,,,                577084,                  3426,                              0,,                 -8242,,,               -418744,,,,,                 -7610
