證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　　　 其他項目,　　　　　 持有供交易之金融負債增加（減少）,　　 其他預付款項增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 存出保證金減少,　　　　 股份基礎給付酬勞成本,　　 處分無形資產,　　 現金增資,　　 其他金融資產減少
2362,2015年01月01日至2015年09月30日,,              1439234,              1439234,,,                 86923,                 12294,                 38628,                205484,                750283,                -57712,                -59702,               -201543,                    539,                              0,               -132750,               -222582,                419862,,,               -349450,                  7620,               -369224,               -678297,                -19109,                201710,                 72770,             -1133980,,                -12419,                 81760,                 47231,                129403,                  8854,                110396,               -134120,                231105,               -902875,               -483013,                956221,                 54855,                 59702,               -756234,               -399695,                -85151,,                -94444,                178397,               -468527,                  4466,                -66088,                 -6013,             -2453379,                223229,               -371960,                 -5993,              1607677,                168629,             -1284006,,             41942335,            -38638402,              5000000,             21739594,            -19986283,                 28624,                415724,             -1707907,               -102300,                   -453,              8690932,                442594,              7764369,              2660118,             10424487,             10424487,,,,,,,,,,,
2362,2015年01月01日至2015年06月30日,,              1232127,              1232127,,,                 56237,                  8151,                 19163,                -31201,                499616,                -38005,                -56242,               -189039,                     43,                              0,               -115541,                 74190,                227372,,,               -189873,                  6064,                505209,                131228,                 82322,                 57176,                              0,                592126,,                -10493,               -483360,                -54403,               -634584,                  2851,                529927,               -136477,               -786539,               -194413,                 32959,              1265086,                 36640,                              0,               -504614,               -593616,                203496,,                -13153,                 40339,               -334126,                  2703,                -58677,                 -6013,             -1366578,                 38953,                              0,                -50974,                168903,,             -1578623,,             23575511,            -24190837,,             13772743,            -12030101,,                389655,,,                   -279,              1517122,                141523,                283518,              2660118,              2943636,              2943636,                    430,,,,,,,,,,
2362,2015年01月01日至2015年03月31日,,                743243,                743243,,,                 26119,                  3939,                    251,                -27116,                264155,                -17789,,               -102551,                     -9,                              0,                -58370,                -47231,                 41398,,,                119273,                  4982,                150048,               -222015,               -126520,               -277755,,               -351987,,                 -6423,               -158693,                 22553,                 29393,                  2846,                416743,               -130864,                170368,               -181619,               -140221,                603022,                 16271,,               -274471,               -281033,                 63789,,,                  4375,                -55102,                  4031,                     38,                 -2250,               -450423,                 28718,                              0,               -127061,,,               -428244,,             10841486,             -8555376,,              4460778,             -5850036,,,,,                   -102,                837964,                198307,                671816,              2660118,              3331934,              3331934,                -58786,                              0,                 -5187,                169430,,,,,,,
2362,2014年度,,              3386143,              3386143,,,                130068,                 15503,                    312,                -94961,                840666,                -71787,                -74626,               -292187,                  5500,,               -419017,               -540319,,,,                 -4568,                 41667,               -457756,                104401,               -251722,               -279591,                117381,               -730188,,                 -1090,                -36258,                -40009,                233679,                  7574,                310350,                -84027,                395406,               -334782,               -835630,              2550513,                 70859,                 74626,               -861903,               -538211,              1295884,,               -954813,              1700966,                -69986,                  6505,,                -36334,             -6893644,                219829,             -1872154,             -3784840,,,            -11571690,,             50759502,            -48221793,,             24554815,            -15377083,                137977,,             -2151963,,                 12976,              9714431,               -433994,               -995369,              3655487,              2660118,              2660118,,,                  5187,,,               -500848,                112781,,,,
2362,2014年01月01日至2014年09月30日,,              2310468,              2310468,,,                101143,                  5123,                     20,                  8069,                563955,                -44469,                -74006,               -204483,                    991,                              0,               -304028,               -137962,                -85647,,,               -107484,                 40739,                 56377,                   -526,                -40176,               -293745,                              0,               -344815,,                 -3809,                 46314,                -81250,               -172922,                  8028,               -110775,                  8111,               -306303,               -651118,               -736765,              1573703,                 39416,                 74006,               -592577,               -284669,                809879,,               -850340,              1487517,                -57397,                  3191,                 22166,                 -6835,             -2734771,                              0,             -1906213,               -622861,                              0,                              0,             -4665543,,             34761313,            -30524739,                              0,             13668262,            -11240561,                124399,                              0,             -2151963,                              0,                              0,              4636711,               -369718,                411329,              3655487,              4066816,              4066816,,,,,,,,,,,
2362,2014年01月01日至2014年06月30日,,              1552324,              1552324,,,                 73131,                  3229,                    -10,                 44348,                361831,                -27386,                -73076,               -126107,                     63,                              0,               -164221,                              0,                 91802,,,                130327,                 43432,               -225671,                258029,                -96623,               -215076,                              0,               -105582,,                -12443,                318290,                -28827,               -405531,                  7486,               -174869,                 19081,               -276813,               -382395,               -290593,              1261731,                 21220,                 26393,               -389914,               -459898,                459532,,                              0,                187778,                -44182,                  3697,                 22131,                 -6616,             -1748998,                              0,                              0,             -2477220,                              0,,             -4063410,,             24138559,            -21635679,,             10172353,             -8172426,,                              0,,,                              0,              4607297,               -248987,                754432,              3655487,              4409919,              4409919,                104490,,,,,,,,,,
2362,2014年01月01日至2014年03月31日,,                529484,                529484,,,                 38504,                  1390,                  1077,                 44313,                189253,                -17097,,                -59231,                   -167,                              0,                   -863,                              0,                192220,,,               -111005,                 28100,               -583552,                -42039,               -110181,                220878,,               -597799,,                 -8428,                762418,                    849,               -309260,                  4006,               -142751,                -84232,                229110,               -368689,               -176469,                353015,                 10931,,               -171694,               -222340,                -30088,,,                              0,                -24262,                  2486,                -91537,                 -1751,               -810167,                              0,                              0,               -871271,,,             -1796502,,              8623158,             -6074048,,              2081284,             -3361611,,,,,                              0,              1276023,                 29049,               -521518,              3655487,              3133969,              3133969,                  7240,                 -4959,                  6508,                              0,,,,,,,
2362,2013年度,,              4944705,              4944705,,,                160299,                  6431,                 -2122,                 -4703,                724707,                -41238,                -95983,               -252997,                 18497,,               -152866,             -1779660,,,,               -451661,                -23796,               -156780,               -531031,                 82383,                 92700,                -43318,             -1031503,,                 -1351,                612637,                 82474,                349202,                    589,                 81272,               -218300,                907004,               -124499,             -1544134,              3400571,                 40350,                 95983,               -712562,               -670687,              2153655,,                -25713,                280030,               -101101,                  1542,,                 -5803,             -1273924,              2639990,                 27328,             -2985173,,,             -1292395,,             17821433,            -17576987,,             10772665,             -9653920,                -31047,,             -1366326,,                              0,                -34182,               -227238,                599840,              3055647,              3655487,              3655487,,,                    481,,,             -1419635,                150429,,,,
2362,2013年01月01日至2013年12月31日,,              3811683,              3811683,,,                869781,                218290,                 -2122,                 -4703,                724707,                -41238,                -95983,               -252997,                 18497,             -1567258,               -152866,,,,,               -451661,                -23796,               -156780,               -540037,                 82383,                 92700,                -43318,             -1040509,,                 -1351,                612637,                 82474,                349202,                    589,                 81272,               -218300,                907004,               -133505,               -408391,              3403292,                 40350,                 95983,               -712562,               -670687,              2156376,,                -25713,                280030,               -102739,                  1542,,                 -5803,             -2462873,              2649428,                 27328,             -2005874,                209751,,             -1284494,,             17821433,            -17576987,,             10772665,             -9653920,,,             -1366326,,,                -34182,               -237860,                599840,              3055647,              3655487,              3655487,                -31047,                 11006,                    481,,,               -274886,                150429,                              0,                              0,                              0,
2362,2013年01月01日至2013年09月30日,,              2283850,              2283850,,,                125970,                  4937,                  5041,                 -2510,                556190,                -24819,                -95879,               -172269,                  1157,                              0,               -121495,                              0,,,,               -263245,                -25156,               -187995,               -157513,                 31584,                153741,                              0,               -448584,,                -14607,                476957,                 16863,                -61906,                    620,                -17776,               -177584,                224602,               -223982,                 52341,              2336191,                 21867,                 95879,               -498448,               -471230,              1484259,,                -25713,                267651,                -27172,                  1719,                 55289,                 -5701,               -897152,              2639990,             -1498603,               -653556,,,               -143248,,             38854296,            -37664001,,             15529769,            -16150160,,,             -1366326,,,               -753592,               -256124,                331295,              3055647,              3386942,              3386942,                 42830,,                  2035,,,                276323,,,,,
