證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融資產（增加）減少,　　 其他非流動資產增加,　　 其他借款增加,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分投資性不動產
1446,2015年01月01日至2015年09月30日,,                  4658,                  4658,,,                 12554,                  1044,                  1661,                   -327,                   -901,                 -9980,                   -475,                              0,                  3576,,,                  1860,                -35383,                  1774,                -37716,                 29910,                  1370,                              0,                -38185,,                 -3297,                 13870,                 -1725,                  3250,                 -1250,                              0,                 10848,                -27337,                -23761,                -19103,                    327,                  2551,                 -5500,                -21725,,                   -669,                    500,                    562,                    393,,                 65064,                              0,                 19985,                              0,                 20000,                              0,                -41586,                -13821,                 -1693,                 47949,                  7199,                 33816,                169386,                203202,                203202,,,,,,,,,
1446,2015年01月01日至2015年06月30日,,                  3972,                  3972,,,                  8185,                    674,                    902,                   -226,,                 -5982,                   -475,,                  3078,,,                  3056,                -10259,                   -354,                -58521,                 -3484,,                              0,                -68867,,                  1565,                 -5910,                 -2668,                  1695,                   -557,                              0,                 -5875,                -74742,                -71664,                -67692,                    226,,                 -2822,                -70288,,                   -585,                    500,                    512,                    427,,                 71962,                              0,                      5,                              0,                 20000,                              0,,,                   -961,                 91006,                 -5565,                 15580,                169386,                184966,                184966,                    695,                              0,                              0,,,,,,
1446,2015年01月01日至2015年03月31日,,                  6940,                  6940,,,                  4113,                    339,                    420,                    -98,,                 -3054,,,                  1038,,,                    -94,                -26366,                   -178,                -53606,                  9815,,,                -70429,,                 -1739,                 12952,                 -1553,                  1301,                 -1044,                              0,                  9917,                -60512,                -59474,                -52534,                     98,,                   -369,                -53197,,                   -391,                      3,                    483,                     95,,                 59444,                -20000,                  9990,                 -9992,                 20000,,,,                   -392,                 59442,                 -1322,                  5018,                169386,                174404,                174404,,                              0,,                   -682,,,,,
1446,2014年度,,                 21607,                 21607,,,                 16205,                  1325,                  1461,                 -2139,                 -1395,                 -2550,                              0,                              0,,,,                 -2584,                -12225,                  1542,               -401771,                -36280,,                   -947,               -450610,,                -48053,                 22765,                 -4224,                   -730,,,                -28723,               -479333,               -466426,               -444819,                  2256,                  3045,                 -4904,               -445970,,                 -1929,                              0,,                 -1929,,                              0,               -132571,                              0,                -29967,                              0,                   -402,                -41586,,                 -1548,               -204526,                 10969,               -641456,                810842,                169386,                169386,                  1655,,,,,                 12907,                  1519,                              0,                              0
1446,2014年01月01日至2014年09月30日,,                 24142,                 24142,,,                 11995,                    974,                  1080,                 -2008,                 -1395,                 -2200,                              0,                              0,                  8446,,,                 -1884,                -51881,                    645,               -422083,                -14482,                    916,                              0,               -488769,,                 -3275,                 61320,                  6271,                  4189,                    254,                              0,                 68759,               -420010,               -411564,               -387422,                  2125,                  3045,                 -4608,               -386860,,                   -748,                              0,                              0,                   -748,,                              0,               -152185,                              0,                -39959,                              0,                   -402,                -41586,                              0,                 -1250,               -235382,                  3072,               -619918,                810842,                190924,                190924,,,,,,,,,
1446,2014年01月01日至2014年06月30日,,                 25429,                 25429,,,                  7962,                    643,                    692,                 -1753,,                 -3041,                              0,,                  4503,,,                    112,                -22309,                    777,               -321126,                -10657,,                              0,               -353431,,                 11926,                 29303,                 -3024,                  4619,                    687,                              0,                 43511,               -309920,               -305417,               -279988,                  1808,,                 -2937,               -281117,,                   -416,                              0,                              0,                   -421,,                              0,                -62028,                              0,                -39959,                              0,                   -372,,,                   -861,               -103220,                    343,               -384415,                810842,                426427,                426427,                   -228,                     -5,                              0,,,,,,
1446,2014年01月01日至2014年03月31日,,                 19276,                 19276,,,                  4010,                    325,                    331,                 -1057,,                 -1507,,,                  2149,,,                 -1231,                  4344,                    368,               -122168,                 -4508,,,               -123195,,                  1115,                 -1860,                 -2414,                  1664,                   -463,                              0,                 -1958,               -125153,               -123004,               -103728,                  1103,,                   -384,               -103432,,                   -308,                              0,                              0,                   -325,,                 27999,               -178109,                              0,                -39959,                              0,,,,                   -423,               -190069,                  3699,               -290127,                810842,                520715,                520715,,                    -17,,                     47,,,,,
1446,2013年度,,                 -6720,                 -6720,,,                 14870,                  1269,                    261,                 -1030,                    -43,                 -2879,                              0,                              0,,,,                    289,                 -8022,                 -4113,               -643280,                -29958,,                   -401,               -686759,,                -32036,                 65830,                  1478,                  1073,,,                 37579,               -649180,               -636732,               -643452,                    914,                  1693,                -23409,               -664515,,                 -7482,                              0,,               -104246,,                139110,                              0,                 39959,                              0,              1080000,                    -47,                -41586,,                   -261,              1217436,                  4109,                452784,                358058,                810842,                810842,                 -1274,,,,,                 12448,                  1234,                -96764,                              0
1446,2013年01月01日至2013年12月31日,,                 -6720,                 -6720,,,                 14870,                  1269,                    261,                 -1030,                    -43,                 -2879,                              0,                              0,,,,                    289,                 -8022,                 -4113,               -643280,                -29958,,                   -401,               -686759,,                -32036,                 65830,                  1478,                  1073,,                    -47,                 37532,               -649227,               -636779,               -643499,                    914,                  1693,                -23409,               -664562,,                 -7482,                              0,,               -104246,,                139110,                              0,                 39959,,              1080000,,                -41586,,                   -261,              1217483,                  4109,                452784,                358058,                810842,                810842,                 -1274,,,,,                 12448,                  1234,                -96764,                              0
1446,2013年01月01日至2013年09月30日,,                  6343,                  6343,,,                 11022,                    948,                              0,                   -668,                    -43,                 -2343,                     -5,                              0,,,,                    303,                  7678,                 -2876,               -488547,                -15801,                   -163,                   -635,               -500041,,                -34858,                 60040,                   -236,                  5727,,                    -48,                 32059,               -467982,               -459071,               -452728,                    669,                  1693,                -23683,               -474049,,                 -3033,                      5,,                 -3028,,                109308,                              0,                 19975,                              0,                270000,,                -41586,,                 -9793,                347904,                  3010,               -126163,                358058,                231895,                231895,,,,,,                  8911,                  1434,,                              0
