證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 金融資產重分類淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 預付設備款減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 現金增資,　　　　　 其他金融負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 發放現金股利,　　 處分不動產、廠房及設備,　　 發行公司債,　　 其他應付款－關係人減少,　　 預付投資款增加,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 附買回票券及債券負債增加,　　 附買回票券及債券負債減少
2505,2015年01月01日至2015年09月30日,,                278551,                              0,                278551,,,                  2632,                  7784,                              0,                              0,                 22919,                              0,                              0,                 -2090,                 -7132,                              0,                              0,                  4268,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 28381,,,                 10495,                              0,                  9818,                              0,                    237,                              0,                              0,                -58922,                -18786,               -989444,                              0,                              0,                 76421,                264496,                              0,                              0,                -20137,               -725822,,                              0,                              0,                 35613,                              0,               -650919,                 -5000,                  7227,               -114314,                -59150,                              0,                -19562,               -806105,             -1531927,             -1503546,             -1224995,                  2090,                  7132,                -19318,                -57658,                -14355,             -1307104,,                              0,                              0,                              0,                   -470,               -357164,                              0,                 -1883,                              0,               -132177,                              0,                              0,                              0,                              0,                              0,                              0,               -491694,,                936825,                              0,                659000,                              0,                    950,                              0,              1596775,                    518,               -201505,              1172159,                970654,                970654,,,,,,,,,,,,,,,,
2505,2015年01月01日至2015年06月30日,,                283979,                              0,                283979,,,                  1834,                  7227,,                              0,                 20607,,,                 -2807,,,,                  2333,,,,,,,,,,,                              0,,,,,,,,,                 29194,,,                 15006,,               -112914,,                -22907,,,                -10760,,               -912615,,,                 95376,                172488,,,                -11711,               -788037,,,,                  1697,,               -508461,                 -5000,                  6747,                 28179,                -77291,                              0,                 -8575,               -562704,             -1350741,             -1321547,             -1037568,                  2807,,                -15491,,                -14294,             -1064546,,                              0,                              0,                              0,                              0,,               -325768,                   -615,,,                 15123,                              0,,,,                              0,               -311260,,                850390,                              0,,                686601,                  1000,,              1537991,                   -308,                161877,              1172159,              1334036,              1334036,                              0,,,,,,,,,,,,,,,
2505,2015年01月01日至2015年03月31日,,               -102994,,               -102994,,,                    931,                  3548,,                              0,                 11174,,,                   -204,,,,                     14,,,,,,,,,,,,,,,,,,,,                 15463,,,                 14804,,                 -3554,,                   -203,,,                -39697,,               -780425,,,                 44304,                -20172,,,                -19530,               -804473,,,,                 20129,,                -60270,                 -5000,                100498,                207511,               -111422,                              0,                 -4288,                147158,               -657315,               -641852,               -744846,                    204,,                 -5680,,                    -14,               -750336,,,,                              0,,                              0,               -328404,                   -345,,               -385676,,,,,,                              0,               -714425,,                535358,                              0,                372200,                              0,                    100,,                907658,                   -125,               -557228,              1172159,                614931,                614931,,                              0,,,,,,,,,,,,,,
2505,2014年度,,                 40165,,                 40165,,,                  3843,                 10766,                              0,                     72,                 26852,,,                -21852,                 -5876,,,                 18775,,,,,,,                  1040,,                  4379,,                 11500,,,,,,,,,,,,                 24437,,                 43335,,                197483,,,                -13893,,             -1039981,,,                -67967,                -82432,,,                 -7436,               -946454,,,,                106260,                    630,               -797746,                  5000,               -307671,                -83763,                -46062,,               -122033,             -1245385,             -2191839,             -2142340,             -2102175,                 21588,                  5876,                 -6097,,                -61202,             -2142010,,,               -138667,                -46697,               -166969,              1643218,,                 -1009,                   -171,              1160694,,               -878000,,,,                -66332,              1507338,,                933474,                              0,                322000,                              0,,                   -427,              1255047,                    793,                621168,                550991,              1172159,              1172159,,,,                 49499,                              0,                  1271,                              0,,,,,,,,,
2505,2014年01月01日至2014年09月30日,,                109111,                              0,                109111,,,                  2167,                  7269,                              0,                     72,                 22862,                              0,                              0,                -20597,                 -5976,                              0,                              0,                 16944,                              0,                              0,                              0,                              0,                              0,                              0,                  1020,                              0,                  4295,                              0,                 11277,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 39333,,,                 14900,                              0,                 21126,                              0,                197398,                              0,                              0,                  8592,                              0,               -620464,                              0,                              0,                -12666,                -43836,                              0,                              0,                 16575,               -418375,,                              0,                              0,                130281,                    630,               -914188,                              0,                -94189,               -133759,                -87910,                              0,               -113409,             -1212544,             -1630919,             -1591586,             -1482475,                 20597,                  5976,                 -8026,                              0,                -62020,             -1525948,,                              0,                              0,                -46697,               -132468,                              0,                273757,                    -96,                   -171,                              0,                964167,               -878000,                              0,                              0,                              0,                -53166,                127326,,              1657068,                              0,                              0,                              0,                              0,                    -27,              1657041,                    284,                258703,                550991,                809694,                809694,,,,,,,,,,,,,,,,
2505,2014年01月01日至2014年06月30日,,                 76007,                              0,                 76007,,,                  1407,                  3798,,                              0,                 14471,,,                -20421,,,,                  7832,,,,,,,,,,,                 11174,,,,,,,,,                 18261,,,                 15512,,               -217481,,                184182,,,                 -3501,,               -126719,,,                154964,                -30025,,,                 18721,                 -4347,,,,                 -8226,,               -734747,                              0,               -110641,               -255812,               -159638,                              0,                -80586,             -1349650,             -1353997,             -1335736,             -1259729,                 20421,,                 -5065,,                -59122,             -1303495,,                              0,                              0,                -46697,               -132075,,                273877,                    -96,,,              1163230,               -878000,,,,                -53166,                327073,,                875642,                              0,,                              0,                    196,,                875838,                     37,               -100547,                550991,                450444,                450444,                              0,,,,,,,,,,,,,,,
2505,2014年01月01日至2014年03月31日,,                 99808,,                 99808,,,                    729,                    328,,                              0,                  6193,,,                 -1275,,,,                 -1434,,,,,,,,,,,,,,,,,,,,                  4541,,,                -67837,,                  4993,,                127705,,,               -103546,,                153246,,,                -28199,                 -2944,,,                 19947,                103365,,,,                -11045,,               -507536,                              0,               -113994,               -402501,                 39985,                              0,                -64264,             -1263843,             -1160478,             -1155937,             -1056129,                  1275,,                 -1795,,                    -88,             -1056737,,,,                -30139,,                              0,                 -1193,                              0,,              1370221,,,,,,                -33166,              1305723,,                  7171,                              0,                              0,                              0,                              0,,                  7171,                     44,                256201,                550991,                807192,                807192,,               -204488,,,,,,,,,,,,,,
2505,2013年度,,              1751731,,              1751731,,,                  3824,                    264,                 10000,                   -818,                 25974,,,                 -6454,                 -7356,,,                 16392,,,,,,,                    385,,                              0,,                              0,,,,,,,,,,,,                -32992,,                  5789,,               -143696,,,                -96808,,              2866858,,,                -77823,                -31302,,,                205859,              2695885,,,,                -37162,                              0,                709118,                              0,                 48436,             -1495939,                  1674,,               -508350,             -1283795,              1412090,              1454301,              3206032,                  6454,                  7356,                -12384,,               -117659,              3089799,,,                -18000,                -65276,                 -1086,               -978017,,                 -3938,                              0,               -569851,,                              0,,,,                              0,             -1629634,,                              0,             -1071498,                              0,                 -4000,,                 -1584,             -1212076,                    339,                248428,                302563,                550991,                550991,,,,                 42211,                 -1572,                  6534,               -134994,,,,,,,,,
2505,2013年01月01日至2013年12月31日,,              1751731,,              1751731,,,                  3824,                    264,                 10000,                   -818,                 25974,,,                 -6454,                 -7356,,,                 16392,                              0,,,,,,                    385,,,,,,,,,,,,,,,,                -32992,,                  5789,                              0,               -143696,,,                -96808,                              0,              2866858,,,                -77823,                -31302,,,                205859,              2695885,,,,                -37162,,                709118,,                 48436,             -1495939,                  1674,,               -508350,             -1283795,              1412090,              1454301,              3206032,                  6454,                  7356,                -12384,,               -117659,              3089799,,                  6534,                -18000,                -65276,                 -1086,               -978017,,                 -3938,,               -569851,,,,,,,             -1629634,,             -1071498,                              0,                 -4000,                              0,                              0,                 -1584,             -1212076,                    339,                248428,                302563,                550991,                550991,,,,                 42211,                 -1572,                              0,               -134994,                              0,                              0,                              0,,,,,,
2505,2013年01月01日至2013年09月30日,,                496869,                              0,                496869,,,                  2303,                     77,                 10000,                 -2412,                 17973,                              0,                              0,                 -4594,                 -7356,                              0,                              0,                  1634,                              0,                              0,                              0,                              0,                              0,                              0,                    388,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,                -50000,                              0,                -55790,                              0,                 53939,                              0,                              0,                -95865,                              0,              1089907,                              0,                              0,                 37103,                 29780,                              0,                              0,                 28764,              1037838,,                              0,                              0,                  6099,                              0,                -65656,                              0,                 92432,                209488,                101208,,                              0,                342998,              1380836,              1398849,              1895718,                  4594,                  7356,                 -6786,,               -117458,              1783424,,                  6531,                -18000,                -65276,                   -592,                              0,                171636,                 -1387,                              0,               -429942,                              0,                              0,                              0,                   -510,                              0,                              0,               -337540,,                              0,               -846378,                              0,                -86800,                              0,                 -1064,               -934242,                    399,                512041,                302563,                814604,                814604,,,,                 18013,                   -573,,,,,,,,,,,
