證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 預付設備款增加,　　 其他投資活動,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 停業單位稅前淨利（淨損）,　　 短期借款增加,　　　　　 遞延貸項增加（減少）,　　 存入保證金增加
8443,2015年01月01日至2015年09月30日,,                 62556,                 62556,,,                 27497,                  3383,                              0,                  1585,                    224,                 -3943,                              0,                              0,                              0,                              0,                              0,                 28746,,,               -207062,                    290,                -20260,                              0,                    -81,                              0,                 31673,                 -7484,               -202924,,                    804,                125819,                              0,                  9938,                 25152,                  4287,                    -65,                165935,                -36989,                 -8243,                 54313,                  4809,                   -224,                -22511,                 36387,,                              0,                              0,                              0,                -50955,                              0,                     -4,                   -120,                              0,                134646,                 -1150,                 82417,,                              0,                    -19,                    533,                   -205,               -115564,                              0,                              0,                              0,               -115255,                  1732,                  5281,                640177,                645458,                645458,,,,,,,,,,,,,
8443,2015年01月01日至2015年06月30日,,                 44953,                 44953,,,                 18051,                  2291,                              0,                 -2213,                    155,                 -2331,,                              0,,                              0,                   -700,                 15253,,,               -370596,                    290,                    238,                              0,                    -41,                              0,                 80532,                 -3874,               -293451,,                   -107,                 45040,,                 -1173,                 32803,,                    -50,                 76513,               -216938,               -201685,               -156732,                  3551,                   -155,                -11054,               -164390,,,,                              0,                -28583,                              0,                    201,                              0,,                105078,,                 74346,,                              0,                    -10,                    175,,,,,                              0,                    165,                 -2995,                -92874,                640177,                547303,                547303,                 -2350,,,,,,,,,,,,
8443,2015年01月01日至2015年03月31日,,                 22861,                 22861,,,                  9133,                  1149,                              0,                 -1386,                     75,                   -465,,                              0,,                              0,                   -451,                  8055,,,               -181250,                    290,                 -1552,,                    -39,                              0,                 65487,                 -3425,               -120489,,                    -26,                 79013,,                -31934,                 18316,,                    -21,                 65348,                -55141,                -47086,                -24225,                  1603,                    -75,                   -156,                -22853,,,,                              0,                 -5615,                              0,                   -308,                              0,,                 56509,                 -2350,                 48236,,                              0,                    -34,,                   -221,,,,,                   -255,                 -1279,                 23849,                640177,                664026,                664026,,,,,,,,,,,,,
8443,2014年度,,                161353,                161353,,,                 52484,                  6575,                   -802,                 -4692,                    487,                 -7266,                  4903,                  5679,                              0,                 -2946,                   -942,,,,               -103352,                    397,                 21531,                   -314,                   -200,                 11006,                -93661,                 15310,               -149283,,                   -445,                -27235,                              0,                -17748,                119822,,,                 74243,                -75040,                -21560,                139793,                  5981,                   -487,                -18402,                126885,,,,                105413,                -31545,                    423,,                 -6088,                              0,,,                 33687,,                -22000,                 -8111,,                 -1865,                -90787,                246258,,,                123495,                  5547,                289614,                350563,                640177,                640177,,,                 53480,                   -151,                  3145,                              0,                -37661,                              0,                              0,,,,
8443,2014年01月01日至2014年09月30日,,                113590,                113590,,,                 42018,                  5302,                   -153,                 -3220,                    411,                 -4184,                  4903,                  5668,                              0,                 -2946,                   -914,                 46885,,,                -53494,                    253,                   -924,                   -314,                 -1840,                 11006,                -76991,                 -7145,               -129449,,                  1978,                133346,                              0,                  8386,                115267,                              0,                   -151,                258826,                129377,                176262,                289852,                  4287,                   -411,                -18235,                275493,,                              0,                              0,                105413,                -20743,                    423,                 -1429,                 -5446,                              0,                -80925,                              0,                 -2707,,                -22000,                 -2330,                   -533,                   -766,                -90787,                246258,                              0,                              0,                129842,                  1723,                404351,                350563,                754914,                754914,,,,,,,,,,,,,
8443,2014年01月01日至2014年06月30日,,                 82264,                 82264,,,                 30578,                  3610,                   -153,                 -1485,                    321,                 -2638,,                  4584,,                 -2946,                   -574,                 31297,,,                -53495,                   -215,                  2942,                   -314,                   -789,                 11006,                -63934,                  8510,                -96289,,                  8270,                 57533,,                -17262,                 86711,,                   -130,                135122,                 38833,                 70130,                152394,                  2741,                   -321,                 -6706,                148108,,,,                105413,                -13130,                    423,                 -7508,                 -4376,,               -138294,,                -57472,,                -22000,                 -1711,                   -922,,,,,                              0,                -24633,                 -1335,                 64668,                350563,                415231,                415231,                              0,,,,,,,,,,,,
8443,2014年01月01日至2014年03月31日,,                 41765,                 41765,,,                 17883,                  1791,                   -153,                   -878,                    215,                   -792,,                  2590,,                 -2946,                   -410,                 17300,,,                    600,                     -8,                  7015,,                   -286,                 11006,                100956,                  6952,                126235,,                    196,                 58052,,                -40468,                 36843,,                   -113,                 54510,                180745,                198045,                239810,                    689,                   -215,                    -58,                240226,,,,                105413,                 -2998,                    106,                    -43,                 -4376,,                -84929,                              0,                 13173,,                -22000,                   -789,,                   -349,,,,,                -23138,                    410,                230671,                350563,                581234,                581234,,,,,,,,,,,,,
8443,2013年度,,                103157,                103157,,,                 72109,                  8105,                              0,                 -3104,                    546,                 -2908,                              0,                 34718,                    -12,                              0,                   -944,,,,                -97947,                   -687,                 11058,                     86,                    561,                -11030,                 70761,                 22092,                 -5106,,                 -6609,                 -9231,                   -152,                -96260,                -10182,,,               -125203,               -130309,                -21799,                 81358,                  3017,                   -546,                -25364,                 58465,,,,                              0,                -53857,                  5576,,                 -1165,                     70,,,                 15552,,                 25000,                 -8365,,                 -1769,               -181573,                              0,,,               -128182,                    925,                -53240,                403803,                350563,                350563,,,                108510,                 -2769,                 10823,                 -1100,                 55205,                 -1475,                 40000,,,,
8443,2013年01月01日至2013年12月31日,,                103157,                103157,,,                 72109,                  8105,                              0,                 -3104,                    546,                 -2908,,                 34718,                    -12,                              0,                   -944,,,,                -97947,                   -687,                 11058,                     86,                    561,                -11030,                 70761,                 22092,                 -5106,,                 -6609,                 -9231,                   -152,                -96260,                -10182,                              0,,               -125203,               -130309,                -21799,                 81358,                  3017,                   -546,                -25364,                 58465,,                              0,                              0,                              0,                -53857,                  5576,,                 -1165,                     70,,                              0,                 15552,,,                 -8365,,                 -1769,               -181573,,                              0,                              0,               -128182,                    925,                -53240,                403803,                350563,                350563,                 55205,,                108510,                 -2769,                 10823,                 -1100,,                 -1475,                 40000,                              0,                 25000,,
8443,2013年01月01日至2013年09月30日,,                 62631,                 62631,,,                 55344,                  6015,                              0,                 -1510,                    343,                 -2177,                              0,                 29598,                    -12,                              0,                   -406,,,,               -128120,                 -1279,                  4562,                     86,                 -1078,                -11006,                 51145,                  8088,                -77602,,                 -6080,                109133,                   -152,                -83787,                -53002,                 -2418,,                -38597,               -116199,                -29004,                 33627,                  2279,                   -343,                -21705,                 13858,,                              0,                              0,                              0,                -36448,                  5561,                  8441,                   -635,                     69,,                              0,                 53921,,                  8000,                    388,,,               -181573,                              0,                              0,                              0,               -173185,                  1842,               -103564,                403803,                300239,                300239,,,                 87195,                 -2291,,,                 76933,,,,,,
