證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無形資產,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付款項（增加）減少,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 其他籌資活動,　　 其他金融資產增加,　　 其他非流動資產增加,　　 存入保證金減少,　　　　　 其他營業資產（增加）減少,　　　　　 應付建造合約款（增加）減少,　　 短期借款增加
2597,2015年01月01日至2015年09月30日,,                699081,                699081,,,                130846,                  6886,                    -94,                 19867,                -17046,               -229620,                  3173,                  5272,                     80,                              0,                    651,                -79985,,,                 87579,                256959,                 39915,                164849,                236434,                 -1791,                -11690,                 58283,                   -193,                830345,,               -469655,               -619249,                396134,               -130585,                  6401,                 10150,               -806804,                 23541,                -56444,                642637,                 16860,                229620,                -20498,               -126747,                741872,,                              0,                              0,                -62197,                    319,                -31316,                156513,                   -119,                 63200,,               -400000,                229900,              1090000,             -1242988,                  8805,             -1012500,                438758,               -888025,                    758,                -82195,              1265487,              1183292,              1183292,,,,,,,,,,,,,,,
2597,2015年01月01日至2015年06月30日,,                385187,                385187,,,                 88852,                  4217,                    741,                 14729,                -12139,,                  4374,                  5323,                     29,                              0,                    651,                106777,,,                 84982,                349711,                -97333,                146177,                123933,                   -101,                 12546,                 35307,                    387,                655609,,               -325846,               -342071,                238952,               -178851,                 65646,                  6829,               -535341,                120268,                227045,                612232,                 15375,,                -14079,                -81045,                532483,,                              0,                              0,                -44398,,                -15555,                119922,                   -135,                 59834,,                              0,                 19999,                270000,                -90341,                  3519,,               -162841,                 40336,                 -1242,                631411,              1265487,              1896898,              1896898,,,,,,,,,,,,,,,
2597,2015年01月01日至2015年03月31日,,                204549,                204549,,,                 44214,                  1879,                   -629,                  7156,                 -6134,,                  4223,                  5283,                     28,                              0,,                 56020,,,                118303,                 -1002,               -361883,                -17975,                179740,                   -161,                 14341,                  1659,,                -66978,,               -305159,               -253018,                199805,               -221318,                 43166,                  5262,               -531262,               -598240,               -542220,               -337671,                  6777,,                 -7227,                   -677,               -338798,,                              0,,                -35538,,                 -1859,                 57259,                  1147,                 21009,,                              0,,                 80000,               -104960,                  2345,,,                -32599,                   -489,               -350877,              1265487,                914610,                914610,                              0,                 -9984,,,,,,,,,,,,,
2597,2014年度,,              1455034,              1455034,,,                204285,,                    306,                 36201,                -40172,               -196793,                    119,                     17,                     86,                 -1115,,,,,                193800,               -305855,                 85756,                  1724,                -20552,                     41,                 28641,,,                 -2058,,               -517375,                345796,               -346799,                 52111,                  4932,                 11380,               -449955,               -452013,               -449079,              1005955,                 43103,                196793,                -36427,               -268123,                941301,,               -133064,                -70818,               -215885,                     12,                -14973,                142686,                  5249,               -332283,,             -1550000,,              1300000,               -564991,                  3738,               -931500,                671745,             -1249549,                    557,               -639974,              1905461,              1265487,              1265487,                    329,               -169758,,                              0,                  2934,                 14387,                              0,                -45819,                 -8783,,,,,,
2597,2014年01月01日至2014年09月30日,,              1100708,              1100708,,,                146080,                 11324,                   -188,                 28616,                -32220,               -196793,                              0,                     15,                     87,                 -1115,                    329,                -43865,,,                216759,               -283728,                 41765,                301570,                 21595,                    440,                 14033,                 -6860,                 -5504,                300070,,               -470423,                146032,                -53410,                -41454,                 -2696,                  1510,               -420441,               -120371,               -164236,                936472,                 32220,                196793,                -28603,               -267063,                869819,,               -133064,                -70818,                -92527,                     12,                -13706,                 61488,                  5453,               -243162,,             -1230000,               -139777,              1080000,               -556194,                  2352,               -931500,                662962,             -1112157,                    115,               -485385,              1905461,              1420076,              1420076,,,,,,,,,,,,,,,
2597,2014年01月01日至2014年06月30日,,                569871,                569871,,,                 96836,                  6905,                   -260,                 20447,                -22732,,                              0,                     15,                     37,                   -956,                    187,                100479,,,                206060,                -55814,                 37889,                266791,                 29525,                    870,                    613,                -19148,                    231,                467017,,               -489021,                143065,                561091,               -134031,                 36817,                  4142,                122063,                589080,                689559,              1259430,                 22732,,                -20629,               -168391,              1093142,,               -133065,                -70818,                -79483,,                 -9243,                 27250,                  5125,               -260234,,               -980000,                    122,                300000,                -49426,                   -831,,                631417,                -98718,                   -170,                734020,              1905461,              2639481,              2639481,,,,,,,,,,,,,,,
2597,2014年01月01日至2014年03月31日,,                259778,                259778,,,                 48028,                  4475,                    200,                 10852,                -11126,,                              0,                     20,                              0,                   -478,,                 51971,,,                204434,               -392033,                 74956,                477616,                 81432,                 -5380,                 -5761,                -34654,,                400610,,               -597646,                  1130,                249035,               -164069,                 48444,                  1537,               -461569,                -60959,                 -8988,                250790,                 11126,,                -11193,                   -545,                250178,,               -133065,,                -69930,,                 -1996,                 25988,                -59447,               -238263,,                -80000,,                              0,                -24657,                              0,,,                -34571,                    -13,                -22669,              1905461,              1882792,              1882792,                    187,                 70086,,,,,,,,,,,,,
2597,2013年度,,              1397297,              1397297,,,                207408,,                 -1199,                 44183,                -14889,               -101841,                              0,                     68,                     75,                 -1911,,,,,               -300415,                638186,               -340508,             -1058723,               -104883,                    107,                 93159,,,               -927277,,                528237,              1033963,               -343151,                 70193,                -12187,                  4287,              1281342,                354065,                444876,              1842173,                  7881,                101841,                -44148,                -63095,              1844652,,               -302600,                              0,               -399726,                     10,                 -9676,                -53635,                 21937,               -691793,,                640000,,                              0,               -555837,                    289,               -256500,                              0,               -122241,                              0,              1030618,                874843,              1905461,              1905461,                              0,                 49807,,                -41083,                 90811,                145800,                 51897,                              0,                              0,,,,,,
2597,2013年01月01日至2013年12月31日,,              1330480,              1330480,,,                193654,                 12334,                 -1200,                 44183,                -14545,               -101841,,,,                 -1911,,,,,               -381746,                651674,               -311680,             -1087128,                 81471,                 -6932,                133843,,,               -772135,,                505041,                897912,,                 66819,                 20300,                  3031,              1163227,                391092,                480683,              1811163,                 14545,                101841,                -44148,                -62831,              1820570,,               -300387,                              0,               -423660,                    153,                 -4309,,,               -722353,,,                 49807,,               -508761,                    300,               -256500,,                -75154,,              1023063,                860117,              1883180,              1883180,,,,                -41083,                 89591,                145830,                 51897,,,                -46047,,,                  2533,               -329876,                640000
2597,2013年01月01日至2013年09月30日,,                915174,                915174,,,                155909,,                 -1024,                 33032,                 -7639,               -101841,,,,                 -1434,,,,,               -277484,               -208535,               -129345,               -568537,                167346,                 -3000,                 78309,,,               -866823,,                243359,                855299,                120196,                 30010,                    831,                  2561,              1252256,                385433,                462436,              1377610,                  7639,                101841,                -32970,                -60081,              1394039,,                              0,                              0,               -399024,                     73,                   -745,                -43553,                 24742,               -418507,,                610000,,                              0,               -481362,,               -256500,                              0,                -77810,                              0,                897722,                874843,              1772565,              1772565,,                 50052,,,                 77003,                 74423,,,,,,,,,
