證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款－關係人減少,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 其他非流動負債減少,　　 發放現金股利,　　 庫藏股票處分,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 短期借款減少,　　 存入保證金增加,　　 其他非流動負債增加,　　 對子公司之收購（扣除所取得之現金）,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他應收款－關係人增加,　　 應付短期票券增加
1303,2015年01月01日至2015年09月30日,,             37642582,             37642582,,,             12006263,              1345464,              1396906,               -577806,            -15929695,                 -3156,                 51482,               -673727,                              0,                -36215,                -12019,             -1148642,                 13809,             -3567336,,,                180015,              4622587,               -259645,              7442060,              1207420,             13192437,,             -1506351,              1534951,                418168,               -180733,                266035,             13458472,              9891136,             47533718,                322343,              5179711,             -1770299,             -2412846,             48852627,,             -3600000,              7169249,                -25000,                 32441,                              0,                              0,              1693392,             -5832581,                102631,                -80525,              3110413,             -2608651,             -1014937,             -1053568,,              4374527,                              0,                              0,             -8000000,              5161327,            -10008879,                 -9425,                              0,                -32600,                 -3326,            -17264723,                              0,               -650973,            -26434072,              2502322,             23867309,             36632716,             60500025,             60500025,,,,,,,,,,,,
1303,2015年01月01日至2015年06月30日,,             25795870,             25795870,,,              8005621,                844020,                945403,               -411675,            -11392710,                -12425,                 17244,               -241019,                              0,                -35667,                  3372,               -167434,                 16096,             -2429174,,,               -403937,             -2123761,                504886,              1818932,                593592,                389712,,              1866825,              3267472,                431733,               -135421,              5430609,              5820321,              3391147,             29187017,                134591,              1466580,             -1394293,             -1178087,             28215808,,                              0,              2764722,                -25000,,                              0,                              0,                212506,             -2709881,                 93286,                -20138,              6733906,             -1281001,                333838,              6102238,,,                              0,                              0,             -6000000,              4699094,             -8515798,,,                -32600,                              0,                -17465,,             -1097640,            -14515437,               -960665,             18841944,             36632716,             55474660,             55474660,                              0,             -3705249,                 45385,                108836,,,,,,,,
1303,2015年01月01日至2015年03月31日,,              9817972,              9817972,,,              3993941,                465070,                473861,               -187691,             -3141560,                -20635,                 10309,               -323113,                              0,                   -594,                   -214,               -121248,                   -418,              1147708,,,                122690,             -2948156,              1136101,              4173370,                -74297,              2409708,,              1091473,             -1637020,                107624,                -58549,               -496472,              1913236,              3060944,             12878916,                108676,                              0,               -257535,               -370977,             12359080,,                              0,              2264685,                -25000,,,                              0,,             -1078502,                 45846,                -26789,              4254172,               -770895,,              4663517,,,                              0,,                              0,              3988407,             -6418897,                              0,,                -21400,,                   -981,,                -54038,             -4415224,               -569835,             12037538,             36632716,             48670254,             48670254,,             -1956010,                 25271,                 22424,                              0,,,,,,,
1303,2014年度,,             34516098,             34516098,,,             15326343,              1949764,              2147670,             -1387839,            -15515623,                 31540,                              0,             -4538705,,,                 13492,               -721212,                   -918,,,,             -1114678,             -8086596,               -793881,             -2939415,                554421,            -12380149,,             -1820797,             -1053922,                176953,,             -2890660,            -15270809,            -17845631,             16670467,              1306614,              7128769,             -2309531,             -2463737,             20332582,,             -7053280,              8691387,,                 15818,             -1186296,              3650366,,             -6240125,                 55378,                    952,,             -3849901,,             33852763,,             -5136088,,             14966816,            -18000000,             19485924,            -36898000,                -28250,                 16700,,,            -15069990,,                  9800,            -45143699,              3043697,             12085343,             24547373,             36632716,             36632716,,,,                  8695,,,                              0,                120666,             -2574822,               -192894,             39768464,             -4499306
1303,2014年01月01日至2014年09月30日,,             30104803,             30104803,,,             11420618,              1665743,              1659238,             -1106697,            -14646492,                 28156,                              0,             -1174102,             -2538951,                              0,                  6221,               -338848,                   -918,             -5026032,,,               -969407,             -6415880,               -450736,             -4114371,               -782790,            -12733184,,               -624230,             -1481995,                635890,               -107568,             -1577903,            -14311087,            -19337119,             10767684,                985248,              7083574,             -1579047,             -2006724,             15250735,,             -2413528,              6165019,                              0,                 15818,             -1178458,              3650366,                              0,             -5433297,                 20027,                -15688,             19812121,             -2007231,                              0,             18615149,,              2032080,             -4499306,              9974575,            -12600000,             19230727,            -26449550,                -11847,                 11200,                              0,                 -7610,            -15075519,                 -3800,               -143161,            -27542211,                835471,              7159144,             24547373,             31706517,             31706517,,,,,,,,,,,,
1303,2014年01月01日至2014年06月30日,,             19138623,             19138623,,,              7600715,                959757,              1095407,               -750758,             -9382435,                 14347,                              0,               -738947,             -2538951,                              0,                 12000,                 90731,                  2259,             -3635875,,,                 16835,             -4916012,               -403421,             -1462601,               -751811,             -7517010,,              1235170,               -167675,                256079,                -76140,              1247434,             -6269576,             -9905451,              9233172,                663924,              1495413,               -906818,             -1793141,              8692550,,                   -704,              3025006,                              0,,             -1282862,              3650366,                              0,             -3478154,                 13470,                              0,              3745291,             -1107632,                              0,              4572416,,,             -4499306,              9999850,             -5500000,             11790405,            -17106579,,,                 -1200,                -10122,                 -5885,,                -78261,             -6895566,               -125318,              6244082,             24547373,             30791455,             30791455,                  7635,             -1513988,                 29520,                              0,,,,,,,,
1303,2014年01月01日至2014年03月31日,,             10445075,             10445075,,,              3782549,                384929,                539073,               -373934,             -4979395,                 13413,                              0,                -21408,             -2538951,                              0,                  1759,               -209366,                  2774,             -3398557,,,                534778,             -1189753,               -124660,               -821564,               -581129,             -2182328,,               -357543,             -1177884,                262633,                -60685,             -1333479,             -3515807,             -6914364,              3530711,                336865,                149416,               -344984,               -712263,              2959745,,                   -704,              1532527,                              0,,,              3650366,,             -1876872,                  7147,                 -4676,              4490549,             -1052779,,              6629327,,,             -4499306,,             -2500000,              5550000,             -6413487,                -36274,,                 -5600,,                              0,,                 15903,             -8307488,                806945,              2088529,             24547373,             26635902,             26635902,,               -429455,                              0,                 10731,               -116231,,,,,,,
1303,2013年度,,             30957463,             30957463,,,             14744325,              1413952,              2200700,             -1524253,            -12726562,               -374930,                 12160,                -20055,,,                  5605,               -185071,                -54895,,,,             -1182990,             -3850530,                150017,             -2364495,             -1436244,             -8684242,,               -171805,               -703199,               -339758,,             -1554718,            -10238960,             -6781211,             24176252,              1553896,              2175466,             -2283999,               -195079,             25426536,,             -4300005,              1752993,,                              0,            -11399315,                              0,,             -9757385,                988493,                 -2536,,             -4331277,,            -46299968,,              5012421,,             31262271,            -17500000,             10021963,            -13623695,                 30655,                  1900,,,             -2353884,,              1844215,             19213867,                865120,               -794445,             25341818,             24547373,             24547373,,,,                 18715,,,                -28560,                 -4667,              3457749,               -339956,            -19250936,              4499306
1303,2013年01月01日至2013年12月31日,,             30957463,             30957463,,,             14744325,              1413952,              2200700,,            -12726562,               -374930,                 12160,                -20055,,,                  5605,               -185071,                -54895,,,,             -1182990,             -3850530,                179660,             -2364495,             -1436244,             -8654599,,               -171805,               -703199,               -339758,,             -1554718,            -10209317,             -5227315,             25730148,,              2175466,             -2283999,               -195079,             25426536,,             -4300005,              1752993,,                              0,            -11399315,                              0,,             -9757385,                988493,                 -2536,,             -4331277,,            -46299968,,              5012421,,             31262271,            -17500000,             10021963,            -13623695,                 30655,                  1900,,,             -2353884,,              1844215,             19213867,                865120,               -794445,             25341818,             24547373,             24547373,,,,                 18715,,,                -28560,                 -4667,              4982002,               -339956,            -19250936,              4499306
1303,2013年01月01日至2013年09月30日,,             22760063,             22760063,,,             11054160,              1381439,              1699033,             -1196523,             -8671746,               -382189,                 12102,                 -9183,                              0,,                  6438,                118811,                -51052,,,,               -648166,             -3310713,               -229778,             -2990050,             -1698794,             -8877501,,               -775069,              2194173,               -332492,,                818896,             -8058605,             -4125875,             18634188,              1178312,              2175466,             -1613495,               -687599,             19686872,,             -4300005,                944290,,                              0,            -11399315,                              0,,             -7940050,                954070,                -44539,,             -3749634,                              0,            -43301311,,              6263743,              7497640,             20927777,            -10100000,              7953239,            -10977748,                -19806,              2008400,,,             -2327577,,              1773769,             23108121,                278732,               -227586,             25341818,             25114232,             25114232,,,,                108684,,,                -28560,,              3932730,               -267716,            -17766128,
