證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 不動產、廠房及設備轉列費用數,　　　　　 持有供交易之金融負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 處分待出售非流動資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預付設備款減少,　　 短期借款減少,　　 存入保證金增加,　　　　 非金融資產減損迴轉利益,　　 取得以成本衡量之金融資產
1321,2015年01月01日至2015年09月30日,,                 71350,                 71350,,,                108274,                  1044,                   -279,                 12416,                   -916,                 -7655,                -11189,                    253,                              0,                -27554,                              0,                 74394,,,                   -672,                 15437,               -120385,                 10283,                113010,                    225,                -63446,                -45548,,                -70035,                 35967,                -21396,                    851,                 -4936,                    661,                -32459,                -91347,               -136895,                -62501,                  8849,                    916,                 35205,                -12341,                    -35,                 32594,,                -88764,                134573,               -840599,                   -238,                 -4526,                              0,                              0,                -31811,                              0,                 -5220,               -836585,,                 94639,                620216,                              0,                714855,                 -1310,                -90446,                262191,                171745,                171745,,,,,,,,,,,
1321,2015年01月01日至2015年06月30日,,                 27606,                 27606,,,                 73296,                    694,                    -26,                  8180,                   -655,,                 -6829,                    253,                              0,                -27554,                              0,                 47359,,,                   -956,                  5957,                -90644,                 23203,                 78004,                -16665,                -24525,                -25626,,                -63449,                 87704,                -30839,                    851,                    421,                 -3845,                -20704,                -29861,                -55487,                 -8128,                 19478,                    655,                              0,                 -8166,                    -33,                 11934,,                -83763,                134573,               -708926,                   -238,                    -30,                              0,                              0,                -31811,                              0,                 -5220,               -695415,,                101931,                620216,                              0,                722147,                -15792,                 22874,                262191,                285065,                285065,                              0,                              0,,,,,,,,,
1321,2015年01月01日至2015年03月31日,,                  4224,                  4224,,,                 36468,                    350,                    247,                  3943,                   -269,,                 -2906,                    252,,                -27554,,                 10531,,,                 -1498,                 15421,               -159566,                  2878,                136432,                -16392,                  3813,                -18912,,                -17535,                 70382,                -33403,                    850,                    210,                  6566,                 -8369,                 18701,                   -211,                 10320,                 14544,                    269,,                 -3827,                      2,                 10988,,                              0,                 54767,               -303196,                   -238,                     55,,                              0,,,                 -2386,               -250998,,                 30326,                300000,                              0,                330326,                 -5526,                 84790,                262191,                346981,                346981,,                              0,,,,,,,,,
1321,2014年度,,               -144782,               -144782,,,                147747,                  1364,                   -582,                 17981,                 -1143,                 -7203,                -30617,                   -813,                              0,                    -11,                 26946,,,,                   -663,                  2189,                250326,                 -6110,               -106970,                   -323,                -20572,                117877,,                 89166,               -159972,                -25476,                    113,                     37,                 10138,,               -138478,                -20601,                136619,                 -8163,                  1143,                 41887,                -17181,                      4,                 17690,,                 -1792,                              0,               -910728,                    928,                -19746,,                              0,,                              0,                 -1000,               -932338,,                              0,                960000,                -40000,                840000,                 15786,                -58862,                321053,                262191,                262191,                  3551,                              0,,                              0,                157220,                -52484,                              0,                -80000,,,
1321,2014年01月01日至2014年09月30日,,                -91082,                -91082,,,                109255,                  1016,                    -31,                 13426,                   -846,                 -7189,                -27101,                  2322,                              0,                    -11,                 26946,                117787,,,                   -387,                  4568,                116968,                -19082,               -228784,                 -9682,                 -5135,               -141534,,                   -155,                 -3228,                -27464,                  1161,                    652,                 16351,                -33563,                -46246,               -187780,                -69993,               -161075,                    846,                 41873,                -12570,                     10,               -130916,,                 -6768,                              0,               -595211,                 -2322,                              0,                    170,                              0,                              0,                              0,                 -1124,               -605255,,                330000,                310000,                -40000,                600000,                  1294,               -134877,                321053,                186176,                186176,,,,,,,,,,,
1321,2014年01月01日至2014年06月30日,,                -26302,                -26302,,,                 72953,                    679,                    -33,                  9108,                   -602,,                -26832,                  2322,                              0,                    -11,                              0,                 57584,,,                   -502,                -10464,                -10486,                -12872,               -130108,                  5202,                  6767,               -152463,,                  9066,                138321,                -39680,                  1677,                    435,                 10473,                -17001,                103291,                -49172,                  8412,                -17890,                    602,                              0,                 -8452,                     10,                -25730,,                -43125,                 36716,               -407158,                 -2322,                              0,                    214,                              0,                              0,                              0,                 -2871,               -418546,,                100000,                310000,                -40000,                370000,                -12948,                -87224,                321053,                233829,                233829,                              0,                              0,,,,,,,,,
1321,2014年01月01日至2014年03月31日,,                  1446,                  1446,,,                 36886,                    345,                    555,                  5992,                   -270,,                -15396,                    -11,,                              0,,                 28101,,,                   -593,                 -2133,                174753,                -15321,               -132558,                 -1850,                    987,                 23285,,                  1200,               -123018,                -56202,                   -166,                    217,                  5485,                -13824,               -186308,               -163023,               -134922,               -133476,                    270,,                 -5549,                      1,               -138754,,                              0,                  6585,               -226534,                              0,                    -16,,                              0,,,                 -1000,               -220965,,                250000,                              0,                -20000,                230000,                 -2131,               -131850,                321053,                189203,                189203,,                              0,,,,,,,,,
1321,2013年度,,                 40011,                 40011,,,                147447,                  1377,                 -5747,                 17142,                 -1227,                 -3951,                -38847,                  9461,                -10060,                   -411,                  8003,,,,                   -138,                  8575,                -87873,                 -4351,                 16362,                -15121,                -24160,               -106706,,                 -1679,                105991,                 43851,                   -236,                   -401,                 -8448,,                118490,                 11784,                134971,                174982,                  1227,                 61081,                -17527,                     10,                219773,,                              0,                  4096,               -217759,                              0,                 -1935,,                -16260,,                 16678,                              0,               -214831,,               -100000,                200000,                -20000,                 80000,                 27136,                112078,                208975,                321053,                321053,                              0,                 -1333,,                              0,                123187,                -19255,                    349,                              0,,,
1321,2013年01月01日至2013年12月31日,,                 40011,                 40011,,,                147447,                  1377,                 -5747,                 17142,                 -1227,                 -3951,                -38847,                  9461,                -10060,                   -411,                  8003,,,,                   -138,                  8575,                -87873,                 -4351,                 16362,                -15121,                -24160,               -106706,,                 -1679,                105991,                 43851,                   -236,                   -401,                 -8448,,                118490,                 11784,                134971,                174982,                  1227,                 61081,                -17527,                     10,                219773,,                              0,                  4096,               -217759,,                 -1935,,                -16260,,                 16678,                              0,               -214831,,               -100000,                200000,                -20000,                 80000,                 27136,                112078,                208975,                321053,                321053,,                 -1333,,,                123187,                -19255,                    349,,,                              0,                              0
1321,2013年01月01日至2013年09月30日,,                 40792,                 40792,,,                111016,                  1041,                 -1642,                 13235,                   -862,                 -3951,                -36303,                  2726,                -10044,                   -411,                              0,,,,                     81,                  6365,                -21448,                -11677,                -75331,                -21982,                -16096,               -140088,,                 -3831,                 -9712,                 18847,                   -117,                    672,                   -619,,                 -7025,               -147113,                -72308,                -31516,                    862,                 61081,                -13433,                     16,                 17010,,                  2023,,                -48383,                              0,                 -1901,                              0,                -16260,,                 16400,                   -602,                -48723,,                              0,                              0,                -20000,                -20000,                 18501,                -33212,                208975,                175763,                175763,,                    550,,,                 74805,                -12815,,,,,
