證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他金融資產（增加）減少,　　 其他投資活動,　　 應付短期票券減少,　　　　　 預付款項（增加）減少,　　 存出保證金增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 發行公司債,　　 現金增資,　　 存入保證金增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他非流動資產減少
8411,2015年01月01日至2015年09月30日,,                277678,                277678,,,                160793,                    903,                    407,                 35461,                -12109,                  5329,                 -1252,                  6242,                  5182,                200956,,,                  1656,                -43166,               -439055,                 -2317,               -156210,                 55764,                              0,               -583328,,                 -1508,                -10564,                 87748,                 13277,                  5320,                 94273,               -489055,               -288099,                -10421,                 12109,                -20044,                -93532,               -111888,,                              0,               -365213,                 23024,                    195,                   -923,                -31667,               -603874,               -978458,,                750409,               -513932,                255060,               -968993,              1456088,                -79905,                              0,               -127195,                771532,                 42192,               -276622,              1446247,              1169625,              1169625,,,,,,,,,,,,,
8411,2015年01月01日至2015年06月30日,,                145566,                145566,,,                103902,                    582,                    391,                 20928,                 -9140,                  3653,                    261,,                  3438,                124015,,,                   -295,                  7263,               -153269,               -121212,                -60981,                -36850,,               -372600,,                    500,                 -7679,                -43274,                 34845,                -15667,                -31275,               -403875,               -279860,               -134294,                  9140,                -12066,                -58463,               -195683,,,               -321762,                 12868,                  1087,                   -918,,               -189983,               -498708,,                503382,,                146713,,                155350,                -78208,                              0,,                727237,                -76740,                -43894,              1446247,              1402353,              1402353,                 -7256,                              0,                              0,,,,,,,,,,
8411,2015年01月01日至2015年03月31日,,                106814,                106814,,,                 52740,                    265,                  3398,                  9380,                 -5695,                    982,                    464,,                  1729,                 63263,,,                  1656,                 -4210,               -201894,                 -6958,                 15951,                 36747,,               -178707,,                 -4000,                 -1280,                 30714,                 11240,                 21395,                 58069,               -120638,                -57375,                 49439,                  5695,                 -3891,                -30064,                 21179,,,               -271897,                    188,,                   -782,,                              0,               -272915,,                149213,,                120402,,,                -78208,,,                191407,                -30651,                -90980,              1446247,              1355267,              1355267,                -19999,                              0,                              0,                              0,                   -424,                              0,,,,,,,
8411,2014年度,,                371964,                371964,,,                173244,                  1477,                              0,                 33355,                -27123,                  5724,                  2768,,                  6596,,,,                 -1656,                 95765,                241561,                  4618,                103130,               -194623,,                273943,,                 18345,                -21968,                -55120,               -135883,                 15021,               -179605,                 94338,                290379,                662343,                 27123,                -14944,               -146275,                528247,,                -48151,               -678022,                  2163,                    259,                 -5618,,               -797551,             -1526920,,                308229,                              0,                              0,,,                -78199,,                -40356,               -149486,                140121,             -1008038,              2454285,              1446247,              1446247,                 25148,,               -338111,                              0,                              0,                 -1049,,                196041,                              0,                              0,,,
8411,2014年01月01日至2014年09月30日,,                329281,                329281,,,                122013,                  1178,                              0,                 25118,                -20316,                  1559,                   -333,                              0,                  4905,                134124,,,                              0,                 24121,                354805,                  6111,                 66312,                -58357,                 -4369,                388623,,                  9545,                -29120,                -59430,                -81503,                 10398,               -150110,                238513,                372637,                701918,                 20316,                -10285,               -123264,                588685,,                -48151,               -438744,                  3601,                  1977,                   -954,                -33444,               -320533,               -836248,,                372871,               -209198,               -421743,                              0,                              0,                -44371,                 -1049,                -40356,               -343846,                -52015,               -643424,              2454285,              1810861,              1810861,,,,,,,,,,,,,
8411,2014年01月01日至2014年06月30日,,                251703,                251703,,,                 85428,                    773,                              0,                 16150,                -13032,                              0,                   -488,,                  3250,                 92081,,,                 -9642,                 65897,                -19380,                    322,                 42096,                -10942,,                102753,,                  4245,                -20400,               -183428,                -69547,                 -2731,               -271861,               -169108,                -77027,                174676,                 13032,                 -8094,               -108734,                 70880,,,               -277605,                  1354,                  1667,                   -955,,               -188329,               -468242,,                204463,,                              0,,                              0,                -32160,                 -1049,,               -116068,                -63152,               -576582,              2454285,              1877703,              1877703,                 34402,                 -4374,               -287322,,,,,,,,,,
8411,2014年01月01日至2014年03月31日,,                212453,                212453,,,                 38916,                    446,                              0,                  9005,                 -5937,                              0,                   -153,,                  1600,                 43877,,,                -12368,                 23453,               -271814,                  6179,                -30984,                 15611,,               -278554,,                              0,                -15882,                169302,                -60720,                 38442,                131142,               -147412,               -103535,                108918,                  5937,                 -5264,                -66904,                 42687,,,               -228481,                  3316,,                   -589,,                   -551,               -225121,,                              0,,                              0,,,                              0,,,               -163034,                -13466,               -358934,              2454285,              2095351,              2095351,                 -8631,                  2337,               -161985,                              0,                 -1153,                 -1049,,,,,,,
8411,2013年度,,                992709,                992709,,,                151455,                  1268,                 -4529,                 29105,                -10233,                              0,                    139,,                  3003,,,,                              0,               -128858,               -133971,                 -5112,               -146333,                175597,,               -434599,,                    355,                 21130,               -108083,                119272,                    855,                 33529,               -401070,               -230862,                761847,                 10233,                -23375,               -284575,                464130,,                              0,             -1078275,                 53538,                              0,                   -558,,                   -396,             -1026174,,                              0,                -87524,                168950,,,               -289956,,                -26696,              1809686,                171445,              1419087,              1035198,              2454285,              2454285,                -11874,,                              0,               -184048,                   -483,                   -121,,                170208,                997033,              1048000,,,
8411,2013年01月01日至2013年12月31日,,                992709,                992709,,,                151455,                  1268,                 -4529,                 29105,                -10233,,                    139,,,,,,,               -128858,               -133971,                 -5112,               -146333,                175597,                   -396,               -431992,,                    355,                 21130,               -108083,                119272,                    855,                 33529,               -398463,               -231258,                761451,                 10233,                -23375,               -284575,                463734,,,             -1078275,                 53538,                              0,                   -558,,,             -1025778,,,                -87524,                168950,,,               -289956,,                -26696,              1809686,                171445,              1419087,              1035198,              2454285,              2454285,                -11874,,                              0,               -181045,                   -483,                   -121,,                167205,                997033,              1048000,                              0,,
8411,2013年01月01日至2013年09月30日,,                801324,                801324,,,                120065,                    948,                    167,                 21221,                 -7046,                              0,                 -2831,,,,,,                  2903,                -42537,               -421352,                 -8666,               -352878,                272973,,               -687085,,                              0,                 18155,                -59719,                 63761,                -15839,                  6358,               -680727,               -548203,                253121,                  7046,                -17354,               -226804,                 16009,,                              0,               -792455,                  5859,,                    -82,,                   -432,               -840694,,               -187980,,                343513,,                214742,                              0,                    -73,                -26696,              2388539,                 70253,              1634107,              1035198,              2669305,              2669305,                 -1387,,,               -136141,                -53584,,,                132524,                997033,              1048000,,,
