證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 預收款項增加－處分資產,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 存入保證金增加,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 處分不動產、廠房及設備,　　 應付短期票券減少,　　 存入保證金減少,　　 其他非流動負債減少,　　　　 其他項目
1903,2015年01月01日至2015年06月30日,,               -113421,               -113421,,,                 12421,                    320,                 10794,                    -30,                   -333,                    241,                  1247,                    -41,                 -5468,                 19151,,,                 -1195,                 10425,                    722,                 63221,                 15522,                  2279,                 90974,,                    423,                -14094,                 41607,                 -1060,                 -5356,                 -3239,                 18281,                109255,                128406,                 14985,                     30,                    333,                     -4,                 15344,,                 -4649,                    564,                  1251,                 -6487,                123925,                              0,                   -664,                    -66,                      6,                113880,,                              0,               -117000,                     61,                -10571,               -127510,                  1714,                 20879,                 22593,                 22593,,,,,,,,,,,,,
1903,2015年01月01日至2015年03月31日,,                -46874,                -46874,,,                  6200,                    160,                  5385,,,                    241,                    456,,                 -5428,                  7014,,,                              0,                  4963,                  1136,                 19657,                 14425,                  2130,                 42311,,                    277,                -13162,                 11800,                   -639,                 47173,                 -1687,                 43762,                 86073,                 93087,                 46213,,,                      1,                 46214,,                 -3478,,                    250,                 -4576,,                              0,                    -81,                    -62,                      6,                 -7941,,                              0,                -27000,                     68,                 -5320,                -32252,                  6021,                 20879,                 26900,                 26900,,,,,,,,,,,,,
1903,2014年度,,               -445333,               -445333,,,                 83101,                    638,                 18710,                    -76,                -24703,                  3187,,                 -3887,,,,,                 10000,                 23470,                  7657,                 47177,                 32630,                   -750,                120184,,                 -5776,                -82427,                 -4258,                 -5454,                -26367,,               -173619,                -53435,                196947,               -248386,                     76,                 24703,                     43,               -223564,,,                  7928,,               -104236,,                   -104,                -10565,                  7992,                  9593,                -88892,,                 78570,                209000,                  1465,                -18621,                270414,                -42042,                 62921,                 20879,                 20879,,                              0,                    111,                173301,                250382,                -49337,                              0,                              0,                    500,,,,
1903,2014年01月01日至2014年09月30日,,               -212254,               -212254,,,                 62278,                    479,                 13728,                    -40,                -24703,                    880,,                 -3867,,,,,                 10000,                 -2864,                  2012,                -77909,                 27961,                 -1306,                -42106,,                  9016,                 -1208,                138628,                   -905,                 29271,,                154178,                112072,                160827,                -51427,                     40,                 24703,                     26,                -26658,,,                  7644,,                -91837,,                    -86,                -10694,                    -20,                  8620,                -86373,,                 49070,                 85000,                  1487,                -13656,                121901,                  8870,                 62921,                 71791,                 71791,,                              0,,,                 48755,                -20624,                              0,                              0,,,,,
1903,2014年01月01日至2014年06月30日,,               -147430,               -147430,,,                 41366,                    318,                  9072,                    -34,                   -569,                    446,                              0,                              0,                              0,                 50599,,,                     57,                 -2909,                  2951,                -69480,                  8059,                   -962,                -62284,,                  1287,                 15273,                 43620,                   -658,                 14699,                 -8296,                 65925,                  3641,                 54240,                -93190,                     34,                    569,                     26,                -92561,,                              0,                              0,                              0,                -33053,                              0,                    -86,                -10429,                    -18,                -19781,                -63367,,                 67570,                 91500,                  1419,                 -8977,                151512,                 -4416,                 62921,                 58505,                 58505,,,,,,,,,,,,,
1903,2014年01月01日至2014年03月31日,,               -119569,               -119569,,,                 20426,                    158,                  4280,,,                    437,                              0,,                              0,                 25301,,,                  2571,                    953,                 -3975,               -106747,                  9871,                   -628,                -97955,,                  2252,                 13764,                 89781,                    -88,                  7602,                 -4035,                109276,                 11321,                 36622,                -82947,,,                              0,                -82947,,                              0,,                              0,                -18770,,                    -86,                -10379,                    -18,                 -6640,                -35893,,                 31650,                 80000,                  1405,                 -4186,                108869,                 -9971,                 62921,                 52950,                 52950,,,,,,,,,,,,,
1903,2013年度,,               -171289,               -171289,,,                 76906,                    390,                 14205,                    -55,                -24484,                  3020,,                   -303,,,,,                     15,                 29583,                 -4850,                -21973,                -44457,                 -3652,                -45334,,                 -2982,                -76565,                 -3867,                   -881,                 19449,,                -85038,               -130372,                -60773,               -232062,                     55,                 24484,                     49,               -207474,,,                  4681,,                -95034,,                 -2486,                 -7594,                    -91,                 -9599,                -64033,,                308130,                -21500,                 -1367,                -14252,                271011,                   -496,                 63417,                 62921,                 62921,,                    -80,                              0,                              0,                 69599,                -20192,               -343800,                389890,                              0,,,,
1903,2013年01月01日至2013年12月31日,,               -171289,               -171289,,,                 76906,                    390,                 14205,                    -55,                -24484,                  3020,,                   -303,,,,,                     15,                 29583,                 -4850,                -21973,                -44457,                 -3652,                -45334,,                 -2982,                -76565,                 -3867,                   -881,                 19449,,                -85038,               -130372,                -60773,               -232062,                     55,                 24484,                     49,               -207474,,,                  4681,,                -95034,,                 -2486,                 -7594,                    -91,                 -9599,                -64033,,                308130,                -21500,                 -1367,                -14252,                271011,                   -496,                 63417,                 62921,                 62921,,                    -80,,,                 69599,                -20192,               -343800,                389890,                              0,,,,
1903,2013年01月01日至2013年09月30日,,                -89399,                -89399,,,                 58022,                    244,                 10272,                    -29,                -24484,                  1851,,                    -93,,,,,                     15,                 28158,                 -6007,                -93374,                  2189,                 -3409,                -72428,,                   -877,                -29336,                 63204,                   -649,                 12960,,                 32751,                -39677,                  6036,                -83363,                     29,                 24484,                     53,                -58797,,,                  1471,,                -77095,,                 -1758,                 -4269,                    -91,                 -1397,                -37059,,                106880,                -41500,                 -1281,                -10476,                 53623,                -42233,                 63417,                 21184,                 21184,,                    -70,,,                 45713,                -12551,               -293400,                339480,,,,,
1903,2013年01月01日至2013年06月30日,,                -52371,                -52371,,,                 39887,                    161,                  6756,                    -29,                   -333,                  1038,,                    -56,,,,,                    324,                    843,                 -3075,                -76969,                  1304,                 -2661,                -80234,,                 25309,                -12312,                 40871,                   -809,                  6729,,                 51416,                -28818,                 18548,                -33823,                     29,                    333,                     52,                -33409,,,                    890,,                -60975,,                    -56,                 -3873,                    -75,                 -4499,                -22520,,                328000,               -291500,                   -499,                 -6749,                 29252,                -26677,                 63417,                 36740,                 36740,,                    -58,,,                 47366,                 -8372,               -213400,                259468,,,,,
