證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 發放現金股利,　　 庫藏股票處分,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　 應付短期票券減少,　　 其他應付款－關係人減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產減少,　　 收取之股利,　　 償還公司債,　　 現金減資,　　　　 不動產、廠房及設備轉列費用數,　　 其他非流動負債減少,　　　　　 其他金融資產（增加）減少,　　 其他非流動負債增加
1459,2015年01月01日至2015年09月30日,,                289066,                289066,,,                177284,                  1849,                     12,                 32598,                 -9586,                     16,               -126144,                 76029,,,                     93,                 21338,                 -9491,                              0,                -66233,                 -7623,                 23846,                -38070,,                              0,                    123,                  3076,                -10679,                 -7275,                    125,                -14630,                -52700,                 23329,                312395,                -36108,                276287,,             -1567738,              1347890,                -10000,                    937,                 19763,                 -9022,                              0,                              0,                              0,               -147445,                              0,                    137,                 10534,               -354944,,                              0,               -221827,                 20000,                100000,               -206100,                              0,                     -7,                  5811,               -174722,                 24121,                -32336,                 -1906,               -486966,                  5372,               -560251,              1145004,                584753,                584753,,,,,,,,,,,,,,,,
1459,2015年01月01日至2015年06月30日,,                240267,                240267,,,                118666,                  1221,                   -755,                 21159,                 -6320,                     16,               -123684,                 10303,,,                    511,                 17156,                  6742,,                -69824,                -18146,                 17131,                -46430,,                              0,                    670,                  7773,                -19646,                 -9966,                     84,                -21085,                -67515,                -57212,                183055,                -29078,                153977,,             -1379738,              1347557,,                    937,                 15443,                 -7904,,                              0,,                 -5354,                              0,                  4243,                  7543,                -17272,,                              0,               -124688,,,               -206099,                              0,                     -1,,,,                -21475,,               -405943,                 -5045,               -274283,              1145004,                870721,                870721,                      1,                -49111,                 -4569,,,,,,,,,,,,,
1459,2015年01月01日至2015年03月31日,,                101592,                101592,,,                 60250,                    615,                     54,                 10884,                 -3404,                      5,                -40718,                 27686,,,                     51,                 38612,                -10831,,                -23315,                 -7380,                 26099,                 23236,,                              0,                   -792,                 31701,                -11046,                 14809,                     42,                 34714,                 57950,                 85636,                187228,                   -235,                186993,,               -458964,                347114,,,,                 -2149,,                              0,,                 -9157,                              0,                  1378,                  2892,               -118886,,                              0,                -79350,,,               -102600,                              0,                     -1,,,,                -10988,,               -444991,                 -3695,               -380579,              1145004,                764425,                764425,,               -249898,                 -2154,,,,,,,,,,,,,
1459,2014年度,,                207977,                207977,,,                230757,                  2401,                      5,                 46665,                -29069,                    -76,               -184419,,,,                   -105,                162039,                 29781,,                 56779,                  5294,                 21646,                275434,,                    -28,                    827,                 -9863,                  5972,                 20073,,                 17225,                292659,                332019,                539996,                -21084,                518912,,             -2067750,              1290091,,,                 35219,                -18667,                    345,                     -6,                -16802,,                 -6397,                              0,                 27718,               -464969,,                278334,                              0,                224901,                              0,                              0,                    112,,                 10495,               -111186,,                -38804,                   -476,                363376,                 15167,                432486,                712518,              1145004,              1145004,,,                              0,,                -26896,                     -8,                 39360,                    244,                264384,                 26896,                              0,                              0,,,,
1459,2014年01月01日至2014年09月30日,,                165969,                165969,,,                172798,                  1786,                    152,                 33840,                -22123,                    -76,               -137743,                 48634,,,                   -215,                145113,                 31294,                 -1621,                -46316,                -11754,                 14962,                131463,,                   -392,                    680,                 16963,                 -8629,                   -882,                    123,                  7863,                139326,                187960,                353929,                -15690,                338239,,             -1753122,                899768,                              0,                              0,                  4799,                -17942,                    342,                     -5,                -16666,               -189409,                 -3491,                              0,                  6817,             -1068909,,                523635,                              0,                199977,                              0,                              0,                    195,                              0,                  3663,               -111186,                              0,                -33447,                   -476,                582361,                  4806,               -143503,                712518,                569015,                569015,,,,,,,,,,,,,,,,
1459,2014年01月01日至2014年06月30日,,                 44523,                 44523,,,                115046,                  1190,                    492,                 21456,                -13949,                      7,                -27804,                 96438,,,                              0,                112348,                 75135,,                    379,                 17468,                 18092,                223422,,                   -520,                    475,                 22589,                -22389,                 19732,                     81,                 19968,                243390,                339828,                384351,                -12122,                372229,,               -890380,                 75997,,                              0,                  4799,                 -4875,,                     -5,,               -266332,                 -2377,                              0,                  2340,             -1080833,,                463299,                              0,,,                              0,                    122,                              0,,,,                -14454,,                443266,                 -5142,               -270480,                712518,                442038,                442038,                              0,                    -61,                 -5640,,,,,,,,,,,,,
1459,2014年01月01日至2014年03月31日,,                 17864,                 17864,,,                 57551,                    603,                    312,                 10415,                 -6251,                      7,                 -4503,                 58134,,,                              0,                 35927,                 19886,,                 10203,                 -1170,                 17013,                 81859,,                    100,                    -52,                  6278,                -20064,                 12589,                     38,                 -1111,                 80748,                138882,                156746,                 -4715,                152031,,                -86026,                 44561,,,,                 -3047,,                     -7,,               -273081,                 -4584,                              0,                  5835,               -316349,,                222536,                              0,,,                              0,                     66,                              0,,,,                -10200,,               -139132,                  1069,               -302381,                712518,                410137,                410137,,               -349865,                 -1669,,,,,,,,,,,,,
1459,2013年度,,                197240,                197240,,,                223788,                  2364,                  1990,                 42420,                -19758,                              0,               -188289,,,,                    405,                -12426,                  4389,,                -13031,                -18495,                  2445,                -36713,,                 -2618,                 -5233,                -19760,                -14185,                  7605,,                -35039,                -71752,                -57090,                140150,                 -9905,                130245,,             -1115702,              1432351,,,                  6006,                 -8807,                              0,                    -79,                              0,,                              0,                  4191,                 31687,                441676,,                              0,                -67319,                 49947,                948004,               -746940,                  1763,,                              0,                -31768,,                -33620,                 -1654,               -587395,                 16841,                  1367,                711151,                712518,                712518,,,               -199191,,                -47868,                     15,                 14662,                   -848,                 44161,                 47868,               -500000,                 -6617,,,,
1459,2013年01月01日至2013年12月31日,,                197240,                197240,,,                223788,                  2364,                  1990,                 42420,                -19758,                              0,               -188289,,,,                    405,                -12426,                  4389,,                -13031,                -18495,                  2445,                -36713,,                 -2618,                 -5233,                -19760,                -14185,                  7605,,                -35039,                -71752,                -57090,                140150,                 -9905,                130245,,             -1115702,              1432351,,,                  6006,                 -8807,,                    -79,,                              0,,                  4191,                 31687,                441676,,                              0,                -67319,                 49947,                948004,               -746940,                  1763,                              0,,                -31768,,                -33620,                 -1654,               -587395,                 16841,                  1367,                711151,                712518,                712518,,                              0,               -199191,,                -47868,                     15,                 14662,                   -848,                 44161,                 47868,               -500000,                 -6617,,,,
1459,2013年01月01日至2013年09月30日,,                 36466,                 36466,,,                168002,                  1770,                 -2004,                 33356,                -16672,                              0,                -10408,,,,                    354,                 60075,                 25550,                 -2252,               -120710,                -33209,                -11442,                -81634,,                  1444,                 -6824,                 -9704,                 78737,                  7272,,                 71259,                -10375,                163669,                200135,                   -754,                199381,,               -705723,                367362,,,                              0,                 -4478,                              0,                    -79,                              0,                              0,                              0,                  4312,                 26687,               -139114,,                 57469,,                215012,                349034,               -146940,                              0,                   -179,                              0,                -31768,,                -58708,                 -1654,               -243857,                -24471,               -208061,                711151,                503090,                503090,,,               -119506,,,,                174044,                    334,                172805,,               -500000,                 -6617,,,,
1459,2013年01月01日至2013年06月30日,,                -15839,                -15839,,,                111267,                  1175,                 -6248,                 22064,                -12865,                              0,                 -2635,,,,                    388,                 19382,                 79326,                  5139,               -164109,                 -2159,                   -129,                -62162,,                  5650,                -13522,                -26825,                 -7062,                  3247,,                -40138,               -102300,                 11862,                 -3977,                 -6162,                -10139,,               -539245,                 98487,,,                              0,                 -3942,,                    -81,,                              0,                              0,                  4967,                  6416,               -361313,,                108328,,                260889,                500000,               -300000,                              0,                 -5001,                 22732,,,                -39880,,                 47068,                 14345,               -310039,                711151,                401112,                401112,,                              0,                              0,,,,                114162,                 -1626,                 72085,,               -500000,,                  1404,,,
1459,2013年01月01日至2013年03月31日,,                 -8497,                 -8497,,,                 55451,                    583,                  5801,                 11600,                 -8321,                              0,                              0,,,,                    388,                126349,                 35084,,               -128298,                -23098,                      8,                 10433,,                 -6353,                -10168,                 -2750,                -13136,                 -1834,,                -35980,                -25547,                 40731,                 32234,                 -1702,                 30532,,               -244882,                              0,,,,                 -3082,,                   -100,,                              0,                              0,                  5356,                  8395,               -197193,,                              0,                -18040,                 99936,                500000,               -300000,                  1935,,                 12405,,,                -35703,,               -239467,                  9892,               -396236,                711151,                314915,                314915,,                              0,                              0,,,,                 66278,                 -1739,                 37120,,               -500000,,                  1164,,,
1459,2012年01月01日至2012年12月31日,,                -34495,                -34495,,,                216945,                  2283,                    123,                 56372,                -24352,                    374,                 -1560,,,,                   -511,                283618,                 44985,,                104321,                 -6187,                  3929,                430155,,                    639,                 13104,               -100480,                -12227,                -11719,,               -110250,                319905,                524886,                490391,                 -5070,                485321,,                -30900,                 32460,,,                  6000,                -25818,,                              0,,               -295454,,                  9316,                  7485,               -251730,,                 77685,                              0,                              0,                600000,               -504318,                              0,                 -1873,,               -149308,,                -46341,                 -3309,                -68968,                 13514,                178137,                533014,                711151,                711151,,                -29998,                -11506,,                -45181,                    -23,                204981,                    433,                              0,                 45181,                              0,                              0,,,,
1459,2012年01月01日至2012年09月30日,,                -44217,                -44217,,,                163149,                  1714,                  8238,                 43364,                -16224,                    129,                 -1560,,,,                -16636,                255302,                 -9994,                 -5774,                192917,                  7783,                  9933,                433531,,                    168,                 10234,               -116330,                 36922,                 -8381,,                -77263,                356268,                555055,                510838,                -12795,                498043,,                -30900,                 32460,,,                  6000,                -20125,,                              0,,               -465652,,                  8669,                  6300,               -463248,,                    604,,                 20037,                224371,               -227624,,                   -276,,               -149308,,                -34509,,               -230408,                 13385,               -182228,                533014,                350786,                350786,,,                -63703,,,                    -23,                198787,                    124,                              0,,                              0,                              0,,,,
1459,2012年01月01日至2012年06月30日,,                -50405,                -50405,,,                108797,                  1142,,                 28546,                 -8545,                     79,                              0,,,,                -12421,                286098,                 29130,                  1369,                177984,                -23713,                    996,                459443,,                     48,                              0,               -123560,                -17248,                    173,,               -140507,                318936,                451862,                401457,                 -6719,                394738,,                -30900,                              0,,,,                -14707,,                              0,,               -322236,,                  1968,                  3243,               -362632,,                 38228,,                              0,                100000,,,                     -2,                    672,,,                -31452,,                106388,                   -133,                138361,                533014,                671375,                671375,,                    -49,,,,                  2907,                132926,                     80,                              0,,                              0,,,                 -1009,,
1459,2012年01月01日至2012年03月31日,,                -28854,                -28854,,,                 54351,                    571,,                 13476,                 -2770,                     28,,,,,                              0,                225344,                -78186,                     21,                 75523,                -33870,                  1680,                -79436,,                  2333,                              0,               -132648,                -10208,                  2800,,               -137685,               -217121,               -135085,               -163939,                 -8205,               -172144,,                              0,,,,,                 -3456,,                              0,,,,                  1235,                  2735,                    514,,                 48156,,                149994,                 96402,,                              0,                   -120,                              0,,,                -23403,,                260217,                   -567,                 88020,                533014,                621034,                621034,,,                 -5293,,,                 16380,                 82036,                     38,,,                              0,,                              0,                 -5519,               -269948,                              0
