證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 附賣回票券及債券投資（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產及設備,　　 處分投資性不動產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付商業本票增加,　　 發行公司債,　　 償還公司債,　　 償還金融債券,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　 處分不動產及設備,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分持有至到期日金融資產,　　　　 股份基礎給付酬勞成本,　　 備供出售金融資產減資退回股款,　　 處分無活絡市場之債券投資,　　 取得投資性不動產,　　　　 非金融資產減損迴轉利益,　　 處分承受擔保品,　　 短期借款減少,　　 其他金融資產增加,　　 其他資產增加,　　 其他金融負債增加,　　 其他負債增加
2883,2015年01月01日至2015年09月30日,,              6789530,              6789530,,,                395133,                659569,               -891008,              4031774,            -12499691,             -2001321,               -174606,             -1152886,                500491,                 15757,                190244,            -10926544,,,             -7207181,             -9394897,            -66718953,            -13785890,             21029978,              2839399,             18600000,              4209050,            -19024583,            -69453077,,              7696629,             14541156,             -8739932,                -26152,             15133008,            -31035688,              8094019,              5663040,            -63790037,            -74716581,            -67927051,             13301654,              2004489,             -4321507,             -1812349,            -58754764,,            -22216844,            133916279,                999992,               -102564,             -1649096,              7493660,                124971,             -1220224,                  3482,                              0,              1086522,               -449926,                246622,                597425,            118830299,,              7514194,              1517021,             15000000,            -11100000,            -10000000,                              0,             -1186770,             -9098673,               -991669,                              0,               -101675,               -225964,             -8673536,                827956,             52229955,             84850996,            137080951,             40049356,             45246731,             51784864,,,,,,,,,,,,,,,,,
2883,2015年01月01日至2015年06月30日,,              5931337,              5931337,,,                273498,                430007,               -590403,              2771123,             -7750014,               -395949,               -280626,             -1081582,                155173,                              0,                170215,             -6298558,,,             -6272729,             23040526,            -94659557,            -13417819,             -1506317,              5150406,             18600000,              4203832,             -6592441,            -71454099,,             -9539722,             -5613754,            -15877027,              7092309,             25011171,            -16790182,              5949523,             -9767682,            -81221781,            -87520339,            -81589002,              9162005,                356178,             -3266024,             -1701907,            -77038750,,            -21871442,            133110022,,               -102564,             -1311858,              5326875,                 75614,               -920193,,                              0,                506219,               -160066,,                344821,            115247460,,              6766591,              8329347,             13000000,            -11100000,            -10000000,                    379,               -490824,             -9098673,               -972909,                              0,               -150954,               -119156,             -3836199,                -78700,             34293811,             84850996,            119144807,             29154651,             55121724,             34868432,                250032,,,,,,,,,,,,,,,,
2883,2015年01月01日至2015年03月31日,,              3162880,              3162880,,,                131157,                216466,               -165247,              1447098,             -4350652,                -87991,               -198039,             -1039090,,,                 46911,             -3999387,,,             -2872319,             13923698,              1596603,             -6213017,            -29472323,             -1478995,             18600000,             -3189046,              2906775,             -6198624,,             -4813082,             -5870692,             -8470619,             -9840650,             30121978,            -22623710,             10396920,            -11099855,            -17298479,            -21297866,            -18134986,              4762909,                 61238,             -1834742,               -976073,            -16121654,,            -20999056,             17161267,,,               -760334,              1006100,                 44053,               -298500,,,                119879,                -83966,,                -74379,             -3884936,,             26313343,             15208352,              6000000,             -8100000,             -9000000,                              0,               -275960,,               -972909,,,                 31052,             29203878,                -66414,              9130874,             84850996,             93981870,             25287050,             46129526,             22565294,,,,,,,,,,,,,,,,,
2883,2014年度,,             11924294,             11924294,,,                438881,                791042,                 13707,              4436123,            -14172239,             -2227986,               -435824,             -7073278,              1261362,,               -426080,,,,             -7967395,            -53005322,                380981,              2893576,             10085709,            -19608044,              1300000,             -4348371,             -6624768,            -76893634,,              4545761,             12482184,             15322988,              2331031,             31912977,              3373282,               -419005,             69549218,             -7344416,            -24841634,            -12917340,             13524778,              2319087,             -4480508,             -1273481,             -2827464,,            -64295782,             55788096,,,             -2356162,              8733165,                372501,             -3108666,                157196,              6749398,                293385,,                334414,                141870,              2999415,,             13091788,              3808820,              1020680,,             -3500000,              4099668,               -838702,             -6014787,               -921962,               -111150,             -2735783,                 10970,              7909542,                763913,              8845406,             75907801,             84753207,             25130691,             27577163,             32045353,,,               -102926,            -17497218,                              0,                190000,,,,,,,,,,,
2883,2014年01月01日至2014年09月30日,,              8918936,              8918936,,,                322008,                542025,                 50320,              2929541,             -9399859,             -2167994,               -403077,             -5277596,              1050487,                 43814,               -647914,            -12958245,,,             -4871589,            -21747036,                              0,              2100088,              3060704,            -24417240,                              0,             -5335781,             -7868953,            -59079807,,               -525433,              6827783,              7388242,             -1456006,             39200708,             17578947,              2953400,             71967641,             12887834,                -70411,              8848525,              9086037,              1837726,             -3098304,               -627776,             16046208,,            -28563305,             25940135,                 57363,                              0,             -2010992,              4259378,                251358,             -1011871,                157196,              6678321,                293385,               -210945,                113673,                555343,              6509039,,             10117302,             12822693,                              0,                              0,             -3500000,              3498631,               -128349,             -6014787,                              0,               -111150,             -1628131,                147728,             15203937,                -39368,             37719816,             75907801,            113627617,             16895958,             67051793,             29679866,,,,,,,,,,,,,,,,,
2883,2014年01月01日至2014年06月30日,,              5551663,              5551663,,,                210910,                356816,                -67089,              1846274,             -6033774,               -246796,               -232284,             -4175856,                800873,                 32041,               -341199,             -7850084,,,             -3367775,            -20810451,                              0,             -1186043,             -6639144,            -18263602,                              0,             -1521319,              3826660,            -47961674,,             -1795918,                913772,              9593099,             -4318616,             47271912,              9265345,                473142,             61402736,             13441062,              5590978,             11142641,              5962955,                179778,             -2165331,               -410513,             14709530,,             -7728562,             21580634,,                              0,             -1541170,              3879218,                146759,             -1932190,,             -1188041,                164329,               -158327,,                422037,             13645145,,             19139020,              5293390,                              0,                              0,             -3500000,                500059,               -415092,                              0,                              0,               -111150,               -114395,                   -234,             20791598,               -122124,             49024149,             68014561,            117038710,             39518557,             50219821,             27300332,                    458,,,,,,,,,,,,,,,,
2883,2014年01月01日至2014年03月31日,,              3078990,              3078990,,,                103845,                175074,                -73588,                880858,             -2965625,               -121849,                -95170,             -2197546,,,               -317341,             -4611342,,,               -747261,            -17671914,                              0,             -7029427,             -6629056,             -6802442,                              0,            -21181135,               -457530,            -60518765,,              2815838,              2111872,             15568608,             -6970870,             36201038,              8405485,                354944,             58486915,             -2031850,             -6643192,             -3564202,              3092242,                102504,             -1231865,               -459458,             -2060779,,               -548783,              7205860,,,               -494934,              1143479,                 60123,                              0,,,                              0,                -92433,,               -103600,              7169712,,              1164324,              7781995,                              0,                              0,             -2500000,                305128,               -317973,,                              0,,,                    596,              6434070,                182043,             11725046,             75907801,             87632847,             34211246,             42401477,             11020124,,,,,,,,,,,,,,,,,
2883,2013年度,,              9221182,              9221182,,,                453653,                719003,                824715,              3160509,             -9070269,             -2084834,               -381579,             -4405975,              1376328,,                -57234,,,,                765425,            -24865771,                              0,             -2260216,            -29313485,            -19747759,                              0,             -4779896,            -15995224,            -96196926,,              4040063,              4295918,             52661120,             -1097570,             13258002,             39213204,               -791446,            111579291,             15382365,              5139139,             14360321,              8485989,              2728853,             -3062476,               -227002,             22285685,,           -102761112,             85609437,,,             -6083851,              5151297,                397362,               -298500,                              0,                              0,                 58428,,              1209656,                -14202,            -18451847,,              3634232,              2884564,                              0,,                              0,              1883053,               -600026,             -2704828,               -913886,             -3046775,                -59551,                   -462,              1076321,               -187807,              4722352,             71185449,             75907801,             20195997,             37046527,             18665277,,,               -777543,            -10243226,             -1720362,                              0,,,,,,,,,,,
2883,2013年01月01日至2013年12月31日,,              9221182,              9221182,,,                453653,                719003,                824715,              3160509,             -9070269,             -2084834,               -381579,             -4405975,              1376328,                              0,                -65820,,,,                765425,            -24865771,,             -5394305,            -29313485,            -19747759,,             -4779896,            -15995224,            -99331015,,              4040063,              4295918,             52661120,             -1097570,             13258002,             39213204,               -791446,            111579291,             12248276,              2005050,             11226232,              8485989,              2728853,             -3062476,               -227002,             19151596,,           -102761112,             85609437,,,             -6083851,              5151297,                397362,               -298500,,                              0,                 58428,               -225040,              1295144,                125350,            -18451847,,              3634232,              2884564,,,                              0,              1883053,               -600026,             -2704828,               -913886,             -3046775,                -59551,                   -462,              1076321,               -187807,              1588263,             66426298,             68014561,             20195997,             37046527,             10772037,                              0,,               -777543,            -10243226,             -1720362,,                  8960,,,,                   -374,                              0,,,,,
2883,2013年01月01日至2013年09月30日,,              6854906,              6854906,,,                345839,                543399,                224182,              2315611,             -6352296,             -1789086,               -313598,             -2775637,                640616,                    -52,                188999,,,,                804410,             -1845917,,                -30452,            -33184810,            -13030767,,             -6992127,            -16652473,            -70932136,,             22906601,                496515,             35295872,              2978116,             25325441,             25901045,              1131625,            114035215,             43103079,             35272257,             42127163,              6202791,              2109494,             -2413132,               -242301,             47784015,,            -88934933,             70990295,,,             -5581649,              2589529,                337535,               -298500,                              0,                              0,                 58428,               -138960,              1228812,                 18275,            -21453744,,             13816311,              8223304,,,                              0,                638559,               -599931,             -2704828,               -913886,             -3046775,                -59600,                 -2014,             15351140,                181402,             41862813,             71185449,            113048262,             44952957,             38067607,             30027698,,,               -862383,             -7830822,             -1722576,,                  3584,                              0,                              0,,,,,,,,
