證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 應付短期票券減少,　　 其他非流動資產減少,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 其他投資活動,　　 償還公司債,　　 非控制權益變動,　　　　 攤銷費用,　　 存出保證金增加,　　 存出保證金減少,　　 存入保證金增加,　　 應付租賃款增加
9921,2015年01月01日至2015年09月30日,,              4123012,              4123012,,,                786115,                 38536,                 -3323,                106550,               -166474,                 -2250,                 22811,                112336,                 -7338,                125839,              1012802,,,               -110774,               -588360,               -217114,               -959780,               -128256,             -2004284,,                  1379,                449303,                852555,                 19540,                  5343,                -29328,              1298792,               -705492,                307310,              4430322,                147422,               -106189,             -1310515,              3161040,,                -14317,                    203,                342988,                -44352,                -40936,               -712851,                 24931,                 -4345,                -43650,               -504532,                  5363,               -991498,,                615937,                              0,                 20928,                -53760,                 -3798,                  4917,             -2475427,             -1891203,                -69125,                209214,              6470505,              6679719,              6679719,,,,,,,,,,,,,,,,,
9921,2015年01月01日至2015年06月30日,,              2439835,              2439835,,,                520120,                  9417,                 -2302,                 71167,               -110250,,                 20077,                 59138,                -28138,                134057,                673229,,,                -30736,                 -6452,                -44885,             -1303538,                 11621,             -1373990,,                -79951,                701970,                111899,                 31433,                -52798,                -26657,                685896,               -688094,                -14865,              2424970,                109295,                -69246,             -1027906,              1437113,,                    -90,                    203,               -313684,,                -40936,               -396514,                 17720,                 -4334,                -17969,               -391946,,             -1147550,,                309364,,                 20928,                -49118,                 -4310,                  8530,,                285394,                -45834,                529123,              6470505,              6999628,              6999628,                    -57,                              0,,,,,,,,,,,,,,,
9921,2015年01月01日至2015年03月31日,,              1190774,              1190774,,,                267163,                 28995,                 -4527,                 36866,                -57498,,                  5478,                  3781,                 55961,                 -4399,                331820,,,                -21875,             -1061070,                 16638,               -336963,                -92460,             -1495730,,               -177049,               -287041,                356413,                 31953,               -113995,                 -1851,               -191570,             -1687300,             -1355480,               -164706,                 41217,                -37084,               -291871,               -452444,,                    -56,,                586490,,,               -279479,                  2835,                   -683,                              0,               -146838,,                137712,,                811035,,                 13245,                -24611,,,,                795544,                 91964,                572776,              6470505,              7043281,              7043281,,,                -24557,                 -4125,,,,,,,,,,,,,
9921,2014年度,,              5576704,              5576704,,,              1053733,                 83612,,                124133,               -280134,,                 22221,                -56326,                -97362,                -17561,,,,                 37528,             -1417459,               -243126,             -1105458,               -275353,             -3003868,,                243285,                494549,                771949,                 45607,                  3729,,              1556282,             -1447586,               -615270,              4961434,                263879,               -126871,             -1199838,              3898604,,               -162245,                              0,,                              0,,               -633800,                 14033,                -20983,                 15410,               -510957,,             -1528632,,                814769,,                 80360,               -141807,,,             -2250388,             -1508991,                161795,              1022776,              5447729,              6470505,              6470505,,,,                -11925,,                832316,                              0,                 -2837,               -230090,                              0,                              0,,,,,,
9921,2014年01月01日至2014年09月30日,,              4371913,              4371913,,,                791727,                 60744,                -11996,                 98360,               -203427,                              0,                 16725,                 48006,                -14302,                -20503,                765334,,,                 -3985,               -822576,               -211703,               -381281,               -272350,             -1691895,,                405648,              1382029,                480855,                 42657,                 62383,                 -8444,              2365128,                673233,              1438567,              5810480,                182117,                -82390,             -1028264,              4881943,,               -162187,                              0,               -988538,                              0,                              0,               -612833,                 27158,                -12843,                   -712,               -347466,                  1911,             -2095510,,              1551524,                     30,                 81956,                -90087,                              0,                -10472,             -2250388,               -717437,                -29623,              2039373,              5447729,              7487102,              7487102,,,,,,,,,,,,,,,,,
9921,2014年01月01日至2014年06月30日,,              2934054,              2934054,,,                523640,                 31191,                    212,                 67304,               -130554,,                 11913,                 53142,                 75714,                -11218,                621344,,,                 25717,               -331734,               -183252,               -159458,               -382474,             -1031201,,                321691,              1365167,                  7535,                 28521,                112538,                 -5835,              1829617,                798416,              1419760,              4353814,                119257,                -65382,               -615773,              3791916,,                   -124,                              0,             -1625083,,                              0,               -465983,                 27996,                 -6002,                  1751,               -221496,,             -2288941,,                -33300,,                 14735,                -61390,                              0,                 -6847,,                -86689,               -170705,              1245581,              5447729,              6693310,              6693310,                              0,                    113,,,,,,,,,,,,,,,
9921,2014年01月01日至2014年03月31日,,              1363668,              1363668,,,                262724,                 33488,                  7885,                 33931,                -59074,,                  2481,                 84888,                  6527,                 -4686,                368164,,,                 35878,             -1338184,                -46792,                883471,                -96681,               -562308,,                -37757,                -85755,                475485,                 -5694,                  5099,                 -2959,                348419,               -213889,                154275,              1517943,                 47640,                -34233,               -149318,              1382032,,                    -61,,               -523447,,,               -176953,                  2197,                 -2948,                  7199,               -149774,,               -843787,,              1271841,,                 14725,                -33934,,,,              1248140,               -177329,              1609056,              5447729,              7056785,              7056785,,,                              0,                 -4492,,,,,,,,,,,,,
9921,2013年度,,              4505210,              4505210,,,                984051,                 68908,,                139220,               -250413,,                 27991,                302154,                -45286,                -40814,,,,                 13547,                636473,                -11008,                309057,                142193,              1089783,,               -242295,               -908273,                671923,                -79668,                 85185,,               -527803,                561980,              1747791,              6253001,                256643,               -147301,               -896596,              5465747,,                   -242,                  3908,,               -200000,,               -875730,                 27616,                -59311,                -19817,               -435378,,             -1508614,,                154358,,                111825,               -940046,,,             -2062855,             -2820327,                152483,              1289289,              4158440,              5447729,              5447729,,,,                 12301,,              1185811,                   -479,                -54675,                -97730,                148070,                -95910,,,,,,
9921,2013年01月01日至2013年12月31日,,              4505210,              4505210,,,                984051,                 68908,,                139220,               -250413,,                 27991,                302154,                -45286,                -40814,,,,                 13547,                636473,                -11008,                309057,                142193,              1089783,,               -242295,               -908273,                671923,                -79668,                 85185,,               -527803,                561980,              1747791,              6253001,                256643,               -147301,               -896596,              5465747,,                   -242,                  3908,,               -200000,,               -875730,                 27616,                -59311,                -19817,               -435378,,             -1508614,,                154358,                              0,                111825,               -940046,,,             -2062855,             -2820327,                152483,              1289289,              4158440,              5447729,              5447729,,,,                 12301,,              1185811,                   -479,                -54675,                -97730,                148070,                -95910,                              0,,,,,
9921,2013年01月01日至2013年09月30日,,              3598068,              3598068,,,                729257,                 18087,                 -4525,                106479,               -182032,,                 10464,                256379,                 11620,                -29347,,,,                 38761,              1523322,                -83977,                666391,                 61269,              2205287,,                 70749,                 90028,                339886,                  4069,                 33685,,                543171,              2748458,              3664840,              7262908,                191001,               -105968,               -737455,              6610486,,                   -180,                  3950,,               -200000,,               -437466,                 24345,                -44095,                 -1059,               -443452,                              0,             -1872221,,                929251,               -199484,                 97636,               -812442,,                 -3842,             -2062855,             -2147646,                220386,              2811005,              4158440,              6969445,              6969445,,,,,,                916382,                   -479,                  4754,               -899446,                125182,                -95910,,,,,,
