證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還公司債,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 存出保證金增加,　　 預付設備款減少,　　 償還長期借款,　　　　　 其他金融資產（增加）減少
2395,2015年01月01日至2015年09月30日,,              4623563,              4623563,,,                422250,                 64657,                 10962,                 83390,                  3782,                -35659,               -138587,                196408,                -81874,                  3555,               -169614,                              0,                  1927,                361197,,,                -32613,                -15152,               -464500,                  1236,                 19410,               -393109,                -41791,               -926519,,                269911,                 23686,                 36882,                 -1814,                 18067,                346732,               -579787,               -218590,              4404973,                 32807,                220504,                 -1003,               -772042,              3885239,,             -8243443,              9708099,                  3745,                              0,                              0,               -988912,                 21720,                -15574,                -43618,                -48976,                393041,,                 80920,                              0,                   -266,             -3787255,                 30878,               -118577,             -3794300,                 54550,                538530,              3122007,              3660537,              3660537,,,,,,,,,,,,,,,
2395,2015年01月01日至2015年06月30日,,              3104964,              3104964,,,                280055,                 41637,                  6638,                -20918,                  2046,                -23377,                   -253,                130939,                -42382,                  2099,               -161154,                              0,                  1282,                216612,,,                 -5823,                231433,               -785768,                     24,                   -297,                101655,                 89568,               -369208,,                130071,                -56823,                202095,                 -1167,                 17405,                291581,                -77627,                138985,              3243949,                 21787,                    237,                 -1027,               -395141,              2869805,,             -5676586,              3974194,                -15556,                              0,                              0,               -698901,                 18834,                -15589,                -15245,                -22455,             -2451304,,                              0,                              0,                              0,,                 23224,                -65300,                 69528,               -136600,                351429,              3122007,              3473436,              3473436,                111920,                   -316,,,,,,,,,,,,,
2395,2015年01月01日至2015年03月31日,,              1480371,              1480371,,,                139900,                 31393,                  6959,                -45180,                    851,                -11136,                    -88,                 65469,                -22977,                  1366,               -169150,                              0,                    646,                 -1947,,,                 11590,                 99442,                290812,                  2809,                 24546,                -98684,                 50353,                380868,,               -290084,               -273317,                141777,                   -547,                  2505,               -419666,                -38798,                -40745,              1439626,                  8836,,                   -352,                -62256,              1385854,,             -2567973,              2171780,                  3898,                              0,,               -409332,                    478,                  1262,                -11352,                 -5386,               -816625,,                              0,                              0,                              0,,                 14949,                -60560,                 74133,               -139253,                504109,              3122007,              3626116,              3626116,                119936,                   -192,,,,,,,,,,,,,
2395,2014年01月01日至2014年09月30日,,              4520592,              4520592,,,                363316,                 78443,                  3183,                -17244,                  4009,                -39125,               -130716,                 45924,                -81754,                  3307,                -16007,                     17,                  1878,                215231,,,               -133238,               -186392,               -699543,                 -2493,                 21573,               -691546,                -15950,             -1707589,,                233914,                -18667,                166557,                 -1367,                  5674,                386111,             -1321478,             -1106247,              3414345,                 25202,                185490,                 -4556,               -696558,              2923923,,             -2958397,              4280110,                193205,                -18095,                  1407,             -1058730,                  7479,                -10760,                -36784,                -25594,                373841,,                 82000,                 -2400,                    713,             -3017820,                166642,                 37653,             -2733212,               -109711,                454841,              2832358,              3287199,              3287199,,,,,,,,,,,,,,,
2395,2014年01月01日至2014年06月30日,,              2923093,              2923093,,,                220883,                 48354,                 -4301,                 24206,                  2403,                -25991,                              0,                  2278,                -53819,                    838,                   -631,                     17,                  1255,                215492,,,                -55054,                -12487,               -697971,                 -4849,                 12914,               -557787,                 -1007,             -1316241,,                 65089,                225465,                107169,                 -1739,                  6032,                402016,               -914225,               -698733,              2224360,                 22386,                              0,                 -3544,               -378614,              1864588,,             -2217781,              1244440,                 97800,                -18095,                  1407,               -756152,                  7454,                  1155,                -25773,                -39329,             -1704874,,               -107919,                 -2400,                    589,,                101536,                 51467,                 43273,                -31328,                171659,              2832358,              3004017,              3004017,                              0,                              0,,,,,,,,,,,,,
2395,2014年01月01日至2014年03月31日,,              1434436,              1434436,,,                 94126,                 24173,                -19267,                 54337,                  1283,                -14573,                              0,                  1139,                -28038,                   -158,                -18575,                     17,                    637,                 95101,,,                -48574,                  2566,               -194303,                -30358,                -17228,               -479817,                -73178,               -840892,,                 47061,                -85376,                 10265,                 -1263,                  4015,                -25298,               -866190,               -771089,                663347,                  8546,,                   -353,                -55182,                616358,,               -990733,                658439,                216929,                -18095,,               -303305,                  6981,                  1783,                 -3196,               -102850,               -534047,,               -102851,                 -2400,                    392,,                 86517,                 52147,                 33805,                 65863,                181979,              2832358,              3014337,              3014337,                              0,                              0,,,,,,,,,,,,,
2395,2013年01月01日至2013年09月30日,,              3901297,              3901297,,,                272310,                 73041,                 16274,                 19247,                  6319,                -20536,,                 16508,                -59246,                -41726,                -69942,                              0,,,,,                 -8023,                -44980,               -665003,                 -2803,                 52816,                -14131,               -223551,               -905675,,                229328,                342865,               -163736,,,                405229,               -500446,               -118646,              3782651,                 19112,                 42777,                 -3557,               -541957,              3299026,,             -3964415,              4288263,,                              0,                 19330,             -1110894,                 76251,,                -61656,,             -1523065,,               -151452,                              0,,             -2763586,                 77954,                 -3595,             -2910416,                153193,               -981262,              3272043,              2290781,              2290781,,                   -205,,                  4372,                165179,                381800,                 -3228,                -62773,                              0,               -713829,                 11654,                   -544,                 -4452,                -69532,
2395,2013年01月01日至2013年06月30日,,              2489625,              2489625,,,                179711,                 54371,                 18910,                 15794,                  5448,                -13536,,                 11969,                -39915,                -41735,                -61567,                              0,,,,,                 -6402,                -25563,               -838533,                -19882,                -14190,                 35417,                -82476,               -951629,,                325378,                278335,               -130016,,,                471067,               -480562,               -275425,              2214200,                 12525,,                 -1739,               -181349,              2043637,,             -3224293,              1034695,,                              0,                              0,               -549552,                 74818,,                -46079,,             -2684911,,               -151452,                              0,,,                 53429,                 -3595,               -105272,                142794,               -603752,              3272043,              2668291,              2668291,,                   -722,,                  4372,                 71315,                205137,                 -2630,,                 25454,,                 11654,                   -760,                -10848,                 -2932,
2395,2013年01月01日至2013年03月31日,,              1067384,              1067384,,,                 95616,                 24065,                  2435,                  3315,                  3205,                 -6583,,                  5984,                -19677,                  1035,                -34224,                              0,,,,,                  5265,                 33251,               -269602,                -12245,                -26308,               -284426,                -75365,               -120209,,,                -68156,               -165685,,,               -235168,               -355377,               -261636,                805748,                  3326,,                   -322,                -23907,                784845,,             -1975680,                725488,,                              0,,               -243151,                  1208,                    217,                -37013,                              0,             -1491252,,                              0,                              0,                              0,,                 45887,                 -3595,                 43575,                163857,               -498975,              3272043,              2773068,              2773068,                  2095,                   -723,,,                 18570,                 93741,                 -1327,,                 30692,,,,                  6987,                    -89,                509221
2395,2012年01月01日至2012年09月30日,,              3193346,              3193346,,,                260424,                 72529,                 33125,,                 14886,                -14710,,                 36510,                -35645,                -30274,                -32834,,,,,,                 -8468,               -171839,               -758065,                 -9594,                -14252,               -607646,               -176457,             -1746321,,                912235,                267216,                135838,,,              1326631,               -419690,                 52806,              3246152,                 13704,                 33146,                 -4424,               -654820,              2633758,,             -1892861,              2586480,,,                              0,               -399209,                 62808,,                              0,,                118651,,                -23697,,,             -2764981,                104109,                 -9230,             -2704190,               -141335,                -93116,              2281279,              2188163,              2188163,,                   -760,,                              0,                168485,                472496,                 11342,                -93235,,               -176915,                 14503,                  1269,                 15811,                 -9631,
