證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息-營業活動,　　 支付之利息-營業活動,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票處分,　　 處分子公司股權（未喪失控制力）,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付票據增加（減少）,　　 預付投資款增加,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分採用權益法之投資,　　 發行公司債,　　 償還公司債,　　　　 金融資產減損損失,　　　　　 其他營業負債增加（減少）,　　　　　 應收票據（增加）減少
3045,2015年度,,             18165950,                              0,             18165950,,,             10576173,              2939619,                395016,                 68618,                730917,               -154760,                -21213,                              0,                -67562,                332085,                    -47,                              0,                -12437,                              0,                -40004,                  1629,             14748034,,,                  1478,             -1234205,                -27542,               -182688,               -977225,                 55247,                 -4528,                 -5319,                              0,             -2374782,,             -1371871,                 12094,               -229022,                 91006,                 24183,               -156635,                -23276,             -1653521,             -4028303,             10719731,             28885681,                  1194,                   -601,             -3080538,             25805736,,                              0,              1192504,               -596730,                500000,                              0,                 -2108,                  2160,               -670448,                              0,                              0,                              0,            -11585672,                150937,             -1222077,              1219549,             -4180118,                     47,             -2127122,              2259551,                              0,               -288176,                115539,                 52621,            -15179543,,             74120938,            -78800000,             71997631,            -66794184,              8770000,             -2210000,                388216,               -405335,            -15914229,                              0,                              0,               -704786,               -397175,             -9948924,                 -1624,                675645,              7903777,              8579422,              8579422,,,,,,,,,,,,
3045,2015年01月01日至2015年09月30日,,             14027510,                              0,             14027510,,,              7902507,              2147026,                306431,                 43743,                538708,               -109877,                -21213,,                -34062,                 99320,                    -47,                              0,                -12634,                              0,                -42780,                    739,             10817861,,,,             -1170325,                -25533,                -66818,                971352,               -178507,                -16606,,                              0,               -486437,,             -1798356,                  6268,             -1113580,                 42343,                -54842,               -493776,                -17012,             -3444697,             -3931134,              6886727,             20914237,                    873,                   -449,             -2847360,             18067301,,,              1192504,               -596730,                500000,                 -2108,,                  2160,               -670448,                              0,                              0,                              0,             -8898663,                148628,             -1168440,                141459,             -4148626,                     47,             -1402388,              1559551,                              0,               -208381,                 88061,                 39635,            -13423739,,             54800000,            -60350000,             49311695,            -37231065,              5770000,             -1210000,                351257,               -365494,            -15914229,,                              0,               -431463,                              0,             -5269299,                   -409,               -626146,              7903777,              7277631,              7277631,                -15742,,,,,,,,,,,
3045,2015年01月01日至2015年06月30日,,              8977028,                              0,              8977028,,,              5257104,              1360949,                177251,                 -8268,                342764,                -66776,                -10658,,                -17164,                 62900,,                              0,                 -2660,                              0,,                 -2001,              7093441,,,,               -700310,                -11081,                -14882,                288553,               -115133,                -16557,,                              0,               -569410,,             -1574292,                 -1343,               -892646,                 25873,               -120213,               -412304,                -11315,             -3061511,             -3630921,              3462520,             12439548,                    568,                   -304,             -1624287,             10815525,,,              1002660,               -516750,,,,                              0,               -603403,                              0,,                              0,             -6083356,                 38525,               -103513,                 76330,             -4066356,,                -17225,              1372000,                              0,               -144206,                 61253,,             -8984041,,             31350000,            -37600000,             25551664,            -23756606,              5570000,             -1105000,                268271,               -256555,               -670583,,                              0,               -294960,,               -943769,                 -3828,                883887,              7903777,              8787664,              8787664,                -75271,                              0,,,,,,,,,,
3045,2015年01月01日至2015年03月31日,,              4146346,                              0,              4146346,,,              2622270,                631189,                 90872,,                170526,                -30057,,,                 -1469,                 36700,,                              0,,                              0,,                  1980,              3522011,,,,               -437541,                 -4973,                 72665,                -40478,               -150948,                  1987,,                 -8455,               -567743,,               -601876,                 -7486,             -1040181,                 15013,                 66497,                 44058,                 -5655,             -1720114,             -2287857,              1234154,              5380500,                    267,                   -145,                 -4152,              5376470,,,,,,,,,,                              0,,                              0,             -2962132,                    749,                -57165,                 40876,             -3690467,,                -16963,                 45000,,                -69502,                 29243,,             -6680361,,             14800000,            -19900000,             17368991,            -10979407,                550000,               -105000,                 59281,                -69383,,,                              0,               -104787,,              1619695,                 -2211,                313593,              7903777,              8217370,              8217370,               -190484,                              0,,,,,,,,,,
3045,2014年度,,             18866172,                -94363,             18771809,,,              9721579,              1871429,                373778,                              0,                601834,                -94992,                -22803,                  2840,                  4639,                969694,                              0,               -153706,                    168,                 17794,                   -483,                   -593,             13291178,,,                              0,             -1782136,                 14996,                -49560,                570348,                 72751,                 27412,                              0,                 14266,             -1131923,,                707745,                  6312,               -429711,                 27444,               -301410,                459458,                -17342,                452496,               -679427,             12611751,             31383560,                  1510,                 -6291,             -3040263,             28338516,,             -4273724,                              0,                              0,                              0,                     -6,                -60000,                 45673,               -320273,              1193252,                 14533,                250291,            -13569058,                  5856,               -164135,                154372,               -829831,                              0,             -2392255,                447544,                 -3706,               -304769,                 93540,                 48142,            -19664554,,            119246379,           -130955823,             19467020,            -16274202,             10000000,             -1105000,                169229,               -214427,            -15289071,              2970389,                323859,               -586873,              3512800,             -8735720,                 11241,                -50517,              7954294,              7903777,              7903777,,,,,,,,,,,,
3045,2014年01月01日至2014年09月30日,,             14814301,                -94363,             14719938,,,              7195050,              1261786,                268771,                              0,                470699,                -70625,                -22803,,                  7478,                595408,                              0,               -153706,                    168,                 17794,                   -147,                     20,              9569893,,,,               -598013,                  8297,                -95153,                469555,               -119259,                 25927,,                 14180,               -294466,,                927596,                 16873,               -518052,                  9358,               -192302,                 81934,                -13773,                 44830,               -249636,              9320257,             24040195,                  1310,                 -5348,             -2931162,             21104995,,,                              0,                              0,                              0,                              0,,                  2399,               -320273,              1193252,                 14533,                250291,             -9906310,                  4478,               -122294,                121860,               -505596,                              0,               -295520,                233817,                 -3706,               -219945,                 69638,                 47982,             -9435394,,             82292068,            -92732142,             13178826,             -9786477,             10000000,               -105000,                112924,               -146136,            -15289071,,                142246,               -354399,                 49520,            -12637641,                  1111,               -966929,              7954294,              6987365,              6987365,               -266804,,,,,,,,,,,
3045,2014年01月01日至2014年06月30日,,             10274229,                -94363,             10179866,,,              4720588,                719460,                165134,                              0,                296315,                -49882,                -12967,,                  5053,                161629,,               -153706,                              0,                 17794,,                     29,              5869447,,,,                -32507,                   -372,                  5265,                721401,                  6648,                 18092,,                 16701,                735228,,               -287869,                  7028,               -694832,                 -5768,               -285699,                -49701,                 -8307,             -1612215,               -876987,              4992460,             15172326,                  1135,                 -5573,             -1648327,             13519561,,,                              0,                              0,,,,                  2399,               -148118,              1193252,,                250291,             -6476696,                  3727,                -91700,                 79174,               -437599,,                -99812,                208564,                 -3707,               -131169,                 49069,,             -5774480,,             51049204,            -69281272,              3994597,             -5092786,             10000000,                              0,                 69061,               -103863,               -224481,,                142246,               -250610,,             -9697904,                 -1113,             -1953936,              7954294,              6000358,              6000358,               -287067,               -172155,,,,,,,,,,
3045,2014年01月01日至2014年03月31日,,              5079339,                -47867,              5031472,,,              2345909,                322264,                 63032,,                151731,                -24170,,,                  5950,                 73735,,               -158568,,                 17794,,                     80,              2797757,,,,                 40647,                 -6692,                 67544,                843465,                 24741,                  3337,,                 10912,                983954,,               -645710,                -34585,               -653165,                -13433,               -124354,                -33061,                 -3300,             -1911835,               -927881,              1869876,              6901348,                              0,                   -807,                -57772,              6842769,,,,,,,,,,              1193252,,                208843,             -2164714,                  2127,                -44755,                 38504,                -44099,,                -25253,                203431,,                -59835,                 24028,,               -988744,,             25129281,            -31890000,              2596445,             -4493533,              3000000,                              0,                 31658,                -60920,,,                142246,                -85520,,             -5630343,                    541,                224223,              7954294,              8178517,              8178517,               -404227,               -320273,,,,,,,,,,
3045,2013年度,,             19419013,               -300472,             19118541,,,              8767518,              1234149,                321110,,                397373,                -95023,                -24246,                              0,                 55403,              1395538,,                              0,                 -4046,                              0,,                    184,,,,,             -3590403,                 21482,                 -9118,             -1212808,                 47189,                 30630,,                 18265,             -4694763,,               -469971,                  8703,              1079894,                 41840,               -489918,                506844,,                725414,             -3969349,              8072737,             27191278,                              0,                 -1165,             -2357102,             24833011,,             -1000000,                194277,,,                              0,                              0,                  3002,             -1067850,                              0,                              0,                              0,            -11525906,                110239,               -207141,                220613,            -29190087,                      1,             -1218816,              1471101,                              0,               -303046,                 95940,                 34566,            -42370252,,             73873936,            -46435716,              3894957,             -1498542,              3000000,                              0,                193527,               -186458,            -15043570,                              0,                              0,               -302404,                              0,             19291773,                  8622,              1763154,              6191140,              7954294,              7954294,                 48235,,,                 -5874,             12042086,                   -213,                 12855,              5796043,             -4000000,,,
3045,2013年01月01日至2013年12月31日,,             19118541,,             19118541,,,              8767518,              1234149,                321110,,                397373,                -95023,                -24246,,                 55403,              1395538,,,                 -4046,,,                    184,,,,                              0,             -3590403,                 21482,                 -9118,             -1212808,                 47189,,,                 48895,             -4694763,,               -469971,                  8703,              1079894,                 41840,               -489918,,,                725414,             -3969349,              8072737,             27191278,,                 -1165,             -2357102,             24833011,,             -1000000,                194277,,,,,                  3002,             -1067850,,,,            -11501652,                110239,               -207141,                220613,            -29190087,                      1,             -1218816,              1471101,,               -303046,                 95940,                 34566,            -42345998,,             73873936,            -46435716,              3894957,             -1498542,              3000000,,                193527,               -186458,            -15043570,,,               -326658,,             19267519,                  8622,              1763154,              6191140,              7954294,              7954294,                 48235,,,                 -5874,             12042086,                   -213,                 12855,              5796043,             -4000000,                              0,                506844,
