證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款減少,　　 取得無形資產,　　 其他非流動資產減少,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 應付款項增加,　　 其他非流動負債減少,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產重分類淨損失（利益）,　　　　　 其他流動負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 退還（支付）之所得稅,　　 預收款項減少－處分資產,　　 存出保證金減少,　　 現金增資,　　　　　 應計退休金負債增加（減少）,　　 短期借款減少,　　 其他非流動負債增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 存入保證金增加,　　 取得子公司股權
9935,2015年01月01日至2015年09月30日,,                 65256,                 65256,,,                 54648,                 47809,                -23046,                  2423,                 43186,                 -1204,                              0,                  1804,                   -317,                 -1063,                              0,                              0,                -11573,                112667,,,                    -68,                -31089,                 15824,                -64819,                -10621,                -90773,,                   -228,                 -8033,                 12765,                 -7230,                    -71,                -11664,                -14461,               -105234,                  7433,                 72689,                  1204,                -50105,                 23788,,                  3084,                  8636,                -55413,                 17536,                 -7454,                  4436,                    -48,                    232,                -96949,                -26947,               -152887,,                 25752,                -32500,                  9409,                -87219,                   -200,                106839,                   -884,                -30861,                 -9664,                 30259,               -108504,                177131,                 68627,                 68627,,,,,,,,,,,,,,,,
9935,2015年01月01日至2015年06月30日,,                 59077,                 59077,,,                 36136,                 31462,                -20078,,                 28059,                   -996,,                 -5709,                   -317,                 -1063,,,                 -4917,                 65000,,,                    121,                 81690,                 24386,                 34374,                 14798,                155369,,                 21853,                -77080,                 14508,                 -6955,,,                -50901,                104468,                169468,                228545,                    996,                -32785,                196756,,                  3084,                  8636,                -46202,                 18825,                 -6137,                  4209,                    -48,                  2202,                -20347,                -50096,                -85874,,                -52167,                -32500,,                -54007,                   -200,,                   -814,                -30986,               -170674,                 -6790,                -66582,                177131,                110549,                110549,                  2423,                 -3227,,,,,,,,,,,,,,
9935,2014年度,,                 78942,                 78942,,,                 76623,                 64374,                 18795,                 -5970,                 59191,                 -1853,,                      8,               -334157,,                  7781,,                    843,,,,                  2851,                228522,                -16962,                -35639,                              0,                178772,,                 -8402,               -261619,                   -210,               -250552,,                     90,               -534401,               -355629,               -469994,               -391052,                  1853,                -51750,               -444745,,                              0,                449981,                -68281,                  2117,,,                 -2300,                -24590,                 -1728,                    998,                359198,,                -22570,,,                -58483,                   -180,,                 17817,,                 16584,                112221,                 43258,                133873,                177131,                177131,,                -13708,,               -114365,                 -3796,                              0,                  3001,                 80000,,,,,,,,
9935,2014年01月01日至2014年09月30日,,                178750,                178750,,,                 51637,                 47823,                 47608,                 -4637,                 45500,                   -436,                              0,                  1282,               -383485,                              0,                              0,                              0,                   -331,               -195039,,,                  3101,                182039,                -19612,                 10950,                 54415,                230893,,                 12691,               -312525,                -18253,                 -2518,                    -71,                 -7507,               -328183,                -97290,               -292329,               -113579,                    436,                -45582,               -158725,,                              0,                205658,                -30291,                    487,                 -2000,                              0,                   -300,                -24853,                -16168,                -26385,                106148,,                -37625,                              0,                 17897,                -30847,                   -180,                              0,                              0,                 20801,                -29954,                 16729,                -65802,                133873,                 68071,                 68071,,,,,,,,,,,,,,,,
9935,2014年01月01日至2014年06月30日,,                225438,                225438,,,                 33269,                 30331,                 52000,,                 30242,                 -1177,,                              0,               -383485,                              0,,,                   -109,               -241546,,,                 -1437,                 15193,                -25114,                 36865,                -28630,                 -3123,,                 14002,               -220949,                -12461,                 -4461,,,               -234932,               -238055,               -479601,               -254163,                  1177,                -27765,               -280751,,                              0,                205658,                -16113,                    509,                 -2000,                              0,                              0,                 -2127,                -13994,                              0,                171933,,                 38703,                              0,,                -24985,                   -180,,                              0,                 28069,                 41607,                 17818,                -49393,                133873,                 84480,                 84480,                 -2617,                -11063,,,,,,,,,,,,,,
9935,2014年01月01日至2014年03月31日,,                239486,                239486,,,                 16487,                 15185,                 52000,                     71,                 13964,                     -3,,                              0,               -384503,,,                              0,                     71,,,,                  2148,                 64876,                -18748,                 20368,                  3087,                 71731,,                -20274,               -113322,                 -4122,                  5513,,,               -141778,                -70047,               -356775,               -117289,                      3,                -11408,               -128694,,,                114248,                -15424,                              0,,,                              0,                  4193,                              0,,                103017,,                  7543,                              0,                 -7818,,,,,                              0,                    570,                 26414,                  1307,                133873,                135180,                135180,,                 -9573,,               -286728,                              0,,                              0,,,                              0,                    845,                              0,,,,
9935,2013年度,,               -479355,               -479355,,,                 91746,                 64785,                 80133,                  2740,                 87100,                 -3874,,                -46239,                              0,,                 50952,,                    600,,,,                  3149,                 20312,                109048,                167927,                -19314,                281122,,                 54674,               -278339,                 -7088,                -13453,,                -19128,               -256137,                 24985,                352928,               -126427,                  3874,                -83565,               -219016,,                  2464,                              0,                -24694,                189017,,,                   -612,                  3484,                 -7703,                              0,                415311,,                 33988,,,               -244133,                              0,,                 -4000,,               -153145,                  4505,                 47655,                 86218,                133873,                133873,,                  7197,,                327943,                -12898,                253323,                     32,                 61000,,,,,,,,
9935,2013年01月01日至2013年12月31日,,               -479355,               -479355,,,                 91746,                 64785,                 80133,                  2740,                 87100,                 -3874,,                -46239,,,                 50952,                              0,                  1009,,,,                  3149,                 20312,                109048,                167518,                -38442,                261585,,                 54674,               -278339,                 -7088,                -13453,,,               -237009,                 24576,                352928,               -126427,                  3874,                -83565,               -219016,,                  2464,,                -24694,                189017,                              0,,                   -612,                  3484,                 -7703,,                415311,,                 33988,                              0,,               -244133,,,                 -4000,,               -153145,                  4505,                 47655,                 86218,                133873,                133873,,                  7197,,                328352,                -12898,                253323,                     32,                 61000,,,                              0,,                              0,                              0,                              0,                              0
9935,2013年01月01日至2013年09月30日,,               -131519,               -131519,,,                 71466,                 54081,                  1500,                  3337,                 62648,                 -3260,                  1185,                     10,                              0,,                 14490,                              0,                    761,,,,                  5524,                 41202,                  1873,                 19921,                -13430,                 55090,,                 54332,                -26028,                -75721,                -18094,,                  6471,                -59040,                 -3950,                202268,                 70749,                  3260,                -59353,                  1758,,                  2415,                              0,                -17765,                  1158,                     32,,                   -449,                  4749,                 -5115,                 33238,                 18263,,                 75420,                              0,,                -87989,                              0,,,                 -4000,                -16569,                    -35,                  3417,                 86218,                 89635,                 89635,,,,                206218,                -12898,,,,                              0,,,,,,,
9935,2013年01月01日至2013年06月30日,,                -87013,                -87013,,,                 49594,                 31526,                  1500,,                 38226,                 -2085,,                      3,                              0,,,,                   -276,,,,                 -7157,                108394,                  4259,                  4621,                 -4145,                105972,,                 61443,                -70715,                -90663,                -18063,,                              0,               -113966,                 -7994,                113349,                 26336,                  2084,                -37178,                -19877,,,                              0,                -14445,                     22,                              0,,                   -321,                 32216,                              0,,                 17472,,                 78548,,,                -64352,,,,                 -1100,                 13096,                  5739,                 16430,                 86218,                102648,                102648,                  2855,                  4032,,                121343,                -11119,,,,,,,,,,,
