證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他借款減少,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分投資性不動產,　　 其他預付款項減少,　　　　 處分無形資產損失（利益）,　　 處分無形資產
1722,2015年01月01日至2015年09月30日,,              1499214,              1499214,,,                507494,                 64945,                 14776,                -12652,                -42867,               -791810,                 71131,                    139,                     35,                              0,                254567,                -41655,                289382,                313485,,,               -159376,              1909806,                -89192,                314343,                 83598,                 12468,                906186,              2977833,,                   -217,               -464274,                374299,               -741364,                -23305,                  8567,             14232495,             13386201,             16364034,             16677519,             18176733,                 11463,              1137047,                -50305,               -725938,             18549000,,             -9945257,                155222,             -2195246,                              0,                              0,                 63415,               -434444,                 46022,                  3078,                 -1180,               -323871,            -12632261,,             -1700000,                              0,                              0,               -140000,                 56931,             -2156000,             -3939069,                 28878,              2006548,                610560,              2617108,              2617108,                              0,,,,,,,,,,,,,
1722,2015年01月01日至2015年06月30日,,                272259,                272259,,,                342216,                 43367,                 10884,                 -5842,                 -5333,               -354764,                 78558,                    139,                              0,                              0,                253998,                 26793,                289382,                679398,,,                -48600,              1737639,               -103722,                346858,                420671,                  9077,                815685,              3177608,,                 -2616,               -570237,               -355119,               -196867,                -30223,                  5714,                -37473,             -1186821,              1990787,              2670185,              2942444,                  5894,                652642,                -47036,               -649950,              2903994,,               -601713,                              0,                  6902,                              0,                              0,                 63415,               -248206,                 38235,                  1757,                              0,               -194087,               -933697,,             -1700000,,                -70000,,                 -5982,,             -1775982,                -16141,                178174,                610560,                788734,                788734,                              0,,,,,,,,,,,,,
1722,2015年01月01日至2015年03月31日,,                 16584,                 16584,,,                172379,                 21514,                  6841,                 -3396,,               -216991,                 -3160,,                              0,                              0,                              0,                  4184,                223650,                205021,,,                -72672,              1383277,                  2673,                -70607,                115325,                  6686,                764952,              2129634,,                 -7641,               -392041,               -534537,                 72598,                 -3115,                  2838,                -18528,               -880426,              1249208,              1454229,              1470813,                  3443,                647309,                -42993,               -625466,              1453106,,                              0,                              0,                  1031,                              0,,,               -126335,                  5303,                  1505,                              0,               -112056,               -230552,,,,                -70000,,                -11694,,               -981694,                 -1603,                239257,                610560,                849817,                849817,                              0,               -900000,,,,,,,,,,,,
1722,2014年度,,              2847253,              2847253,,,                582521,                 92909,                 48623,                 -2428,                -23214,             -1676767,                  7639,                  2675,                  9409,                 49510,                -20000,                -18037,                421575,,,,                -96255,             -1471728,               -165233,                 31835,             -1156150,                  6185,                 78457,             -2772889,,                -12954,               -197777,                -55308,               -414361,                 64639,,                -74946,               -638599,             -3411488,             -3937073,             -1089820,                  2385,                621474,                -11814,               -126481,               -604256,,               -213990,                562675,,                -15000,                  3931,                 18000,               -719454,                 18460,                  2295,                -10248,               -171045,               -523740,,              1545445,              1000000,                -70000,,                 32503,             -1960000,                547948,                  3212,               -576836,              1187396,                610560,                610560,                              0,,,                              0,                              0,               -525585,                 52108,                    636,                              0,                              0,                              0,,,
1722,2014年01月01日至2014年09月30日,,                297768,                297768,,,                440752,                 69064,                  4419,                 -1434,                -23362,             -1406750,                    993,                              0,                  2046,                 49510,                -18530,                 -9084,                208635,               -683741,,,                -39742,                458604,               -160317,                279648,             -1195776,                 -1700,               -341481,             -1000764,,                -16641,               -273017,                105905,                422846,                  3393,                  8439,                -55068,                195857,               -804907,             -1488648,             -1190880,                  1455,                 23362,                 -4915,                -96384,             -1267362,,               -213990,                445603,                -60791,                -15000,                  3931,                              0,               -566272,                  6732,                  2277,                 -5946,                -41074,               -444530,,              2150000,              1000000,                -70000,                 -2555,                 33979,             -1960000,              1151424,                  1995,               -558473,              1187396,                628923,                628923,                              0,,,,,,,,,,,,,
1722,2014年01月01日至2014年06月30日,,                167506,                167506,,,                294984,                 46754,                  1695,                 -1194,                 -2895,               -987335,                    459,                              0,                  2667,                 49510,                -18530,                 -3199,                208635,               -408449,,,                 27081,                907483,               -160753,               -285717,               -942027,                 -8937,               -216174,               -679044,,                -18456,               -231659,                 65939,                298995,                   -857,                  3331,                -35190,                 82103,               -596941,             -1005390,               -837884,                  1215,                  2895,                 -1805,                -96302,               -931881,,               -188990,                419417,                -60394,                -15000,                  3931,                              0,               -124047,                  6710,                    867,                 -5946,                -19653,                 16895,,                250000,,                 -2555,,                 39477,,                286922,                   -764,               -628828,              1187396,                558568,                558568,                              0,,,,,,,,,,,,,
1722,2014年01月01日至2014年03月31日,,                112588,                112588,,,                149606,                 23398,                    343,                   -365,,               -468411,                   -343,,                 -5205,                 49510,                -29530,                    876,                              0,               -280121,,,                -36362,                273470,                -27905,                288535,               -988156,                 -5050,               -136351,               -631819,,                 70155,               -109717,                -72551,                376164,                  3001,                  7033,                -15313,                258772,               -373047,               -653168,               -540580,                    348,                              0,                   -487,                   -105,               -540824,,               -188990,                407733,                 -5355,                -15000,,,               -110347,                    350,                    165,                 -5946,                 -1197,                 81413,,,,                 -2555,,                 40567,,               -111988,                  1167,               -570232,              1187396,                617164,                617164,                              0,               -150000,,,,,,,,,,,,
1722,2013年度,,              2631742,              2631742,,,                289582,                 86449,                  5520,                -15348,                -21585,             -1657021,                  3253,                   -746,                -20944,                 83164,                -22113,                 -5429,                209440,,,,                -44037,              1180837,                 77576,              1203200,                301885,                  7553,               -426039,              2300975,,                  4493,                179149,               -126663,                 -9017,                -16304,,                -54524,                  9701,              2310676,                926753,              3558495,                 15383,              1553969,                 -5683,               -619397,              4502767,,             -3212039,              3485287,,               -100000,                  3589,                              0,             -1226904,                  9898,                 35350,                -14293,                -43895,             -1489296,,                 82000,                              0,               -167177,,                 32443,             -2646000,             -2698734,                  1641,                316378,                871018,              1187396,              1187396,                              0,,,                 18186,               -336331,             -1383923,                 32567,                -24567,                -28505,               -373963,                    746,,,
1722,2013年01月01日至2013年12月31日,,              2631742,              2631742,,,                289582,                 86449,                  5520,                -15348,                -21585,             -1657021,                  3253,                   -746,                -20944,                 83164,                              0,                 -5429,                187327,,,,                -44037,              1180837,                 77576,              1203200,                301885,                  7553,               -426039,              2300975,,                  4493,                179149,               -126663,                 -9017,                -16304,,                -54524,                  9701,              2310676,                926753,              3558495,                 15383,              1553969,                 -5683,               -619397,              4502767,,             -3212039,              3485287,,               -100000,                  3589,                              0,             -1226904,                  9898,                 35350,                -14293,                -43895,             -1489296,,                 82000,,               -167177,,                 32443,             -2646000,             -2698734,                  1641,                316378,                871018,              1187396,              1187396,,,,                 18186,               -336331,             -1383923,                 32567,                -24567,                -28505,               -373963,                    746,,,
1722,2013年01月01日至2013年09月30日,,              2818208,              2818208,,,                222904,                  9054,                  4355,                -13050,                -21585,             -1260799,                  1310,,                -13023,                              0,                102395,                 -3762,               -336331,,,,                 45485,                953847,                 47877,                684070,                207471,                 19909,               -272821,              1685838,,                 -9000,                140369,               -144307,               -181134,                   -323,,                -55373,               -231318,              1454520,                146367,              2964575,                 13089,              1534099,                 -4430,               -600221,              3907112,,             -3104388,              3002411,,               -100000,                              0,,               -740331,                  9911,                  8109,                 -7974,                -40946,             -1404854,,                 62000,                              0,                              0,                -19627,                 13771,             -2646000,             -2589856,                  2029,                -85569,                871018,                785449,                785449,                              0,,,                    379,,             -1308153,                 18450,                -29178,                -28505,               -373963,,,,
