證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 央行及同業融資增加,　　 發行金融債券,　　 償還金融債券,　　 附買回票券及債券負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　　　 保證責任準備淨變動,　　 附買回票券及債券負債減少,　　 央行及同業融資減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 以成本衡量之金融資產減資退回股款,　　　　 處分及報廢不動產及設備損失（利益）,　　 其他投資活動,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2801,2015年度,,             13746201,             13746201,,,                567004,                135264,                329372,                297723,             12075574,            -32991503,               -345033,               -181117,               -704511,               -112546,            -20929773,,,              7455792,             -5590573,              1639599,            -63078423,            -19278268,            -22140196,             46950053,                 71764,            -53970252,,             11201771,              1976567,             -6081578,             94770426,                450780,                -98774,                264593,            102483785,             48513533,             27583760,             41329961,             32563180,                345033,            -12356946,             -1474704,             60406524,,               -566799,                     32,               -108820,                   -998,               -676585,,             -8401985,                              0,            -13350000,                 85353,             -1580808,            -23247440,                -10707,             36471792,             82228233,            118700025,             31225679,             87474346,,,,,,,,,,
2801,2015年01月01日至2015年09月30日,,             10927696,             10927696,,,                427147,                 98113,               -857567,             -1152814,              9101891,            -24636607,               -345033,               -179861,              1069370,                 87825,            -16340289,,,             14513707,            -13476438,              1489030,            -67113400,            -15039520,            -16285506,             38160881,                -78335,            -57829581,,             11892355,                -20598,             11309626,             48609825,                294211,                -44397,                602927,             72643949,             14814368,             -1525921,              9401775,             24591718,                339105,             -8882590,             -1390083,             24059925,,               -413849,                     32,                -61988,                   -358,               -476163,,             10869403,                              0,             -5000000,                              0,             -1580808,              4050552,                349401,             27983715,             82228233,            110211948,             50393221,             59818727,                 47247,               -238043,,,,,,,,
2801,2015年01月01日至2015年06月30日,,              7069266,              7069266,,,                287577,                 64120,               -817831,                596727,              6046108,            -16203301,                -44793,                -52611,             -1301084,                -98749,            -11502297,,,             10239288,             -4719651,                618786,            -27046394,            -20810768,            -10567044,             32531278,               -110331,            -19864836,,                738388,              1258517,             -4415006,             32086404,                419018,                -98590,               -101048,             29887683,             10022847,             -1479450,              5589816,             16818990,                 32599,             -6442152,               -709529,             15289724,,               -150378,                     30,                -49505,,               -199853,,                              0,                              0,             -5000000,              1148842,,            -11720858,               -429956,              2939057,             82228233,             85167290,             38861339,             46305951,                 21540,                              0,             -7869700,,,,,,,
2801,2015年01月01日至2015年03月31日,,              3399360,              3399360,,,                143740,                 31617,               -284626,              1313739,              3026673,             -8068390,,                -30597,             -1704724,                -68814,             -5641382,,,             21445661,              3419415,              2176937,            -49642354,            -11142670,             -4928089,             32587182,               -441029,             -6524947,,              2904230,             -3626189,             -5409742,              4443089,               -107799,                -38325,                337775,             -1496961,             -8021908,            -13663290,            -10263930,              8697794,,             -2593577,               -100100,             -4259813,,                -90092,                     31,                 -9435,,                -99496,,              6072397,,,              1147248,,              7219645,               -253874,              2606462,             82228233,             84834695,             34996556,             49838139,,,,,,,,,,
2801,2014年度,,             12424085,             12424085,,,                596870,                118595,               -884084,             -1425094,             12524515,            -31862471,               -292404,                 30843,                549606,                167029,            -20476595,,,             -6206427,             32600657,                -36679,           -115464623,             -7310588,             43262610,            -39440661,                -98708,            -92694419,,              7891621,             -6492281,              3897264,             80079186,                -47612,               -114726,                706697,             85920149,             -6774270,            -27250865,            -14826780,             29948559,                292404,            -12157939,               -454178,              2802066,,               -567103,                  1449,               -500377,                   -133,             -1066164,,             -9615371,             25835000,             -5000000,                 22103,             -4649435,              6592297,                700170,              9028369,             73199864,             82228233,             39586197,             42642036,,,,,,,,,,
2801,2014年01月01日至2014年09月30日,,             10570750,             10570750,,,                449194,                 86848,             -1750707,               -932094,              9408381,            -23722823,               -292404,                -35083,                107160,                  7461,            -16466364,,,              3397501,             33065142,             -1864300,            -81146901,             -8043821,             42659305,            -41531389,               -180570,            -53645033,,                805713,             -4817598,              2777169,             41294111,                 22058,                -25626,                459687,             40515514,            -13129519,            -29595883,            -19025133,             22417430,                291066,             -8681149,               -307149,             -5304935,,               -368772,                  1432,               -489544,                   -133,               -857017,,             21395378,             10000000,             -5000000,                233010,             -4649435,             21978953,                148756,             15965757,             73199864,             89165621,             43243143,             45922478,                207703,                              0,,,,,,,,
2801,2014年01月01日至2014年06月30日,,              7118194,              7118194,,,                301296,                 55163,             -1646460,               -847240,              6279887,            -15545690,                -25232,                 -6382,                343334,               -122587,            -11077487,,,             -1326351,             33355260,             -1869577,            -56368798,             -6228455,             43493473,            -51879314,                -58459,            -40882221,,              2209771,             -3815947,                435510,             23649990,                920036,                 -9665,                319521,             23709216,            -17173005,            -28250492,            -21132298,             14692161,                 23185,             -6105044,               -135963,            -12657959,,               -306972,                  1388,               -487381,,               -792965,,             14193298,             10000000,                              0,                              0,,             23941350,               -191662,             10298764,             73199864,             83498628,             41302582,             42196046,                136424,               -251948,                              0,,,,,,,
2801,2014年01月01日至2014年03月31日,,              3650902,              3650902,,,                150971,                 23303,               -869272,             -1443015,              3054484,             -7570714,,                 -7328,              1423329,                -71981,             -5310223,,,                111857,             12381232,              1546460,            -52535035,             -3436538,             46024029,            -43579695,               -265066,            -39752756,,               -513999,             -2839611,             -1258014,             27729807,              2306566,               -104072,                154083,             25474760,            -14277996,            -19588219,            -15937317,              7039327,,             -2327900,                130718,            -11095172,,               -199937,                      4,               -468810,,               -668743,,             15109297,,,                256719,,             15366016,                 81838,              3683939,             73199864,             76883803,             41583345,             35300458,,,,,,,,,,
2801,2013年度,,             10747720,             10747720,,,                637911,                 30336,               -637773,             -1644440,             10240983,            -27321411,               -338560,               -193652,                579861,               -219232,,,,              1502016,            -17235108,             -2569384,            -13068876,             25948764,            -56292882,            -29118885,                -19445,            -90853800,,             -2280640,             -6647186,             -7781949,             56801109,               -692645,               -309178,                505321,             39594832,            -51258968,            -70124945,            -59377225,             27021784,                338560,            -10336136,               -333038,            -42686055,,               -468344,                    514,                -20514,                   -470,                 28417,,             28579474,              4879000,                              0,                              0,               -724211,             31609300,                282193,            -10766145,             83966009,             73199864,             46802014,             26397850,,             -1124963,,,            -18865977,                517231,,,,
2801,2013年01月01日至2013年12月31日,,             10747720,             10747720,,,                637911,                 30336,               -637773,             -1644440,             10240983,            -27321411,               -338560,               -193652,                579861,               -219232,,,,             -1554571,            -17235108,             -2569384,            -13068876,             25948764,            -56292882,            -29118885,              3037142,            -90853800,,             -2280640,             -6647186,             -7781949,             56801109,               -692645,               -309178,                505321,             39594832,            -51258968,            -70124945,            -59377225,             27021784,                338560,            -10336136,               -333038,            -42686055,,               -468344,                    514,                -20514,                   -470,                 28417,,             28579474,              4879000,,,               -724211,             31609300,                282193,            -10766145,             83966009,             73199864,             46802014,             26397850,,             -1124963,,,            -18865977,                517231,,,,
