證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 對子公司之收購（扣除所取得之現金）,　　 現金增資,　　 處分子公司股權（未喪失控制力）,　　　　 其他項目,　　　　 呆帳費用提列（轉列收入）數,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付建造合約款（增加）減少,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 處分備供出售金融資產
3266,2015年01月01日至2015年09月30日,,               -742830,               -742830,,,                 21814,                  3247,                 -7221,                 22635,                 -3089,                 59548,                              0,                -55535,                 37685,                 79084,,,                -59780,                -21001,                -67086,                 41922,                -10983,                 55068,                    919,                 -3450,                 -9134,                -73525,,                  4588,                 -8293,                 -5913,                145639,                -88239,                   -648,                140731,                 10278,                    315,                198458,                124933,                204017,               -538813,                  3101,                -67620,                 -6695,               -610027,,                              0,                 -9644,                              0,                              0,                    119,                              0,                              0,                 -9525,,              1360676,               -599195,                 29790,                -19802,                  1887,               -352314,                -25905,                395137,                 64504,               -159911,                542362,                382451,                382451,,,,,,,,,,,,,,,,,
3266,2015年01月01日至2015年06月30日,,                -66713,                -66713,,,                 14574,                  2500,                 -5138,                  7080,                 -2362,                  9617,,,,                 26271,,,                  6717,                -50055,               -141526,                124572,                    584,               -503164,                   -381,                   -140,                -29006,               -592399,,                 20295,               -167623,                 -3753,                145109,                -60140,                   -435,                111745,                  3701,                    315,                 49214,               -543185,               -516914,               -583627,                  2371,                -41326,                 -3931,               -626513,,,                 -9596,,                   -530,                              0,,                              0,                -10126,,                805360,               -362000,                 30000,                -20000,                  1479,                              0,,                454839,                 -2877,               -184677,                542362,                357685,                357685,                              0,,,,,,,,,,,,,,,,
3266,2015年01月01日至2015年03月31日,,                -48846,                -48846,,,                  7162,                  1271,                  1114,                  3665,                   -615,                  4258,,,,                 16855,,,                 55463,                -18438,                  5456,                 67941,                 -1057,               -305205,                 -3936,                     90,                -23190,               -222876,,                 -2119,               -248312,,                 53342,                -67634,                   -932,                 66948,                  2353,                    315,               -196039,               -418915,               -402060,               -450906,                    641,                -21561,                      1,               -471825,,,                 -2379,,                   -636,,,,                 -3015,,                445360,               -181000,                 59940,,                              0,,,                324264,                 -1654,               -152230,                542362,                390132,                390132,,                    -36,,,,,,,,,,,,,,,
3266,2014年度,,              1471559,              1471559,,,                 26372,                  5080,                 -8702,                 11204,                 -7574,                 28296,                    440,,                              0,,,,               -107602,                 25331,                 93226,                -80605,                  1187,             -2732312,                114317,                 12583,                -71002,             -2744877,,                 -5046,               -169378,,                 28836,                136515,                 13459,               -958995,                -23644,,               -978091,             -3722968,             -3498448,             -2026889,                  7669,                -78732,               -153898,             -2251850,,                -10000,                 -7079,                    185,                 46459,,                   -624,                              0,               -146041,,              1822368,             -1914228,,                 19991,                    604,                -24210,              1176247,              1080772,                 12546,             -1304573,              1846935,                542362,                542362,,                              0,,                              0,                169404,                224520,                    162,               -174982,                              0,,,,,,,,
3266,2014年01月01日至2014年09月30日,,              1804165,              1804165,,,                 19356,                  3822,                 -5116,                  8174,                 -5524,                 23069,                    369,                              0,                              0,                 44150,,,                -75654,                  2031,                107220,                 33444,                  4879,                 19493,                211829,                  9763,                -40753,                272252,,                 66452,               -384142,                -40991,                 96507,               -423799,                  3356,             -1224251,                -23502,                    -50,             -1930420,             -1658168,             -1614018,                190147,                  5524,                -55761,               -168363,                -28453,,                -10000,                 -3965,                    215,                 -2745,                              0,                    -12,               -174982,               -191489,,                600307,             -1664988,                              0,                              0,                  4849,                              0,                -24210,             -1084042,                  7709,             -1296275,              1846935,                550660,                550660,,,,,,,,,,,,,,,,,
3266,2014年01月01日至2014年06月30日,,              1844625,              1844625,,,                 13154,                  1231,                 -2245,                  5207,                 -4289,                 17190,,,,                 30219,,,                -88430,                 17100,                110359,                 29780,                  6185,                152483,                205766,                 11658,                -57891,                387010,,                  6263,               -245553,                -33908,                 25855,               -409744,                  3356,             -1289776,                -19114,                  2493,             -1960128,             -1573118,             -1542899,                301726,                  4267,                -35510,               -136000,                134483,,,                 -1231,,                              0,                 43757,,               -174982,               -132456,,                630000,             -1721963,                 70000,                -50000,                  3922,                -24210,,             -1092251,                 -2922,             -1093146,              1846935,                753789,                753789,                    -29,,,,,,,,,,,,,,,,
3266,2014年01月01日至2014年03月31日,,              1790857,              1790857,,,                  3739,                  1316,                  1141,                  1418,                   -741,                  9863,,,,                 16736,,,                -42920,                 23933,                101769,                 32396,                     17,              1285795,                145261,                 11537,                -33942,              1523846,,                 -1713,               -269339,,                 17123,                 -4332,                  3356,             -1312220,                -18228,                    -49,             -1585402,                -61556,                -44820,              1746037,                    907,                 -2935,                -24342,              1719667,,,                   -342,,                 -1016,,,,                 -1358,,                              0,             -1401000,                              0,,                     90,,,             -1400910,                              0,                317399,              1846935,              2164334,              2164334,,                              0,,,,,,,,,,,,,,,
3266,2013年度,,              1909137,              1909137,,,                  6815,                    487,                 -1571,                 30685,                 -9881,                 14442,                    -13,,                 10071,,,,                -45043,                 40243,                 50811,                  1034,                  4020,              1650152,                312226,                  5084,                              0,              2018527,,                 -3518,               -113665,,                -22404,               -121598,                 53414,               -805467,                  5283,,             -1031882,                986645,              1040663,              2949800,                  4185,                -29616,                -27719,              2896650,,               -633875,                 -6483,                     29,                -49288,,                   -650,               -197430,               -887697,,              3306192,             -4867128,,                -49941,                              0,               -389400,                 80672,               -669904,                              0,              1339049,                507886,              1846935,              1846935,,                   -299,,                  2983,                              0,                 54018,                -23927,                              0,              1250000,,,,,,,,
3266,2013年01月01日至2013年12月31日,,              1909137,              1909137,,,                  6815,                    487,                 -1571,,,                 14442,                    -13,,                              0,,,,                -45043,                 40243,                 50811,                  1034,                  4020,              1650152,                312226,                  5084,,              2018527,,                 -3518,                -72091,                -41574,,               -121598,                 53414,               -805467,                  5283,,             -1031882,                986645,              1040663,              2949800,                  4185,                -29616,                -27719,              2896650,,               -633875,                 -6483,                     29,                -49288,                              0,                   -650,               -197430,               -887697,,              3306192,             -4867128,                              0,                -49941,                              0,               -389400,                 80672,               -669904,,              1339049,                507886,              1846935,              1846935,                              0,                   -299,,                  2983,,                 54018,                -23927,,              1250000,,                 30875,                              0,                              0,                -22404,                              0,                              0,
3266,2013年01月01日至2013年09月30日,,              1340730,              1340730,,,                  4806,                  1722,                   -785,                 16529,,                     -4,                    -29,,,,,,               -101664,                  5772,                144992,                 33651,                  9863,              2022466,                109710,                  6060,                -23430,              2207420,,                 -4562,               -487883,                -58339,                 60864,               -105901,                  2752,               -374881,                -16959,,             -1008298,              1199122,              1221361,              2562091,                  9987,                -36766,                -19370,              2515942,,                              0,                 -7504,                              0,                 -1042,,                 -1723,               -198425,               -208694,,              1535000,             -3072716,,                -49941,                              0,               -389400,,             -1819474,                              0,                487774,                507886,                995660,                995660,,                   -287,,,,                 22239,                -23389,,,                157870,,,,,,,
