證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　 其他預付款項減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 支付之股利,　　 取得採用權益法之投資,　　 舉借長期借款,　　 非控制權益變動,　　 取得以成本衡量之金融資產,　　　　 非金融資產減損迴轉利益,　　 處分以成本衡量之金融資產,　　 應付短期票券減少,　　　　　 負債準備增加（減少）
2415,2015年01月01日至2015年09月30日,,                 79743,                 79743,,,                 99150,                 16279,                   -538,                 35248,                -12017,                  4467,                  4021,                  5167,                              0,                  1582,                  2109,                 18788,                174256,,,                    455,                    -43,                 17075,               -121387,                 92723,                  4055,                 -6285,                -13407,,                  1541,                 -9428,                -41043,                 -4563,                   -105,                -53598,                -67005,                107251,                186994,                  9456,                -34273,                -19875,                142302,,                              0,               -140897,                  1907,                 -3448,                  2755,                 -6418,                -44310,                -45163,                              0,               -235574,,              3672226,             -3354945,                -56109,                  1554,                   -723,                -91177,                170826,                 -6897,                 70657,                735496,                806153,                806153,,,,,,,,,,,,,,,,
2415,2015年01月01日至2015年06月30日,,                 34495,                 34495,,,                 65170,                 10864,                   -460,                 23001,                 -8455,                  2975,                    464,,,                  2823,                              0,                 14355,                110737,,,                    355,                    286,                   -423,               -135358,                 50088,                 -8237,                 -6095,                -99384,,                    530,                 13568,                -52322,                 -2209,                    -70,                -40503,               -139887,                -29150,                  5345,                  8128,                -22123,                -15638,                -24288,,,                -89871,                    146,                 -2588,                              0,                 -4209,,                -43582,,               -170887,,              2464050,             -2212907,                -36000,,                   -506,,                214637,                -98521,                -79059,                735496,                656437,                656437,                -30783,                              0,,,,,,,,,,,,,,
2415,2015年01月01日至2015年03月31日,,                  7463,                  7463,,,                 33255,                  5473,                 -1125,                 10611,                 -4253,                  2004,                    142,,,                  1378,,                  4832,                 52317,,,                      6,                     14,                 31205,               -159114,                 30512,                 -5552,                  1815,               -101114,,                    990,                 18940,                -58721,                 -5692,                    -35,                -44518,               -145632,                -93315,                -85852,                  2510,                -10326,                 -6282,                -99950,,,                -43896,                              0,                 -2395,                      2,                 -2170,,                -32832,,                -82875,,                957597,               -699819,                -18000,,                   -506,,                239272,                -46547,                  9900,                735496,                745396,                745396,                 -1584,                              0,,,,,,,,,,,,,,
2415,2014年度,,                293978,                293978,,,                117957,                 18490,                -14182,                 37667,                -17895,                  3738,                    960,                              0,               -138421,                  2208,,                 17338,,,,                   -788,                    762,                -18242,               -229538,                -61564,                -39117,                 -4809,               -353296,,                -11117,                 37471,                 57105,                -31042,,                 52074,               -301222,               -273362,                 20616,                 18642,                -34545,                -56554,                -51841,,                121774,               -222683,                  9643,                 -3407,                  3816,                 -9716,,                -43718,,               -160875,,              4524815,             -4183004,                -72000,                              0,                 -2947,                -72942,                240204,                 77100,                104588,                630908,                735496,                735496,                -12059,                 -4525,,                              0,                 27860,                   -343,                              0,                              0,                              0,                 46282,                              0,,,,,
2415,2014年01月01日至2014年09月30日,,                272847,                272847,,,                 84674,                 13961,                -14775,                 26708,                -13259,                  3023,                    540,                              0,               -138421,                  2787,                  2767,                 13504,                -18491,,,                  7824,                    579,                -45632,               -175027,                -45666,                -36640,                 -5770,               -300332,,                -10052,                 74345,                 84346,                -25025,                   -263,                123351,               -176981,               -195472,                 77375,                 11834,                -23943,                -50619,                 14647,,                121774,               -167625,                 14042,                 -1816,                  2292,                 -8255,                 -5707,                -10321,                 -4525,                -60141,,              3113350,             -2838875,                -54000,                              0,                              0,                -72942,                147533,                 -5821,                 96218,                630908,                727126,                727126,,,,,,,,,,,,,,,,
2415,2014年01月01日至2014年06月30日,,                 95913,                 95913,,,                 56478,                  8372,                -13656,                 16959,                 -7893,                  2349,                    705,,,                  3703,                    270,                  8866,                 76153,,,                  7734,                    856,                -58082,                 -8681,                -39940,                -44075,                 -1207,               -143395,,                   -654,                    435,                 69309,                -10799,                   -234,                 58057,                -85338,                 -9185,                 86728,                  8167,                -14637,                -11613,                 68645,,,                -74258,                  4266,                 -3361,                  1714,                 -5717,,                -16899,,                -97823,,              2108827,             -1835218,                -36000,,                              0,,                237609,                 -7070,                201361,                630908,                832269,                832269,                    957,                 -4525,,,,,,,,,,,,,,
2415,2014年01月01日至2014年03月31日,,                 42381,                 42381,,,                 27137,                  4378,                -10878,                  7930,                 -3471,                  1741,                    603,,,                  1583,,                  2070,                 31093,,,                  8151,                    871,                 31526,               -295347,                -15695,                   -331,                   -622,               -271447,,                 -7665,                 12533,                113434,                 -8586,                   -169,                109547,               -161900,               -130807,                -88426,                  3260,                 -7085,                 -6345,                -98596,,,                -25431,                  4266,                 -1814,                  1141,                 -5231,,                -27030,,                -62629,,                965375,               -794331,                -18000,,                              0,,                153044,                 20476,                 12295,                630908,                643203,                643203,                 -4005,                 -4525,,,,,,,,,,,,,,
2415,2013年度,,                103042,                103042,,,                113675,                 17953,                 -4139,                 19507,                -19704,                              0,                  1618,                    989,                              0,                  3994,,                 11977,,,,                  9803,                 -1404,                 60299,                -93987,                -60747,                   -147,                 -1515,                -87698,,                  4337,                  7023,                 26959,                 17330,,                 46352,                -41346,                104512,                207554,                 23945,                -19465,                -21914,                190132,,                              0,                -83907,                  2484,                 -2581,                  2553,                 -5431,,                -13838,,               -283905,,              2727553,             -2490906,               -143561,                 38462,                -19896,                -55366,                277766,                 25923,                209916,                420992,                630908,                630908,                -65888,                 -4097,,                    -12,                145858,                 -9297,                     12,                              0,               -113200,                150563,                 70917,,,,,
2415,2013年01月01日至2013年12月31日,,                103042,                103042,,,                113675,                 17953,                 -4139,                 19507,                -19704,,                  1618,                    989,,                  3994,,                 11977,,,,                  9803,                 -1404,                 60299,                -93987,                -60747,                   -147,                 -1515,                -87698,,                  4337,                  7023,                 26959,                 17330,,                 46352,                -41346,                104512,                207554,                 23945,                -19465,                -21914,                190132,,,                -83907,                  2484,                 -2581,                  2553,                 -5431,,                -13838,,               -283905,,              2727553,             -2490906,               -143561,                 38462,                -19896,                -55366,                277766,                 25923,                209916,                420992,                630908,                630908,                -65888,                 -4097,,                    -12,                145858,                 -9297,                     12,,               -113200,                150563,                 70917,                              0,                              0,                              0,                              0,
2415,2013年01月01日至2013年09月30日,,                 62035,                 62035,,,                 84154,                 13631,                 -3586,                 13416,                -15578,                              0,                   -227,,                              0,                  3849,                  1719,                  6019,,,,                  9193,                     96,                 31961,                -21353,                -17385,                 10864,                   -800,                 12576,,                 -3492,                 -1843,                 12675,                 11239,,                  9299,                 21875,                125260,                187295,                  8573,                -13580,                -19036,                163264,,                              0,                -64914,                  1988,                 -2607,                  2300,                 -4033,                -75799,                 -9133,                   -204,               -264709,,              1768741,             -1642084,               -118209,                 19509,                   -588,                -55366,                120713,                 13048,                 32316,                420992,                453308,                453308,,,,                    -12,                103385,                 -9280,                     12,,,                148710,,               -112307,,,,
2415,2013年01月01日至2013年06月30日,,                 42439,                 42439,,,                 55276,                  9178,                 -3631,                  8938,                -10736,                              0,                   -547,,,                  4869,                    111,                  3287,,,,                 -2791,                   -801,                  5530,                -52410,                -51655,                 -6914,                 -2412,               -111453,,                 -3865,                 11367,                 11866,                  4228,,                 18653,                -92800,                -26061,                 16378,                  5743,                 -8558,                -14337,                   -768,,,                -38242,                  1979,                 -1833,                    766,                 -1111,,                 -6817,,                -52399,,              1397188,             -1367385,                -92731,,                   -577,,                 -3505,                 41193,                -15479,                420992,                405513,                405513,                 -7141,                              0,,                     -6,                 66739,                 -4943,                      6,,,                 60000,,,,,,
2415,2013年01月01日至2013年03月31日,,                 17855,                 17855,,,                 27083,                  4641,                     11,                  4514,                 -5468,                              0,                   -118,,,                  1749,                    216,                  1992,,,,                 -2797,                   -760,                104312,                -10926,                -31374,                 -3491,                   -142,                 54822,,                 -4137,                  4304,                -33928,                  1865,,                -31949,                 22873,                 57487,                 75342,                  1598,                 -4224,                 -5883,                 66839,,,                -16296,                    127,                 -1031,                     71,                   -810,,                 -6319,,                -75817,,                 64051,                              0,                 -7370,,                   -529,,                115802,                 26413,                133237,                420992,                554229,                554229,                -51559,                              0,,                     -6,                 34614,                    -53,                      6,,,                 59650,,,,,,
2415,2012年01月01日至2012年12月31日,,                128558,                128558,,,                107362,                 16329,                 39409,                 40276,                -33035,,               -146959,                    339,,                              0,,                 10650,,,,                 -1305,                    210,                 66070,                225136,                 40875,                   -285,                  5466,                336167,,                  6780,                 10844,                 29951,                 -5075,,                 41064,                377231,                403235,                531793,                 55722,                -46841,                -19605,                521081,,,               -121729,                316440,                 -7929,                  3560,                 -6512,,                 14728,,                160102,,              2648469,             -3041168,               -552567,                  3105,                 -3276,                -40806,               -779036,                -34944,               -132797,                553789,                420992,                420992,                -44465,                              0,,                    -12,                 26004,                 -1436,                     12,,                              0,                223560,                 33641,                   -260,                 -8355,                  6269,                -49994,
2415,2012年01月01日至2012年09月30日,,                 17992,                 17992,,,                 80121,                 12044,                 24632,                 35251,                -28178,,                    370,,,                              0,                 -1078,                  8703,,,,                 -1140,                   -731,                 -1133,                376390,                 48751,                -22859,                  2767,                402045,,                  2785,                 49110,                 -7105,                 -1514,,                 43200,                445245,                569771,                587763,                 50278,                -41892,                -14968,                581193,,,                -94937,                    645,                 -4856,,                 -4290,,                 -5258,,               -141648,,              1933203,             -2294734,                -75498,,                    209,                -40806,               -303677,                -27079,                108789,                553789,                662578,                662578,                -39221,                              0,,                    -12,                124526,                   -116,                     12,,,                223943,,                              0,                 -7327,                  6269,                -49994,                     40
2415,2012年01月01日至2012年06月30日,,                  6991,                  6991,,,                 52989,                  3656,                 24585,                 27266,                -23226,,                    232,,,                              0,                    -71,                  6558,,,,                 -4288,                     39,                 -3618,                199069,                 43124,                  7449,                  3200,                244975,,                  2892,                  6548,                 10513,                 -1250,,                 18662,                263637,                344705,                351696,                 44009,                -34162,                -13181,                348362,,,                -89011,                    445,                 -3336,,                 -1271,,                  3460,,               -125987,,              1489416,             -1736998,                -68467,,                   -507,,               -141730,                  5938,                 86583,                553789,                640372,                640372,                -36274,,,                              0,                 81068,                    -81,                              0,,,                224820,,,                -10921,,                -49994,                     40
2415,2012年01月01日至2012年03月31日,,                  5711,                  5711,,,                 26357,                  1817,                  1122,                 16751,                -15594,,                    248,,,                              0,                     20,                  2100,,,,                 -3533,                    -97,                 37967,                140266,                 45884,                 15765,                  3144,                239396,,                  2207,                -12056,                 58656,                 -2719,,                 46836,                286232,                315845,                321556,                 23965,                -22821,                     42,                322742,,,                -87239,                    130,                 -1588,,                              0,,                 10278,,               -111612,,               -238530,,                -60905,,                   -515,,               -125679,                 21559,                107010,                553789,                660799,                660799,                -33193,,,                              0,                 29613,                    -41,                              0,,,                224265,,,                 -3208,,                -49994,                    789
