證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 償還公司債,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分以成本衡量之金融資產,　　 處分不動產、廠房及設備,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款
2536,2015年01月01日至2015年09月30日,,              1307794,              1307794,,,                  1334,                    349,                  2086,                 28717,                 -1461,                 13835,                              0,                              0,                 44860,,,                -83164,                 53627,              1568752,                -38985,                  8965,                133621,              1642816,,               -170417,                              0,                -40871,                -13047,                 44842,             -1017728,                 -9475,             -1206696,                436120,                480980,              1788774,                  1461,                -92246,                -47908,              1650081,,                              0,                              0,                              0,               -443565,                310085,                -67117,                              0,               -200597,,              1390000,             -1673000,               -583680,                              0,                   -401,               -665617,             -1532698,                -83214,                512871,                429657,                429657,,,,,,,,,,,,
2536,2015年01月01日至2015年06月30日,,                958828,                958828,,,                    904,                    231,                  1031,                 20963,                 -1356,                  7153,                              0,                              0,                 28926,,,                -56710,                 34893,              1397528,                -34697,                -20949,                -16566,              1303499,,                -77310,                              0,               -125372,                -13047,                 32960,             -1178058,                -13155,             -1373982,                -70483,                -41557,                917271,                  1356,                -61715,                -32269,                824643,,                              0,,,                -47802,                              0,                -70113,                              0,               -117915,,                730000,             -1530500,                -65214,,,,               -865700,               -158972,                512871,                353899,                353899,                              0,                     14,,,,,,,,,,
2536,2015年01月01日至2015年03月31日,,                749296,                749296,,,                    456,                    114,                    157,                 11508,                   -325,                  2333,                              0,                              0,                 14243,,,                -10050,                 21240,              1289056,                 -5179,                 -1811,                 14887,              1308143,,               -111568,                  6964,                -87859,                -13047,                 22362,             -1061125,                 -5211,             -1249484,                 58659,                 72902,                822198,                    325,                -31589,                -23799,                767135,,                              0,,,                -28135,                              0,                -14391,                              0,                -42526,,                              0,               -760500,                   -678,,                     -6,,               -761184,                -36575,                512871,                476296,                476296,,                              0,,,,,,,,,,
2536,2014年度,,              1236691,              1236691,,,                  2095,                    607,                   -692,                 87154,                 -2552,                  4060,                   -503,                -10291,,,,                 -1527,                243589,              1019153,                -10731,                  3083,                616050,              1869617,,                102934,                -14634,                -81991,                -34896,                -52242,                891408,                  7603,                818182,              2687799,              2766393,              4003084,                  2552,               -149583,               -141632,              3714421,,                  3435,                 12131,                 -2190,                              0,                 21828,                    124,,                 54556,,              4680230,             -5358000,,               -607600,,               -319954,             -3668557,                100420,                412451,                512871,                512871,,                 -2151,,                  1589,                 -2911,                     38,                 78594,                 18609,                    619,             -2061082,,
2536,2014年01月01日至2014年09月30日,,                651776,                651776,,,                  1649,                    460,                 -1109,                 97168,                 -1305,                  2720,                    116,                 -2197,                 97502,,,                -35957,                -21174,                303421,                -36380,                 15448,                187866,                413224,,                 83025,                -14634,               -254192,                   -158,                   -318,                178938,                 10371,                  3032,                416256,                513758,              1165534,                  1305,               -141950,               -120081,                904808,,                  3434,                 11035,                 -2190,                -11315,                 33173,                              0,                  3301,                 37438,,              3956230,             -2787000,             -1213492,               -607600,                 -2327,               -319954,               -974143,                -31897,                412451,                380554,                380554,,,,,,,,,,,,
2536,2014年01月01日至2014年06月30日,,                409009,                409009,,,                  1083,                    308,                 -1523,                 45852,                 -1294,                  1406,                      7,                 -2197,                 43642,,,                 11651,                220952,                420360,                -22545,                 31379,                240999,                902796,,                 29328,                 -4131,               -238013,                   -158,                 47057,               -241705,                 -7518,               -415140,                487656,                531298,                940307,                  1294,                -71808,                -97478,                772315,,                  3435,,,                              0,                 21858,                              0,                  4622,                 29915,,                590230,               -898654,               -607600,,,,               -915439,               -113209,                412451,                299242,                299242,                              0,                    585,,,,,,,,,,
2536,2014年01月01日至2014年03月31日,,                411191,                411191,,,                    543,                    153,                 -1479,                 24466,                   -107,                    835,                      7,                 -2193,                 22225,,,                 12807,                228235,                598018,                -27616,                 15008,                440279,              1266731,,                -59945,                -14634,               -171514,                   -158,                 25341,               -411734,                 -1824,               -634468,                632263,                654488,              1065679,                    107,                -35529,                -39664,                990593,,                  3430,,,                              0,                  7914,                              0,                  3303,                 14647,,                694000,               -856000,               -689677,,                              0,,               -851157,                154083,                412451,                566534,                566534,,                    520,,,,,,,,,,
2536,2013年度,,              1122600,              1122600,,,                  2648,                    979,                   -353,                 95908,                 -1956,                  4378,                              0,                -16916,,,,                 -3797,               -317021,             -2790185,                -30238,                -38450,               -753198,             -3932889,,                 67828,                  4055,                228958,                 81487,                 26687,                469192,                  7372,                885579,             -3047310,             -2961146,             -1838546,                  1956,               -147089,               -217576,             -2201255,,                 24738,                  9460,                              0,                 -1208,                              0,                 -7235,,                 25755,,              5936000,             -6210560,,                              0,,               -543095,              1968463,               -207037,                619488,                412451,                412451,,                  2618,,                  1198,                              0,                    278,                 86164,                              0,                              0,              2783500,,
2536,2013年01月01日至2013年12月31日,,              1122600,              1122600,,,                  2648,                    979,                   -353,                 95908,                 -1956,                  4378,,                -16916,,,,                 -3797,               -317021,             -2790185,                -30238,                -38450,               -753198,             -3932889,,                 67828,                  4055,                228958,                 81487,                 26687,                469192,                  7372,                885579,             -3047310,             -2961146,             -1838546,                  1956,               -147089,               -217576,             -2201255,,                 24738,                  9460,,                 -1208,                              0,                 -7235,,                 25755,,              5936000,             -6210560,,,,               -543095,              1968463,               -207037,                619488,                412451,                412451,,                  2618,,                  1198,,                    278,                 86164,,,              2783500,                              0,
2536,2013年01月01日至2013年09月30日,,                306204,                306204,,,                  2075,                    799,                   -223,                 97092,                   -793,                  3836,                              0,                 -1899,,,,                -64463,                 -1726,             -2589063,                -28317,                 -5682,               -494289,             -3183540,,                 60561,                 27439,                -64010,                 63639,                 73008,                833054,                  3443,                997134,             -2186406,             -2084321,             -1778117,                    793,               -139209,               -153526,             -2070059,,                  3080,                  3427,                              0,,                 19185,                   -125,                              0,                 25567,,                513590,,                              0,                              0,                              0,               -543095,              1649051,               -395441,                619488,                224047,                224047,,                  3151,,                  1198,,,                102085,,,              1675405,,
