證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分持有至到期日金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分避險之衍生金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 其他項目,　　 無活絡市場之債務工具投資到期還本,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 其他預付款項減少,　　 應付短期票券減少,　　 處分子公司股權（未喪失控制力）,　　 庫藏股票處分,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融資產減少,　　　　　 其他金融資產（增加）減少,　　 短期借款減少
1605,2015年度,,              2465431,              2465431,,,              2188242,                 43112,                 22261,                -45101,                423631,               -392190,                -41874,                  2695,               -643805,                -86959,                    120,                -47501,                -23382,                  7040,                396227,                   -650,                -82835,              1719031,,,               -238167,             -1780279,              2454222,                112607,                 -9804,                849354,                 16402,              1404335,,               -133548,               -756115,                 12070,                              0,               -209251,                 16438,                 27655,             -1042751,                361584,              2080615,              4546046,                359284,                118459,               -430716,               -581367,              4011706,,                              0,              1641109,                180158,               -627639,                              0,                              0,                 69059,                  6579,                -77250,             -1678304,              1235308,                591939,                225206,             -1653409,                157189,                 10633,                 -1682,                              0,                 78896,,             -3433406,             18336240,            -15756183,               -315917,               -148432,                     -1,             -1317699,               -302435,              2470468,              6417086,              8887554,              8887554,,,,,,,,,,,,,,,,
1605,2015年01月01日至2015年09月30日,,              1810575,              1810575,,,              1645506,                 30756,                  7754,                152754,                330433,               -315999,                -41874,                  4762,               -443220,                -90941,                    120,               -175687,                -23382,,                 23103,                   -875,                 14651,              1117861,,,               -233186,             -1178641,                958227,                170075,                242167,                740662,                 11306,                710610,,               -125355,             -1409018,               -159994,                              0,               -137568,                  9708,                 28622,             -1793605,             -1082995,                 34866,              1845441,                293909,                118035,               -343727,               -541624,              1372034,,                              0,              1637100,                180158,               -176473,                              0,                              0,                              0,                  6579,                -51535,             -1665811,              1184206,                497853,,             -1157334,                153254,,                 -1669,                              0,                618128,,             -1530141,              2599175,,               -315917,               -155572,                     -1,                597544,                114985,              2702691,              6417086,              9119777,              9119777,                 11800,,,,,,,,,,,,,,,
1605,2015年01月01日至2015年06月30日,,              1011006,              1011006,,,              1094228,                 18876,                  8010,                161608,                214609,               -211943,                              0,                  1415,               -248230,                -60189,,                 43645,                -23382,,                  8245,                   -726,               -103468,                902698,,,             -1328698,               -122687,              1140958,                279693,              1640456,                487786,                  2006,              2099514,,                -67619,               -671706,               -459598,                              0,               -165154,                 10597,                -10335,             -1363815,                735699,              1638397,              2649403,                191652,                              0,               -223103,               -442377,              2175575,,,              1637051,                180158,             -1127242,,                              0,                              0,                              0,               -135149,             -1676504,                392612,                497853,,               -742194,                100014,,                 -1582,                              0,               -881805,,              5081375,                              0,             -2181175,               -315917,                -57334,                     -1,              2526948,               -437357,              3383361,              6417086,              9800447,              9800447,                 -6822,                              0,,,,,,,,,,,,,,
1605,2015年01月01日至2015年03月31日,,               -107999,               -107999,,,                538708,                  9497,                 15393,                 31162,                 99411,               -104757,,                    714,                 64543,                  1755,,                 14965,,,                   -706,                     39,                -42978,                628186,,,               -141644,             -1604903,               -187793,                490091,                725256,                345202,                -16132,               -389923,,               -136267,               -612462,               -495430,                              0,                124616,                 10984,                 -3068,             -1111627,             -1501550,               -873364,               -981363,                 89761,,               -111433,               -462672,             -1465707,,,,                126338,               -615871,,,,,,,                300110,,,               -457375,                  1808,,,                208051,              1052856,,              3484788,                              0,             -1201656,                              0,                              0,,              2283132,               -378495,              1491786,              6417086,              7908872,              7908872,                 -5426,                              0,                    440,              1495221,,,,,,,,,,,,
1605,2014年度,,              3661324,              3661324,,,              2313423,                 44495,                 77558,                -23040,                761181,               -469845,                -37935,                  3975,               -614009,                 16681,                              0,                468572,             -1033363,                              0,                909563,                  6969,                224421,              2648646,,,               -356424,              1923394,                 -9084,                211991,             -1539909,               -141808,                 66957,                155117,,                -91909,                728947,               -669111,             -4694783,               -470540,                 86482,               -140346,             -5251260,             -5096143,             -2447497,              1213827,                482581,                 76300,               -747801,               -414829,                610078,,             -2047887,                              0,                 65534,               -843343,              3703833,               -712807,                  7545,                  8136,                   -440,               -144761,                 43030,                927328,                              0,             -1402151,                180097,                 29608,                 -9618,                 -3000,               -198896,,             -3564118,              7556100,             -5663043,               -292893,                -40331,                     -5,             -2004290,                312432,             -1280676,              7697762,              6417086,              6417086,,,,,,,,,,,,,,,,
1605,2014年01月01日至2014年09月30日,,              3256351,              3256351,,,              1766410,                 38617,                 41287,               -257212,                594962,               -393093,                -36008,                  1311,               -481665,                 10169,                              0,                614264,               -835601,,                892646,                 17694,                 80335,              2054116,,,               -707364,                770167,               -927488,                332214,             -3591862,                220590,                 19267,             -3884476,,                 11158,               -641819,               -972947,             -4249205,               -118844,                  4812,                125731,             -5841114,             -9725590,             -7671474,             -4415123,                372678,                 62510,               -482905,               -345682,             -4808522,,             -1900909,                              0,                              0,                              0,              3703833,               -712807,                  7545,                  8136,                              0,                 -3662,                              0,                200581,,               -819796,                 33861,,                 -9648,                 -2833,                491572,,              1958634,              2573632,,               -292893,                -21995,                     -5,              4217373,               -300753,               -400330,              7697762,              7297432,              7297432,                -12729,,,,,,,,,,,,,,,
1605,2014年01月01日至2014年06月30日,,                840054,                840054,,,              1204914,                 29304,                 19946,                 -5811,                410844,               -288447,                    -46,                  1619,               -256840,                  9346,,                618968,                -49006,,                  3396,                 25190,                -61882,              1661495,,,               -576388,                989469,             -3431591,               -107838,             -3863055,               -292411,                -95887,             -7377701,,               -154905,                695981,               -236925,                264014,                 22985,                 13017,                 58047,                662214,             -6715487,             -5053992,             -4213938,                261870,                 12761,               -374176,               -194463,             -4507946,,,                              0,                              0,                              0,,               -700000,                  7545,                    705,                              0,                 -3662,                              0,                              0,,               -469888,                 26494,,                 -9677,                 -2333,             -1220788,,              3947976,                628944,                              0,               -292893,                -26696,                              0,              4257331,               -322687,             -1794090,              7697762,              5903672,              5797574,                -69972,                106098,,,,,,,,,,,,,,
1605,2014年01月01日至2014年03月31日,,               -211979,               -211979,,,                590110,                 15782,                 12441,                122932,                154244,               -136859,,                              0,                -60455,                    414,,                236763,,,                    923,                  3781,                124872,              1065740,,,               -131518,               -547631,             -1626840,               -174360,               -964615,                -94068,                -22639,             -3561671,,               -105008,                379138,               -449822,                345182,                 99578,                  6048,                296996,                572112,             -2989559,             -1923819,             -2135798,                132729,,               -158151,               -121193,             -2282413,,,,                              0,                              0,,,,,,,                              0,,,               -260333,                  1757,,,                   -986,               -278468,,              2693356,                745282,                              0,                -92299,                 -4681,,              3341658,               -108887,                671890,              7556082,              8227972,              8203206,                -18906,                 24766,                    792,                              0,,,,,,,,,,,,
1605,2013年度,,             -2316137,             -2316137,,,              2609854,                110013,                 23066,                -17029,                614601,               -408334,                -32835,                  6375,                251001,               -507196,,             -1050864,              1646684,                538000,              2000030,                              0,               -318312,,,,              1040561,             -2536257,              1243338,               -354684,               -316585,                371329,               -165458,               -717756,,               -198459,              1066478,               -374463,              4694783,                -60534,,                269824,              5264595,              4546839,             10014106,              7697969,                459218,                 84860,               -696885,             -1362325,              6182837,,                              0,,                  4878,,                              0,                -95178,                 41677,                 25182,,             -1809574,                  8800,             -1599157,,             -2201644,              1150866,               -345411,                 -1386,                -42403,             -4639903,,             -2042129,              1226808,,                              0,                -39949,               -115430,               -787994,                882707,              1637647,              6060115,              7697762,              7556082,,                141680,                  2213,,,              5467267,               -133034,                              0,                223447,                -95956,                278662,,,,,
1605,2013年01月01日至2013年12月31日,,             -2316137,             -2316137,,,              2609854,                110013,                 23066,                -17029,                614601,               -408334,                -32835,                  6375,                251001,               -507196,,             -1050864,              1646684,                538000,              2000030,,               -318312,,,,              1040561,             -2536257,              1243338,               -354684,               -316585,                371329,               -165458,               -717756,,               -198459,              1066478,               -374463,              4694783,                -60534,,                269824,              5264595,              4546839,             10014106,              7697969,                459218,                 84860,               -696885,             -1362325,              6182837,,,,                  4878,,,                -95178,                 41677,                 25182,,             -1809574,                  8800,             -1599157,                              0,             -2201644,              1150866,               -345411,                 -1386,                -42403,             -4639903,,             -2042129,              1226808,                              0,,                -39949,               -115430,               -787994,                882707,              1637647,              6060115,              7697762,              7556082,,                141680,                  2213,,,              5467267,               -133034,,                223447,                -95956,                278662,,                              0,                              0,,
