證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他流動資產（增加）減少,　　 取得無活絡市場之債務工具投資,　　 其他金融資產減少,　　　　　 遞延借項（增加）減少,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 舉借長期借款,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 短期借款增加,　　 取得無活絡市場之債券投資,　　 存入保證金增加
4934,2015年度,,                333234,                333234,,,                576496,                  4927,                  9984,                  1010,                 43418,                -11708,                  3840,                -23522,                   -529,                  7415,                 -3529,                 14982,                 -8316,                614468,,,                    531,                -66767,               -509208,                 -4857,                -12729,                -49174,                  6051,                 49278,                 23345,               -563530,,                 -7996,                180764,                239683,                   -222,                 89976,                  1184,                    906,                -35584,                  6195,                    250,                  2060,                477216,                -86314,                528154,                861388,                 11509,                -41903,                 -9979,                821015,,                -21719,                              0,               -546203,                577732,               -192035,               -344270,                 94403,                 75546,                 -2864,                -56973,               -639215,             -1055598,,               -394444,               -167118,                              0,                 99900,               -138273,                693600,                 93665,                -14143,               -155061,              1264428,              1109367,              1109367,,,,,,,,,,,,,,,,
4934,2015年01月01日至2015年09月30日,,                119462,                119462,,,                420194,                  3650,                  7616,                  5407,                 33290,                 -9905,                  3840,                -20572,                   -408,                  4726,                 -1427,                 14167,                 -6236,                454342,,,                    532,                -53114,               -224915,                -41987,                -15543,                    776,               -101185,                 17674,                 17071,               -400691,,                 -4552,                190953,                108382,                   -559,                -18675,                 10934,,                -64596,                  4812,                    190,                  2060,                228949,               -171742,                282600,                402062,                  9893,                -31780,                -10407,                369768,,                -31921,                              0,               -546203,                503569,                              0,               -274418,                 83985,                 68003,                 -2764,               -137946,               -489285,             -1047120,,               -386066,                -76253,                              0,                103520,               -138273,                693600,                196528,                -15662,               -496486,              1264428,                767942,                767942,                              0,               -220140,,,,,,,,,,,,,,
4934,2015年01月01日至2015年06月30日,,                -15160,                -15160,,,                276642,                  2404,                  1587,                 -1788,                 27573,                 -6505,                  3840,                -20572,                   -391,                 21679,                 -1768,                  5144,                 -4025,                303820,,,                    403,                 91215,                -84717,                -20632,                  2676,                    550,               -133185,                -48110,                  5068,               -186732,,                 -1805,                  4525,                147331,                  1365,                -55370,                   -836,,                -20600,                  2130,                    131,,                 76871,               -109861,                193959,                178799,                  6614,                -25935,                 -9939,                149539,,                -31814,,               -500000,                331370,                              0,               -222726,                 82518,                 24595,                   -554,,               -246876,               -675695,,               -377252,                 -7271,                              0,                273515,,                693600,                582592,                -11504,                 44932,              1264428,              1309360,              1309360,,               -123029,                 10821,,,,,,,,,,,,,
4934,2015年01月01日至2015年03月31日,,                 16668,                 16668,,,                135906,                  1214,                  7625,                   -998,                 12887,                 -2518,,                -20070,                   -252,                 29656,                    747,                  5592,                 -2018,                167771,,,                    444,                 81295,                 28346,                  1053,                 -9924,                   -595,               -184922,                  2125,,                -86420,,                 -1573,                -84847,                 88636,                  1022,                -39901,                 -1035,,                -91359,                  1201,                     97,,               -127759,               -214179,                -46408,                -29740,                  2332,                -12007,                 -1422,                -40837,,,                 65873,               -145000,                 86243,                 47049,               -146405,                              0,                   -321,                   -242,,                -98683,               -183486,,                 79706,,                              0,                176540,,,                374728,                -11454,                138951,              1264428,              1403379,              1403379,,,                  8000,                 -4242,                              0,                118482,,,,,,,,,,
4934,2014年度,,                167950,                167950,,,                509546,                  4736,                  5201,                -11152,                 62364,                 -5485,                 10465,                      7,                 -1191,                 14327,                  5999,                  3056,                 -7991,                589882,,,                  6079,                -98098,                 22028,                 -1888,                 18090,                   -784,                -79389,                -14437,                 19329,               -129070,,                 -2731,               -135185,                 12611,                    559,                 45348,                  2316,                              0,                 91367,                    146,                    273,                              0,                 14704,               -114366,                475516,                643466,                  5069,                -65587,                    -77,                582871,,                              0,                 67962,             -1130847,              1101038,                 99524,               -175358,                              0,                140399,                   -709,                -14635,                -58014,                 29360,,               -171387,               -141295,                 -3575,               -505899,               -138627,              1044225,                 83442,                -13996,                681677,                582751,              1264428,              1264428,,,,,,,,,,,,,,,,
4934,2014年01月01日至2014年09月30日,,                166450,                166450,,,                367177,                  3529,                  3424,                -12056,                 50736,                 -2864,                 10465,                      7,                   -711,                 13986,                  9242,                  6415,                 -5979,                443371,,,                  6009,                -70050,               -377542,                   -215,                  1498,                   -184,               -134299,               -195158,                 13843,               -812980,,                 -2586,                -35073,                343351,                              0,                 16544,                  1529,,                 78875,                    976,                    217,                              0,                403833,               -409147,                 34224,                200674,                  2828,                -53100,                    159,                150561,,                              0,                  2155,             -1130848,                915559,                113808,               -144775,                              0,                110985,                   -696,                              0,                -20186,               -153998,,               -289232,                -22788,                 -3577,               -505899,               -138627,              1044225,                 84102,                    -38,                 80627,                582751,                663378,                663378,                -56882,                              0,,,,,,,,,,,,,,
4934,2014年01月01日至2014年06月30日,,                180794,                180794,,,                244051,                  2352,                  3038,                 -8090,                 37388,                 -1699,                 10465,                      7,                   -350,                     42,                    855,                 -1019,                 -3990,                283050,,,                  5452,                 -6472,               -345860,                              0,                 12082,                              0,                -33798,                  8831,                 12610,               -347155,,                 -2385,                 60104,                -38775,                              0,                 42183,                  1036,,                  6630,                     64,                    133,,                 68990,               -278165,                  4885,                185679,                  1471,                -31867,                    254,                155537,,               -124764,,               -850848,                604116,                 77808,               -105823,                              0,                 86658,                   -686,,                -13026,               -326565,,               -650301,                -67251,                 -3578,               -113825,,              1044225,                209270,                 16812,                 55054,                582751,                637805,                637805,,                              0,                              0,,,,,,,,,,,,,
4934,2014年01月01日至2014年03月31日,,                114126,                114126,,,                121802,                  1183,                   -660,                 -3970,                 19345,                 -1807,,                      7,                              0,                 -7284,                   -662,                 -5727,                 -1995,                120232,,,                  7187,                   -823,                -93177,                              0,                  3251,                              0,               -304245,               -127143,,               -506025,,                 -1941,                 87407,                163974,                              0,                  9942,                  2850,,                 34317,                    151,                     76,,                296776,               -209249,                -89017,                 25109,                  1744,                -17147,                    -53,                  9653,,,                              0,                              0,                              0,                 78006,                -96656,                              0,                 12842,                   -394,,                 -7137,               -148305,,               -107135,,                    -14,                -33111,,,                -27561,                  3234,               -162979,                582751,                419772,                419772,,,                              0,                  8925,               -134966,                112699,,,,,,,,,,
4934,2013年度,,                209859,                209859,,,                539199,                  5829,                -92002,                 12279,                 78174,                 -3861,                              0,                              0,                              0,                -20266,                -20044,                -12431,                 -7933,,,,               -152814,                    393,                385473,                -36739,                -24746,                    222,               -230268,                -49629,                 28463,                -79645,,                -27063,                217398,                 14884,                              0,                 95642,                 -5999,,                -13031,                   -137,,                    215,                285580,                205935,                684879,                894738,                  4488,                -78645,                    -86,                820495,,                              0,,                              0,                              0,,               -439966,                      5,                133585,                   -347,                              0,                -57413,               -344913,,               -282864,               -464754,                  3533,                 15357,                              0,                475000,               -253728,                -36132,                185722,                397029,                582751,                582751,                              0,,                 17557,,,,,                              0,                478944,                              0,                              0,                  3671,                  1666,                              0,,
4934,2013年01月01日至2013年12月31日,,                209859,                209859,,,                539199,                  5829,                -92002,                 12279,                 78174,                 -3861,                              0,                              0,                              0,                -20266,                -20044,                -12431,                 -7933,,,,               -152814,                    393,                385473,                -36739,                -24746,                    222,               -230268,                -49629,                 28463,                -62088,,                -27063,                217398,                 14884,,                 95642,                 -5999,,                -13031,                   -137,,                    215,                285580,                223492,                702436,                912295,                  4488,                -78645,                    -86,                838052,,,,                              0,                              0,,               -439966,                      5,                133585,                   -347,,                -57413,               -362470,,               -282864,               -464754,                  3533,                 15357,,                475000,               -253728,                -36132,                185722,                397029,                582751,                582751,                 17557,,,,,,,                              0,                478944,                              0,                              0,                  3671,                  1666,                              0,,
4934,2013年01月01日至2013年09月30日,,                126126,                126126,,,                419372,                  4423,                -92027,                 13858,                 59726,                 -3038,                              0,                              0,                              0,                 11285,                -18475,                 -4031,                 -5964,,,,                  2066,                   -775,                251123,                              0,                -20321,                    222,               -171762,                -52707,                 -2724,                -49281,,                -22651,                171712,                160350,,                 65269,                 -5687,,                -11014,                   -120,,,                357859,                308578,                693707,                819833,                  2385,                -59504,                     28,                762742,,,                              0,                              0,                              0,,               -126920,                      5,                 80512,                   -347,,                              0,               -104671,,               -128876,               -423798,                    -45,                 -8927,                              0,                              0,               -561646,                -25351,                 71074,                397029,                468103,                468103,                -54403,,,,,,,,                385129,,,                              0,                              0,,                -57921,
4934,2013年01月01日至2013年06月30日,,                 72828,                 72828,,,                301867,                  2923,                -86238,                 21020,                 39559,                 -2150,                              0,                              0,                              0,                 -5189,                -18373,                 -1899,                 -3972,,,,                    586,                 -4055,                186548,,                -34690,                    218,                -76466,                -91809,                 12256,                -62635,,                -16138,                110935,                302995,,                  3170,                -11589,,                 -1080,                    -97,,                    233,                388429,                325794,                573342,                646170,                  3233,                -39367,                    260,                610296,,                              0,,                              0,                              0,,                -11181,                      5,                 40875,                   -308,,                              0,               -105848,,                              0,               -358820,                    -44,                  5897,,                              0,               -230088,                -35913,                238447,                397029,                635476,                635476,                -55223,,,,,,,,                247548,,,                              0,                              0,                122879,               -135239,
