證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分採用權益法之投資,　　　　 處分投資損失（利益）,　　　　　 持有供交易之金融資產（增加）減少
3376,2015年01月01日至2015年09月30日,,              1554841,              1554841,,,                399387,                  1219,                  9894,                -84255,                   -513,                 77720,                 17149,                420601,,,                    101,                -42961,                -13383,                -19945,                -37416,                 -1023,               -114627,,                -15413,               -199362,                -62228,                              0,                  4054,               -272949,               -387576,                 33025,              1587866,                 62295,                    513,                -10013,               -272066,              1368595,,                              0,               -278525,                 29299,                 -9463,                 12735,               -114850,                -38441,               -399245,,                962959,               -995735,                              0,                    495,                   -414,               -714902,                 -4970,               -752567,                 99383,                316166,              2193531,              2509697,              2509697,,,,,,,,,
3376,2015年01月01日至2015年06月30日,,                946512,                946512,,,                272623,                    598,                  6636,                -55686,,                 32336,,                256507,,,                 -2096,                290808,                 -4636,                 29596,                -33144,                    318,                280846,,                -14279,               -317205,                -63066,                              0,                  2003,               -392547,               -111701,                144806,              1091318,                 43056,,                 -6066,               -166673,                961635,,,               -222232,                 21742,                 -1908,                  3931,               -316277,                 33200,               -481544,,                753838,               -686665,                              0,                    502,                    -43,,                 -4970,                 62662,               -120995,                421758,              2193531,              2615289,              2615289,,,,,,,,,
3376,2015年01月01日至2015年03月31日,,                474702,                474702,,,                136628,                    409,                  3075,                -27776,,                 15318,,                147654,,,                     56,                 99339,                -20894,                -56213,                 -9734,                    159,                 12713,,                 -6684,                -87351,               -164427,                              0,                 -2507,               -260969,               -248256,               -100602,                374100,                 27205,,                 -1763,                -16678,                382864,,,                -35379,                 14836,                 -1828,                  1515,               -378223,                 17429,               -381650,,                467475,               -185576,                              0,,,,                 -4970,                276929,                -49654,                228489,              2193531,              2422020,              2422020,                 20000,,,,,,,,
3376,2014年度,,              1460323,              1460323,,,                499147,                  1601,                 15156,               -121086,                   -500,                 52009,,,,,                   -703,               -104015,                -11875,                -60924,                  6224,                 -1068,               -172361,,                -11693,                120216,                 86612,                   -214,                  4973,                199894,                 27533,                473860,              1934183,                 88139,                    500,                -16378,               -246711,              1759733,,                -17149,               -996445,                217231,                -18053,                 27277,               -121351,                -81217,               -989707,,              1416402,             -1518505,                 -1900,                     42,                   -277,               -536176,,               -640414,                180962,                310574,              1882957,              2193531,              2193531,,,                              0,                              0,                              0,                446327,                              0,,
3376,2014年01月01日至2014年09月30日,,                964817,                964817,,,                363588,                  1188,                 10789,                -71058,                   -500,                 12877,                              0,                316884,,,                 -1033,                -64759,                -55888,                -68962,                 58964,                 -1214,               -132892,,                -16647,                142003,                 -2613,                   -214,                 10017,                132546,                   -346,                316538,              1281355,                 67011,                    500,                -13728,               -223254,              1111884,,                -17000,               -345691,                167318,                -17310,                  4702,               -380278,               -416442,             -1004701,,                941688,               -859820,                 -1900,                              0,                   -275,               -536176,                              0,               -456483,                 35920,               -313380,              1882957,              1569577,              1569577,,,,,,,,,
3376,2014年01月01日至2014年06月30日,,                611830,                611830,,,                248334,                    794,                  8545,                -54251,,                 17013,,                220435,,,                   -520,                209281,                -27695,                -69222,                 68769,                 -1359,                179254,,                -20877,                 14405,                 16205,                   -214,                  5413,                 14932,                194186,                414621,              1026451,                 50232,,                 -9669,               -111590,                955424,,,               -351009,                 64498,                 -1742,                  4931,               -382884,                -73564,               -739770,,                735146,               -735974,                 -1900,                              0,                   -276,,                              0,                 -3004,                -98791,                113859,              1882957,              1996816,              1996816,,,,,,,,,
3376,2014年01月01日至2014年03月31日,,                304536,                304536,,,                122252,                    403,                  4115,                -21872,,                   -514,,                104384,,,                   -511,                189296,                -58447,                -43721,                 61884,                    145,                148646,,                 -4645,                -45202,                -21277,                   -100,                  4703,                -66521,                 82125,                186509,                491045,                 20190,,                 -3582,                -12010,                495643,,,               -175241,                 56121,                   -201,                  3429,                -79358,                -71163,               -266413,,                465642,               -345944,                 -1900,,,,                              0,                117798,                  9540,                356568,              1882957,              2239525,              2239525,                              0,,,,,,,,
3376,2013年度,,              1196007,              1196007,,,                509090,                  1561,                 26088,                -84822,                 -2000,                 40673,,,,,                    183,                197056,                 -7116,                205817,                 31712,                 -5731,                421921,,                 -3370,               -130597,                  5504,                    110,                -23171,               -151524,                270397,                738543,              1934550,                 82844,                  2000,                -21754,               -448786,              1548854,,                              0,               -585473,                122032,                -17844,                 25635,                157320,                124333,               -156307,,                242444,               -998993,                              0,                  1744,                 -2709,               -782305,,             -1539819,                194220,                 46948,              1836009,              1882957,              1882957,,,                -20091,                 -1535,                   -818,                468146,                 17690,,
3376,2013年01月01日至2013年12月31日,,              1196007,              1196007,,,                509090,                  1561,                 26088,                -84822,                 -2000,                 40673,                              0,,,,                    183,                197056,                 -7116,                205817,                 31712,                 -5731,                421921,,                 -3370,               -130597,                  5504,                    110,                -23171,               -151524,                270397,                738543,              1934550,                 82844,                  2000,                -21754,               -448786,              1548854,,,               -221183,                122032,                -17844,                 25635,                157320,               -239957,               -156307,,                242444,               -998993,,                  1744,                 -2709,               -782305,                              0,             -1539819,                194220,                 46948,              1836009,              1882957,              1882957,,,                -20091,                 -1535,                   -818,                468146,                 17690,                              0,                              0
3376,2013年01月01日至2013年09月30日,,                872485,                872485,,,                378151,,                 20889,                -59635,                 -2000,                 21553,,,,,                 -1557,                114009,                -32804,                185247,                 66279,                 -4298,                326876,,                -16514,               -162085,                -88595,                    -27,                -24943,               -292164,                 34712,                377020,              1249505,                 61044,                  2000,                -17777,               -415228,                879544,,                              0,               -249527,                107859,                 -6214,                 11111,                516583,               -126275,                271227,,                968446,             -1519899,                              0,                  1262,                 -1204,               -782305,,             -1333700,                132239,                -50690,              1836009,              1785319,              1785319,,,                -14297,                 -1535,                   -818,                342308,                 17690,,
3376,2013年01月01日至2013年06月30日,,                486831,                486831,,,                251439,,                 14729,                -45279,,                  5375,,,,,                   -532,                422668,                -40981,                 93077,                 74394,                 -2865,                545761,,                -18324,               -178307,                -44001,                   -104,                -21489,               -262225,                283536,                510164,                996995,                 44448,,                -11543,               -277270,                752630,,,               -169027,                105195,                   -603,                  7546,                  8936,               -120346,               -150609,,                682713,               -891181,                              0,,                              0,,,               -208468,                199155,                592708,              1836009,              2428717,              2428717,,,                  2717,                 -1535,                   -818,                226628,                 17690,,
