證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得投資性不動產,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付帳款增加（減少）,　　 存出保證金減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 短期借款增加,　　　　　 持有供交易之金融負債增加（減少）,　　 取得無形資產
1439,2015年01月01日至2015年09月30日,,                    579,                    579,,,                  4619,                     91,                    837,                    109,                 -9229,                   -418,                   -811,                 -1540,                 -6342,,,                   -526,                 12581,                   -539,                  3119,                -38325,                 -1231,                      2,                -24919,,                     95,                 -1555,                   -218,                 -1678,                -26597,                -32939,                -32360,                   -109,                     12,                -32457,,                  2739,                 -6878,                  9848,                    418,                  6127,,                    180,                -46000,                -45820,                -72150,              1377679,              1305529,              1305529,,,,,,,,,,,,,
1439,2015年01月01日至2015年06月30日,,                    411,                    411,,,                  3051,                     76,                    896,                     75,                 -6271,                              0,,                   -770,                 -2943,,,                              0,                 16045,                     -7,                  1579,                 -9252,                -12869,                      2,                 -4502,,                    112,                 43390,                   -214,                 43288,                 38786,                 35843,                 36254,                    -75,                    311,                 36490,,,                 -4996,                  6332,                              0,                  1336,,                    -31,                -46000,                -46031,                 -8205,              1377679,              1369474,              1369474,                              0,                              0,                              0,,,,,,,,,,
1439,2015年01月01日至2015年03月31日,,                    261,                    261,,,                  1526,                     43,                   -789,                     41,                 -3089,,,                   -391,                 -2659,,,                              0,                 16129,                     -8,                     17,                 -2602,                 -4744,,                  8792,,                    -15,                 -5820,                    164,                 -5671,                  3121,                    462,                    723,                    -41,                    634,                  1316,,,                 -4997,                  3114,,                 -1883,,                     90,,                     90,                   -477,              1377679,              1377202,              1377202,,                              0,                              0,,,,,,,,,,
1439,2014年度,,                    929,                    929,,,                  6101,                    173,                   -258,                    156,                -12618,                   -400,,                 -1579,,,,                  1002,                 -6758,                     32,                  1486,                 -1706,                 -1548,                     -2,                 -7494,,                   -233,                    809,                    276,                    852,                 -6642,                -15067,                -14138,                   -156,                 -1316,                -15610,,,                   -135,                 12613,                    400,                 12878,,                  1093,                -46000,                -44907,                -47639,              1425318,              1377679,              1377679,,                              0,                              0,,                              0,                 -8425,                              0,                              0,                              0,                              0,,,
1439,2014年01月01日至2014年09月30日,,                 -2084,                 -2084,,,                  4575,                    130,                   -931,                    116,                 -9378,                   -370,                              0,                 -1139,                 -6997,,,                  1002,                 -8531,                     32,                  1486,                -21352,                 -2676,                     -5,                -30044,,                    -67,                 -1202,                  2536,                  1267,                -28777,                -35774,                -37858,                   -116,                   -993,                -38967,,                              0,                   -135,                  9389,                    370,                  9624,,                  1093,                -46000,                -44907,                -74250,              1425318,              1351068,              1351068,,,,,,,,,,,,,
1439,2014年01月01日至2014年06月30日,,                 -4307,                 -4307,,,                  3050,                     86,                    394,                     74,                 -6285,                   -370,,                   -745,                 -3796,,,                  1002,                 -3119,                   -336,                  1486,                    -45,                 -8428,                              0,                 -9440,,                   -310,                 44371,                    718,                 48496,                 39056,                 35260,                 30953,                    -74,                   -682,                 30197,,,                              0,                  6271,                    370,                  6642,,                    998,                -46000,                -45002,                 -8163,              1425318,              1417155,              1417155,                  3717,                      1,                              0,,,,,,,,,,
1439,2014年01月01日至2014年03月31日,,                 -3052,                 -3052,,,                  1525,                     43,                    949,                     34,                 -3023,,,                   -380,                   -852,,,                    194,                  4972,                     46,                    -35,                    736,                  2371,,                  8284,,                   -363,                 -5559,                    228,                 -5694,                  2590,                  1738,                 -1314,                    -34,                   -356,                 -1704,,,                              0,                  3007,,                  3008,,                    266,,                    266,                  1570,              1425318,              1426888,              1426888,,                      1,                              0,,,,,,,,,,
1439,2013年度,,                  2025,                  2025,,,                  5571,                    173,                 -4595,                    149,                -13142,                   -157,,                 -2029,,,,                 -1002,                  7620,                  1745,                 10286,                  3127,                  3321,                              0,                 24883,,                    186,                    837,                    166,                  1189,                 26072,                 11994,                 14019,                   -149,                 -1947,                 11923,,,                -85218,                 13169,                    157,                -75657,,                    653,                -46000,                -45347,               -109081,              1534399,              1425318,              1425318,,                     54,                              0,,                    -48,                -14078,                   -214,                              0,                 -3867,                     48,,,
1439,2013年01月01日至2013年12月31日,,                  2025,                  2025,,,                  5571,                    173,                 -4595,                    149,                -13142,                   -157,,                 -2029,,,,                 -1002,                  7620,                  1745,                 10286,                  3127,                  3321,,                 24883,,                    186,                    837,                    166,                  1189,                 26072,                 11994,                 14019,                   -149,                 -1947,                 11923,,,                -85218,                 13169,                    157,                -75657,,                    653,                -46000,                -45347,               -109081,              1534399,              1425318,              1425318,                              0,                     54,                              0,,                    -48,                -14078,                   -214,                              0,                 -3867,                     48,,                              0,                              0
1439,2013年01月01日至2013年09月30日,,                  2466,                  2466,,,                  4068,                    130,                 -2420,                    121,                -10056,                   -157,,                 -1649,,,,                              0,                  7127,                  1572,                  4382,                -11638,                 -1857,                              0,                   -628,,                    109,                 -3588,                    -40,                 -3519,                 -4147,                -14158,                -11692,                   -121,                 -1637,                -13450,,,                -85085,                 10063,                    157,                -76808,,                    653,                -46000,                -45347,               -135605,              1534399,              1398794,              1398794,,                     54,,,                    -48,                -10011,                   -214,,                 -2045,                     48,,,
