證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付租賃款減少,　　 其他金融負債增加,　　 其他金融負債減少,　　 發放現金股利,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 其他預付款項增加,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　 採用權益法之被投資公司減資退回股款,　　 短期借款減少,　　 其他非流動資產減少
1227,2015年01月01日至2015年09月30日,,              2675589,              2675589,,,                262696,                 34968,                  3271,                -18817,                 17633,                -41003,                -15176,                  6568,                   -345,                  4803,                              0,                254598,,,                 18817,                 23504,               -321231,               -190305,                585453,                              0,               -560556,                 -9527,               -453845,,                259069,               -145015,                236523,                  1255,                 -7392,                 -4207,                340233,               -113612,                140986,              2816575,                 32829,                -19231,               -547049,              2283124,,             -1461706,              1587192,             -1177832,                728160,                              0,                  1059,               -172418,               -307455,                  1076,                -23894,                 -5173,                              0,                -42505,                 15176,               -858320,,                -54919,                -59973,                   -407,                              0,                 -7096,             -1144610,                              0,                 -8615,             -1275620,                 -1915,                147269,              1991558,              2138827,              2138827,,,,,,,,,,,,
1227,2015年01月01日至2015年06月30日,,              1616593,              1616593,,,                174160,                 22333,                  7632,                -18494,                 10214,                -25945,                 -5228,                  1471,                    141,                  4803,                              0,                171087,,,                 18494,                  3427,                448941,               -131914,                517956,                              0,                -93632,                 -5517,                757755,,               -100003,               -650659,                -94302,                  4653,                -40775,                   -744,               -881830,               -124075,                 47012,              1663605,                 25530,                -10705,               -350491,              1327939,,               -815706,                780551,             -1152980,                499881,                              0,                  1059,               -156140,               -165714,                    158,                 -6880,                 -8863,                              0,                -41691,                  5228,             -1061097,,                130759,                -10045,                   -285,                  5465,,,                              0,,                125894,                -25667,                367069,              1991558,              2358627,              2358627,,,,,,,,,,,,
1227,2015年01月01日至2015年03月31日,,              1214732,              1214732,,,                 87020,                 10139,                  3325,                 -7314,                  5719,                -10854,                 -4130,                  1336,                  4154,                  4803,                              0,                 94198,,,                  7314,                  8287,               -179369,                -70803,                673242,                              0,                236417,                  1100,                676188,,                 70939,               -546493,               -178789,                 -6027,                -55612,                    218,               -715764,                -39576,                 54622,              1269354,                 15952,                 -6528,                -33086,              1245692,,               -291000,                346413,               -423500,                367857,,                              0,,                -83507,                    152,                 -6696,                -18892,                              0,                -11682,                  4130,               -116725,,                -43909,                -29982,                   -150,                 12631,,,,,                -61410,                -24426,              1043131,              1991558,              3034689,              3034689,,,,,,,,,,,,
1227,2014年度,,              2570025,              2570025,,,                302248,                 87522,                   -249,                -27636,                 23991,                -42274,                -18242,                  2141,                 -8212,                 22961,                    954,,,,                 27636,                -11222,               -425059,                 17667,               -269516,                    982,               -371088,                  9361,             -1021239,,                199142,                386511,                 54374,                 -4991,                -70794,,                566937,               -454302,               -111098,              2458927,                 40561,                -21134,               -366246,              2112108,,             -1192120,              1460339,,,                -10000,                  8464,,               -654506,                 20344,                -11494,                 -5828,                149998,                -48826,                 18242,               -568644,,                 30009,                 29990,                   -758,                 10440,                   -529,             -1050101,                 -2318,                 -2872,               -986139,                 75201,                632526,              1359032,              1991558,              1991558,,                343204,                  2695,             -1267195,                963938,                              0,                              0,                              0,,,,
1227,2014年01月01日至2014年09月30日,,              1900208,              1900208,,,                222014,                 64877,                    472,                -15233,                 15071,                -30751,                -17730,                    572,                 -7707,                 14788,                    950,                247323,,,                 15233,                 -9610,                -40437,                -69483,                414295,                  1016,               -113803,                  4072,                201283,,                199938,               -107416,                -28455,                 -6472,               -143852,                      2,                -86255,                115028,                362351,              2262559,                 26117,                -14682,               -362832,              1911162,,             -1000531,              1099410,               -870241,                639248,                -10000,                  7411,                              0,               -442775,                  5272,                -10472,                 -2860,                150107,                -45186,                 17730,               -462887,,                  2951,                      3,                   -591,                  3593,                              0,             -1050101,                 -2318,                 -2872,             -1049335,                 20257,                419197,              1359032,              1778229,              1778229,,,,,,,,,,,,
1227,2014年01月01日至2014年06月30日,,              1055799,              1055799,,,                144465,                 43285,                   -138,                 -9870,                  9168,                -21286,                 -7383,                    610,                 -6581,                 14788,                    953,                168011,,,                  9870,                  5972,                458804,                 65294,                    221,                  1019,                121467,                  6351,                668998,,                294320,               -176430,               -329491,                 -8345,               -133354,                   -326,               -353626,                315372,                483383,              1539182,                 23999,                 -8209,               -167135,              1387837,,               -661657,                767243,               -723345,                478027,                -10000,                  5537,                              0,               -268745,                  4150,                -10472,                              0,                  1569,                -64510,                  7383,               -474820,,                 -9743,                      1,                   -400,                  5042,,,                 -2318,,                 -7418,                 -7331,                898268,              1359032,              2257300,              2257300,,,,,,,,,,,,
1227,2014年01月01日至2014年03月31日,,                656178,                656178,,,                 71152,                 20739,                  1011,                 -6239,                  4305,                 -8917,                 -5891,                    302,                    409,                 14788,                    957,                 92616,,,                  6239,                -40911,                393207,                 25275,                381175,                  1024,                349432,                 -4376,              1111065,,                113027,               -302136,               -344470,                -12378,               -134122,                   -786,               -680865,                430200,                522816,              1178994,                 13914,                 -4428,                   -522,              1187958,,               -342721,                355340,             -1300159,              1116713,,                  2772,,                -78834,                  2472,                 -4762,                              0,                140576,                -71511,                  5891,               -174223,,               -390412,                     -1,                   -199,                  7160,,,,,               -383452,                  9967,                640250,              1359032,              1999282,              1999282,,,,,,,,,,,,
1227,2013年度,,              2248277,              2248277,,,                220758,                 38458,                  1173,                -78798,                 17650,                -36110,                -19240,                    477,                -18958,                 23319,                   -605,,,,                174323,                 -2392,               -346776,                -98050,               -566388,                 -3479,                 -4319,                 -5408,               -852489,,                 -4660,                121471,                295974,                  4523,                 94723,,                514126,               -338363,               -190239,              2058038,                 30861,                -18022,               -502132,              1568745,,             -3736628,              3670791,,,                              0,                 12553,,             -1046238,                  3255,                 -1717,                -19444,                144786,               -250811,                 19290,             -1270527,,                540612,                 69969,                   -768,                 20240,                   -208,             -1141414,                              0,                 -3829,               -515398,                 45934,               -171246,              1530278,              1359032,              1359032,,                148124,                  2095,             -1484052,              1497479,                  1179,                    578,                -81548,,,,
1227,2013年01月01日至2013年12月31日,,              2248277,              2248277,,,                220758,                 38458,                  1173,                -78798,                 17650,                -36110,                -19240,                    477,                -18958,                 23319,                   -605,,,,                174323,                 -2392,               -346776,                -98050,               -566388,                 -3479,                 -4319,                 -5408,               -852489,,                 -4660,                121471,                295974,                  4523,                 94723,,                514126,               -338363,               -190239,              2058038,                 30861,                -18022,               -502132,              1568745,,             -3736628,              3670791,,,,                 12553,,             -1046238,                  3255,                 -1717,                -19444,                144786,               -250811,                 19290,             -1270527,,                540612,                 69969,                   -768,                 20240,                   -208,             -1141414,,                 -3829,               -515398,                 45934,               -171246,              1530278,              1359032,              1359032,,                148124,                  2095,             -1484052,              1497479,                  1179,                    578,                -81548,                              0,                              0,,
1227,2013年01月01日至2013年09月30日,,              1749488,              1749488,,,                164325,                 27142,                  1571,                -67964,                 11721,                -26827,                -14983,                     45,                -16936,                 14700,                    113,,,,                163489,                  6131,               -242500,                 11142,               -234383,                 -5334,               -493691,                 -1951,               -797097,,                    157,                 62556,                -44350,                 -7866,                 57622,,                 68108,               -728989,               -636082,              1113406,                 22166,                -11334,               -503658,                620580,,             -2933693,              3241248,,,                              0,                  7827,,               -676377,                  1356,                 -1717,                -12060,                287081,               -221335,                 14983,             -1117845,,              1007992,                 69941,                   -572,                  3659,,             -1141414,                              0,                 -3829,                -64223,                 30883,               -530605,              1530278,                999673,                999673,,                 92907,                    -11,             -1441957,                696590,                  1179,                    578,                -81548,,,,
