證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 其他非流動資產增加,　　 其他非流動資產減少,　　　　　 其他營業負債增加（減少）,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分採用權益法之投資,　　 存出保證金增加,　　 應付短期票券減少,　　 處分子公司股權（未喪失控制力）,　　 按攤銷後成本衡量之金融資產到期還本,　　　　 未實現外幣兌換損失（利益）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1305,2015年01月01日至2015年09月30日,,                662963,                -32871,                630092,,,                285764,                  7441,                    354,                -15433,                 23671,                -11064,                   -334,                  8445,                  6459,               -114161,                 17014,                208156,,,               -939594,                 11007,               -163306,                 -4854,                  4822,                    -46,                417311,                 72035,                    226,               -602399,,                   -163,                 48583,                 57661,                 77563,                  5272,                 -5858,                 -1954,                -25309,                155795,               -446604,               -238448,                391644,                 11494,                -23461,                 -6482,                373195,,                -56442,                136990,                              0,                    435,               -229328,                  5454,                              0,                 -6777,                    334,                -16701,               -166035,,                              0,                     23,                835000,               -837000,                    464,                 -2634,                  6164,                -93623,                -91606,                  3056,                118610,                760429,                879039,                879039,,,,,,,,,,,,,,,,,,,,,,,,,
1305,2015年01月01日至2015年06月30日,,                545024,                -13627,                531397,,,                188725,                  4845,                    234,                -10378,                 15924,                 -9244,,                  4176,                    417,,                 10618,                 87145,,,               -985658,                  8383,               -205489,                -18295,                 -8531,                -18959,                318330,                 77631,                    913,               -831675,,                     28,                438397,                 51658,                -26820,                  6929,                 -4046,                   -349,                -18097,                447700,               -383975,               -296830,                234567,                  9830,                -15874,                 -5947,                222576,,                -56030,                 76707,                              0,,               -100165,                  1633,                              0,                 -6232,,,                -84325,,                200000,                     32,                422000,               -124000,                    260,                 -2160,                    220,                    -10,                496342,                 -8573,                626020,                760429,              1386449,              1386449,               -118172,                   -238,                              0,,,,,,,,,,,,,,,,,,,,,,
1305,2015年01月01日至2015年03月31日,,                205086,                 -6614,                198472,,,                 93678,                  2294,                    118,                -17368,                  7450,                 -1973,,                  3179,                   -331,,                  6203,                -26581,,,               -541729,                 38205,               -153523,                -28842,                -10049,                 -7145,                605998,                 44171,                    754,                -52160,,                    197,                -63436,                 13637,                 40130,                  2754,                 -5103,                 72982,                -13506,                 47655,                 -4505,                -31086,                167386,                  3143,                 -7244,                   -307,                162978,,                -56030,                 69807,,,                -51439,                  1419,                              0,,,                   -238,                -36481,,,                    177,                269000,               -124000,                    210,                 -2105,                    225,                     -5,                 54502,                 -3178,                177821,                760429,                938250,                938250,               -119831,,                              0,                              0,                -89000,,,,,,,,,,,,,,,,,,,,
1305,2014年度,,                154492,                -26566,                127926,,,                364397,                  6929,                  1668,                 -6496,                 29884,                -15814,                   -426,                 -2154,                  1735,                              0,                 27563,,,,                543344,                -38864,                 -7275,                 82379,                 -8985,                   -802,               -501278,                -51623,                 41389,                 58285,,                     84,               -197276,                -26104,                -31563,                 -5113,                 -4163,                  6009,,               -289627,               -231342,                286925,                414851,                 15046,                -29676,               -181743,                218478,,,,               -100000,,               -255569,                  3464,                  1650,                 -1851,                    426,                -17325,               -571383,,,                474772,                              0,               -246427,                  3247,                 -6068,                   -202,               -360225,                165097,                 19652,               -168156,                928585,                760429,                760429,                110952,,                              0,,                300000,,                              0,                     29,                              0,                518267,                -31501,                   -250,                    309,               -396945,                194708,                              0,                              0,                              0,                              0,,,,,,
1305,2014年01月01日至2014年09月30日,,                255455,                -21189,                234266,,,                268717,                  4653,                     63,                  6894,                 21935,                -12825,                   -426,                 -3933,                    590,                 15559,                 21568,                322795,,,               -212356,                -48888,               -275446,                    764,                -44880,                -37293,               -248714,                -66943,                 43130,               -890626,,                     43,                 89363,                 -2035,                 60427,                 -1736,                 -9450,                 46550,                -27127,                156035,               -734591,               -411796,               -177530,                 12336,                -21805,               -183638,               -370637,,               -686252,                484980,               -100000,                              0,               -195924,                  2772,                  1650,                 -1641,                    426,                -17319,               -511308,,                231747,                574806,                              0,                -62000,                    574,                 -4414,                    -12,               -360148,                380553,                  7634,               -493758,                928585,                434827,                434827,,,,,,,,,,,,,,,,,,,,,,,,,
1305,2014年01月01日至2014年06月30日,,                187965,                -14189,                173776,,,                176612,                  2811,                    -90,                 21449,                 14721,                 -9646,,                 -2393,                     57,,                 11428,                211511,,,                171261,                -21038,               -323201,                     27,                -20418,                 -5012,                 16390,                 57955,                 25542,                -98494,,                    116,                146265,                -13703,                -46416,                 -2512,                 -8717,                 17737,                -20246,                 72524,                -25970,                185541,                359317,                  9540,                -14734,               -149545,                204578,,               -236928,                 56109,               -100000,,               -139501,                  2062,                  1050,                 -1641,,,               -416550,,                              0,                374833,                              0,                -62000,                    480,                 -3674,                     -9,                     -6,                309624,                  2337,                 99989,                928585,              1028574,              1028574,                 -3438,                              0,                  2299,,,,,,,,,,,,,,,,,,,,,,
1305,2014年01月01日至2014年03月31日,,                194301,                 -7838,                186463,,,                 87329,                  1406,                    124,                  9864,                  7094,                 -3035,,                    531,                    779,,                  5981,                122959,,,               -573696,                 -8727,                -20506,                 27105,                -15999,                    244,                -84845,                -97652,                 29801,               -744275,,                     56,               -111453,                 98626,               -118283,                 -4476,                 -9932,                  8974,                -15940,               -150558,               -894833,               -771874,               -585411,                  3429,                 -7024,                   -162,               -589168,,               -170308,                              0,,,                -82404,                    667,                  1050,,,                              0,               -250995,,,                399899,                              0,                -62000,                              0,                 -3009,                     -7,                              0,                534883,                  5965,               -299315,                928585,                629270,                629270,                 12886,,                              0,                  1870,                200000,,,,,,,,,,,,,,,,,,,,
1305,2013年度,,              1003347,                -17515,                985832,,,                344159,                  5078,                    -19,                -42310,                 27947,                -13422,                 -1003,                -21879,                 -5105,                  3181,                 30992,,,,                 94627,                 77450,                -39666,                -17774,                 13628,                 -3304,               -180463,               -108468,                  5631,               -158339,,                   -102,                237590,               -288869,                -27334,                   -723,                    727,                  1718,,               -109330,               -267669,                 54590,              1040422,                 14841,                -27800,                -78567,                948896,,,,                              0,,               -337259,                  6392,                  1988,                 -1832,                  1003,                -18397,               -485285,,,                100000,                              0,                -62000,                  5561,                 -3071,                    -14,               -169926,               -488906,                 10100,                -15195,                943780,                928585,                928585,                 -7526,,                              0,,                -12536,,                  1480,                    686,                              0,                322259,                -32337,                              0,                              0,               -193924,                 18925,                 39511,                 -1692,               -346920,                              0,,,,,,
1305,2013年01月01日至2013年12月31日,,              1003347,                -17515,                985832,,,                344159,                 10174,                    -19,                -40622,                 27947,                -13422,                 -1003,                -21879,                 -5105,                  3181,,,,,                 94627,                 77450,                -39666,                -17774,                 13628,                 -3304,               -180463,               -108468,                  5631,               -158339,,                   -102,                237590,               -288869,                -27334,                   -723,                    727,                  1718,,               -109330,               -267669,                 28694,              1014526,                 14841,                -27800,                -78567,                923000,,,,,,               -328525,                  6392,                  1988,                 -1832,                  1003,,               -459389,,,                100000,                              0,                -62000,                  5561,                 -3071,                    -14,               -169926,               -488906,                 10100,                -15195,                943780,                928585,                928585,                 -7526,,                 -1235,,                -12536,,                  1480,                 -1002,                              0,                296363,                -32337,,,               -193924,                 18925,                 39511,                 -1692,               -346920,                              0,,,,,,
1305,2013年01月01日至2013年09月30日,,                805886,                -14020,                791866,,,                258478,                  3808,                    -19,                -41732,                 21923,                -10524,                 -1003,                -19653,                 -1725,                    555,                 25061,,,,                 56760,                 82942,                -13746,                  7390,                  4104,                -30619,                  3947,               -144775,                 27920,                 -6077,,                   -217,                 86933,               -193388,                 34383,                 -3293,                 -3538,                 -7710,,               -116257,               -122334,                112835,                904701,                 12245,                -21872,                -63126,                831948,,,,                              0,,               -222731,                  2418,                  1977,                 -1832,                  1003,                -18397,               -372706,,                -11214,                -26969,,                -62000,                  5099,                 -2042,                    -10,               -169922,               -267058,                  7614,                199798,                943780,              1143578,              1143578,,,                     12,,,,,,,                235169,                -29427,,,               -193514,                 18925,                 39511,                    -78,,,,,,,,
