證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 支付之股利,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　 籌資活動之現金流量,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　　　　　 預付費用（增加）減少
1713,2015年01月01日至2015年09月30日,,                 60656,                 60656,,,                 13598,                     11,                 -3936,                -18127,                              0,                 -8454,,,                  8688,                 30232,                   -189,                -10174,                 21968,                 50525,,                   -643,                   -662,                 -2131,                     61,                   -554,                 -3929,                 46596,                 38142,                 98798,                  3953,                  9140,                -83023,                -15885,                 12983,,                -37424,                 37327,                 -1747,                     -4,                      4,                 -1999,                              0,                 -3843,                  9140,                755985,                765125,                765125,,,,,,,,,,,,
1713,2015年01月01日至2015年06月30日,,                 40733,                 40733,,,                  9057,                      7,                 -2614,                 -9423,                              0,                 -2973,,,                 -4582,                 16524,                 -1105,                -20348,                 21741,                 12230,,                  1685,                    -42,                    670,                    473,                   -368,                  2418,                 14648,                 11675,                 52408,                  2515,,,                 -9300,                 45623,,                -10176,                 10115,                 -1231,                     -4,                              0,                   -499,                              0,                 -1795,                 43828,                755985,                799813,                799813,,,,,,,,,,,,
1713,2015年01月01日至2015年03月31日,,                 20066,                 20066,,,                  4521,                      3,                 -1261,                 -6466,                              0,                 -3203,,,                 -2028,                    903,                 -1312,                -24593,                 21139,                 -5891,,                 -4579,                   -229,                 -3704,                     95,                   -188,                 -8605,                -14496,                -17699,                  2367,                  1283,,,                   -131,                  3519,,                 -5000,                  4964,                   -896,                     -4,,                   -499,                              0,                 -1435,                  2084,                755985,                758069,                758069,,,,,,,,,,,,
1713,2014年度,,                106088,                106088,,,                 20196,                     15,                 -5764,                -29299,                    -42,,,,                 -6308,                -17237,                    338,                  9267,                -21704,                -35644,,                  3295,                    748,                  4744,                   -154,,                  7932,                -27712,                -42606,                 63482,                  5709,                  6689,,                 -7305,                 -3882,,,,                 -1348,                              0,                              0,                 -1489,                    379,                 -2504,                 -6386,                762371,                755985,                755985,,                -14894,                   -701,                -72457,                -42327,                 42205,                     76,                              0,,,,
1713,2014年01月01日至2014年09月30日,,                 73217,                 73217,,,                 15487,                     11,                 -4460,                -14433,                     30,                 -3365,,,                 -5544,                -17785,                    338,                  8573,                  1195,                -13223,,                  2928,                 -1307,                  1309,                     34,                   -532,                  2432,                -10791,                -14156,                 59061,                  4430,                  6689,                -72457,                 -7146,                 -9423,,                -37301,                 37205,                 -1802,                     -4,                      4,                   -840,                    694,                 -2044,                -11467,                762371,                750904,                750904,,,,,,,,,,,,
1713,2014年01月01日至2014年06月30日,,                 45826,                 45826,,,                 10330,                      7,                 -3109,                 -6747,                     13,                    494,,,                 -7231,                  2779,                    338,                -28441,                -21787,                -54342,,                  2953,                    674,                  2353,                     71,                   -340,                  5711,                -48631,                -48137,                 -2311,                  2783,,,                 -2732,                 -2260,,                -17266,                 17205,                 -1142,                     -4,                      4,                   -775,                    694,                 -1284,                 -3544,                762371,                758827,                758827,,,,,,,,,,,,
1713,2014年01月01日至2014年03月31日,,                 19405,                 19405,,,                  5162,                      3,                 -1372,                 -3061,                      8,                    740,,,                  4835,                  5414,                    -87,                  8450,                 -2230,                 16382,,                  3326,                  1349,                    -93,                     -9,                   -152,                  4421,                 20803,                 21543,                 40948,                  1161,,,                   -115,                 41994,,                -12140,                 12105,                 -1033,                     -4,,                   -610,                    672,                 -1010,                 40984,                762371,                803355,                803355,,,,,,,,,,,,
1713,2013年度,,                 84811,                 84811,,,                 20413,                     15,                 -5823,                -34935,                    168,,,,                  2854,                  6508,                    387,                 -6719,                 -1880,                  1150,,                 -7896,                 -1461,                  1923,                      4,,                 -7580,                 -6430,                -26592,                 58219,                  6058,                  4731,,                -13328,                -12248,,,,                 -3679,                     -4,                     14,                 -1820,                    234,                 -5740,                -17988,                780359,                762371,                762371,,                -20162,                   -150,                -67928,                -42205,                 42085,                              0,                   -365,,,,
1713,2013年01月01日至2013年12月31日,,                 84811,                 84811,,,                 20413,                     15,                 -5823,                -34935,                    168,,,,                  2854,                  6508,                    387,                 -6719,                 -1880,                  1150,,                 -7896,                 -1461,                  1923,                      4,,                 -7580,                 -6430,                -26592,                 58219,                  6058,                  4731,,                -13328,                -12248,,,,                 -3679,                     -4,                     14,                 -1820,                    234,                 -5740,                -17988,                780359,                762371,                762371,,                -20162,                   -150,                -67928,                -42205,                 42085,                              0,                   -365,,                              0,                              0,
1713,2013年01月01日至2013年09月30日,,                 56784,                 56784,,,                 15256,                     11,                 -4428,                -21423,                              0,,,,                  4280,                  6117,                    626,                -16566,                   -726,                 -6269,,                 -3270,                 -1565,                  3580,                    224,,                 -1128,                 -7397,                -17981,                 38803,                  4848,                  4731,                -67928,                -13205,                -32751,,,,                              0,                     -4,                     14,                   -857,                    234,                   -708,                -33459,                780359,                746900,                746900,,                -10584,                    -97,,                -32180,                 32085,,,,,,
