證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 其他借款減少,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存出保證金減少,　　 其他金融資產增加,　　 預付設備款減少,　　 短期借款減少,　　 其他借款增加,　　 其他非流動負債增加,　　 其他非流動負債減少,　　　　　 其他營業負債增加（減少）,　　 其他投資活動,　　 償還長期借款,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動資產增加,　　 存入保證金減少,　　 現金減資,　　 庫藏股票處分,　　 因合併產生之現金流入,　　　　　 其他營業資產（增加）減少,　　 應付短期票券減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）
1416,2015年01月01日至2015年09月30日,,                 16001,                 16001,,,                  7755,                     40,                 40775,                  7282,                 -4979,                 -8411,                -33761,                     62,                 -7224,                  1539,,,                 19200,                  3425,                     25,                 -7266,                    451,                192540,                  6857,                    893,               -137934,                 78191,,                 32434,               -147335,                 16188,                    -33,               -389536,                 -6744,                    461,               -494565,               -416374,               -414835,               -398834,                  4979,                 43531,                 -8109,                    255,               -358178,,                              0,                 47034,               -734219,                  1305,                  2774,                              0,                110282,                  8483,                              0,               -564341,,                105016,                305500,                371656,                -65000,                    553,                -88007,                  1104,                630822,                  9560,               -282137,                427569,                145432,                145432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2015年01月01日至2015年06月30日,,                 93168,                 93168,,,                  5469,                     40,                -27543,                  5001,                 -3447,                              0,                -32020,                     23,                 -7224,                -59701,,,                 19583,                  5716,                     25,                 -5141,                    451,                362423,                 30859,                    893,               -129142,                285667,,                 14070,               -137749,                 19088,                     24,               -390360,                 -8755,                    307,               -503375,               -217708,               -277409,               -184241,                  3447,                 35120,                 -4776,                    -14,               -150464,,,,               -469982,                              0,                              0,                              0,                 99941,                  7955,                              0,               -306950,,                              0,                231500,                  1656,                              0,                    393,,                   -328,                160703,                    268,               -296443,                427569,                131126,                131126,                              0,                              0,                 52363,                  2773,                              0,                              0,                -87518,                 15000,                              0,                              0,,,,,,,,,,,,,,,,,,,,
1416,2015年01月01日至2015年03月31日,,                160117,                160117,,,                  3028,                     40,                -22231,                  2225,                 -1652,,                -31242,                     23,,                -49809,,,                 15442,                 -3313,                     25,                   -285,                    451,                434887,                 51249,                    893,                   -242,                499107,,                 28166,               -177857,                 21324,                     28,               -251523,                 -4380,,               -384089,                115018,                 65209,                225326,                  1652,,                 -2350,                      9,                224637,,                              0,,               -236547,,                  2772,                              0,,                  6539,                              0,               -290006,,                              0,                  9500,                              0,,                  4498,,,                -82259,                    502,               -147126,                427569,                280443,                280443,,,,,                 57274,,                -72913,                 30000,,,                    153,               -120044,                -53344,,,,,,,,,,,,,,,,,
1416,2014年度,,                532296,                532296,,,                 10418,                  2250,                -75699,                  7260,                 -5184,                -72861,               -202737,               -140969,                -49910,,,,                -23085,                 -8699,                    -25,                     70,                   -357,               -382079,                 32946,                   -894,                -23259,               -405382,,                -25690,                290769,                -57177,                    -98,                454837,                  5699,,                668998,                263616,               -225745,                306551,                  5184,                 71906,                 -7526,               -113020,                263095,,,,               -420910,                551672,                   -622,                              0,               -542124,                              0,                              0,               -289299,,                111533,                637000,                256344,,                  5322,               -677333,,                343524,                 19111,                336431,                 91138,                427569,                427569,                    202,,                135777,                              0,,                  6200,                              0,                -60000,                              0,,,,,,                              0,                 37869,               -489361,                    658,                -19292,                              0,                              0,                 70658,,,,,,,,
1416,2014年01月01日至2014年09月30日,,                256344,                256344,,,                  8165,                     79,                 -3130,                  4149,                 -3321,                -69830,               -157323,               -140969,                 -5844,               -368024,,,                 -7509,                 -8786,                              0,                    109,                     40,               -589739,                -51633,                              0,                 -1144,               -658662,,                -18547,                 57159,                -29826,                   -140,                600962,                 -3447,                    493,                606654,                -52008,               -420032,               -163688,                  3321,                 72234,                 -5348,                -62748,               -156229,,               -108213,                              0,               -260029,                551672,                   -674,                   -204,               -517794,                              0,                 -7585,               -342827,,                 71974,                674000,                408800,                -60000,                  6707,               -677333,                              0,                424148,                 39332,                -35576,                 91138,                 55562,                 55562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2014年01月01日至2014年06月30日,,                 56933,                 56933,,,                  5973,                     51,                 27580,                  2680,                 -2010,                -61172,                -88029,                              0,                    496,               -114431,,,                 -3223,                     81,                              0,                     99,                     41,               -398455,                -36539,                              0,                   -949,               -438945,,                 61798,                 60259,                -25646,                    -55,                202837,                 -3107,                    328,                296414,               -142531,               -256962,               -200029,                  2010,                 64806,                 -2614,                -62394,               -198221,,,,               -167536,                              0,                   -783,                   -407,                              0,                              0,                 -7586,               -391396,,                 10231,                530500,                 61000,                -70000,                  3144,,                              0,                534875,                  7248,                -47494,                 91138,                 43644,                 43644,                              0,                -57950,                  2696,                              0,               -159830,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,
1416,2014年01月01日至2014年03月31日,,                -45582,                -45582,,,                  3137,                     11,                 24027,                  1206,                 -1018,,                 -5575,                              0,,                 21788,,,                   -706,                  1002,                              0,                    116,                     -2,               -160964,                -21613,                   -127,                 -1064,               -183358,,                -19957,                  4553,                -52746,                     -5,                 21194,                 -3265,,                -50062,               -233420,               -211632,               -257214,                  1018,,                 -1235,                   -566,               -257997,,                -57950,,               -117620,,                    -72,                   -203,,                              0,                 -7586,               -185396,,                  7605,                311000,                 43000,,                    664,,,                392269,                  4617,                -46507,                 91138,                 44631,                 44631,,,,,                 -1965,,                              0,                 30000,,,                    164,                              0,                              0,,,,,,,,,,,,,,,,,
1416,2013年度,,                116649,                116649,,,                 12169,                    417,                -24355,                  5940,                 -5606,                -10235,                -62472,               -224872,                              0,,,,                  6006,                 11136,                              0,                     63,                    160,               -651584,               -182806,                              0,                 29459,               -787566,,                 65315,                    919,                 41598,                     45,                613245,                     70,,                721846,                -65720,               -345385,               -228736,                  5606,                  9276,                 -6833,                -22818,               -243505,,,,               -201500,                405047,                              0,                    -67,               -251513,                    531,               -188442,               -226150,,                              0,                873500,                342000,,                              0,               -384848,,                -34965,                 72199,               -432421,                523559,                 91138,                 91138,                   -184,,                  8508,                  1286,,                              0,                -52184,                -20000,                -14203,,,,,,                     40,                 29493,               -279665,                    654,                              0,                 -9533,               -769697,                              0,,,,,,,,
1416,2013年01月01日至2013年12月31日,,                116649,                116649,,,                 12169,                    417,                -24355,                  5940,                 -5606,                -10235,                -62472,               -224872,,,,,                  6006,                 11136,                              0,                     63,                    160,               -651584,               -182806,                              0,                 29459,               -787566,,                 65315,                    919,                 41598,                     45,                613245,                     70,,                721846,                -65720,               -345385,               -228736,                  5606,                  9276,                 -6833,                -22818,               -243505,,,,                -20344,                405047,,                    -67,,                    531,               -188442,               -226150,,,                873500,                342000,                -20000,                              0,               -384848,,                -34965,                 72199,               -432421,                523559,                 91138,                 91138,                   -184,                              0,                  8508,                  1286,               -432669,,                -52184,                              0,                              0,                -14203,,,                              0,,                     40,                 29493,               -279665,                    654,,                 -9533,               -769697,,,,,,                              0,                              0,                              0,                              0
1416,2013年01月01日至2013年09月30日,,                -56556,                -56556,,,                  8988,                    311,                 36102,                  4641,                 -3252,                 -7918,                -61274,                   -209,                              0,,,,                  3180,                 10254,,                              0,                     38,               -406520,               -170680,                   -299,                 29596,               -534431,,                 99651,                  1296,                105438,                   -125,                675732,                 -2157,,                880325,                345894,                323188,                266632,                  3252,                 36499,                 -4662,                -22522,                279199,,                -32189,                              0,                -36983,                  1166,                -17651,                              0,,                    531,                   -587,               -528204,,                              0,                120000,                150000,                -30000,                 -7651,               -384848,,               -208075,                 62421,               -394659,                523559,                128900,                128900,                    -95,,,,               -457267,,                -41373,,,                -14203,,,,,,,                -22706,                    490,                              0,                              0,,,                 14776,,,,,,,
1416,2013年01月01日至2013年06月30日,,                -74828,                -74828,,,                  5867,                    265,                 54642,                  3134,                 -2348,                              0,                -57414,                   -160,                              0,,,,                  5224,                 10606,,                    180,                     37,               -280763,                    -70,                   -289,               -429620,               -694695,,                  4342,                 -3570,                 93423,                    -32,                587489,                 -3245,,                678734,                -15961,                -12070,                -86898,                  2348,                  3339,                 -3544,                -21531,               -106286,,,,                -26232,                    867,                 -5059,                              0,                    531,,                              0,                -63707,,                              0,                280000,                150000,                              0,                  1013,,,                405101,                  3856,                238964,                523559,                762523,                762523,                    -95,                -34334,                              0,,                              0,                    520,                -16712,                  5003,                              0,                -14203,,,,,,,                  3891,                    327,,,,,,,,,,,,
1416,2013年01月01日至2013年03月31日,,                 -9894,                 -9894,,,                  3041,                    142,                 20530,                  1441,                   -989,,                -27203,                   -112,,,,,                -59037,                 11237,                              0,                    164,                     -4,               -205892,                 -3832,                              0,               -176064,               -432897,,                 17444,                 -4346,                 23875,                     -8,                381289,                 -2819,,                415599,                -17298,                -20525,                -30419,                    989,,                 -1489,                   -276,                -31195,,                -19572,,                -22990,                    124,                -17363,                              0,,,                    520,                -59281,,                              0,                              0,                              0,,                    323,,,                -28580,                   -828,               -119884,                523559,                403675,                403675,                    -77,,,,                              0,                              0,                 -8701,                              0,,,,,                   -168,,,,                 -3227,                    164,,,,,,                    531,                -20034,                              0,,,,
1416,2012年01月01日至2012年12月31日,,              1129962,              1129962,,,                 10501,                    901,                -24284,                  7230,                 -7000,                -11622,               -328717,                              0,,,,,                 20706,                 -7580,                  7142,                 -1347,                     56,                257046,               -369800,                      5,                              0,                -93772,,                 18608,                  3445,                -26052,                   -176,                 41933,                  2776,,                -27515,               -121287,               -473753,                656209,                  7000,                 11622,                -11422,                   -389,                663020,,,,                 -4132,                              0,,                 -1111,,                    178,                -12265,               -349119,,,                              0,                              0,                              0,                    282,                              0,,               -295253,                 18489,                 37137,                486422,                523559,                523559,                    163,                -63561,                              0,                 31429,               -272532,,               -124738,                 45000,                 14203,                              0,,,               -230000,,                              0,                    362,               -352466,                -56820,,                              0,                              0,,,,,,                -10814,                   -415,                 -1010,                -26115
1416,2012年01月01日至2012年09月30日,,                956396,                956396,,,                  8750,                    426,                 -6367,                  5507,                 -5307,                   -959,               -163982,                              0,                 -9339,,,,                 18760,                   -208,                 -7142,                 -3504,                    186,                275847,               -377241,                 -1041,                              0,                -94343,,                185653,                 21190,                 90977,                    -85,                 32130,                    428,,                309155,                214812,                 44030,              1000426,                  5307,                  1293,                 -1387,                -84834,                920805,,,,                 -4961,                              0,                -43633,                 -1111,,                    134,                 -7563,               -297937,,,                              0,                              0,                              0,                    198,                              0,,               -332882,                 25677,                315663,                486422,                802085,                802085,                    127,                              0,                 52099,,               -265777,,               -152283,                 35000,                 14203,                              0,,,               -230000,,,                    362,               -170782,                 -9909,,                              0,,,                              0,,,,                -10814,                   -415,                 -1010,                -26115
1416,2012年01月01日至2012年06月30日,,                969468,                969468,,,                  5357,                    570,                   -283,                  3789,                 -3312,,               -158590,                              0,                   -955,,,,                 20599,                 -9970,                  7142,                    349,                     48,                439378,               -122722,                 -1045,               -243727,                 90052,,                  6555,                  8692,                 70231,                     74,                -18109,                   -563,,                 54971,                145023,                 -8401,                961067,                  3312,                    362,                 -3790,                -84131,                876820,,,,                   -675,                              0,                -45462,                 -1111,,                     90,                   -746,                -65767,,,                100000,                 20000,,                     38,,,                 50397,                 27234,                888684,                486422,              1375106,              1375106,                              0,                              0,                  9262,,,,                -94868,                 11024,                 14203,                              0,,,,,,,               -153424,                   -680,,,,,                -26115,,,,                -10814,                   -415,                 -1010,
1416,2012年01月01日至2012年03月31日,,                 16331,                 16331,,,                  2310,                    142,                 -7167,                  4601,                   -910,,                -12510,                              0,                   -796,,,,                 22171,                 13162,                    -72,                    506,                     11,                -71483,                -86626,                      5,                              0,               -122326,,                -11939,                 -3831,                   -419,                     89,                322810,                 13724,,                328526,                206200,                191768,                208099,                    910,,                 -4690,                   -170,                204149,,                              0,                 10836,                              0,                              0,                -57684,,,,                   -214,                -47062,,,,                 40141,,                      2,,,                -60475,                 -3101,                 93511,                486422,                579933,                579933,                   -102,,,,,,               -100609,,,,                 14203,,                              0,,,,                -14432,                   -855,,,,,,                              0,                     -9,                              0,                 -4841,                   -415,,
