證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 現金增資,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）
5285,2015年01月01日至2015年09月30日,,                184388,                              0,                184388,,,                 96041,                    653,                 -1920,                  4392,                 15363,                -10035,                              0,                104494,,,                -19192,                   -256,                 36398,                   -161,                   -305,                 -4823,                 -4577,                 12714,                 19798,,                  1089,                  1291,                 25671,                    397,                -10787,                  1413,                   -287,                              0,                 18787,                 38585,                143079,                327467,                 10439,                -51888,                286018,,               -170854,                              0,                              0,                 -5134,                              0,                              0,               -175988,,                -38594,                              0,                              0,                -99700,               -102000,                              0,                 -3731,               -244025,                  9104,               -124891,                699460,                574569,                574569,,,,,
5285,2015年01月01日至2015年06月30日,,                 97196,                              0,                 97196,,,                 63561,                    463,                 -1084,                  2233,                 10370,                 -7583,                              0,                 67960,,,                -14723,                   -344,                 58009,                   -133,                 -2003,                  5709,                   -446,                 11201,                 57270,,                    485,                    792,                 24174,                    -20,                 -3780,                 -1481,                   -647,                              0,                 19523,                 76793,                144753,                241949,                  7845,                -35065,                214729,,               -102139,                              0,                              0,                 -3339,                              0,                              0,               -105478,,                 -7771,                              0,                              0,                -49800,,                              0,                 -2624,                -60195,                -17903,                 31153,                699460,                730613,                730613,,,,,
5285,2015年01月01日至2015年03月31日,,                 50169,                              0,                 50169,,,                 31569,                    231,                   -244,                              0,                  5251,                 -3838,                              0,                 32969,,,                -10737,                   -332,                 34364,                   -415,                 -1015,                -24856,                 -2008,                  8784,                    906,,                    701,                    891,                 31019,                    323,                 -9048,                  1308,                 -1116,                              0,                 24078,                 24984,                 57953,                108122,                  3838,                 -6774,                105186,,                -38384,                              0,                              0,,,                              0,                -38384,,,                              0,                              0,                -49900,                              0,                              0,                 -1413,                -57108,                 -8637,                  1057,                699460,                700517,                700517,                 -2879,                 -5795,,,
5285,2014年度,,                277772,,                277772,,,                116013,                  1092,                  4663,                   -792,                 15277,                 -7683,                   -198,,,,                -43889,                     71,               -160630,                              0,                 -1832,                -40756,                    616,                -49650,               -301833,,                    316,                  1544,                -18174,                    -84,                  9562,                -23047,                  5610,,                -24292,               -326125,               -197753,                 80019,                  7683,                -54446,                 33256,,                -93301,                    726,                   -562,,,                 -3000,                -96137,,,                720000,                              0,               -184215,               -102000,                213000,                -10477,                440943,                 19064,                397126,                302334,                699460,                699460,                 -5763,               -195365,,                128372,                    -19
5285,2014年01月01日至2014年09月30日,,                202305,                              0,                202305,,,                 85155,                    861,                  5489,                   -432,                  9894,                 -3775,                   -179,                 97013,,,                -19695,                     71,               -129458,                 -1575,                 -3139,                -68299,                 -7043,                -87499,               -316637,,                    352,                  3665,                -10719,                    -72,                    991,                -24193,                  2923,                      3,                -27050,               -343687,               -246674,                -44369,                  3775,                -48114,                -88708,,                -74768,                    406,                   -562,                              0,                  1351,                 -3000,                -76573,,                -66043,                720000,                              0,               -184315,               -102000,                213000,                 -8813,                571829,                  1697,                408245,                302334,                710579,                710579,,,,,
5285,2014年01月01日至2014年06月30日,,                133047,                              0,                133047,,,                 55180,                    638,                  2493,                              0,                  6017,                 -2080,                   -133,                 62115,,,                 -4542,                     71,               -120023,                              0,                -13372,                  5449,                    695,                   -149,               -131871,,                    421,                  7328,                  6771,                    -88,                 10582,                -15542,                  1759,                      2,                 11233,               -120638,                -58523,                 74524,                  2080,                -30660,                 45944,,                -57622,                    195,                   -400,                              0,                  3264,                 -3000,                -57563,,               -141658,                              0,                              0,                -34415,,                213000,                 -5932,                 30995,                -13702,                  5674,                302334,                308008,                308008,,,,,
5285,2014年01月01日至2014年03月31日,,                 55812,                              0,                 55812,,,                 27990,                    318,                  3290,                              0,                  3348,                   -871,                   -134,                 33941,,,                 19101,                     71,                -95414,                              0,                 -3818,                -48201,                 -3071,                   -107,               -132555,,                   -626,                    -79,                 13743,                    -84,                   -890,                -23157,                    615,                              0,                -10478,               -143033,               -109092,                -53280,                    871,                 -6712,                -59121,,                 -7965,                    196,                              0,,,                 -3000,                -10769,,,                              0,                              0,                -34515,                              0,                213000,                 -3050,                125103,                  1314,                 56527,                302334,                358861,                358861,                 -1116,                -50332,,,
5285,2013年度,,                145495,,                145495,,,                107981,                  1307,                   -407,                              0,                 13612,                 -2478,                              0,,,,                -30375,                    -71,                 -3678,                  5686,                    424,                -11817,                 -3282,                    265,                -12658,,                    187,                     91,                  6533,                 -1176,                  8465,                 -5109,                  1144,,                  9957,                 -2701,                117314,                262809,                  2478,                 -8388,                256899,,               -107364,                              0,                   -114,,,                              0,               -107478,,,                              0,                 41588,                              0,                -60900,                              0,                -13561,                -57282,                 -3453,                 88686,                213648,                302334,                302334,                 30190,                -24409,,                120015,                   -178
5285,2013年01月01日至2013年09月30日,,                102001,,                102001,,,                 81297,                    875,                    627,                              0,                 10251,                 -1768,                              0,,,,                 -2752,                    -74,                -58262,                  3961,                   -216,                 22875,                 -4462,                   -373,                -25482,,                   -811,                     32,                 -7760,                 -1256,                  7040,                  1501,                  1755,,                    489,                -24993,                 66289,                168290,                  1768,                 -6564,                163494,,                -86029,                              0,                              0,,,                              0,                -86029,,,                              0,                 53027,                              0,                -60900,                              0,                -10255,                -31174,                  8025,                 54316,                213648,                267964,                267964,                 13821,                -13046,,                 91282,                    -12
5285,2013年01月01日至2013年06月30日,,                 67311,,                 67311,,,                 53750,                    602,                    458,,                  6824,                 -1132,                              0,,,,                   -971,                    -44,               -130188,                  3946,                   -294,                  4516,                 -3847,                    -78,               -127134,,                    482,                     75,                 27405,                 -1276,                  7314,                  9644,                  2042,,                 45668,                -81466,                -20964,                 46347,                  1132,                    219,                 47698,,                -55142,                              0,                              0,,,                              0,                -55142,,,,,                 -3227,,                              0,                 -6668,                 89256,                 13718,                 95530,                213648,                309178,                309178,                   -174,                 99151,,                 60502,                    -18
