證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 存出保證金減少
4994,2015年01月01日至2015年09月30日,,                 89886,                 89886,,,                 12759,                 21861,                    377,                 -6121,                 17717,                  2031,                 48624,,,                              0,                 63290,                  2549,                              0,                 18357,                   -355,                 83841,,                   -827,                              0,                 13863,                -26963,                     27,                -13900,                 69941,                118565,                208451,                  5818,                              0,               -108290,                105979,,                -36630,                    124,                -32099,                              0,                  6040,                -62565,                    543,                 43957,              1655401,              1699358,              1699358,,,
4994,2015年01月01日至2015年06月30日,,                 31139,                 31139,,,                  8089,                 13928,                    -28,                 -4130,                 13826,                              0,                 31685,,,                              0,                 57133,                  2557,                              0,                  5964,                              0,                 65654,,                   -137,                              0,                 14471,                -21002,                    -44,                 -6712,                 58942,                 90627,                121766,                  4153,,                -45021,                 80898,,                 -7428,                              0,                -21872,                 -3091,,                -32391,                 -9180,                 39327,              1655401,              1694728,              1694728,,,
4994,2015年01月01日至2015年03月31日,,                 47291,                 47291,,,                  3712,                  6629,                      7,                 -1999,                  8396,                              0,                 16745,,,                              0,                 58309,                  1082,                              0,                  2908,                              0,                 62299,,                    -20,                              0,                -61166,                 -1449,                   -114,                -62749,                   -450,                 16295,                 63586,                  1751,                              0,                -58407,                  6930,,                 -1498,                              0,                -12514,                    -13,,                -14025,                 -3395,                -10490,              1655401,              1644911,              1644911,,,
4994,2014年度,,                478555,                478555,,,                 14739,                 17704,                    -40,                 -8735,                 14113,                              0,,,,                      4,                  1225,                    -32,                              0,                -23393,                              0,                -22196,,                   -441,                              0,                 25859,                -15599,                    516,                 10335,                -11861,                 25920,                504475,                 12700,                -70696,               -116965,                329514,,                -17598,                              0,                -44942,                -26448,,                -88988,                 -4020,                236506,              1418895,              1655401,              1655401,,                 37781,
4994,2014年01月01日至2014年09月30日,,                372969,                372969,,,                 10971,                 13766,                     24,                 -6505,                  7167,                              0,                 25423,,,                      4,                -17365,                   -285,                              0,                 -8004,                              0,                -25650,,                  3316,                              0,                 19199,                -17930,                 10740,                 15325,                -10325,                 15098,                388067,                 10241,                -70696,                -91945,                235667,,                -14346,                              0,                 -9975,                -28495,                              0,                -52816,                 -6157,                176694,              1418895,              1595589,              1595589,,,
4994,2014年01月01日至2014年06月30日,,                234110,                234110,,,                  7226,                 10297,                     32,                 -4338,                  2867,                              0,                 16084,,,                      4,                 56515,                 -2841,                              0,                 -4545,                              0,                 49133,,                   -230,                              0,                 -9762,                -24020,                  3048,                -30964,                 18169,                 34253,                268363,                  8280,,                -32942,                243701,,                 -2946,                              0,                 -9320,                -22762,,                -35028,                  1106,                209779,              1418895,              1628674,              1628674,,,
4994,2014年01月01日至2014年03月31日,,                156999,                156999,,,                  3701,                  7233,                     19,                 -2089,                              0,                              0,                  8864,,,                      4,                 35566,                    -15,                              0,                 -4248,                              0,                 31307,,                      5,                              0,                -49118,                -14881,                 10664,                -53330,                -22023,                -13159,                143840,                  5834,                              0,                -24375,                125299,,                 -1727,                              0,                              0,                     10,,                 -1717,                  1080,                124662,              1418895,              1543557,              1543557,,,
4994,2013年度,,                367654,                367654,,,                 13963,                 31113,                    254,                 -8669,                              0,                              0,,,,                     -4,                -28648,                    770,                      9,                  1554,                    305,                -26014,,                  1338,                     -4,                 15789,                 22046,                -31298,                  7871,                -18143,                 18518,                386172,                  6308,                -47064,                -97633,                247783,,                 -9970,                              0,                -24191,                              0,,                -34161,                 -6185,                207437,              1211458,              1418895,              1418895,,                 36661,
4994,2013年01月01日至2013年12月31日,,                367654,                367654,,,                 13963,                 31113,                    254,                 -8669,,                              0,,,,                     -4,                -28648,                    770,                      9,                  1554,                    305,                -26014,,                  1338,                     -4,                 15789,                 22046,                -31298,                  7871,                -18143,                 18518,                386172,                  6308,                -47064,                -97633,                247783,,                 -9970,                              0,                -24191,                              0,,                -34161,                 -6185,                207437,              1211458,              1418895,              1418895,,                 36661,
4994,2013年01月01日至2013年09月30日,,                169574,                169574,,,                 10219,                 23352,                    269,                 -6266,                              0,                              0,,,,                              0,                -22126,                    620,                      9,                 -1795,                    305,                -22987,,                  3781,                     -4,                 -2275,                 34504,                -26586,                  9420,                -13567,                 14007,                183581,                  4265,                -47064,                -74602,                 66180,,                 -4099,                              0,                -24194,                    -10,,                -28303,                 -4547,                 33330,              1211458,              1244788,              1244788,,                 27574,
