證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應付款－關係人增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他應收款（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　 舉借長期借款,　　 庫藏股票買回成本,　　 非控制權益變動,　　　　　 負債準備增加（減少）,　　 存出保證金增加,　　 其他應收款－關係人減少
1444,2015年01月01日至2015年09月30日,,                386480,                386480,,,                375648,                 44710,                 -2008,                 58477,                 24119,                -25707,                 -7670,                -63335,                 -1598,                 -1416,                              0,                -35175,                   -233,                -19288,                346524,,,                -29098,                 27914,                 27411,                323558,                -65232,                -11022,               -647689,               -374158,,                -16702,                -99722,                  4166,                  7717,                  3311,               -101230,               -475388,               -128864,                257616,                 23143,                 51434,                -24512,                -74742,                232939,,                 -1000,                    316,                 -5737,               -587507,                  3269,                 -1594,                 74457,                 -2308,                 16567,               -503537,,              1450000,                470000,               -217600,                    237,               -473265,                 20128,              1249500,                 14725,                993627,              1189545,              2183172,              2183172,,,,,,,,,,,,,,,,,
1444,2015年01月01日至2015年06月30日,,                225366,                225366,,,                247949,                 28267,                 -2209,                 33001,                 14093,                -14493,                    -61,                -28513,                 -2432,                 -1215,                              0,                -26409,                     96,                 12756,                260830,,,                -78322,                 28969,                 77061,               -144446,                -29717,                 -7858,               -623495,               -777808,,                -13800,                -99921,                -18042,                 11711,                  2210,               -117842,               -895650,               -634820,               -409454,                 12911,                  2353,                -14370,                -57438,               -465998,,                 -1000,                    316,                              0,               -328263,                  2432,                 -1531,                 56457,                 -2138,                 92961,               -180766,,              1380000,                240000,               -211267,                     55,,                 20128,              1428916,                 -4594,                777558,              1189545,              1967103,              1967103,,,,,,,,,,,,,,,,,
1444,2015年01月01日至2015年03月31日,,                118087,                118087,,,                122439,                 14059,                 -1518,                  8841,                  6107,                 -5447,,                 23646,                   -380,                    -67,,                -48281,                    168,                 31520,                151087,,,                -90040,                 -2088,                 17009,                103046,                -10701,                 -1660,                -18087,                 -2521,,                -26532,                 65660,                 -3220,                 11598,                  1115,                 48621,                 46100,                197187,                315274,                  4560,,                 -6086,                   -505,                313243,,,,,               -227542,                    380,                   -895,                -13000,                   -304,                101684,               -139677,,                240000,                 36000,               -157933,                   -546,,,                330521,                -22825,                481262,              1189545,              1670807,              1670807,                213000,,,,,,,,,,,,,,,,
1444,2014年度,,                286527,                286527,,,                460938,                 73800,                    506,                -16143,                 27791,                -22224,                 -5050,               -181032,                 -5568,                    187,                    284,                 73418,                    -89,                 -8754,,,,                -14342,                -16099,                 72984,                214791,                -54767,                 53433,                              0,                281810,,                 12638,                -62681,                -12565,                 -2992,,                -61620,                220190,                621295,                907822,                 20513,                 33367,                -27798,                -18712,                915192,,                -50091,                    197,                -20000,               -714274,                134458,                    852,                -24976,                 -3771,                -49515,               -756486,,                395000,                350000,               -295188,                     57,                              0,                 19450,                558569,                  2293,                719568,                469977,              1189545,              1189545,,,                  3041,                              0,                401105,                 25810,                  3980,                              0,                              0,                -29366,                              0,                              0,                              0,                 89250,,,
1444,2014年01月01日至2014年09月30日,,                202415,                202415,,,                341409,                 57434,                    397,                -14166,                 20663,                -15213,                 -5050,               -180530,                 -5291,                    -13,                    284,                 13918,                   -323,                -23547,                189972,,,                 13413,                -13981,                -20517,                185914,                -53940,                 39628,                 12907,                163424,,                 10352,                121347,                 -5668,                 -1200,                  3021,                127852,                291276,                481248,                683663,                 13248,                 33368,                -20669,                -17739,                691871,,                -49941,                    197,                -20000,               -427466,                134182,                   -265,                 86415,                 -1410,               -155244,               -433532,,              1133000,                730000,               -270254,                    390,                              0,                 19450,              1612586,                 20152,              1891077,                469977,              2361054,              2361054,,,,,,,,,,,,,,,,,
1444,2014年01月01日至2014年06月30日,,                113857,                113857,,,                231964,                 39247,                  6382,                -18483,                 12820,                 -7904,                   -248,                -83334,                   -555,                    -13,                    284,                 -7988,                   -430,                 22971,                194713,,,                 60013,                -44368,               -172751,                 17115,                -39474,                 33214,               -116649,               -262900,,                 22989,                 23675,                -10876,                 25575,                  2022,                 63385,               -199515,                 -4802,                109055,                  7117,                  2473,                -12687,                -15605,                 90353,,                              0,                              0,                -20000,               -121811,                    695,                    -52,                 67415,                 -1150,               -235070,               -309973,,              1464000,                350000,               -163502,                    418,,                 19450,              1670366,                -16735,              1434011,                469977,              1903988,              1903988,,,,,,,,,,,,,,,,,
1444,2014年01月01日至2014年03月31日,,                118360,                118360,,,                115871,                 19912,                    790,                  2003,                  5608,                 -2883,,                -60692,                    -38,                    -13,,                   -548,                    -63,                  2268,                 82215,,,                 60013,                  6157,                -45799,               -143227,                 -9478,                 29017,                  3119,               -100198,,                 -3294,                 31479,                -14326,                -13624,                  1001,                  1236,                -98962,                -16747,                101613,                  1963,,                 -5543,                   -179,                 97854,,,,,                -71863,                     38,                     62,                -23995,                   -304,               -121968,               -218030,,                540000,                400000,               -106751,                   -142,,,                833107,                 -3174,                709757,                469977,              1179734,              1179734,                              0,,,,,,,,,,,,,,,,
1444,2013年度,,                722841,                722841,,,                443789,                 87711,                 -5266,                -80679,                 15304,                 -7975,                 -6258,               -348307,                -18134,                -26755,                              0,                  4775,                    616,                -16569,,,,                -27811,                102706,                112099,                156844,                -45205,                -53945,                 65073,                309761,,               -369572,               -168151,                -88335,                 18129,,               -604487,               -294726,               -250824,                472017,                  7841,                 31778,                -15818,                 -7813,                488005,,                              0,                    119,                -41914,               -171972,                247522,                  3908,                -67415,                 -1795,               -664659,               -517654,,                510000,                150000,               -514606,                    602,               -540850,                              0,                -80908,                 11946,                -98611,                568588,                469977,                469977,,,                 11484,                 -9834,                 43902,                              0,                  3442,                -31409,                231181,                              0,                -21220,                400000,                -39686,                -46368,,,
1444,2013年01月01日至2013年12月31日,,                722841,                722841,,,                443789,                 87711,                 -5266,                -80679,                 15304,                 -7975,                 -6258,               -348307,                -18134,                -26755,,                  4775,                    616,                -16569,,,,                -27811,                102706,                112099,                156844,                -45205,,                     57,                309578,,               -369572,               -168151,                -87712,                 18129,,               -603864,               -294286,               -250384,                472457,                  8024,                 31778,                -16441,                 -7813,                488005,,,                    119,                -41914,               -171972,                247522,,,                 -1795,               -664659,               -517654,,                510000,                150000,               -514606,                    602,               -540850,,                -80908,                 11946,                -98611,                568588,                469977,                469977,                              0,,                 11484,                 -9834,                 43902,                 10888,                  3442,                -31409,                231181,                              0,                -21220,                400000,                -39686,                -46368,                              0,                  3908,                -67415
1444,2013年01月01日至2013年09月30日,,                662953,                662953,,,                325018,                 65481,                 -3984,                -90368,                  8981,                 -5142,                 -5674,               -301231,                -17461,                 -1571,                              0,                 -2261,                  5066,                  6769,,,,                 31444,                 90341,                110132,                -27034,                -37249,                -12967,                -66232,                 88435,,               -369126,                -14337,               -127395,                 17356,,               -489705,               -401270,               -427481,                235472,                  4624,                 31244,                 -9464,                 -9738,                252138,,                              0,                    654,                -41913,             -1074287,                246847,                  1620,                 92211,                   -553,                621901,               -206149,,                620000,                530000,               -458454,                     -4,               -540850,                              0,                164638,                 -3594,                207033,                568588,                775621,                775621,,,,                 -9834,                -26211,,                  2654,                -31409,,,                -21220,                100000,                -39686,                -46368,                  1143,,
