證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金減少,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 其他金融資產增加,　　 其他預付款項增加,　　 償還長期借款,　　 發放現金股利,　　 員工購買庫藏股,　　 處分子公司股權（未喪失控制力）,　　　　 非金融資產減損迴轉利益,　　 存入保證金增加,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 其他投資活動,　　　　　 其他營業負債增加（減少）,　　 其他非流動資產增加,　　 短期借款減少
1473,2015年01月01日至2015年03月31日,,                 56681,                 56681,,,                 26061,                  2571,                -18987,                  3151,                 10993,                -20978,                    171,                              0,                  2308,                      3,                              0,                              0,                  8577,                 13870,,,               -678432,                -10979,                 19152,                -24876,                331197,                -11270,               -375208,,                 -9592,                -66588,                -30286,                -28953,                              0,                  1077,               -134342,               -509550,               -495680,               -438999,                 21263,                -10836,                 -4460,               -433032,,                -21200,                 18800,                              0,                              0,                -65273,                  4241,                -50112,                              0,                     60,                  1100,               -112384,,                 11416,                              0,                 -4213,                              0,                -27455,                              0,                -20252,                -34531,               -600199,              1548577,                948378,                948378,,,,,,,,,,,,,,,,,,,,,
1473,2014年度,,                -33490,                -33490,,,                 99045,                 10276,                 43943,                -62424,                 49949,                -67313,,                              0,,               -315636,                              0,                              0,                 42205,,,,                293395,                  3409,               -263908,                  5646,                542637,                 55624,                636803,,                  1967,                -97694,                  5830,                  1741,,,                -80609,                556194,                355997,                322507,                 47442,                -51180,               -150901,                167868,,               -123600,                -30800,                  3900,                              0,               -177962,                284187,,                -15336,                              0,                  4448,               -139603,,                300490,                              0,                -23455,                    240,                -18865,                 -2287,               -293298,                142661,               -122372,              1670949,              1548577,              1548577,,                   -242,               -200197,                  7547,                  5664,                -51739,                -38365,               -293796,               -362593,                 19816,                 87152,,,,,,,,,,
1473,2014年01月01日至2014年03月31日,,                 45815,                 45815,,,                 24924,                  1279,                 13040,                -31258,                 13602,                -14764,                    566,                              0,                    236,                              0,                              0,                              0,                 32556,                 40181,,,               -420818,                  8158,               -194505,                 -1650,                413477,                 -9861,               -205199,,                 -6723,               -126958,                 36612,                    -29,                              0,                  3526,                -93572,               -298771,               -258590,               -212775,                 14764,                -15864,                 -1610,               -215485,,                -10000,                -18400,                  3900,                              0,                -29189,                              0,                    734,                 -3076,                              0,                  1204,                -54827,,               -156996,                 13394,                 -6496,                    240,                -18865,                   -268,               -168991,                 11697,               -427606,              1670949,              1243343,              1243343,,,,,,,,,,,,,,,,,,,,,
1473,2013年度,,                 54263,                 54263,,,                104838,                  4064,                 56781,                 45582,                 48615,                -40355,,                    370,,                    803,                 -1279,                              0,                131396,,,,               -355477,                 -3960,                124604,                120925,                -74093,                 -9637,               -197638,,                  8121,                -78485,                 31871,                 52983,,,                 -7904,               -205542,                147273,                201536,                 40355,                -49654,                -95694,                 96543,,                 45800,                105644,                    900,                 18908,                -61945,                  2232,,                 -6412,                 29040,                 14212,                148585,,                -63756,                959787,                   -830,                    870,                              0,                 92509,                394813,                141369,                781310,                889639,              1670949,              1670949,,                  2000,                352815,                -22394,                    206,                              0,                              0,               -471013,               -145004,                 22250,                              0,,,,,,,,,,
1473,2013年01月01日至2013年12月31日,,                 54263,                 54263,,,                104838,                  4064,                 56781,                 45582,                 48615,                -23105,,                    370,,                    803,                 -1279,                              0,                131396,,,,               -171181,                 -3960,                124604,                120925,                -74093,                 -9637,                -13342,,                  8121,                -78485,                 31871,                 52983,,,                 -7904,                -21246,                348819,                403082,                 23105,                -49654,                -95694,                257734,,                275474,               -308326,                    900,                 18908,                -61945,                  2232,,                 -6412,                 29040,                 14212,                -12606,,                -63756,                959787,                   -830,                    870,                              0,                 92509,                394813,                141369,                781310,                889639,              1670949,              1670949,,,                370065,                -22394,                    206,,,               -471013,               -145004,                 22250,,                              0,,                  2000,                              0,                              0,,,,,
1473,2013年01月01日至2013年09月30日,,                 47115,                 47115,,,                 77295,                  1618,                 44741,                 38645,                 35868,,,                    370,,                  1043,                 -1491,                              0,                113781,,,,               -417035,                   -523,                238312,                130624,                224089,                -23499,                151968,,                 -3550,                -25847,                -37199,                 61712,,,                 -5644,                146324,                460194,                507309,,                -38502,                -89546,                379261,,                290165,               -227169,,                 18908,                -14247,                  1490,                   -821,                 -5557,                 29040,                  1535,                 94244,,               -508354,                696581,,                    120,                              0,                 81782,               -266751,                110751,                317505,                889639,              1207144,              1207144,,                  2000,                313870,                   -760,,,,               -407522,               -145004,                 22250,,                              0,                 -6604,,,,                    900,                              0,,,
1473,2013年01月01日至2013年06月30日,,                114593,                114593,,,                 52635,                    934,                 21429,                  5493,                 23946,,,                    370,,                    418,                 -1491,                              0,                 40521,,,,               -502353,                -15429,                -29229,                119566,                141753,                -55294,               -340986,,                  4278,               -187950,                 75448,,                 69360,,                -36048,               -377034,               -230779,               -116186,,                -26766,                -50698,               -193650,,               -136330,                227622,,                 18908,                -10288,                  1855,,                   -206,                 29040,,                125646,,,                306793,                 -2980,,                              0,                 89268,                104241,                127839,                164076,                889639,              1053715,              1053715,,                  2000,                146255,,,,,,,,,                              0,,,,,                    900,                              0,                  2816,                 -5855,               -288840
1473,2013年01月01日至2013年03月31日,,                142114,                142114,,,                 24783,                    462,                 16100,                 -1564,                 12050,                 -3540,,                    370,,                    376,                 -1279,                              0,                 32382,,,,                -80292,                 -9629,               -223928,                133011,                352141,                -83568,                 87735,,                  6991,               -134787,                 55189,                 46732,                              0,,                -21336,                 66399,                146539,                288653,                  3540,                -13445,                              0,                275208,,                 49417,                 -6412,                              0,                 18908,                -19029,                  3340,                 -4428,                              0,                 29040,                 -5822,                 68554,,               -236746,                207237,,                              0,                              0,                 74876,                 39395,                119136,                502293,                889639,              1391932,              1391932,,,                 80140,                  4539,,,,,,,,                              0,                 -5972,,,,,,,,
1473,2012年01月01日至2012年12月31日,,                112149,                112149,,,                109307,                  1642,                 -3005,                 13514,                 36515,                -22985,,                  5013,,                  5308,                              0,                              0,                 73276,,,,                 25609,                    -80,                472036,                -85039,                212429,                 81541,                706496,,                 -7574,               -271777,               -139072,               -140500,,,               -610103,                 96393,                314319,                426468,                 22985,                -32396,               -142377,                251695,,                -18078,                 42747,                  4000,                              0,                -96472,                  2744,,                 -3007,                -16530,                 13576,                -28103,,                  6533,                186437,                 -6308,                              0,                -49744,                -35853,               -209355,                -71626,                -57389,                947028,                889639,                889639,,,                217926,                -51180,                 14644,,,                              0,               -334367,                 23947,,                   -163,,                 -5288,                  4792,                  5288,,,,,
1473,2012年01月01日至2012年09月30日,,                  2707,                  2707,,,                 84234,                  1187,                  1409,                 16870,                 27827,,,                    890,,                  1412,                              0,                              0,                 67985,,,,                 60344,                -33850,                133744,                 20986,                229456,                 86368,                497048,,                 -4576,               -123718,               -176348,                 31785,,,               -324441,                172607,                374397,                377104,,                -26383,                -92847,                257874,,               -108197,                 95118,,                              0,                -58210,                  5707,                  9535,                 -2287,                  2410,                 13114,                -48041,,                313945,                              0,,                              0,                -49744,                -42632,                -97306,                -63534,                 48993,                947028,                996021,                996021,,                              0,                201790,                -51584,,,,                              0,               -334367,                 23947,,                    -24,                 -8455,,,,                  4000,                 -9231,,,
