證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金減少,　　 員工執行認股權,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 其他籌資活動,　　　 不影響現金流量之收益費損項目,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 其他投資活動,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 取得備供出售金融資產,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 預付投資款增加
3055,2015年01月01日至2015年09月30日,,                105526,                105526,,,                 47519,                  2832,                   -400,                    427,                -12573,                   -500,                 12273,                     56,                     36,                    383,                 50053,,,                 -6437,                -78401,                -11816,                -66632,                -34730,                  1482,                     81,               -196453,,                    501,                -15998,                -39269,                              0,                 -6988,                   -121,                    172,                -61703,               -258156,               -208103,               -102577,                 12844,                    500,                   -402,               -158538,                -50851,               -299024,,                -10273,                -59990,                              0,                -27978,                    765,                 -1052,                              0,                 -2436,                  1095,                -99869,,                 41000,                              0,                  2930,                              0,                     67,                 43997,                 15917,               -338979,              1185281,                846302,                846302,,,,,,,,,,,,,,,,,,,,,,,,
3055,2015年01月01日至2015年06月30日,,                 89555,                 89555,,,                 31146,                  1878,                  1132,                    260,                 -9046,,                 12828,                   -427,                     36,                    407,                 38214,,,                 -1329,                -30156,                 -6709,                -16796,                 -5517,                    402,                    159,                -59946,,                    777,                121918,                 -6964,                  3500,                 -2795,                 -7982,                    115,                108569,                 48623,                 86837,                176392,                  9111,,                   -253,,                -29070,                156180,,               -108535,                -59990,,                 -4655,                    926,                 -1492,                              0,                 -1124,                  1095,               -172572,,                 14000,                              0,                  2683,                              0,                    -53,                 16555,                -15807,                -15644,              1185281,              1169637,              1169637,                  1203,                    -75,,,,,,,,,,,,,,,,,,,,,,
3055,2015年01月01日至2015年03月31日,,                 28479,                 28479,,,                 15940,                    976,                  1690,                    122,                 -3482,,                  6701,                    145,,,                 22092,,,                   -144,                 85902,                 -4304,                 -5671,                   -786,                 -2037,                    228,                 73188,,                    888,               -129599,                -18384,                  2000,                 -2428,                 34838,                     57,               -112628,                -39440,                -17348,                 11131,                  3684,,                   -120,,                   -641,                 14054,,               -144763,,,                   -140,                              0,                 -1892,                              0,,,               -147876,,                  9000,                              0,                  2505,                              0,                    -24,                 11481,                 -8703,               -131044,              1185281,              1054237,              1054237,                 -1081,,,,,,,,,,,,,,,,,,,,,,,
3055,2014年度,,                333811,                333811,,,                 60946,                  4459,                     96,                     96,                -13952,                   -425,                 12583,                 -2912,,                              0,,,,                  1803,                -56832,                  6703,                 21517,                 43021,                   -816,                 -4310,                 11086,,                   -282,                157991,                 46761,                              0,                    147,                -44880,                 -2677,                157060,                168146,                235050,                568861,                 13518,                    425,                    -79,                -38958,                -23456,                520311,,,                              0,                 24552,                -55981,                  3931,,                  1009,                   -205,,               -828612,,,,                 51335,                -57274,                -34273,                   -289,                 33760,               -274830,              1460111,              1185281,              1185281,,                 15000,,                              0,                              0,                  6013,                 66904,                              0,                              0,               -801918,                              0,                 25000,                              0,                    -77,,,,,,,,,,
3055,2014年01月01日至2014年09月30日,,                304374,                304374,,,                 44840,                  3480,                  2192,                     18,                 -9668,                              0,                  5781,                 -1206,                              0,                              0,                 45437,,,                  1817,               -111915,                  2032,                 24260,                 41018,                 -2514,                              0,                -45302,,                  1892,                286033,                 41876,                  3000,                  8560,                -25680,                 -1169,                314512,                269210,                314647,                619021,                  9063,                              0,                              0,                -38822,                -21286,                567976,,               -405620,                              0,                 12200,                -20874,                  1985,                              0,                  1046,                   -208,                              0,               -411471,,                 13000,                    -77,                 50099,                -57274,                -34353,                -28605,                  4643,                132543,              1460111,              1592654,              1592654,,,,,,,,,,,,,,,,,,,,,,,,
3055,2014年01月01日至2014年06月30日,,                187536,                187536,,,                 30911,                  2321,                   -347,                      6,                 -5221,,                  1752,                     -6,                              0,                              0,                 29416,,,                  1584,               -115559,                  6450,                  1739,                 24990,                 -5170,                              0,                -85966,,                  2382,                203172,                 26528,                              0,                  1140,                -17358,                  2135,                217999,                132033,                161449,                348985,                  4875,,                     -6,,                 -9639,                344215,,               -148043,                              0,,                 -2157,                    773,                              0,                    892,                              0,                              0,               -147076,,                              0,                   -480,                  2409,                -57274,                -39209,                -94554,                    194,                102779,              1460111,              1562890,              1562890,                  1459,                              0,,,,,,,,,,,,,,,,,,,,,,
3055,2014年01月01日至2014年03月31日,,                 52483,                 52483,,,                 15966,                  1161,                   -230,                      3,                 -2509,,                    800,                     -6,,,                 15185,,,                     42,                112225,                    165,                -29755,                 15432,                     -1,                              0,                 98108,,                  3123,                 16142,                -47511,                  1500,                    701,                 18793,                    207,                 -7045,                 91063,                106248,                158731,                  2427,,                     -3,,                 -5354,                155801,,                -70670,,,                   -986,                    610,                              0,                  1699,,,                -67909,,                              0,                   -480,                              0,                -23463,                -34512,                -58455,                 13090,                 42527,              1460111,              1502638,              1502638,                  1438,,,,,,,,,,,,,,,,,,,,,,,
3055,2013年度,,               -525527,               -525527,,,                 72087,                  3677,                  6675,                    559,                 -6581,                              0,                  4910,                 -9944,,                    248,,,,                  1417,                 83207,                 -1987,                129727,                -10075,                  5598,                              0,                224160,,                    -20,                 24653,                -20529,                 -3000,                 -2960,                 25249,                 20497,                 43890,                268050,                814290,                288763,                  6498,                              0,                   -961,                -39046,                -42335,                212919,,,                -14903,                              0,                -16430,                 33717,,                  1559,                   -616,,                  5677,,,,                              0,                 -8494,                 -2461,               -230890,                 -7005,                -19299,              1479410,              1460111,              1460111,,                              0,,                 -2280,                461400,                 15489,                546240,                 16273,                 32312,                              0,                -29962,                -41757,               -178689,                    511,,,,,,,,,,
3055,2013年01月01日至2013年12月31日,,               -525527,               -525527,,,                 72087,                  3677,                  6675,                    559,                 -6581,,                  4910,                 -9944,,                    248,,,,                  1417,                 83207,                 -1987,                  8883,                -10075,                  5598,                              0,                103316,,                    -20,                 24653,                -20529,                 -3000,                 -2960,                 25249,                 20497,                 43890,                147206,                814290,                288763,                  6498,,                   -961,                -39046,                -42335,                212919,,,                -14903,,                -16430,                 33717,,                  1559,                   -616,                              0,                  5677,,,,,                 -8494,                 -2461,               -230890,                 -7005,                -19299,              1479410,              1460111,              1460111,,,,                 -2280,                461400,                 15489,                667084,                 16273,                 32312,                              0,                -29962,                -41757,               -178689,                    511,,                              0,                              0,                120844,,                              0,                              0,                              0,,
3055,2013年01月01日至2013年09月30日,,                -35558,                -35558,,,                 52357,                  2686,                    307,                    554,                 -4736,,                  4662,                 -9944,,                   -155,,,,                  2856,                -29960,                  3989,                121833,                -21439,                    298,,                 93850,,                  6312,                 57126,                -47400,                 -3000,                 -4719,                  7366,                  5938,                 21623,                115473,                158371,                122813,                  4929,,                   -956,                -39046,                -38496,                 49244,,,,                              0,                -20387,                 28272,,                    685,                   -642,,                -18727,,,                              0,                              0,                              0,                 -1579,               -221514,                 -4229,               -195226,              1479410,              1284184,              1284184,,,,                 -2833,,,                 42898,                 16273,                  3307,                              0,,                -41757,               -178689,                    511,                -29962,,,,,,,,,
