證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發行公司債,　　 償還公司債,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他金融資產（增加）減少,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 員工執行認股權,　　　　 其他項目,　　 其他籌資活動,　　　　 非金融資產減損損失
1731,2015年度,,                 94761,                 94761,,,                 29047,                  5386,                     57,                     -2,                  4359,                 -4732,                 -2582,                 34997,                    -38,                 -3946,                              0,                 62546,,,                  6228,                  3821,                -30582,                    547,                 -1996,                -62094,                   -830,                -75754,                 74969,                -85691,,                    461,                 93394,                  3000,                  7939,                  1202,                105996,                 20305,                 82851,                177612,                 -4279,                -17729,                155604,,                              0,                              0,                              0,                 18297,               -228090,                              0,                 -7342,                    177,                 -1331,                 -2827,                 -3541,                  4911,                  2582,               -217164,,                              0,                              0,                -79749,                -79749,                 -3551,               -144860,                315775,                170915,                170915,,,,,,,,,
1731,2015年01月01日至2015年09月30日,,                 67571,                 67571,,,                 21804,                  4180,                     57,                     -1,                  3203,                 -4047,                 -2582,                 25669,                    -28,                 -3856,                              0,                 44399,,,                 28201,                  4100,                -41937,                    809,                    520,                -55047,                   -429,                  6123,                -11228,                  1682,,                    798,                 37601,,                  6863,                  4845,                 50107,                 51789,                 96188,                163759,                 -3215,                -17680,                142864,,                              0,                              0,                              0,                 17641,               -162858,                              0,                 -3755,                    177,,                 -1869,                 -1989,                  4204,                  2582,               -145758,,                              0,                              0,                -79749,                -79749,                  2861,                -79782,                315775,                235993,                235993,                 70570,                    109,,,,,,,
1731,2015年01月01日至2015年06月30日,,                 50649,                 50649,,,                 14498,                  3037,                     57,                     -8,                  2180,                 -2919,                 -2209,                 18924,                    -20,                 -3795,,                 29745,,,                 -1860,                 -7802,                -42784,                 -1686,                    435,                -15842,                   -457,                  9429,                 -2680,               -208256,,                    353,                 32565,,                 -5295,                  6882,                 34505,               -173751,               -144006,                -93357,,                -11100,               -104457,,                              0,,,                 17510,                -20637,                              0,                 -2661,                    176,,                 -1869,                 -1509,                  2987,                    147,                 -5796,,,,,,                 -3785,               -114038,                315775,                201737,                201737,               -145009,                     60,,,,,,,
1731,2015年01月01日至2015年03月31日,,                 36546,                 36546,,,                  7257,                  1840,                              0,                    -78,                  1090,                 -1459,,                 10428,                    -11,                 -3090,,                 15977,,,                -16987,                    576,                -47810,                 -1620,                  1221,                -16316,                   -363,                 21895,                 -2681,               -126778,,                    871,                 39030,                 -1097,                -15228,                  1462,                 25038,               -101740,                -85763,                -49217,,                    -94,                -49311,,,,,                 14928,,                              0,                   -596,                    176,                   -196,                 -1545,                 -1201,                  1498,,                 13064,,,,,,                 -1716,                -37963,                315775,                277812,                277812,                -64693,,,,,,,,
1731,2014年度,,                 95754,                 95754,,,                 27655,                  7565,                    402,                    -26,                  5712,                 -2985,                   -374,                 45600,                    -39,                -78165,                 18701,                 24046,,,                 87913,                  8197,                  6362,                    312,                  1206,                    802,                -12002,                -51934,                 47362,                 88218,,                   -298,                    -94,                  1330,                 10504,                 -4075,                  7367,                 95585,                119631,                215385,                 -5100,                 -6485,                203800,,                -19593,                 21784,                 -6375,                  5414,                              0,                 89935,                -19957,                              0,                   -740,                 -2490,                 -1788,                  2846,                    374,                 69410,,                200000,               -300000,                -53166,               -153166,                  8938,                128982,                186793,                315775,                315775,,,,,,,,,
1731,2014年01月01日至2014年09月30日,,                 76598,                 76598,,,                 20525,                  5783,                    258,                   -108,                  4622,                 -1983,                   -374,                 32208,                    -29,                -77969,                 18701,                  1634,,,                -99289,                  1878,                -14891,                 -1614,                  3028,                  1875,                -10069,                -43456,                  4326,                -12935,,                    881,                 -6775,,                 -3048,                  3483,                 -5459,                -18394,                -16760,                 59838,                 -5100,                 -6824,                 47914,,                -19593,                 21784,                 -6375,                  5414,                              0,                 89935,                -13128,                              0,,                 -1499,                 -1978,                  2036,                    374,                 77208,,                200000,               -300000,                -53166,               -153166,                    306,                -27738,                186793,                159055,                159055,                145277,                    238,,,,,,,
1731,2014年01月01日至2014年06月30日,,                 36781,                 36781,,,                 13483,                  4002,                     76,                   -252,                  3218,                 -1413,                              0,                 21054,                    -20,                -19405,,                 20743,,,                -96105,                 -1191,                  8010,                 -1698,                    748,                 -3021,                 -7201,                -46662,                  3735,                 39066,,                    -51,                -17063,,                 28494,                -54975,                -43595,                 -4529,                 16214,                 52995,,                 -3514,                 49481,,                -19593,,,                  1995,                              0,                  9876,                -10570,                              0,,                   -520,                    264,                  1466,                              0,                -16075,,,,,,                 -1592,                 31814,                186793,                218607,                218607,                182451,                  1007,,,,,,,
1731,2014年01月01日至2014年03月31日,,                 22807,                 22807,,,                  6590,                  2052,                     30,                   -118,                  1609,                   -802,,                  5909,                    -10,                 -3925,,                 11335,,,                -97929,                  1296,                 -7853,                 -1486,                  1161,                 -9447,                 -1054,                -54311,                  2021,                -61011,,                    482,                 60979,                   -473,                -24756,                    392,                 36624,                -24387,                -13052,                  9755,,                   -482,                  9273,,,,,                              0,,                  6356,                 -4165,                              0,                 -1624,                   -500,                    264,                    820,,                  1151,,,,,,                   -327,                 10097,                186793,                196890,                196890,                106591,,,,,,,,
1731,2013年度,,                 69881,                 69881,,,                 22024,                  7817,                   -177,                      5,                  6437,                 -3245,                   -192,                 27747,                    445,                -19048,                              0,,,,                 -9507,                 18091,                -58924,                  4094,                 -3370,                -18586,                              0,                 -4412,                 -3840,                 18095,,                 -1526,                 30524,                 -9688,                  7105,                  6165,                  2455,                 20550,                 62363,                132244,                 -5100,                 -4728,                122416,,                              0,                              0,                              0,                  4611,                -19411,                 29765,               -152903,                    517,                 -2431,                 -2857,                 -5963,                  2900,                    192,               -145580,,                              0,                              0,                -46520,                -46520,                  6038,                -63646,                250439,                186793,                186793,                 94549,,,                 41813,                -30125,                              0,,,
1731,2013年01月01日至2013年12月31日,,                 69881,                 69881,,,                 22024,                  7817,                   -177,                      5,                  6437,                 -3245,                   -192,                 27747,                    445,                -19048,                              0,,,,                 -9507,                 18091,                -58924,                  4094,                 -3370,                -22544,,,                 -8252,                 14137,,                 -1526,                 30524,                 -9688,                  7105,                  6165,                  2455,                 16592,                 62363,                132244,                 -5100,                 -4728,                122416,,                              0,                              0,,                  4611,                -19411,                 29765,               -152903,                    517,                 -2431,                 -2857,                 -5963,                  2900,                    192,               -145580,,,,                -46520,                -46520,                  6038,                -63646,                250439,                186793,                186793,                 94549,,,                 45771,                -30125,                              0,                  3958,                              0,
