證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 庫藏股票買回成本,　　 支付之利息,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 短期借款減少,　　 償還長期借款,　　　　　 預付款項（增加）減少,　　　　 非金融資產減損損失
3669,2015年01月01日至2015年09月30日,,                -14417,                -14417,,,                 64209,                  3865,                 -1120,                 -1646,                              0,                 -3573,                              0,                    -18,                  5135,                  6222,                 -4668,                  4028,                 72434,,,                  5474,                  2166,                -57573,                    -51,                 13935,                 -3856,                -39905,,                -19557,                -35756,                 -1980,                   -907,                   -113,                -58313,                -98218,                -25784,                -40201,                -16868,                -57069,,                -18045,                  1029,                    495,                   -709,                  3523,                -13707,,                -38993,                -84937,                              0,                              0,               -123930,                  5431,               -189275,                928486,                739211,                739211,,,,,,,
3669,2015年01月01日至2015年06月30日,,                -38100,                -38100,,,                 42970,                  3138,                 -1293,                 -5734,                              0,                 -2573,,                      1,                  3462,                  8683,                  4398,                  3716,                 56768,,,                 56710,                  1680,                  3654,                 -3644,                -27851,                 -4493,                 26056,,                -27933,                -44642,                 -2196,                    187,                   -256,                -74840,                -48784,                  7984,                -30116,                -11397,                -41513,,                -13589,                    821,                              0,,                  2498,                -10595,,,                -60906,                              0,,                -60906,                 -5614,               -118628,                928486,                809858,                809858,                   -325,,,,,,
3669,2015年01月01日至2015年03月31日,,                -37956,                -37956,,,                 21291,                  1634,                 -1263,                 -3649,                              0,                 -1187,,                     10,                  1732,                  8113,                  8493,                  1328,                 36502,,,                  2345,                  3084,                  2226,                 -2995,                -39591,                 -4117,                -39048,,                -15941,                -40633,                   -888,                   -970,                   -138,                -58570,                -97618,                -61116,                -99072,                 -4655,               -103727,,                 -6523,                     93,                    376,,                  1187,                 -4867,,,,                              0,,                              0,                 -2867,               -111461,                928486,                817025,                817025,,,,,,,
3669,2014年度,,                 37151,                 37151,,,                 88418,                  8824,                   -770,,                     16,                 -4838,                  3270,                   -322,                  3491,                  5874,                  6354,                  4877,,,,                   -439,                   -394,                 10470,                  1724,                -23216,                  4618,                 -7237,,                  8845,                  5614,                 -2557,                 -1057,                    351,                 11196,                  3959,                119153,                156304,                -25619,                130685,,                -18460,                    417,,                 -5971,                  4795,                -18925,,                -19396,                              0,                    -16,                 10380,                 -9032,                 10251,                112979,                815507,                928486,                928486,                    294,,                115194,                              0,,,
3669,2014年01月01日至2014年09月30日,,                 66697,                 66697,,,                 66899,                  6880,                   -914,                 -1325,                     16,                 -3333,                  3270,                     22,                  2617,                  6567,                  9234,                  3401,                 93334,,,                     -6,                    493,               -107959,                 -2750,                  8523,                 -4091,               -105790,,                 26820,                 11693,                 -1829,                    355,                    469,                 37508,                -68282,                 25052,                 91749,                -16173,                 75576,,                -12379,                     72,                    962,                 -3191,                  3307,                -11229,,                -19396,                              0,                    -16,                 10380,                 -9032,                 -1752,                 53563,                815507,                869070,                869070,,,,,,,
3669,2014年01月01日至2014年06月30日,,                 46628,                 46628,,,                 44675,                  4740,                   -258,                    954,                     14,                 -2295,,                     -2,                  1745,                    568,                    955,                  2434,                 53530,,,                 -1108,                    977,                -92792,                 -1095,                 -9826,                 -2329,               -106173,,                 34939,                -23637,                 -1352,                   -345,                    266,                  9871,                -96302,                -42772,                  3856,                 -3636,                    220,,                 -5733,                     72,                  1169,,                  2295,                 -2197,,,                              0,                    -14,,                    -14,                   -517,                 -2508,                815507,                812999,                812999,                              0,,,,,,
3669,2014年01月01日至2014年03月31日,,                  4932,                  4932,,,                 22594,                  2382,                   -166,                  1878,                      9,                   -978,,                     -2,                    873,                    754,                  6162,                    610,                 34116,,,                 -1055,                  2900,                  4015,                   -645,                 14058,                  4719,                 23992,,                -43978,                -43843,                   -527,                   -388,                    412,                -88324,                -64332,                -30216,                -25284,                    -53,                -25337,,                 -4612,                     72,                    555,,                    968,                 -3017,,,,                     -9,,                     -9,                 -4569,                -32932,                815507,                782575,                782575,,,,,,,
3669,2013年度,,                 11059,                 11059,,,                 89981,                 11498,                   -291,,                  1692,                 -5696,                              0,                   -231,                  4315,                -12474,                  7357,                  1582,,,,                 -1010,                 -2829,                 36911,                 -3977,                -27723,                 24153,                 25525,,                 41331,                 23202,                 -2031,                   -120,                  4171,                 66553,                 92078,                189811,                200870,                -11350,                189520,,                -97121,                    710,,                 -5211,                  5775,                -92343,,                -46662,                -22756,                 -1692,                              0,               -271110,                 -3924,               -177857,                993364,                815507,                815507,                  3504,,                 97733,               -200000,,,
3669,2013年01月01日至2013年12月31日,,                 11059,                 11059,,,                 89981,                 15813,                   -291,,                  1692,                 -5696,,                   -231,                  1679,                -12474,                  7357,                  1582,,,,                 -1010,                 -2829,                 36911,                 -3977,                -27723,                 15659,                 17031,,                 41331,                 30017,                 -2031,                   -120,                  4171,                 73368,                 90399,                189811,                200870,                -11350,                189520,,                -97121,                    710,                              0,                 -5211,                  5775,                -92343,,                -46662,                -22756,                 -1692,,               -271110,                 -3924,               -177857,                993364,                815507,                815507,                  3504,,                 99412,               -200000,                              0,,
3669,2013年01月01日至2013年09月30日,,                 24037,                 24037,,,                 66899,                 12454,                   -775,,                  1456,                 -4239,                              0,                   -231,                  1269,                -10104,                  6473,                    170,,,,                   -500,                   -840,                 -5042,                 -1951,                    884,                  7621,                    172,,                 23644,                  4108,                 -1228,                   -187,                   -340,                 25997,                 26169,                 99541,                123578,                 -2295,                121283,,                -63300,                    711,                  4378,                 -5112,                  4239,                -59084,,                -46662,                -22756,                 -1456,                              0,                -70874,                 -2330,                -11005,                993364,                982359,                982359,,,                 73372,,,,
3669,2013年01月01日至2013年06月30日,,                 12976,                 12976,,,                 44179,                  8828,                   -767,,                    621,                 -2850,,                     29,                    861,                 -8711,                  3179,                   -610,,,,                   -289,                 -2583,                 10414,                 -2885,                 18971,                   -177,                 23451,,                 11920,                  1381,                   -668,                    125,                   -194,                 12564,                 36015,                 80774,                 93750,                 -1638,                 92112,,                -43778,                    193,                  4856,                 -1342,                  2865,                -37206,,,                -22756,                 -1653,,                -24409,                  4872,                 35369,                993364,              1028733,              1028733,,,                 44759,,,,
3669,2013年01月01日至2013年03月31日,,                  9971,                  9971,,,                 21334,                  4483,                   -858,,                     23,                 -1245,,                              0,                    453,                  1202,                 13017,                 -1578,,,,                   -588,                 -1970,                  3836,                   -459,                 24534,                 -4245,                 21108,,                -13088,                 -1683,                   -198,                    390,                    -97,                -14676,                  6432,                 43263,                 53234,                   -764,                 52470,,                 -7512,                              0,                  3107,                   -789,                  1246,                 -3948,,,                -22756,                   -824,,                -23580,                 -5338,                 19604,                993364,              1012968,              1012968,,,                 36831,,,,
3669,2012年01月01日至2012年12月31日,,                 73129,                 73129,,,                 86770,                 17380,                   -927,,                  2816,                 -7605,,                    693,                  2166,                 -8326,                -15972,                 -5158,,,,                141152,                   -970,                 -9839,                 14904,                 65609,                 -6823,                204033,,                  8858,                -69258,                  8450,                   -836,                 -8905,                -61691,                142342,                214179,                287308,                -25932,                261376,,               -181698,                  2353,                 -5450,                -10787,                  7605,               -187977,,               -147355,                 -3013,                 -2816,,               -353184,                  9821,               -269964,              1263328,                993364,                993364,                              0,,                 71837,                              0,               -200000,,
3669,2012年01月01日至2012年09月30日,,                 84344,                 84344,,,                 65498,                 12739,                    788,,                  2660,                 -5800,,                    811,                  1624,                 -9042,                  2065,                 -5386,,,,                141066,                   -460,                -34779,                 11905,                 50540,                 -4303,                163969,,                 47840,                -33062,                   -783,                    137,                    608,                 14740,                178709,                244666,                329010,                -24320,                304690,,               -167554,                  1045,                    343,                -11847,                  5969,               -172044,,               -147355,                              0,                 -5269,,               -152624,                 -5662,                -25640,              1263328,              1237688,              1237688,,,                 65957,,,                              0,
3669,2012年01月01日至2012年06月30日,,                 24721,                 24721,,,                 43360,                  7812,                    789,,                  2005,                 -4103,,                    393,                  1083,                 -4323,                 -3306,                 -4526,,,,                 30783,                   -690,                -23541,                  6882,                 46643,                 -8336,                 50364,,                 43604,                -48071,                   -643,                  1197,                     52,                 -3861,                 46503,                 85687,                110408,                -24797,                 85611,,               -167356,                    699,                  1112,                 -3022,                  4254,               -164313,,,                              0,                 -3234,,                 -3234,                 -2787,                -84723,              1263328,              1178605,              1178605,,,                 39184,,,                 -1377,
3669,2012年01月01日至2012年03月31日,,                  7297,                  7297,,,                 21537,                  3743,                    804,,                  1066,                 -2046,,                    105,                    542,,                 -4666,                 -4581,,,,                    268,                   -435,                  2786,                  9278,                 27878,                 -4006,                 34392,,                  8389,                -46337,                   -506,                   -123,                              0,                -38577,                 -4185,                 15539,                 22836,                 -1309,                 21527,,                -74933,                    702,                    411,                   -841,                  2097,                -72564,,,                              0,                 -1618,,                 -1618,                 -3860,                -56515,              1263328,              1206813,              1206813,,,                 19724,,,                 -1377,                  3220
