證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分避險之衍生金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他應收款減少,　　 取得無形資產,　　 處分投資性不動產,　　 應收款項增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 支付之利息,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 存出保證金減少,　　　　 處分待出售非流動資產損失（利益）,　　　　 其他項目,　　 處分待出售非流動資產
2027,2015年01月01日至2015年09月30日,,                229857,                229857,,,                371963,                 30504,                   -244,                527234,                -15038,                              0,                -11080,                              0,                   -662,                761338,                 -5248,                -57023,              1601744,,,                 20312,                  5891,                -50226,                -99412,               -171617,             -1251336,                202143,                    -32,             -1344277,,                 70040,                 34253,               -258707,                -95620,                137123,               -250092,                 63354,                -10414,               -310063,             -1654340,                -52596,                177261,               -492678,               -315417,,                -92369,                 66915,                  2838,                -20149,             -1451980,                 21636,                -31047,                              0,                -91448,                              0,                -78025,               -137672,                              0,                 -3814,                              0,               -237436,                 14814,             -2037737,,             17733968,            -17916932,                751347,               -660000,             38979470,            -34167170,                              0,                              0,                              0,               -466259,               -463629,                              0,               -507780,               -136309,                -20056,              3126650,                -26350,                747146,              1980940,              2728086,              2728086,,,,,,,,,
2027,2015年01月01日至2015年06月30日,,                444899,                444899,,,                243064,                 20667,                   -527,                342757,                 -9639,                              0,                -10544,                              0,                   -775,                364618,                 -5248,               -279553,                664820,,,                -73088,                 12428,                -32031,               -491643,               -227639,             -1659223,                481354,                 -1010,             -1990852,,                -26891,                 11459,                -43481,                 48009,                 -7486,               -313870,                  8438,                -10414,               -334236,             -2325088,             -1660268,             -1215369,               -329460,             -1544829,,                -79313,                 70147,                              0,                 -4575,               -347033,                 21518,                -57043,                              0,               -123097,                              0,                -78025,               -119867,,,                    443,               -277847,                  9591,               -985101,,             10630595,            -10954417,                521714,               -480000,             27428439,            -23922579,,,,,               -226929,                              0,               -329624,                              0,                -27539,              2639660,                -61689,                 48041,              1980940,              2028981,              2028981,,,,,,,,,
2027,2015年01月01日至2015年03月31日,,                 41832,                 41832,,,                121342,                  8677,                    994,                169253,                 -2666,,                  7826,,                   -667,                497110,,                142344,                944213,,,                 94840,                  4747,                -23105,               -630697,                 42636,             -1739359,                 -5601,                -11053,             -2267592,,                -35047,                  6268,               -105362,                172890,                  5960,               -236855,                 12957,                 -4627,               -183816,             -2451408,             -1507195,             -1465363,                -63329,             -1528692,,                -45150,                 56545,,                              0,               -298931,                  3894,,                              0,                -56315,,,               -128074,,                -68086,                    350,               -141171,                  3304,               -719285,,              4940959,             -4656153,                281776,               -240000,             15848247,            -13516728,,,,,,,               -159289,                              0,                -26798,              2472014,                214202,                438239,              1980940,              2419179,              2419179,                -45651,,,,,,,,
2027,2014年度,,              2914310,              2914310,,,                475717,                 31669,                  1078,                562241,                -18807,                 48483,                 -5546,                 -1311,                 11817,               -163031,,                 67382,,,,               -102483,                -14393,                 18307,               -698040,                -48628,             -4180599,               -347808,                    333,             -5373311,,                 45773,                 -5142,                246988,                585948,                -34910,                376073,                 -5733,,              1169401,             -4203910,             -3194218,               -279908,               -471783,               -751691,,               -181609,                216863,                 10109,,               -369605,                 12794,                -17929,                 59639,                -30008,                 37235,,                -76162,,                              0,                    108,               -448510,                 17769,               -775806,,             22952009,            -21227985,              1095840,               -960000,             38594637,            -37675866,,,,               -466258,,                275939,               -515156,               -415713,                  5281,              1662728,                 17487,                152718,              1828222,              1980940,              1980940,                              0,,              1009692,                -39596,                 -6500,,,,
2027,2014年01月01日至2014年09月30日,,              2553743,              2553743,,,                351699,                 23927,                    901,                417781,                -15365,                 48483,                 -1523,                 -1311,                 12532,                -26838,                              0,                147817,                958103,,,                -69796,                 10360,                  5986,             -1265477,               -102554,             -1942122,                159986,                 -6313,             -3209930,,                 23967,                -15626,                 12363,                706862,                -55168,                256957,                 -5630,                -61985,                861740,             -2348190,             -1390087,              1163656,               -198401,                965255,,                -95758,                166435,                  6561,                  1741,               -252772,                  9583,                -22374,                 51969,                -30008,                 37235,                              0,                              0,                 49755,                              0,                    547,                -38529,                 14509,               -101106,,             17481314,            -16801438,                617333,               -480000,             18361556,            -18520681,                              0,                              0,                              0,               -466258,                              0,                275939,               -390032,               -384493,                -16107,               -322867,                 -4864,                536418,              1828222,              2364640,              2364640,,,,,,,,,
2027,2014年01月01日至2014年06月30日,,              1330316,              1330316,,,                234127,                 16219,                  2122,                274431,                 -6661,                 48483,                 -1856,                 -1311,                 12351,               -179889,                              0,                 26742,                424758,,,                 -4671,                 15922,                  6960,             -1369878,               -289785,                -68877,                210816,                 -1765,             -1501278,,                    650,                 -7409,                  2264,                342274,                -49858,                 63024,                 13512,                -57023,                307434,             -1193844,               -769086,                561230,                -94899,                466331,,                -62611,                141514,                  6561,                   -668,               -218387,                  4296,                -45907,                 13580,                              0,                 37235,                              0,                -33438,,,                  4013,                 -4141,                  5934,               -152019,,             11554316,            -11496497,                527481,               -480000,              7704505,             -7983910,,,,,                              0,                275939,               -256575,               -180158,                -17689,               -352588,                134160,                 95884,              1828222,              1924106,              1924106,,,,,,,,,
2027,2014年01月01日至2014年03月31日,,                342742,                342742,,,                115390,                  9307,                 -1072,                137266,                 -2492,,                   -783,,                    -11,               -108230,,                 -9098,                140277,,,                  7544,                 -2349,                 20653,             -1056438,                 20081,                699763,                 20369,                 -5794,               -296171,,                 83036,                -11880,                 11715,                171159,                -62775,                 48491,                -12057,                -52462,                175227,               -120944,                 19333,                362075,               -114392,                247683,,                -30493,                 43452,,                   -332,               -121114,                  1285,,                 20048,                              0,,,                -31321,,                -24544,                              0,                              0,                  1891,               -141128,,              7247724,             -6973639,                267722,               -240000,              7699352,             -7657505,,,,,,,               -124318,               -180286,                 -7454,                 31596,                -46366,                 91785,              1828222,              1920007,              1920007,                              0,,,,,,,,
2027,2013年度,,                536221,                536221,,,                451607,                  6167,                    864,                608005,                -13155,                              0,                -11905,                              0,                -73974,                168950,,               -130465,,,,                 54587,                              0,                -10792,               -441770,                -21045,             -1232178,               -384752,                   -867,             -2036817,,                -21510,                -20438,                -16762,                330776,                 28108,                -14579,                  6495,,                292375,             -1744442,               -738348,               -202127,                 37322,               -164805,,               -173820,                307312,                  2700,,               -496610,                 28482,                -13997,                              0,               -524453,                              0,,                -37384,,                -12038,                              0,               -140158,                 12639,             -1105981,,             25828597,            -25429545,              1140331,             -1290000,             41989466,            -41332720,,,,               -137834,,                              0,               -556708,              1633682,                -15206,              1830063,                 25893,                585170,              1243052,              1828222,              1828222,                -58654,,              1006094,                    285,                              0,,,,
2027,2013年01月01日至2013年12月31日,,                536221,                536221,,,                451607,                  8119,                    864,                608005,                -13155,,                -11905,,                -73974,                168950,,                -24903,,,,                 54587,                              0,                -10792,               -441770,                -21045,             -1232421,               -384752,                   -867,             -2037060,,                -21510,                -20438,                -16762,                330776,                 28108,                -14579,                  6495,,                292375,             -1744685,               -630834,                -94613,                 37322,                -57291,,               -173820,                307312,                  2700,                  1683,               -496610,                 28482,,,               -524453,,,                -37384,,               -168145,,,                 12639,             -1106250,,             25828597,            -25429545,              1140331,             -1290000,             41989466,            -41332720,,,,               -137834,                              0,,               -558391,              1633682,                -15206,              1828380,                -79669,                585170,              1243052,              1828222,              1828222,                -58654,,              1113851,                    285,,,                              0,                    243,                              0
2027,2013年01月01日至2013年09月30日,,                281764,                281764,,,                331522,                    160,                 -2358,                441043,                 -9312,                              0,                  4025,                              0,                -73960,                 87526,                              0,                 -9715,,,,                 22429,                              0,                  4573,               -485761,               -113902,              1420774,               -173566,                 -3034,                671513,,                -16685,                -14934,                -23988,                221932,                -39558,                -62140,                 -7621,,                 55870,                727383,              1496314,              1778078,                -67596,              1710482,,               -134046,                275618,                  2700,                  2055,               -302728,                 10130,                              0,                              0,                              0,                              0,,               -177775,                              0,                -17170,                              0,               -108506,                  8729,               -433695,,             19217409,            -19005987,              1804975,             -1950000,             26485322,            -27625523,                -11741,                  2655,                              0,               -137834,,                              0,               -414148,              1661537,,                 26665,                -54197,              1249255,              1243052,              2492307,              2492307,,,                768931,                 -1136,,                  7298,,,
