證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 發放現金股利,　　 員工執行認股權,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 預付投資款增加
2455,2015年01月01日至2015年09月30日,,                551668,                551668,,,                155585,                    401,                              0,                 -4236,                              0,                   -403,                  8442,                159789,,,                    116,                 -7545,                    731,                 -6734,                 -3901,                              0,                -17333,,                -36418,                 13038,                  3022,                -20358,                -37691,                122098,                673766,                  4236,                              0,                -75081,                602921,,                -19285,                    403,                 -1099,                  1394,                -18587,,                              0,               -493082,                              0,                              0,               -493082,                 -8442,                 82810,              1311584,              1394394,              1394394,,,,
2455,2015年01月01日至2015年06月30日,,                353382,                353382,,,                103486,                    255,                              0,                 -2916,                              0,                   -400,                  2455,                102880,,,                   -136,                -78640,                  2639,                -53540,                 -3881,,               -133558,,                -12734,                 11305,                  3075,                  1646,               -131912,                -29032,                324350,                  2916,                              0,                -37900,                289366,,                 -1143,                    400,                   -885,,                 -6024,,                              0,,                              0,                              0,                              0,                 -2455,                280887,              1311584,              1592471,              1592471,                 -4396,,,
2455,2015年01月01日至2015年03月31日,,                152654,                152654,,,                 51552,                    112,                              0,                 -1220,                              0,                              0,                    995,                 51439,,,                    116,                 10162,                    675,                -75894,                -13854,,                -78795,,                  3390,                  3444,                  5278,                 12112,                -66683,                -15244,                137410,                  1220,                              0,                   -123,                138507,,                    -35,                              0,                   -674,,                 -2511,,                              0,                              0,                              0,                              0,                              0,                   -995,                135001,              1311584,              1446585,              1446585,                 -1802,,,
2455,2014年度,,                564620,                564620,,,                215228,                    232,                              0,                 -6072,                              0,                              0,                 -3562,,,,                 19049,               -137320,                   -446,                -70744,                  1746,,               -187715,,                 97732,                 11322,                   -276,                108778,                -78937,                126889,                691509,                  6072,                              0,               -101146,                596435,,                -86121,                              0,                 -1107,,                -87811,,                              0,               -493082,                              0,                              0,               -493082,                  3562,                 19104,              1292480,              1311584,              1311584,                   -583,,                205826,
2455,2014年01月01日至2014年09月30日,,                390142,                390142,,,                161029,                    158,                              0,                 -4441,                              0,                              0,                 -1843,                154903,,,                 19165,               -158589,                 -1581,                -56249,                 -1081,                              0,               -198335,,                108336,                 -8044,                  2303,                102595,                -95740,                 59163,                449305,                  4441,                              0,               -100804,                352942,,                -13176,                              0,                   -354,                -68373,                -81903,,                              0,               -493082,                              0,                              0,               -493082,                  1843,               -220200,              1292480,              1072280,              1072280,,,,
2455,2014年01月01日至2014年06月30日,,                212491,                212491,,,                107956,                     94,                              0,                 -2977,                              0,                              0,                  1752,                106825,,,                 19165,               -109895,                  2111,                -37607,                    998,,               -125228,,                 78252,                -12078,                  2104,                 68278,                -56950,                 49875,                262366,                  2977,                              0,                -65813,                199530,,                 -9867,                              0,                   -151,,                -74409,,                              0,,                              0,                              0,                              0,                 -1752,                123369,              1292480,              1415849,              1415849,                -64391,,,
2455,2014年01月01日至2014年03月31日,,                 85297,                 85297,,,                 54258,                     61,                              0,                 -1220,                              0,                              0,                   -859,                 52240,,,                  5856,                -19597,                 -6392,                -15284,                 -1911,,                -37328,,                    833,                 -7508,                   -292,                 -6967,                -44295,                  7945,                 93242,                  1220,                              0,                   -122,                 94340,,                -10692,                              0,                   -130,,                -69923,,                              0,                              0,                              0,                              0,                              0,                    859,                 25276,              1292480,              1317756,              1317756,                -59101,,,
2455,2013年度,,                552766,                552766,,,                214284,                    348,                              0,                 -6035,                              0,                     -2,                   -862,,,,                 -5833,                 89153,                    150,                 17107,                 -3877,,                 96700,,                  5732,                  3748,                   -605,                  8875,                105575,                313308,                866074,                  6035,                              0,                -51553,                820556,,               -124862,                      2,                   -210,,               -221937,,                              0,               -616353,                              0,                              0,               -616353,                    862,                -16872,              1309352,              1292480,              1292480,                -96867,,                207733,
2455,2013年01月01日至2013年12月31日,,                552766,                552766,,,                214284,                    348,                              0,                 -6035,                              0,                     -2,                   -862,,,,                 -5833,                 89153,                    150,                 17107,                 -3877,,                 96700,,                  5732,                  3748,                   -605,                  8875,                105575,                313308,                866074,                  6035,                              0,                -51553,                820556,,               -124862,                      2,                   -210,,               -221937,,                              0,               -616353,                              0,                              0,               -616353,                    862,                -16872,              1309352,              1292480,              1292480,                -37667,,                207733,                -59200
2455,2013年01月01日至2013年09月30日,,                480365,                480365,,,                160641,                    299,                              0,                 -4256,                              0,                              0,                  1975,,,,                 -5707,                 20883,                 -2240,                -25656,                 -4725,,                -17445,,                 21345,                 -4157,                    287,                 17475,                     30,                158689,                639054,                  4256,                              0,                -51363,                591947,,                -79283,                              0,                   -210,,               -152402,,                              0,               -616353,                              0,                              0,               -616353,                 -1975,               -178783,              1309352,              1130569,              1130569,                -72909,,                158659,
