證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付設備款減少,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業負債增加（減少）,　　 處分無活絡市場之債券投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得無活絡市場之債券投資,　　　　 非金融資產減損迴轉利益
2723,2015年01月01日至2015年09月30日,,              1104580,              1104580,,,                794471,                 21047,                 -4500,                  2166,                -26616,                 -6249,                156796,                    503,                  5787,                    995,                944400,,,               -105000,                 -7122,               -126390,                 -2650,                -41500,                -55116,                -12300,                 -3550,               -353628,,                    472,                 17839,                 28047,                     24,                190209,                 10831,                247422,               -106206,                838194,              1942774,                 -2166,               -318372,              1622236,,               -229003,                              0,                -33026,                   -173,                              0,               -965821,                 37117,                -47825,                 77677,                -43005,                      7,               -376318,                 20453,             -1559917,,                 32199,              1006362,                 -8779,                 19580,                -18276,               -169344,                -17775,                843967,                109790,              1016076,              2480103,              3496179,              3496179,,,,,,,,,,
2723,2015年01月01日至2015年06月30日,,                560192,                560192,,,                528352,                 12776,,                  1365,                -14124,                 -4394,                 97292,                    149,                  1426,,                622842,,,,                    145,                 35483,                 15675,                 94959,                 30640,                   -596,                -15040,                161266,,                  6723,               -171518,                -81390,                 -3462,                 -3682,                  8314,               -245015,                -83749,                539093,              1099285,                 -1365,               -205482,                892438,,               -185328,                              0,                -31687,,                              0,               -672922,                 29904,                -21825,                 41460,                -12241,,               -215577,                 11333,             -1056883,,,                972102,                 -4380,                 11992,                -12208,,                -17623,                949883,                -63277,                722161,              2480103,              3202264,              3202264,                              0,,,,,,,,,
2723,2015年01月01日至2015年03月31日,,                264202,                264202,,,                267983,                  6096,,                  1811,                 -5547,                 -3670,                 42120,                     57,                    638,,                309488,,,,                     75,                 23744,                 26753,                 47447,                 74492,                    964,                  3622,                177097,,                     24,                 65798,               -185938,                   -727,                -78406,                    133,               -199116,                -22019,                287469,                551671,                   -209,                -36919,                514543,,               -191627,                              0,,,,               -339333,                  3972,                -11530,                 15326,                -10836,,               -132759,                  7836,               -658951,,                  3005,                640757,,                  8321,                 -9784,,                              0,                642299,                -72260,                425631,              2480103,              2905734,              2905734,                              0,,,,,,,,,
2723,2014年度,,                912901,                912901,,,                898613,                 21685,                              0,                              0,                -35732,                 21622,                 60274,                    149,                  1688,                 -8310,,,,                              0,                    823,                -12852,                -15172,                -72522,                 41067,                     -9,                -60180,               -118845,,                   -296,                174742,                179968,                 19511,                 73348,                 -7810,                439463,                320618,              1290942,              2203843,                              0,               -336681,              1867162,,,,,                   -841,                 53239,             -1864835,                114219,               -144284,                 48559,                -21520,                     94,               -116450,                 34407,             -1689646,,,                 15780,                              0,                 47653,                -68670,               -183456,                -36012,               -224705,                 23576,                -23613,              2503716,              2480103,              2480103,                              0,,                 10335,                970324,                              0,                229625,                -21859,                              0,,
2723,2014年01月01日至2014年09月30日,,                586618,                586618,,,                651698,                 16065,                              0,                              0,                -25948,                 18646,                 41376,                     97,                  1487,                    407,                703828,,,                              0,                    974,                 40064,                    537,                -70393,                 37044,                     14,                -58686,                -50446,,                   -294,                 43129,                184703,                 13660,                 43781,                 -5387,                279592,                229146,                932974,              1519592,                              0,               -249748,              1269844,,                              0,                 61097,                              0,                              0,                 53239,             -1195200,                  3417,               -112575,                 44205,                -18457,                     81,                -54212,                 24999,             -1193406,,                              0,                              0,                              0,                 45684,                -42150,               -183456,                -36012,               -215934,                    282,               -139214,              2503716,              2364502,              2364502,,,,,,,,,,
2723,2014年01月01日至2014年06月30日,,                376006,                376006,,,                426505,                 10479,,                              0,                -14748,                  8214,                 35191,                    110,                  1072,,                466823,,,,                    373,                 -2832,                 14206,                -26410,                  1635,                  1019,                -50248,                -62257,,                   -268,                -60922,                 55989,                  3637,                -75797,                 -4829,                -82190,               -144447,                322376,                698382,                              0,               -178574,                519808,,                              0,                104561,                              0,,                 53239,               -785494,                  2689,                -64923,                 34108,                -15442,,                              0,                 17517,               -598147,,,                              0,                              0,                  4495,                -36604,,                -36012,                -68121,                -10736,               -157196,              2503716,              2346520,              2346520,                 55598,,,,,,,,,
2723,2014年01月01日至2014年03月31日,,                298539,                298539,,,                212004,                  5065,,                              0,                 -4550,                 -1400,                 18028,                     55,                  1072,,                230274,,,,                    939,                 26228,                  6910,                -16373,                 34697,                   -439,                    689,                 52651,,                  3360,                -94171,                -35473,                  1294,                -23630,                 -9073,               -157693,               -105042,                125232,                423771,                              0,                -17231,                406540,,                              0,                 80875,,,,               -385264,                 11814,                -16259,                  4189,                 -9895,,                              0,                  1124,               -278424,,                              0,                              0,,                    621,                -34853,,                -36044,                -70276,                 -2482,                 55358,              2503716,              2559074,              2559074,                 34992,,,,,,,,,
2723,2013年度,,                923739,                923739,,,                743713,                 16857,                 -5183,                    135,                -22845,                 16496,                 79424,                    426,                              0,                 -5874,,,,                 14267,                  1360,                 -8444,                 -7515,                -76211,                -75641,                     97,                 -6959,               -159046,,                   -908,                 68503,                124279,                  9986,                 53413,                  7002,                261849,                102803,                925952,              1849691,                   -135,               -359625,              1489931,,,,,                              0,                              0,             -1296542,                 20007,               -106398,                 83903,                -63661,                     89,                              0,                 18772,               -808841,,,                              0,                   -588,                 41486,                 -8251,               -705600,                -47084,               -720037,                  1120,                -37827,              2541543,              2503716,              2503716,                128746,,                              0,                823149,                   -426,                453969,                              0,                -47726,,
2723,2013年01月01日至2013年12月31日,,                923739,                923739,,,                743713,                 16857,                 -5183,                    135,                -22845,                 16496,                 79424,                    426,,                 -5874,,,,                 14267,                  1360,                 -8444,                 -7515,                -76211,                -75641,                     97,                 -6959,               -159046,,                   -908,                 68503,                124279,                  9986,                 53413,                  7002,                261849,                102803,                925952,              1849691,                   -135,               -359625,              1489931,,,,,                              0,,             -1296542,                 20007,               -106398,                 83903,                -63661,                     89,                              0,                 18772,               -808841,,,,                   -588,                 41486,                 -8251,               -705600,                -47084,               -720037,                  1120,                -37827,              2541543,              2503716,              2503716,                128746,,,                823149,                   -426,                453969,,                -47726,                              0,
2723,2013年01月01日至2013年09月30日,,                766954,                766954,,,                546018,                 11873,,                     48,                -17555,                 17956,                 57567,                    278,                              0,                 -5874,,,,,                    877,                -61160,                -48307,                -87001,                 26248,                    633,                 -9560,               -178270,,                   -983,                 25430,                170327,                  3048,                123396,                 -4000,                316792,                138522,                748833,              1515787,                    -48,               -297517,              1218222,,,,,,                              0,             -1019422,                  2068,                -89589,                 60071,                -57929,                     63,,                 14522,               -461823,,,,                   -301,                  3182,                 -9470,               -705600,                -47084,               -759273,                 11710,                  8836,              2541543,              2550379,              2550379,                150760,,,                610311,                   -426,                525359,,                -47726,,
