證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分投資性不動產,　　 收取之股利,　　 存入保證金減少,　　 短期借款增加,　　 短期借款減少,　　 應付款項增加,　　 應付款項減少
1707,2015年01月01日至2015年09月30日,,              1339118,              1339118,,,                111701,                    225,                    155,                 -1502,                 12101,                 -2415,                 13591,                              0,                133856,,,               -587966,                 -1322,                -10628,                 -5359,                   -197,                -97195,                 -7807,                 -1432,                              0,               -711906,,                 -4531,                 31396,                   -987,               -148687,                 12767,                 18482,                 13315,                 -5099,                -83344,               -795250,               -661394,                677724,                  2415,                -10325,               -324360,                345454,,                 -5176,                 -9526,                              0,             -2464670,                              0,                              0,                    779,                 -1604,                              0,                    -41,                -30367,                              0,             -2510605,,                995000,              1800000,               -203333,                              0,             -1089830,              1501837,                     23,               -663291,              1373835,                710544,                710544,,,,,,,,,,,,,,
1707,2015年01月01日至2015年06月30日,,                866947,                866947,,,                 72469,                    150,                     38,                   -576,                  2941,                 -1659,                 13591,                              0,                 86954,,,                 61860,                  4878,                 -6723,                  2371,                   -173,                -56907,                 -4392,                 -4512,                              0,                 -3598,,                  1312,                 56679,                   -987,                 36027,                  8252,                  5934,                  5958,                 -4482,                108693,                105095,                192049,              1058996,                  1659,                 -2601,               -179191,                878863,,,,,             -2357183,                              0,                              0,                    822,                 -1351,                              0,                     -4,                -25233,                              0,             -2382949,,,              1800000,,,               -399584,              1400416,                    584,               -103086,              1373835,              1270749,              1270749,,,,,,,,,,,,,,
1707,2015年01月01日至2015年03月31日,,                419269,                419269,,,                 34514,                     75,                     87,                   -283,                     20,                   -390,                              0,,                 34023,,,                -40000,                  3863,                 -9965,                  3197,                     46,                -17120,                     43,                     25,                              0,                -59911,,                    895,                 16111,                   -987,               -115265,                   -284,                 -1541,                 -3214,                 -4087,               -108372,               -168283,               -134260,                285009,                    390,                    -20,                    -15,                285364,,,,,                -85756,                              0,                              0,                    809,                 -1203,                              0,                    131,                -22995,                              0,               -109014,,,,,,,,                    242,                176592,              1373835,              1550427,              1550427,,,,,,,,,,,,,,
1707,2014年度,,              1689218,              1689218,,,                128975,                    150,                   -194,                 -2490,                     86,                 -2120,                  2874,                  1785,,,,,                 -2164,                 -6083,                 -4942,                 -1196,                -33102,                 -3509,                   -921,                    450,                -51467,,                 -7005,                 46333,                    987,                151373,,                 35224,                     27,,                213615,                162148,                291184,              1980402,                  2120,                    -86,               -281014,              1701422,,,                 -6228,,               -155843,                    315,                 -8974,                  1348,                -11361,                -38472,                 -3393,                -31127,               -465154,               -498535,,,,,                    133,               -898318,               -898201,                    454,                305140,              1068695,              1373835,              1373835,,                    -30,                129036,                    918,                -14242,               -685000,                905324,                              0,                     30,                    -16,,,,
1707,2014年01月01日至2014年09月30日,,              1168024,              1168024,,,                 99901,                     75,                     82,                 -2107,                     61,                 -1393,                  2787,                  1785,                101191,,,                112107,                   -110,                 -2984,                              0,                    205,                 -9871,                 -3580,                 -1295,                    450,                 94922,,                 -2706,                 32059,                              0,                -82067,                   -267,                 33624,                  7055,                 -5141,                -17443,                 77479,                178670,              1346694,                  1393,                    -61,               -278079,              1069947,,                              0,                              0,                 -6228,                -96739,                    114,                 -8630,                  1348,                 -8537,                -38471,                              0,                -26120,               -289774,               -473037,,                              0,                              0,                              0,                    100,               -898317,               -898217,                 -1431,               -302738,              1068695,                765957,                765957,,,,,,,,,,,,,,
1707,2014年01月01日至2014年06月30日,,                738152,                738152,,,                 66376,                              0,                    103,                 -1400,                     40,                 -1187,                    148,                  3740,                 67820,,,               -539702,                  1236,                 -4558,                              0,                   -479,                 11565,                 -6955,                   -564,                    450,               -539007,,                 -4642,                 17808,                              0,                 93075,                   -345,                 25242,                 -2732,                 -4003,                124403,               -414604,               -346784,                391368,                  1187,                    -40,               -158812,                233703,,,,,                -33254,                    114,                 -2708,                  1118,                              0,                -25530,                              0,                -51784,               -289774,               -401818,,,                              0,,,               -247143,               -247143,                  7373,               -407885,              1068695,                660810,                660810,,,,,,,,,,,,,,
1707,2014年01月01日至2014年03月31日,,                350930,                350930,,,                 33382,                              0,                     85,                   -604,                     20,                   -563,                    -46,,                 32274,,,                -99994,                  2403,                -11455,                  2272,                   -283,                 -5580,                 -4021,                   -305,                    450,               -116513,,                 -4628,                 11764,                              0,               -115643,                   -443,                  7978,                 -7293,                 -3019,               -111284,               -227797,               -195523,                155407,                    563,                    -20,                 -1515,                154435,,,,,                -11757,                     46,                 -1000,                              0,                              0,                 -9033,                              0,                -35024,                -96723,               -153491,,,,,,,,                  3631,                  4575,              1068695,              1073270,              1073270,,,,,,,,,,,,,,
1707,2013年度,,              1427279,              1427279,,,                122738,                              0,                 -2876,                 -3032,                    132,                 -2498,                    702,                   -913,,,,,                 10972,                 34271,                  8863,                    500,                -23948,                 -6385,                   -170,                  1550,                 25653,,                 -2810,                  2487,                              0,                147744,,                 48381,                  9019,,                200794,                226447,                340700,              1767979,                  2498,                   -132,               -194566,              1575779,,,                              0,,               -262395,                  1388,                -10983,                    637,                              0,                -22797,                              0,                -92185,               -497273,               -887210,,,,,                    101,               -686054,               -688963,                -15508,                -15902,              1084597,              1068695,              1068695,,                              0,                114253,                              0,                 -4027,               -450026,                444560,                  1864,                              0,                 -3010,,,,
1707,2013年01月01日至2013年12月31日,,              1427279,              1427279,,,                122738,                              0,                 -2876,                 -3032,                    132,                 -2498,                    702,                   -913,,,,,                 10972,                 34271,                  8863,                    500,                -23948,                 -6385,                   -170,                  1550,                 25653,,                 -2810,                  2486,,                147744,,                 48382,                  9019,,                200794,                226447,                340700,              1767979,                  2498,                   -132,               -194566,              1575779,,,,                              0,               -262395,                  1388,                -10983,                    637,,                -22797,                              0,                -92185,               -497273,               -887210,,,,,                    101,               -686054,               -688963,                -15508,                -15902,              1084597,              1068695,              1068695,,                              0,                114253,                              0,                 -4027,               -450026,                444560,                  1864,                              0,                 -3010,,                              0,,
1707,2013年01月01日至2013年09月30日,,                979475,                979475,,,                 90798,                              0,                 -2893,                 -2488,                    103,                 -1941,                    702,                   -913,,,,,                  9207,                 31755,,                    441,                -26415,                 -9818,                   -310,                  1550,                  6410,,                 -7424,                 14567,,                -21954,,                 11809,                 12833,,                  9128,                 15538,                 98906,              1078381,                  1867,                   -103,               -194495,                885650,,,,                              0,               -214030,                  1388,                 -8863,                    455,                              0,                   -594,,                -94364,               -290757,               -595367,,,,,                    151,               -686054,               -688914,                -10724,               -409355,              1084597,                675242,                675242,,,                 83368,                    711,                 -1414,               -417332,                426866,                  1864,,                 -3011,                              0,,,
1707,2013年01月01日至2013年06月30日,,                610337,                610337,,,                 61139,,                 -2615,                 -1702,                     78,                 -1447,                    756,                   -913,,,,,                  4679,                  4895,,                    748,                 -9874,                 -7622,                    -54,                   -450,                 -7678,,                 -3557,                 16439,,                 85582,,                  7343,                  7051,,                114374,                106696,                161992,                772329,                  1511,                    -78,               -104498,                669264,,,,,               -179733,                    571,                 -8986,                    455,,                   -501,,                -68449,                              0,               -610952,,,,,                     94,               -204185,               -205102,                -14410,               -161200,              1084597,                923397,                923397,,,                 55296,                  2343,                   -827,               -385026,                 28853,                  1864,,                 -1011,                              0,,,
