證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 預付設備款增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 庫藏股票買回成本,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　 處分無活絡市場之債務工具投資,　　 其他非流動資產增加,　　 短期借款減少,　　　　　 預付費用（增加）減少,　　 取得按攤銷後成本衡量之金融資產,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資
4144,2015年度,,                550318,                550318,,,                 10574,                 57962,                  7911,                  3829,                -13793,                -44551,                  2291,                  6787,                    -10,                -49601,                -18601,,,                 16806,               -125006,                -83441,                 25903,                -14008,                   -362,               -180108,,                -42308,                -19873,                   -600,                -62781,               -242889,               -261490,                288828,                 13793,                 -3829,               -154395,                144397,,                -20464,                100415,                -98768,                -39813,                              0,                              0,               -160856,                  3731,                -59213,                  2226,                 -1288,                 -6897,                              0,                 44551,                 16866,               -219510,,                317678,               -310469,                              0,                              0,                -66332,                              0,                              0,                 -7482,                -66605,                -26209,               -167927,                605723,                437796,                437796,,,,,,,,,
4144,2015年01月01日至2015年09月30日,,                470213,                470213,,,                  7286,                 43315,                  8152,                  2467,                -10180,                -36147,                  1730,                  5515,                    -24,                -49735,                -27621,,,                  7607,               -267516,                  8132,                 77785,                -18937,                    -50,               -195386,,                -37107,                 12237,                 -2621,                -27491,               -222877,               -250498,                219715,                 10180,                 -2467,               -117378,                110050,,                -21220,                104127,,                -41285,                              0,                              0,                -31592,,                -43364,                  2406,                 -1335,                              0,                -13832,                 36147,                 11666,                 27400,,                 66977,               -281034,,,                -66332,                              0,                              0,,               -280389,                 18761,               -124178,                605723,                481545,                481545,                 -2407,                 25682,                              0,,,,,,
4144,2015年01月01日至2015年06月30日,,                324784,                324784,,,                  4530,                 28773,                  3377,                  1520,                 -9573,                -36056,                  1323,                  3443,                   -206,                -49610,                -52479,,,                 -4775,               -167055,                -25251,                 71279,               -109213,                     87,               -237359,,                  5823,                 19050,                 -1657,                 23216,               -214143,               -266622,                 58162,                  9573,                 -1520,                -78493,                -12278,,                -20347,                 99840,,                              0,                              0,                              0,,,                -22415,                    297,                   -379,                              0,                 -7276,                 36056,                  7958,                119416,,,                              0,,,                -66332,                              0,                              0,,               -117957,                -28599,                -39418,                605723,                566305,                566305,                 -2431,                 25682,,                -51625,,,,,
4144,2015年01月01日至2015年03月31日,,                166350,                166350,,,                  2159,                 14504,                    608,,                 -3777,                -35538,                    658,                  2376,                     24,                -22389,                -41375,,,                 -3645,                -89704,                 -3675,                 65889,,                     39,                -33534,,                  4067,                 -5627,                 -2014,                 -3574,                -37108,                -78483,                 87867,                  3777,,                -26455,                 65189,,                 50496,,,,                              0,                              0,,,                 -6560,,                   -385,,,                 35538,                  4015,                108786,,,,                              0,,,,,,                -34584,                 -9618,                129773,                605723,                735496,                735496,                     29,                 25682,,                -34584,                 -2467,                              0,,,
4144,2014年度,,                596907,                596907,,,                  6737,                 40401,                  2155,                              0,                -16392,                   -258,                  8410,                 11676,                    -29,               -219745,               -167045,,,                -31069,               -154891,                -88092,                -80566,                155987,                 -3223,               -201854,,                 38303,                -60246,                 -1862,                -23805,               -225659,               -392704,                204203,                 16392,                              0,               -110446,                110149,,                -15722,                311450,                -25682,               -327706,                -10787,                  1035,               -256153,                              0,               -195195,                  1241,                 -1143,                    460,                   -411,                    258,                 19864,               -498491,,                261393,               -294517,                              0,                  2180,                              0,                 -5500,                 50000,                              0,                 13556,                 50405,               -324381,                930104,                605723,                605723,,,,,,,,,
4144,2014年01月01日至2014年09月30日,,                472864,                472864,,,                  4112,                 27365,                    303,                              0,                -12547,                              0,                  1977,                 11538,                              0,               -181029,               -148281,,,                -38338,               -112923,               -121376,                -16959,                151320,                     52,               -138224,,                 20755,                -75195,                  6825,                -47615,               -185839,               -334120,                138744,                 12547,                              0,                -83669,                 67622,,                -15206,                241982,,               -316944,                -10313,                  1000,               -253668,,               -182034,                     38,                   -378,                              0,                   -481,                              0,                 15511,               -520136,,                302821,               -294517,,,                              0,                 -5500,                 50000,,                 52804,                  3328,               -396382,                930104,                533722,                533722,                              0,                              0,                    357,,,,,,
4144,2014年01月01日至2014年06月30日,,                346250,                346250,,,                  1672,                 17124,                    266,                              0,                 -8933,                              0,                  1512,                  9666,                              0,               -162813,               -141506,,,                -27125,               -111289,               -114180,                  7111,                104679,                     52,               -140752,,                  8743,                -36939,                  3981,                -24215,               -164967,               -306473,                 39777,                  8933,                              0,                -46293,                  2417,,                 -2795,                208366,,               -241905,                -10000,                  1000,,,                 -1577,                              0,                   -108,                    216,               -176147,                              0,                 10231,               -212719,,,                -18826,,,                              0,                 -5500,                 50000,,                 25674,                -33220,               -217848,                930104,                712256,                712256,                              0,                              0,,                              0,,,,,
4144,2014年01月01日至2014年03月31日,,                170670,                170670,,,                    829,                  8680,                    158,,                 -4602,                              0,                    964,                  6490,                              0,                -92408,                -79889,,,                -15872,                  1273,                -38750,                -55618,,                   -634,                 69523,,                  2720,                -43895,                 -2509,                -43684,                 25839,                -54050,                116620,                  4602,,                -19201,                102021,,                117076,,,,                -10000,                  1000,,,                   -738,,                   -111,,,                              0,                  5187,                -84469,,,,                 50000,,,,,,                 50000,                -10149,                 57403,                930104,                987507,                987507,                    108,                              0,,                              0,                179016,               -196883,,,
4144,2013年度,,                482226,                482226,,,                  5084,                 26198,                    844,,                -33605,                 -1923,                  6292,                 11603,                    -57,               -215050,,,,                 24747,               -100412,                -15267,                -88003,,                              0,               -330696,,                 -3117,                 36528,                  4517,                 37928,               -292768,               -493382,                -11156,                 33605,,               -118131,                -95682,,               -217456,                325207,,               -113389,               -145527,                              0,               -138956,,                 -7928,                     98,                 -1252,                              0,                              0,                  1923,                 16762,               -280518,,                              0,               -235949,                538650,                  3470,,                              0,                              0,,                306171,                 70210,                    181,                929923,                930104,                930104,,,,,               -151761,,,               -200614,                              0
4144,2013年01月01日至2013年09月30日,,                436919,                436919,,,                  3831,                 17993,                    529,,                -29771,                 -1811,                  4876,                  7917,,               -203693,,,,                 15384,                -21093,                -16434,                -91899,,                              0,               -102592,,                  2309,                -39408,                  4469,                -32630,               -135222,               -335351,                101568,                 29771,,                -93409,                 37930,,                -57815,                282915,,                -83089,               -145370,                              0,               -115308,,                 -5628,                              0,                 -1153,,                              0,                  1811,                 11837,               -111800,,                              0,               -235949,,,,                              0,                              0,,               -235949,                 45366,               -264453,                929923,                665470,                665470,,,                              0,,                 11450,,,               -200129,
