證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　 預付投資款減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 償還長期借款,　　 短期借款減少,　　 存出保證金減少,　　　　 非金融資產減損迴轉利益,　　　　 處分無形資產損失（利益）,　　 取得無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 處分無形資產
3050,2015年01月01日至2015年09月30日,,                112639,                112639,,,                 46129,                    373,                  6443,                 -4035,                 27591,                 -1008,                -59203,                  3300,                 19590,,,                -14505,                 -6862,                              0,                -36037,                              0,                 -1355,                -12391,                  1891,                -69259,,                  2985,                 -5797,                 -2488,                  5753,                  5571,                 10657,                   -450,                  1516,                 17747,                -51512,                -31922,                 80717,                  3698,                 -6304,                 -1730,                 76381,,                 -2200,                287513,                              0,                 16785,                -29036,                  1717,                 -5256,                  3755,                              0,                   -100,               -161893,                111285,,                 48811,                108000,               -123789,                 33022,                 -6915,                213773,                446913,                660686,                660686,,,,,,,,,,,,,,,
3050,2015年01月01日至2015年06月30日,,                 78213,                 78213,,,                 31168,                    243,                  3995,                 -2514,                 21812,                    191,                -57563,,                 -2668,,,                -18396,                 -7167,                              0,                -27603,                              0,                   -864,                -11393,                  1316,                -64107,,                  1503,                 -5797,                 11185,                 -1822,                  2521,                  8204,                   -303,                    951,                 16442,                -47665,                -50333,                 27880,                  2526,                 -3766,                 -1867,                 24773,,                              0,                285875,,                 16785,,                  1717,                 -3904,                  2545,                              0,                   -100,               -161893,                141025,,                  7955,                149000,                -72476,                 84479,                 -7053,                243224,                446913,                690137,                690137,,,,,,,,,,,,,,,
3050,2015年01月01日至2015年03月31日,,                 18453,                 18453,,,                 16173,                    113,                  1841,                 -1207,                  9756,                   -217,                 -8877,,                 17582,,,                 -6937,                -11526,,                -42213,                   -143,                  3325,                -25622,                    572,                -82544,,                              0,                 -4275,                  2541,                 11154,                 -6794,                  7751,                   -174,                    740,                 10943,                -71601,                -54019,                -35566,                    871,                 -1594,                              0,                -36289,,                              0,                 69873,,,,                  1717,                 -1627,                    985,                              0,                   -100,,                -76241,,                 28711,                114500,                              0,                143211,                 -3486,                 27195,                446913,                474108,                474108,               -147089,                              0,,,,,,,,,,,,,
3050,2014年度,,                -43844,                -43844,,,                 87603,                    420,                  5481,                 -6201,                 53401,                   -343,                -13303,                 30842,,,,                 45402,                  1124,                    318,                 23617,                  2967,                    633,                 35612,                    375,                110048,,,                -17035,                 -4163,                    989,                -25901,                  2237,,                   -235,                -44590,                 65458,                223462,                179618,                  6467,                 -5378,                              0,                180707,,               -448950,                 17628,               -112578,,,,                 -5233,                  6249,                   -282,                              0,,               -543166,,                 25053,                110500,                 -2345,                133208,                  3144,               -226107,                673020,                446913,                446913,                              0,,,                              0,                    104,                158004,                   -482,                              0,,,,,,,
3050,2014年01月01日至2014年09月30日,,                  6116,                  6116,,,                 66642,                    315,                  4244,                 -4816,                 33775,                     -9,                -13303,                              0,                 86848,,,                 69609,                 -1987,                    318,                 12075,                  1179,                    482,                 25009,                  4762,                111447,,                              0,                -12760,                  3244,                 -1782,                -28010,                  1316,                  1909,                    930,                -35153,                 76294,                163142,                169258,                  4647,                 -4232,                              0,                169673,,               -448950,                 17628,                 -5862,                              0,                              0,                              0,                 -3180,                    766,                    -77,                              0,                              0,               -439675,,                 14624,                 37300,                 -2345,                 49579,                  2935,               -217488,                673020,                455532,                455532,,,,,,,,,,,,,,,
3050,2014年01月01日至2014年06月30日,,                  2357,                  2357,,,                 45003,                    210,                  2897,                 -3206,                 24415,                     20,                -12658,,                 56681,,,                 46342,                  1080,                    315,                 11265,                    681,                  1572,                  2720,                  4761,                 68736,,                     29,                 -8496,                   -905,                 -2033,                -31546,                  1418,                  1345,                    175,                -40013,                 28723,                 85404,                 87761,                  3540,                 -2761,                              0,                 88540,,               -448950,                 16431,,                              0,,                              0,                 -2421,                    633,                   -161,                              0,                              0,               -434468,,                 18977,                118700,                 -2345,                135332,                  6474,               -204122,                673020,                468898,                468898,,,,,,,,,,,,,,,
3050,2014年01月01日至2014年03月31日,,                 13869,                 13869,,,                 30958,                    105,                  1264,                 -1722,                 11300,                    159,                -12439,,                 29625,,,                 68132,                  2716,,                -19573,                    336,                  1732,                -13217,                              0,                 40126,,                    104,                 -4243,                    819,                 -1806,                -22477,                   -967,                   -138,                 -6203,                -34911,                  5215,                 34840,                 48709,                  1646,                 -1012,                              0,                 49343,,               -448950,                 16100,,,,                              0,                 -1094,                    415,                    -40,                              0,,               -428807,,                135121,                 74150,                 -2345,                206926,                 -6703,               -179241,                673020,                493779,                493779,                              0,                  4762,,,,,,,,,,,,,
3050,2013年度,,                -52579,                -52579,,,                101976,                  1365,                  5854,                -11241,                 49508,                   -200,                   -545,                              0,,,,                 70230,                    560,                   -318,                 36828,                    929,                  7920,                -34972,                              0,                 81177,,,                 21968,                -22459,                 -9474,                 -9235,                 -3017,,                  1051,                -22517,                 58660,                214665,                162086,                 12298,                 -6443,                   -836,                167105,,                              0,                  1627,               -138480,,,,                -47912,                  1987,                 -2700,                 -1764,,               -186290,,                 10953,                              0,               -104239,               -427986,                  6293,               -440878,              1113898,                673020,                673020,                    952,,,                  9500,                   -212,                156005,                 -1351,               -334700,,,,,,,
3050,2013年01月01日至2013年12月31日,,                -52579,                -52579,,,                101976,                  1365,                  5854,                -11241,                 49944,                   -200,                   -981,,,,,                 70230,                    560,                   -318,                 36828,                    929,                  7920,                -34972,,                 81177,,                              0,                 21968,                -22459,                 -9474,                 -9235,                 -3017,,                  1051,                -22517,                 58660,                214665,                162086,                 12298,                 -6443,                   -836,                167105,,,                  1627,               -138480,,                              0,,                -47912,                  1987,                 -2700,                 -1764,,               -186290,,                 10953,,               -104239,               -427986,                  6293,               -440878,              1113898,                673020,                673020,                    952,,,                  9500,                   -212,                156005,                 -1351,               -334700,                              0,                              0,,                              0,                              0,                              0,                              0
3050,2013年01月01日至2013年09月30日,,                -18560,                -18560,,,                 76249,                  1365,                  4798,                 -9264,                 26260,                   -358,                              0,,,,,                 83715,                  3216,                              0,                 -5409,                  2339,                  3394,                -69730,                              0,                 17525,,                    102,                   -864,                 -4609,                -11382,                -25703,                 -2424,,                    362,                -43500,                -25975,                 80575,                 62015,                 10468,                 -5393,                   -836,                 66254,,                              0,                              0,               -115234,,,,                 -6691,                    935,                 -2592,                   -504,,               -124086,,                              0,                              0,                -52435,               -378326,                  1987,               -434171,              1113898,                679727,                679727,,,,                  7500,,                106550,                  1018,               -278850,                -47041,,,,,,
