證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　　　 持有供交易之金融負債增加（減少）,　　 存出保證金減少,　　 其他投資活動,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 舉借長期借款,　　 存入保證金增加,　　　　　 其他應收款－關係人（增加）減少,　　　　 呆帳費用提列（轉列收入）數,　　 現金增資,　　 預付設備款減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
4976,2015年01月01日至2015年09月30日,,                -91799,                -91799,,,                187322,                  2708,                 -1169,                  6141,                   -442,                 -3468,                  4533,                 -1208,                194417,,,                   -680,                -76912,                 -5914,                -17951,                 -3612,                 31047,                -74022,,                   -282,                 40844,                 -7978,                              0,                 -9181,                 23403,                -50619,                143798,                 51999,                    454,                              0,                 -6179,                    -45,                 46229,,                -74687,                  1230,                     42,                 -4272,               -104264,               -181951,,                -52871,                              0,                -31800,                 -7768,                              0,                -92439,               -228161,                364774,                136613,                136613,,,,,,,,,,,,,,,,,
4976,2015年01月01日至2015年06月30日,,                -84518,                -84518,,,                122217,                  1873,                 -1169,                  3852,                   -379,,                  2973,                 -1208,                128159,,,                     10,                -69378,                 -3290,                -25789,                 -7294,                 10747,                -94994,,                   -227,                 27265,                -16807,                              0,                  8887,                 19118,                -75876,                 52283,                -32235,                    379,,                 -3882,                    -37,                -35775,,                -60045,                  1230,                     62,                 -2059,                -72526,               -133338,,                -35247,                              0,,                              0,,                -35247,               -204360,                364774,                160414,                160414,                              0,                              0,                              0,,,,,,,,,,,,,,
4976,2015年01月01日至2015年03月31日,,                -55417,                -55417,,,                 59563,                    943,                     34,                  1952,                   -108,,                  1650,                 -1208,                 65950,,,                   -420,                 -3961,                 -4388,                -22825,                 -4032,                    129,                -35497,,                   -331,                 13968,                -27194,,                    618,                -12939,                -48436,                 17514,                -37903,                    108,,                 -1967,                     -9,                -39771,,                 -5047,                  1230,                     62,                              0,                -83194,                -86949,,                -17624,,,                              0,,                -17624,               -144344,                364774,                220430,                220430,                  3124,,                              0,                              0,                              0,                              0,,,,,,,,,,,
4976,2014年度,,                -37566,                -37566,,,                244002,                  2762,                  1169,                  3780,                   -616,                 -2313,                  2200,,,,,                   -219,                 -8664,                    -18,                 -6891,                 -3540,                -10747,                 15363,,                    356,                 24560,                -48226,                              0,                 -1563,                -24474,                 -9111,                248979,                211413,                    618,                  2313,                 -3501,                -33336,                177507,,               -190746,,                 -1250,                 -5605,                -72485,               -270086,,                -56920,                   -150,                -30000,                -20199,                  3041,                175772,                 83193,                281581,                364774,                364774,                  7106,                 45484,                    399,,,,,                258090,                    -42,                              0,                280000,                              0,,,,,
4976,2014年01月01日至2014年09月30日,,                 13618,                 13618,,,                182536,                  1830,                    449,                  2106,                   -387,                 -2313,                    550,                              0,                184771,,,                   -783,                -33932,                 -9990,                 10299,                -10114,                -18483,                -63003,,                     21,                 50938,                -46299,                              0,                  2129,                  6789,                -56214,                128557,                142175,                    389,                  2313,                 -2138,                -30566,                112173,,               -138077,                              0,                 -1250,                 -2696,                -73457,               -215480,,                -39297,                   -150,                -30000,                -20199,                  3041,                -86605,               -189912,                281581,                 91669,                 91669,,,,,,,,,,,,,,,,,
4976,2014年01月01日至2014年06月30日,,                 35897,                 35897,,,                119992,                  1054,                              0,                    967,                   -306,,                              0,                              0,                121707,,,                 -1569,               -218249,                    -18,                   -697,                 -8517,                              0,                -64583,,                     99,                 67652,                -38793,                              0,                  6501,                 21005,                -43578,                 78129,                114026,                    308,,                   -994,                -21985,                 91355,,                -78047,                              0,                 -1010,                 -1527,                -66909,               -147493,,                -25423,                              0,,                -20199,,                -45622,               -101760,                281581,                179821,                179821,                              0,                164467,                -14454,,,,,,,,,,,,,,
4976,2014年01月01日至2014年03月31日,,                 21308,                 21308,,,                 57430,                    482,                              0,                     93,                    -75,,                              0,                              0,                 56782,,,                   -727,                -33084,                 -4417,                -16589,                 -2940,                              0,                -57757,,                     15,                 21122,                -45800,,                  6664,                -11903,                -69660,                -12878,                  8430,                     75,,                   -101,                     -8,                  8396,,                -29680,                              0,                   -610,                   -557,                -32813,                -63660,,                -11665,,,                -15094,,                -26759,                -82023,                281581,                199558,                199558,                 -1148,,                  6096,                              0,                              0,                              0,,,,,,,,,,,
4976,2013年度,,                187525,                187525,,,                229461,                  2216,                              0,                  1477,                   -842,                 -5781,                              0,,,,,                    -95,                -12808,                    765,                -46781,                  2848,                              0,                -12738,,                   -799,                -36005,                 -7092,                   -219,                 10923,                -44716,                -57454,                196327,                383852,                    840,                  5781,                 -1511,                   -822,                388140,,               -268556,,                   -209,                 -3864,                -75971,               -350491,,                -60160,                              0,               -180000,                -51292,                  1191,               -290136,               -252487,                534068,                281581,                281581,                 27250,                 43378,                -11524,,,,,                253781,                    -45,                 -1891,                              0,                    125,,,,,
4976,2013年01月01日至2013年12月31日,,                187525,                187525,,,                229461,                  2216,                              0,                  1477,                   -842,                 -5781,                              0,                              0,,,,                    -95,                -12808,                    765,                -46781,                  2848,                              0,                -12738,,                   -799,                -36005,                 -7092,                   -219,                 10923,                -44716,                -57454,                196327,                383852,                    840,                  5781,                 -1511,                   -822,                388140,,               -268556,,                   -209,                 -3864,                -75971,               -350491,,                -60160,,               -180000,                -51292,                  1191,               -290136,               -252487,                534068,                281581,                281581,                 27250,                 43378,                -11524,,                              0,                 -1891,,                253781,                    -45,,                              0,                    125,,                              0,                              0,,
4976,2013年01月01日至2013年09月30日,,                183133,                183133,,,                170766,                  1739,                 -2117,                  1060,                   -565,                 -5781,                              0,,,,,                   -134,                -10333,                 -4230,                -66131,                  6477,                              0,                -99130,,                   -762,                -14339,                 -8218,                   -219,                 -1582,                -35706,               -134836,                 43606,                226739,                    565,                  5781,                 -1102,                   -795,                231188,,               -268569,,                   -209,                 -2437,                -16651,               -287866,,                -46995,                    -25,               -180000,                -51296,                  1191,               -277125,               -333803,                534068,                200265,                200265,                 13340,                -24779,                -10586,,,                              0,,                178442,,,,,,,,,
