證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 應付租賃款減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存入保證金增加
6183,2015年度,,                221066,                221066,,,                 57486,                 12240,                 15062,                    552,                    490,                -10330,                 -1420,                              0,                              0,                 74080,,,                -40000,                    360,                -21777,                   -124,                    437,                 -6082,                   -843,                -68029,,                 -3301,                  7734,                 11819,                -42125,                    509,                  5396,                -19968,                -87997,                -13917,                207149,                 10519,                -34443,                183225,,                              0,                 -6000,                 -5445,                -75654,                              0,                 -1817,                 -5062,               -122188,                              0,                -68182,                  1420,               -282928,,                 -3376,                 -1731,               -165000,               -170107,                   -881,               -270691,                887127,                616436,                616436,,,,,
6183,2015年01月01日至2015年09月30日,,                222734,                222734,,,                 42197,                  9462,                  8406,                    568,                    393,                 -7881,                 -1420,,,                 51725,,,                -40000,                 -1138,                 11195,                    -31,                    481,                -46555,                     62,                -75986,,                 -3830,                    246,               -108934,                -54174,                    950,                  4043,               -161699,               -237685,               -185960,                 36774,                  7886,                -34180,                 10480,,,                 -6000,                 -5445,                -35338,,,                 -2553,               -118589,                              0,                -34884,                  1420,               -200504,,                 -3488,                 -1154,               -165000,               -169642,                    549,               -359117,                887127,                528010,                528010,                    885,,,,
6183,2015年01月01日至2015年06月30日,,                148665,                148665,,,                 28049,                  6384,                    424,                    -55,                    278,                 -5458,                    -97,,,                 29525,,,                -40000,                    372,                 36098,                   -157,                    211,                -22857,                    734,                -25599,,                 -3593,                -11270,               -104638,                -49231,                  1454,                  2694,               -164584,               -190183,               -160658,                -11993,                  5441,                -15538,                -22090,,,                 -6000,                 -5483,                -34440,,,                 -2370,               -165743,,                -21804,                     97,               -231637,,                 -6895,                   -577,,                 -7472,                   -991,               -262190,                887127,                624937,                624937,                  4106,,,,
6183,2015年01月01日至2015年03月31日,,                 67267,                 67267,,,                 13986,                  3202,                    -65,                    -70,                    147,                 -2544,,,,                 14656,,,                -40000,                   -106,                 78674,                 -2408,                   -674,                 -6852,                    515,                 29149,,                 -3065,                -14163,               -109891,                -32573,                  1662,                  1348,               -156682,               -127533,               -112877,                -45610,                  2139,                 -1402,                -44873,,,,,                 -3622,,,                    -95,               -214959,,                 -6794,,               -221482,,                 -4557,                              0,,                 -4557,                   -392,               -271304,                887127,                615823,                615823,                  3988,,,,
6183,2014年度,,                231572,                231572,,,                 61031,                 19199,                   -692,                   -449,                    738,                -10859,                 -1242,                  1168,                    123,                 69017,,,                  1449,                    400,                214040,                    340,                 -1597,                 -1432,                   -523,                212677,,                  2924,                -93687,                -13628,                175532,                     -8,                -10493,                 60640,                273317,                342334,                573906,                 10935,                -39955,                544886,,                 50000,                              0,                              0,                -24849,                      4,                   -122,                 -4564,                              0,                106402,                   -270,                  1242,                127843,,                 -1623,                 -2884,               -160350,               -164857,                  1399,                509271,                377856,                887127,                887127,,,,,
6183,2014年01月01日至2014年09月30日,,                204253,                204253,,,                 46507,                 14570,                   -814,                   -454,                    576,                 -8239,                 -1242,,,                 50904,,,                  1449,                 -1437,                247581,                    188,                    -87,                -45328,                   -266,                202100,,                   -130,               -102328,               -124215,                158197,                    590,                  1249,                -66637,                135463,                186367,                390620,                  7371,                -39651,                358340,,,                              0,                              0,                -12256,,,                 -3373,                              0,                  8715,                   -653,                  1242,                 -2784,,                 -3575,                 -1731,               -160350,               -165656,                    127,                190027,                377856,                567883,                567883,                  3541,,,,
6183,2014年01月01日至2014年06月30日,,                140416,                140416,,,                 31832,                  9746,                   -556,                   -637,                    398,                 -5518,                    -88,,,                 35177,,,                  1263,                     20,                252873,                    404,                    -91,                -25389,                    508,                229588,,                   -980,               -109012,               -116419,                167734,                    446,                   -349,                -58580,                171008,                206185,                346601,                  4995,                -19126,                332470,,,                              0,                              0,                -10303,,,                 -2768,               -138865,,                              0,                     88,               -145996,,                 -2410,                 -1154,,                 -3564,                   -734,                182176,                377856,                560032,                560032,                  5852,,,,
6183,2014年01月01日至2014年03月31日,,                 47708,                 47708,,,                 16080,                  4801,                  1134,                     79,                    206,                 -2454,,,,                 19846,,,                              0,                   -338,                283456,                     74,                    -94,                 -7705,                    754,                276147,,                   -231,               -121633,               -124387,                138136,                    167,                 -1932,               -109880,                166267,                186113,                233821,                  1321,                   -663,                234479,,,,,                 -8768,,,                 -1638,                -11831,,                              0,,                -15318,,                 -1589,                   -577,,                 -2166,                   -139,                216856,                377856,                594712,                594712,                  6919,,,,
6183,2013年01月01日至2013年12月31日,,                238539,                238539,,,                 64997,                 18562,                  2599,                   -734,                    954,                 -7233,                 -1095,                     41,,,,,                              0,                  1208,                244806,                   -458,                    140,                 63533,                    341,                309570,,                 -4963,                -72708,                 24666,                 29849,                    112,,                -21697,                287873,                365964,                604503,                  6712,                -50175,                561040,,,,,                -23122,                              0,                   -458,                 -5134,               -255690,                              0,                 -4032,                  1095,               -287341,,                -14287,                 -1731,               -151500,               -167518,                  1944,                108125,                269731,                377856,                377856,                              0,,                 78091,                  1347,                              0
6183,2013年01月01日至2013年09月30日,,                208872,                208872,,,                 48755,                 13967,                  3113,                   -472,                    735,                 -4985,                 -1095,                     41,,,,,                              0,                   -405,                407207,                   -573,                    132,                 25465,                     -4,                431822,,                 -4629,                -81659,                -93981,                 21327,                    242,,               -159254,                272568,                332627,                541499,                  4168,                -49959,                495708,,,,,                -22170,                              0,                   -567,                 -1244,               -260044,                              0,                 -4306,                  1095,               -287236,,                -11224,                 -1155,               -151500,               -163879,                  1377,                 45970,                269731,                315701,                315701,                              0,,                 60059,                   -554,                              0
