證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 取得子公司股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付帳款增加（減少）,　　 處分無活絡市場之債務工具投資,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 存出保證金增加,　　 預付設備款增加,　　 發行公司債,　　 附買回票券及債券負債減少,　　 應付短期票券減少,　　 其他非流動資產增加,　　 短期借款減少,　　 停業單位稅前淨利（淨損）,　　 取得採用權益法之投資,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存入保證金增加,　　　　 金融資產減損迴轉利益,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
3048,2015年01月01日至2015年09月30日,,                420575,                420575,,,                 21652,                    752,                              0,                203134,                 -1454,                              0,                -10334,                   -834,                    -82,                              0,                 10085,                 11025,                 11421,                 -5566,                239799,,,                -20432,             -1472488,                              0,              1447418,                  2620,               -557418,               -600300,,                -12511,               -104768,                 -2432,               -119711,               -720011,               -480212,                -59637,               -201825,               -132148,               -393610,,                -10000,                 15082,               -142748,                              0,                              0,                -32026,                  1740,                 -6159,                 -3789,                -14884,                  1454,                              0,               -191330,,                614398,                 99868,                              0,                              0,                 37006,               -179441,                              0,                571831,                -26327,                -39436,                758687,                719251,                719251,,,,,,,,,,,,,,,,,,,,,
3048,2015年01月01日至2015年06月30日,,                255142,                255142,,,                 15225,                    481,                              0,                136441,                 -1111,                              0,                 -5135,                   -876,                    -98,                              0,                  6646,                 12607,                  2166,                 -6618,                159728,,,                -34077,              1397128,                              0,              1897268,                     67,,              3260386,,                -65375,               -137192,                     54,             -2118305,              1142081,              1301809,              1556951,               -139028,                -81392,              1336531,,                 -5000,                 10098,                -30781,,                              0,                -14630,                  1729,                 -1816,                   -455,                 -2269,                  1111,                              0,                -42013,,             -1500333,,                              0,                              0,                 12464,,,             -1487869,                  4430,               -188921,                758687,                569766,                569766,             -1915792,                              0,,,,,,,,,,,,,,,,,,,
3048,2015年01月01日至2015年03月31日,,                128309,                128309,,,                  7584,                    259,,                 71585,                   -445,                              0,                 -4509,                   -998,                   -110,,                  3243,                  7741,                -11866,                   -431,                 72053,,,                169622,               -227365,                              0,                273727,                -37680,,                178304,,               -118028,                -63938,                 -1202,             -1825548,             -1647244,             -1575191,             -1446882,                -69264,                 -1710,             -1517856,,,                  5110,                              0,,,                -12200,                    998,                     16,                              0,                    301,                    445,                              0,                 -4740,,              1387970,,,,                     35,,,              1388005,                 24612,               -109979,                758687,                648708,                648708,             -1642380,                    590,,,,,,,,,,,,,,,,,,,
3048,2014年度,,                561026,                561026,,,                 31414,                  1192,                 29983,                201382,                 -2865,                   -808,                 -7418,                     44,                  1383,                     26,                 50680,                157646,                -50101,                    172,,,,               -115480,             -2325008,                  2991,             -4224268,                -69083,,             -6730848,,                178365,                270483,                  2329,              4655051,             -2075797,             -1663067,             -1102041,               -193541,                -51545,             -1347127,,                 -5000,,,                    362,                 93155,                -38855,                    101,,                   -560,                  2729,                  2865,                    808,                 62541,,              1175401,,                320000,               -320000,                 -2388,                -78550,                    -71,              1389183,                -17352,                 87245,                671442,                758687,                758687,              4203874,,,                412730,                 20000,                              0,                              0,                              0,                   -831,                -12233,                294791,                              0,,,,,,,,,
3048,2014年01月01日至2014年09月30日,,                376807,                376807,,,                 21219,                    903,                  1985,                139921,                 -1640,                   -246,                 -5238,                              0,                  1383,                     26,                 27310,                 40703,                    -69,                  5383,                231640,,,                 40317,             -2860968,                  3938,             -3839440,                -57268,              4858101,             -1855320,,                126762,                146553,                  2883,                276198,             -1579122,             -1347482,               -970675,               -135562,                -50504,             -1156741,,                              0,                              0,                -18023,                    362,                 93155,                -34893,                              0,                   -508,                   -478,                 -2202,                  1662,                    246,                 39321,,              1153429,                              0,                160000,               -160000,                   -127,                -78550,                    -70,              1074682,                  4416,                -38322,                671442,                633120,                633120,,,,,,,,,,,,,,,,,,,,,
3048,2014年01月01日至2014年06月30日,,                199746,                199746,,,                 14023,                    599,                 -2545,                 91226,                 -1169,                   -246,                 -3226,                              0,                              0,                     26,                 12543,                 35894,                  8489,                  2749,                158363,,,                -31535,               -807314,                  2987,             -1257154,                -27559,,             -2120575,,                 48529,                -60706,                    498,              1992769,               -127806,                 30557,                230303,                -93878,                -28161,                108264,,                              0,                              0,                              0,,                 93155,                -33385,                              0,                   -177,                   -459,                 -2620,                  1192,                    246,                 98294,,               -398981,,                160000,               -160000,                   -139,,,               -399120,                 -5767,               -198329,                631010,                432681,                432681,              2004448,                 40342,,,,,,,,,,,,,,,,,,,
3048,2014年01月01日至2014年03月31日,,                 63755,                 63755,,,                  6642,                    296,,                 44001,                   -446,                   -246,                 -1660,                              0,                              0,,                  5477,                  3929,                  3942,                   -186,                 61749,,,                 45379,               -463496,                   -128,             -1265097,                 -4219,,             -1687561,,                -58014,                 95593,                   -574,              1075730,               -611831,               -550082,               -486327,                -40077,                     -8,               -526412,,,                              0,                -13619,,,                -25667,                              0,                     18,                   -465,                 -4381,                    469,                    246,                -43399,,                515683,,,,                    -97,,,                515586,                 -9946,                -64171,                631010,                566839,                566839,              1038725,                              0,,,,,,,,,,,,,,,,,,,
3048,2013年度,,                243954,                243954,,,                 26187,                  1959,                 60137,                 91211,                 -2099,                   -864,                -10824,                     48,                              0,                              0,                 12100,                 57093,                  2888,                  9260,,,,                -57157,                322902,                  3850,               -981928,                 18104,,               -694229,,                 99672,                 27568,                 -5674,                 93778,               -600451,               -353355,               -109401,                -87202,                -56656,               -253259,,                              0,,,                              0,                              0,                -17684,                    280,,                   -533,                 -1927,                  2089,                    864,                 -3730,,                380062,,                160000,               -160000,                 -5913,                -78550,                              0,                245699,                 -2195,                -13485,                684927,                671442,                671442,                -27788,,,                247096,                              0,                 13000,                -14727,                 20924,                 -4464,                 -1552,                              0,                -49900,,,,,,,,,
3048,2013年01月01日至2013年12月31日,,                243954,                243954,,,                 26187,                  1959,                 60137,                 91211,                 -2099,                   -864,                -10824,                     48,,,                 12100,                 67253,                  2888,                   -900,,,,                -57157,                322902,                  3850,               -981928,                 18104,,               -694229,,                 99672,                 27568,                 -5674,                 93778,               -600451,               -353355,               -109401,                -87202,                -56656,               -253259,,,,,,,                -17684,                    280,,                   -533,                 -1927,                  2089,                    864,                 -3730,,                380062,,                160000,               -160000,                 -5913,                -78550,,                245699,                 -2195,                -13485,                684927,                671442,                671442,                -27788,,,                247096,,                 13000,                -14727,                 20924,                 -4464,                 -1552,,                -49900,,,,                              0,                              0,,,,
3048,2013年01月01日至2013年09月30日,,                156284,                156284,,,                 20253,                  2571,                 26759,                 60406,                 -1267,                              0,                 -5908,,                              0,                              0,                  8949,                 25044,                 -3949,                   -664,,,,                -34077,               -700805,                  3314,             -1287588,                 24091,                972264,             -1022801,,                    242,                135339,                   -309,                135272,               -887529,               -755335,               -599051,                -58853,                -56600,               -714504,,,,,                              0,                              0,                 -9717,                     31,                 -7695,                    -95,                 -4938,                  1252,                              0,                -11162,,                665818,,,,                 -6084,,,                609834,                  3774,               -112058,                684927,                572869,                572869,,,,                132194,,                 10000,,,,,                              0,,                -49900,,,,,,,,
3048,2013年01月01日至2013年06月30日,,                 86875,                 86875,,,                 14099,                  1995,                  4925,                 37553,                   -923,                              0,                 -2906,,,                              0,                  4467,                 15286,                 -6229,                   -451,,,,                -22549,                178841,                  4516,               -924341,                 55869,,               -707664,,                 42581,                164700,                 -1678,                568416,               -139248,                -71432,                 15443,                -37229,                -36702,                -58488,,,,,,                              0,                 -7425,                      6,,                    -95,,                    599,                              0,                  3025,,,,                              0,                              0,                 -6064,,,                -82930,                  2533,               -135860,                684927,                549067,                549067,                362813,,,                 67816,,                 10000,,,                              0,,,                -49900,,                    -60,                -26966,,,,,,
3048,2013年01月01日至2013年03月31日,,                 44058,                 44058,,,                  7513,                  1071,,                 19212,                   -401,                              0,                 -1509,,,,                  2670,                 10832,                 -8243,                   -227,,,,                 -9886,               -752412,                  2558,                  6116,                 16702,,               -736922,,                -19651,                 51867,                 -7740,                197227,               -539695,               -508777,               -464719,                -18375,                    -10,               -483104,,,,,,,                 -3527,                      6,                   -404,                              0,                    299,                    401,                              0,                  1434,,                338918,,,,                 -6311,,,                312699,                  4903,               -164068,                680268,                516200,                516200,                172751,,,                 30918,                  4659,,,,,,,                -19908,,,,,,,,,
3048,2012年01月01日至2012年12月31日,,                194695,                194695,,,                 30577,                  5471,                  6929,                 65202,                 -2490,                              0,                 -8719,                    -40,,,                  5476,                 93357,                  3092,                 -1003,,,,                 -8763,               -355472,                   -283,               -479650,                 -3611,,               -847779,,                -17831,                 81612,                  8454,                415074,               -432705,               -234853,                -40158,                -66598,                 -8684,               -115440,,,,,,,                -13642,                  2391,,                 -3328,                  7144,                  2478,                              0,                -36399,,                301802,,                              0,                              0,                 11515,               -106828,,                256389,                 -5733,                 98817,                586110,                684927,                684927,                342839,,,                197852,,                  6000,                -23981,                              0,                    429,                              0,,                 49900,,,,                              0,                -13890,,,,
3048,2012年01月01日至2012年09月30日,,                130926,                130926,,,                 23047,                  9220,                  4594,                 49015,                   -691,,                 -5650,                   -158,,,                  1250,                 66226,                  8960,                   -755,,,,                -33377,               -668071,                  3915,               -219836,                 11796,                              0,               -905573,,               -101450,                 61999,                  2807,                534915,               -370658,               -215600,                -84674,                -49605,                 -8455,               -142734,,,,,,,                 -6323,                  2348,,                 -3320,                  1191,                    679,,                -25623,,                 22053,,,,                              0,,,                 83479,                 -9253,                -94131,                583709,                489578,                489578,                571559,,,                155058,,                  6000,                -23981,,,,,                 49963,,,,                              0,,                 -2217,                 11463,,
3048,2012年01月01日至2012年06月30日,,                 74549,                 74549,,,                 15569,                  3196,                  1967,                 33874,                   -569,,                 -3810,                   -161,,,                   -537,                 42914,                 -9135,                 -2142,,,,                -61310,               -593023,                  3455,                308166,                  6915,,               -335797,,                -38184,,                  3362,                 82524,               -253273,               -172107,                -97558,                -36067,                 -5373,               -138998,,,,,,,                 -3338,                  2351,,                 -1391,                  2255,                    557,,                -10848,,                 26741,,,,                              0,,,                 26765,                 -2518,               -125599,                583709,                458110,                458110,                117346,,,                 81166,,                  6000,                -14989,,,,,                              0,,,,,,                 -2293,                     24,                              0,                              0
3048,2012年01月01日至2012年03月31日,,                 23132,                 23132,,,                  7870,                  1502,,                 19219,                   -200,,                 -1741,                   -124,,,                              0,                  5922,                    909,                -25238,,,,                  6591,             -1579966,                    490,                326557,                 17904,,             -1228424,,                -56032,,                  7263,               -137896,             -1366320,             -1358201,             -1335069,                -18801,                    -23,             -1353893,,,,,,,                   -983,                    277,,,                  2136,                    183,,                -17996,,              1249128,,,,                              0,,,              1249128,                  4615,               -118146,                583709,                465563,                465563,                -89127,,,                  8119,                              0,,                -14989,,,,,                              0,,,,,,                 -4620,,,
