證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票處分,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業資產（增加）減少
2530,2015年01月01日至2015年09月30日,,                 39579,                 39579,,,                  2416,                     13,                 24264,                 -2689,                 -2350,                     29,                              0,                   -582,                 -1188,                    265,                 20178,,,               -193590,                 11354,                -13976,                -36978,                              0,               -346198,                  7968,                              0,                331553,               -239867,,                  1275,                100047,                 -7076,                              0,                976256,                 22962,                    -62,              1093402,                853535,                873713,                913292,                  2691,                  2350,                -24645,                 -5938,                887750,,                              0,                  4381,                              0,                 -1301,                              0,                              0,                              0,                  3080,,                              0,                189570,                              0,               -758571,                     34,                              0,                 13124,                              0,               -555843,                   -265,                334722,                 75813,                410535,                410535,,,,,
2530,2015年01月01日至2015年06月30日,,                -32851,                -32851,,,                  1612,                     13,                 14806,                 -1798,                   -935,                     29,                              0,                 -1026,,                    277,                 12978,,,                -79872,                 10184,,                    -13,                              0,               -313243,                -15504,                              0,                145741,               -252707,,                 -1500,                  8230,                 -8619,                              0,                160860,                 15603,                    -41,                174533,                -78174,                -65196,                -98047,                  1785,                    935,                -14819,                   -664,               -110810,,                              0,                  3434,                              0,                              0,                              0,                              0,                              0,                  3434,,                184840,                              0,                              0,                -17164,                              0,,,                              0,                167676,                   -277,                 60023,                 75813,                135836,                135836,                              0,,,,
2530,2015年01月01日至2015年03月31日,,                -14684,                -14684,,,                    806,                     13,                  7420,                   -751,,                     29,                              0,,,                              0,                  7517,,,                 -2462,                  8837,,                    -13,                     -4,               -159521,                 -9033,                              0,                 65116,                -97080,,                 -1500,                 14504,                 -6600,,                 77894,                     43,                    -21,                 84320,                -12760,                 -5243,                -19927,                    748,,                 -7388,                    -72,                -26639,,                              0,,                              0,                              0,                              0,                              0,,                              0,,                 38410,,                              0,                 -8573,                              0,,,                              0,                 29837,                              0,                  3198,                 75813,                 79011,                 79011,                              0,,,,
2530,2014年度,,               -184927,               -184927,,,                  2966,                 -9757,                 29529,                 -5344,                 -2132,                    136,                 49130,,,                    242,,,,                108139,                  9900,,                   -114,                 10000,               -450955,                -41299,                              0,                -40255,               -404584,,                  1500,                   -562,                 -9460,                     87,                591067,                    -75,,                582457,                177873,                242643,                 57716,                  6173,                  2132,                -29622,                 -1322,                 35077,,,                  5694,                 -4993,               -119473,,                 -1152,                  5907,               -114017,,                              0,                -84100,                 18500,                -33263,                    556,                              0,,                     -5,                -98312,                   -242,               -177494,                253307,                 75813,                 75813,                              0,,                 64770,                   -100,
2530,2014年01月01日至2014年09月30日,,                -95591,                -95591,,,                  2166,                -10000,                 21739,                 -4241,                 -2132,                     95,                    -15,                              0,                              0,                    917,                  8529,,,                103487,                 20236,                              0,                    129,                    553,               -328759,                -42465,                      1,                -66135,               -312953,,                     35,                 -9673,                 29345,                              0,                450900,                    191,                    -77,                470721,                157768,                166297,                 70706,                  4885,                  2132,                -69742,                   -500,                  7481,,                    461,                  5695,                 -4768,               -119510,                              0,                 -1152,                              0,               -119274,,                              0,                -73400,                              0,                -24793,                    556,                              0,                              0,                     -5,                -97642,                   -917,               -210352,                253307,                 42955,                 42955,,,,,
2530,2014年01月01日至2014年06月30日,,                -59142,                -59142,,,                  1380,                -10000,                 14042,                 -3154,                              0,                     95,                    -15,                              0,,                 -2090,                    258,,,                -14444,                 18940,,                    129,                 10000,               -239883,                -38581,                      1,                -80118,               -343956,,                  4247,                -14037,                 19337,                              0,                299566,                    582,                    -39,                309656,                -34300,                -34042,                -93184,                  2773,                              0,                -46300,                   -289,               -137000,,                    461,                              0,                 -4220,               -119510,                              0,                 -1152,                              0,               -124421,,                 69100,                              0,                              0,                -16514,                    516,,,                              0,                 53102,                  2090,               -206229,                253307,                 47078,                 47078,                              0,,,,
2530,2014年01月01日至2014年03月31日,,                -33680,                -33680,,,                    625,                    157,                  6543,                 -1447,,                              0,                    -15,,,                 -2283,                  3580,,,                 96635,                 17764,,                    -28,                 -7591,               -155870,                -28792,                      1,                -99853,               -177734,,                  3314,                -16104,                  6829,,                181881,                    139,                    -20,                176039,                 -1695,                  1885,                -31795,                  1751,,                -22820,                   -179,                -53043,,                    461,,                 -4029,               -119450,                              0,                   -472,,               -123490,,                -39500,,                              0,                 -8250,                    516,,,                              0,                -47234,                  2283,               -221484,                253307,                 31823,                 31823,                              0,,,,
2530,2013年度,,                -35339,                -35339,,,                  1595,                              0,                 27304,                 -3033,                 -3726,                  6968,                              0,,,                   -111,,,,                -90707,                -18106,,                    -21,                    775,                 29499,               -141882,                      1,               -613728,               -834169,,                   -424,                 15871,                  8102,                    108,                713368,                 -1249,,                735667,                -98502,                -69505,               -104844,                  2133,                  3726,                -27170,                -17671,               -143826,,,                  2369,                 -7767,                 -7840,,                   -578,                    627,                -13189,,                108700,                              0,                343100,               -187512,                              0,                -40613,,                 86279,                309844,                    111,                152940,                100367,                253307,                253307,                   -110,,                 28997,                   -109,
2530,2013年01月01日至2013年12月31日,,                -35339,                -35339,,,                  1595,,                 27304,                 -3033,                 -3726,                  6968,                              0,,,                   -111,,,,                -90707,                -18106,,                    -21,                    775,                 29499,               -141882,                      1,               -613728,               -834747,,                   -424,                 15871,                  8102,                    108,                713368,                 -1249,,                735667,                -99080,                -70083,               -105422,                  2133,                  3726,                -27170,                -17671,               -144404,,,                  2369,                 -7767,                 -7840,                              0,,                    627,                -12611,,                108700,,                343100,               -187512,                   -110,                -40613,,                 86279,                309844,                    111,                152940,                100367,                253307,                253307,,,                 28997,                   -109,                   -578
2530,2013年01月01日至2013年09月30日,,                 22367,                 22367,,,                  1293,                              0,                 20264,                 -1228,                 -2278,                              0,                              0,,,                              0,,,,               -108801,                  3556,,                      8,                    775,                128859,                -87369,                      1,               -383645,               -446616,,                   -280,                  7611,                  8457,                              0,                486107,                   -963,,                500839,                 54223,                 72274,                 94641,                    982,                  2278,                -20527,                -17556,                 59818,,                              0,                  2369,                              0,                 -7900,                              0,                              0,                              0,                 -5531,,                              0,                -64800,                343100,               -181083,                     40,                -40613,,                 21569,                 78213,                              0,                132500,                100367,                232867,                232867,,,                 18051,                    -93,
