證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 其他非流動負債減少,　　 現金增資,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　 退還（支付）之所得稅,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 存出保證金增加,　　 舉借長期借款,　 匯率變動對現金及約當現金之影響,　　　　　 其他金融資產（增加）減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收建造合約款（增加）減少,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 其他非流動資產減少,　　 償還公司債,　　　　 金融資產減損迴轉利益,　　　　　 其他營業資產（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 其他應付款－關係人增加,　　　　　 應付建造合約款（增加）減少,　　 處分備供出售金融資產,　　　　　 負債準備增加（減少）,　　 備供出售金融資產減資退回股款
2491,2015年01月01日至2015年09月30日,,                -67133,                -67133,,,                 23454,                    636,                    708,                 18461,                    -15,                   -490,                 -1207,                 -2977,                              0,                              0,                 38570,,,                 15031,                 14127,                 30391,                 20263,                 -5338,                 -2846,                 -1044,                 70584,,                -12322,                 18184,                -12232,                 -6575,                     23,                -12922,                 57662,                 96232,                 29099,                     15,                    490,                -18544,                   -751,                 10309,,                  8930,                 -3105,                  1205,                  3510,                   -998,                 -1047,                              0,                  8495,,                -10047,                 -7771,                  3714,                  2000,                -43518,                 20150,                              0,                -35472,                -16668,                 22842,                  6174,                  6174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2015年01月01日至2015年06月30日,,                -45693,                -45693,,,                 15610,                    438,                    388,                 12235,                    -14,                    490,                   -206,                 -2977,,,                 25964,,,                 12724,                 11063,                 26577,                 16111,                 -3759,                 -8907,                   -283,                 53521,,                 -3656,                  7458,                -13450,                     26,                 -6313,                -15935,                 37586,                 63550,                 17857,                     14,                   -490,                -12315,,                  4316,,,                   -704,                    206,                              0,                   -477,                 -1047,,                 10418,,                 -8547,,                  1514,                   -500,                -30960,                 20150,                              0,                -24914,                -10180,                 22842,                 12662,                 12662,                              0,                              0,                     -5,                              0,                              0,                   -750,                  8930,                  3510,                 -6571,                              0,,,,,,,,,,,,,,,,,,,,,
2491,2015年01月01日至2015年03月31日,,                -21342,                -21342,,,                  7835,                    222,                    460,                  6109,                     -1,,                    -72,,,,                 14553,,,                  4320,                 11195,                 32546,                 21932,                 10169,                 -5081,                    293,                 75374,,                 -7821,                -18294,                -12164,                  2325,                 -6204,                -42158,                 33216,                 47769,                 26427,                      1,,                 -6110,,                 20318,,,                   -227,                     72,,,,,                  3521,,,                 -6016,,                   -500,                -15480,                 20150,                              0,                 -1846,                 21993,                 22842,                 44835,                 44835,,,,                              0,,                              0,,                  3510,,                              0,                              0,                    166,                              0,                              0,,,,,,,,,,,,,,,,,
2491,2014年度,,                151051,                151051,,,                 64582,                  1086,                  4774,                 25971,                    -71,                 -1525,                 25874,                   -317,               -115160,                              0,,,,                189171,                 -2553,                 36150,                -21933,                 38871,                 18786,                 -1429,                258138,,                  4223,                -30706,                -20295,                    521,                  5886,               -118014,                140124,                145338,                296389,                     71,                  1525,                -26294,,                271588,,                  4116,                 -2796,                 21757,                  1900,,,                              0,                 25187,,,,                    754,                -87154,,,                    -12,               -303231,                 -6456,                 29298,                 22842,                 22842,,                              0,                              0,                  1075,                              0,                   -103,,,,,,,,               -190130,,                  5214,                              0,                              0,                              0,                              0,                -77643,                    210,                -26689,,,,,,,,
2491,2014年01月01日至2014年09月30日,,                235374,                235374,,,                 50123,                    853,                  5076,                 19689,                    -55,                 -1525,                  1735,                              0,               -119431,                    995,                -42540,,,                185190,                 -1902,                 37286,                    -66,                 14236,                 -5837,                  2713,                231620,,                    522,                -33228,                -15070,                  7372,                   -199,                -40603,                191017,                148477,                383851,                     55,                  1525,                -20076,                   -104,                365251,,                  5191,                 -2493,                    400,                  1710,                   -125,                              0,                              0,                  4683,,               -189485,                -19984,                    755,                -94454,                -69142,                              0,                    -12,               -372322,                 -2388,                 29298,                 26910,                 26910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2014年01月01日至2014年06月30日,,                254099,                254099,,,                 37104,                    578,                  4166,                 13368,                    -53,                              0,                  1195,                              0,,,                -63073,,,                170765,                  3098,                 17788,                 -1801,                 15560,                 -4428,                  2305,                204362,,                    492,                -28458,                -13267,                  4391,                   -305,                -37147,                167215,                104142,                358241,                     53,                              0,                -13755,,                344435,,,                   -831,                    200,                              0,                    140,                              0,,                  2533,,               -188840,,                              0,                -95114,                -52171,                              0,                    -12,               -349438,                 -2470,                 29298,                 26828,                 26828,               -119431,                              0,                              0,                  1075,                              0,                   -104,                  1484,                  1540,                -13301,                              0,,,,,,,,,,,,,,,,,,,,,
2491,2014年01月01日至2014年03月31日,,                109757,                109757,,,                 18782,                    291,                  3336,                  7046,                     -1,,                              0,,,,                 29454,,,                151994,                -20942,                 22832,                   -280,                 15927,                 -3581,                  1370,                138598,,                  3820,                -11341,                  1622,                  9862,                   -123,                  3840,                142438,                171892,                281649,                      1,,                 -7192,,                274458,,,                   -162,                              0,,,,,                   -253,,,                 -6640,,                -99108,                -32197,                              0,                    -12,               -258602,                 15603,                 29298,                 44901,                 44901,,,,                  1063,,                              0,,                    170,,                              0,                -29785,                   -261,                              0,               -120645,,,,,,,,,,,,,,,,,
2491,2013年度,,               -312993,               -312993,,,                165842,                  1846,                  2062,                 33972,                   -174,                              0,                   -114,                   -557,                101612,                -59425,,,,                 -7860,                  9563,               -106426,                 -1962,                -25118,                   -102,                -15738,               -168787,,                 20128,                 52770,                -91126,                 -5372,                -70105,                -52050,               -220837,                 24227,               -288766,                    222,                              0,                -34138,,               -322680,,                  2460,                 -2765,                    560,                    640,,,                 -8781,                 25937,,,,                 25126,                 -9000,,,                 87327,                244913,                -51830,                 81128,                 29298,                 29298,,                 21549,                -40800,                   -738,                 14182,                      2,,,,,,,,                148750,,                245064,                 -1155,                 71317,                   -825,                    -56,                -42963,                 33823,                 -7290,,,,,,,,
2491,2013年01月01日至2013年12月31日,,               -312993,               -312993,,,                165842,                  1846,                  2062,                 33972,                   -174,,                   -114,                   -557,                101612,                -59425,,,,                 -7860,                  9563,               -106426,                 -1962,                -25118,                   -102,                -15738,               -168787,,                 20128,                 52770,                -91126,                 -5372,                -70105,                -52050,               -220837,                 24227,               -288766,                    222,,                -34138,,               -322680,,                  2460,                 -2765,                    560,                    640,,,                 -8781,                 25937,,                              0,,                 25126,                 -9000,,                              0,                 87327,                244913,                -51830,                 81128,                 29298,                 29298,,                 21549,                -40800,                   -738,                 14182,                      2,,,,                              0,,,                              0,                148750,,                245064,                 -1155,                 71317,,                    -56,                -42963,                 33823,                 -7290,,,                              0,                              0,                   -825,                              0,,
2491,2013年01月01日至2013年09月30日,,               -341494,               -341494,,,                145349,                  1752,                  1319,                 26589,                   -130,                   -402,                   -116,,                 98765,                              0,,,,                -11092,                 11041,                -81653,                 -2317,                -18691,                 -9310,                -18118,               -117599,,                 26393,                  7391,                -78047,                 -8823,                -70189,                -92076,               -209675,                 61008,               -280486,                    178,                    402,                -26830,                      3,               -306733,,                  2460,                 -2697,                    560,                    190,                    274,,                 -8781,                 -7994,,                149825,                 -1103,                 24824,                  5182,                              0,,                 87327,                266055,                -48672,                 81128,                 32456,                 32456,,                 21549,                -40800,                   -738,,,,,,,                 33685,,,,,                270683,                 -1155,                 71317,                   -825,                    -54,                -39239,,,                 -2443,,,,,,,
