證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債減少,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 其他非流動負債增加,　　 現金減資,　　　　　 應付票據增加（減少）,　　　　 處分待出售非流動資產損失（利益）,　　　　 已實現銷貨損失（利益）,　　 非控制權益變動
2331,2015年01月01日至2015年09月30日,,              1598961,              1598961,,,                510472,                 69527,                 49099,                 -4053,                 33098,                -48353,                              0,                 16766,                              0,                -52911,                              0,                              0,                -77977,                  6047,                -44101,                457614,,,                238524,                    528,             -3568495,                277180,              2173073,                139546,                 32178,              3672063,                 -4311,              2960286,,              1052097,                124939,                 72367,                 36639,                              0,              1286042,              4246328,              4703942,              6302903,                 51487,                -33502,               -383413,              5937475,,                 92952,               -250956,                  6147,                -21163,                  6396,                 -5031,                              0,                              0,                 -3750,                              0,                -63737,                              0,               -239142,,             -3308307,                              0,                              0,                 15351,                -15038,             -2786515,                  6300,             -6088209,                129681,               -260195,              5599168,              5338973,              5338973,,,,,,,,,,,,,
2331,2015年01月01日至2015年06月30日,,                856614,                856614,,,                338895,                 47196,                 29695,                 -1192,                 27552,                -33149,,                 16483,                              0,,                              0,                              0,               -112807,                -30668,                -29088,                252917,,,                -89147,                    535,             -2872540,                260531,              1654106,                109804,                 24684,              3612613,                 -2897,              2697689,,                578059,                -86071,                  5584,                496988,                              0,                994560,              3692249,              3945166,              4801780,                 33099,                -27199,               -303396,              4504284,,,               -169377,                  5661,                -18565,                  5074,                   -157,                              0,                              0,                 -3477,                              0,                -42354,,               -223195,,             -1644458,,,                 15029,                 -6801,,                  6300,             -1630333,               -192189,              2458567,              5599168,              8057735,              8057735,                   -403,,,,,,,,,,,,
2331,2015年01月01日至2015年03月31日,,                467497,                467497,,,                171374,                 24778,                 32577,                 -3248,                 16325,                -15933,,                    813,                              0,,                              0,                              0,                -30816,                -18606,                -14544,                162720,,,               -320478,                    535,             -1013244,               -162113,                687927,                -11010,                 30765,              3744639,                 -1465,              2955556,,               -668775,               -135589,                    485,                147977,                              0,               -655902,              2299654,              2462374,              2929871,                 16503,                -14148,               -103895,              2828331,,,               -105175,                     88,                 -4055,                  3424,,,                              0,                 -5141,                              0,                -10805,,               -121664,,             -1817968,,,                  1690,                 -1041,,                  6300,             -1811218,               -135798,                759651,              5599168,              6358819,              6358819,                   -199,                              0,,,,,,,,,,,
2331,2014年度,,              2036910,              2036910,,,                780738,                 77733,                 39485,                 -9290,                 17383,                -94028,                 -5090,                -12926,                   -130,               -178964,                -49243,                243684,                 -1530,                 -4488,                -58175,,,,              3578474,                  9253,              2956348,               -770201,             -1378163,               -462789,                -32600,             -3746419,                 -6067,                147836,,             -2097958,               -161943,               -224669,                226951,,             -2255522,             -2107686,             -1362527,                674383,                 92395,                -13115,               -558586,                195077,,                186277,               -345715,                 28998,                 -1718,                  8417,                -15534,                 -3154,                  3315,                -31138,,                -80618,                  5090,               -245780,,                              0,                              0,                              0,                 16518,                -14456,             -2200740,                 56690,             -1836469,                297107,             -1590065,              7189233,              5599168,              5599168,                   -842,              2103632,,                              0,                745159,                 -4085,                  6182,                              0,             -1797271,,,,
2331,2014年01月01日至2014年09月30日,,              1589620,              1589620,,,                582511,                 55383,                 54970,                 -9898,                 13062,                -75947,                 -5090,                -12596,                   -130,               -113118,                -49243,                 60486,                 -1530,                 -8420,                -44113,                446327,,,              3895296,                  9781,              3606980,               -342002,             -2164906,               -157463,                -30137,                              0,                 -4554,              4812995,,               -732541,               -127875,               -144423,                 37375,                 -4085,               -971549,              3841446,              4287773,              5877393,                 72332,                -13115,               -481551,              5455059,,                117741,               -198400,                 27913,                 -1227,                  7640,                -14414,                 -3024,                  3315,                              0,                    991,                -53952,                  5090,               -108327,,             -1434138,                              0,                              0,                 15695,                -10759,             -2200740,                 52190,             -3577752,                115222,              1884202,              7189233,              9073435,              9073435,,,,,,,,,,,,,
2331,2014年01月01日至2014年06月30日,,              1102476,              1102476,,,                393080,                 34991,                 62650,                 -8475,                 10355,                -51340,,                -14147,                   -130,,                -49243,                 27017,                 -1530,                 -8461,                -29088,                365679,,,              1554049,                  9788,              1508938,             -1297677,               -827814,                  5027,                -25605,                              0,                 -3037,                923669,,                241336,               -224642,               -221680,                 71486,                    567,               -132933,                790736,              1156415,              2258891,                 48084,                -10409,               -406662,              1889904,,,                -97830,                 27892,                   -742,                  6646,                 -4589,                 -3024,                  3315,                              0,                  1466,                -17014,,                -83880,,             -1422270,,,                 15453,                -10490,,                              0,             -1417635,                -13921,                374468,              7189233,              7563701,              7563701,                   -328,,,,,,,,,,,,
2331,2014年01月01日至2014年03月31日,,                370640,                370640,,,                201727,                 16504,                 44579,                 -5918,                  5937,                -28615,,                    593,                   -130,,                -49243,                 14485,                 -1530,                 20211,                -14544,                204056,,,                805612,                  8937,              2535160,               -601634,                -13328,                -59340,                -35397,                              0,                 -1527,              2638483,,             -2000013,               -291682,               -164641,                184376,                    240,             -2271720,                366763,                570819,                941459,                 26744,                 -4609,               -311758,                651836,,,                -53924,                  1084,                   -385,                  3955,,,                  3315,                              0,                  2514,                 -3940,,                -47381,,                              0,,,                  5420,                   -162,,                              0,                442332,                 86615,              1133402,              7189233,              8322635,              8322635,                   -134,                437208,,,,,,,,,,,
2331,2013年度,,              4029715,              4029715,,,                914204,                 73392,                 49803,                   -889,                 28343,                -89285,                 -1826,             -2930056,                              0,                              0,                 10624,                296764,                -37732,                 83177,                 -1407,,,,             -3547055,                 -9780,             -1237840,                502429,              1859385,                187145,                 16482,                              0,                 -5627,             -2234861,,                287566,                677678,                253610,                  9245,,              1229120,             -1005741,             -2604774,              1424941,                 95675,                -29923,               -435150,              1055543,,                              0,               -176730,              6575791,               -208544,                  4398,                 -7151,                              0,                              0,                 -8990,,                -28608,                  1826,              6151992,,               -548883,              2885120,             -5001040,                    975,                 -1009,               -591597,                              0,             -7752430,                165426,               -379469,              7568702,              7189233,              7189233,                              0,                              0,,                  5855,             -1599033,                  1021,                              0,                    140,             -4496136,,,,
2331,2013年01月01日至2013年12月31日,,              4029715,              4029715,,,                914204,                 73392,                 49803,                   -889,                 28343,                -89285,,             -2930056,,                 10624,,                296764,                -37732,                 83120,                 -1407,,,,             -3547055,                 -9780,             -1237840,                502429,              1859385,                187145,                 16482,,                 -5627,             -2234861,,                287566,                677678,                253610,                  9245,,              1229120,             -1005741,             -2603005,              1426710,                 95675,                -29923,               -435150,              1057312,,,               -176730,              6575791,               -207478,                  1021,                 -7151,                              0,,                 -8990,,                -28608,,              6147855,,               -548883,              2885120,             -5001040,                    700,                              0,               -591597,,             -7751696,                167060,               -379469,              7568702,              7189233,              7189233,,,,                  5855,             -1597264,                  1021,,                    140,             -4496136,,                              0,                              0,                              0
2331,2013年01月01日至2013年09月30日,,              1279615,              1279615,,,                682868,                 54797,                -38019,                  1456,                 24939,                -71290,                 -1826,                  5580,                              0,                              0,,                              0,                -19510,                 83171,                              0,,,,                352945,                -49281,                559479,                 17068,                892235,                100736,                   -601,,                 -4235,              1868346,,                181738,                263492,                  7627,                 73676,,                527106,              2395452,              3123473,              4403088,                 76601,                -26511,               -237197,              4215981,,                              0,                -49212,                  2039,                 -5535,                  3610,                 -6843,                              0,                              0,                 -9440,                              0,                 -9303,                  1826,                -72858,,               -854742,              2885120,             -5001040,                    469,                   -806,               -591597,                              0,             -3563087,                 44382,                624418,              7568702,              8193120,              8193120,                   -491,,,                  5855,                728021,                    573,,,,,,,
