證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產增加,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　　 不影響現金流量之收益費損項目,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 償還公司債,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 非控制權益變動,　　　　　 應付建造合約款增加（減少）,　　　　　 其他金融負債增加（減少）,　　 存出保證金增加,　　　　 處分待出售非流動資產損失（利益）,　　 對子公司之收購（扣除所取得之現金）,　　 處分待出售非流動資產,　　 預收款項增加－處分資產,　　　　　 其他金融資產（增加）減少,　　　　　 負債準備增加（減少）
2038,2015年01月01日至2015年09月30日,,               -174357,               -174357,,,                183667,                  1440,                  1338,                -56611,                 39049,                   -969,                -29545,                -26816,                              0,                -25189,                 24919,                111283,,,                 27716,                -17910,                105470,                   -625,              1096362,                 68495,                    839,              1280347,,                -76166,                -98361,               -143341,                -10991,                    250,               -328609,                951738,              1063021,                888664,                  1051,                -39732,                 -4639,                845344,,                    454,                -62894,                 29041,                              0,                              0,                 10512,                              0,                -37084,                 29545,                -30426,,              5723176,             -6529130,                200000,                110000,               -174167,                              0,               -670121,                144797,                211100,                355897,                355897,,,,,,,,,,,,,,,,,,,,,,,,
2038,2015年01月01日至2015年06月30日,,                -88390,                -88390,,,                122848,                    960,                   -603,                  3220,                 26499,                   -799,                -29545,                -26816,                              0,                -28068,                 11003,                 78699,,,                 10728,                 -7523,                 90414,                 -5850,                918686,               -119903,                 -1065,                885487,,                -35447,                -42085,               -111532,                -13025,                      6,               -199888,                685599,                764298,                675908,                    726,                -27608,                 -2995,                646031,,,                -57175,                 29041,                              0,                  5309,,,                -29372,,                -52197,,              4096188,             -4800720,                200000,                110000,               -110000,,               -504532,                 89302,                211100,                300402,                300402,                  2195,                              0,,,,,,,,,,,,,,,,,,,,,,
2038,2015年01月01日至2015年03月31日,,                -96369,                -96369,,,                 62626,                    480,                  1692,                  1857,                 14186,                   -240,,,                              0,                -14223,                  3513,                 69891,,,                 10728,                 -4807,               -174042,                  3770,                808420,                 22474,                    542,                667085,,                -57813,                  3022,                -13140,                  4954,                              0,                -61874,                605211,                675102,                578733,                    137,                -14948,                    -14,                563908,,,                -32628,,                              0,                     98,,,                -10527,,                -43057,,              1726404,             -2436160,                250000,,                -55000,,               -514756,                  6095,                211100,                217195,                217195,                  1103,                              0,,,                563908,,,,,,,,,,,,,,,,,,,
2038,2014年度,,               -176655,               -176655,,,                256469,                  1886,                   -482,                -10737,                 47651,                 -1307,,                  2957,                 29704,,                 33309,,,,                              0,                 25657,                126872,                     53,               -422586,                -69956,                    -45,               -340005,,                -93751,                 62434,                -11193,               -185791,                     22,               -224602,               -564607,               -205157,               -381812,                  1225,                -48537,                    288,               -428836,,,               -352454,                  9615,                     90,                   -530,,,                -29977,,               -382535,,              8630095,             -7564045,                 50000,                              0,               -220000,,                890910,                 79539,                131561,                211100,                211100,,                 -9279,,,               -428836,,                              0,                359450,                  3677,                              0,                 -5140,                              0,                              0,                              0,                              0,,,,,,,,,
2038,2014年01月01日至2014年09月30日,,                -47375,                -47375,,,                192621,                  1406,                    104,                -18576,                 32896,                   -864,                              0,                  3788,                 10291,                              0,                 31652,                253318,,,                              0,                  9820,                166738,                   -194,               -262571,                -42259,                   -573,               -129039,,                  3093,                -19124,                -57721,               -150352,                 -4819,               -228923,               -357962,               -104644,               -152019,                    863,                -33235,                    340,               -184051,,                              0,                -42526,                  9152,                    330,                    -70,                              0,                    305,               -216916,                              0,               -249725,,              6506947,             -5816729,                 50000,                              0,               -165000,                    210,                575428,                141652,                131561,                273213,                273213,,,,,,,,,,,,,,,,,,,,,,,,
2038,2014年01月01日至2014年06月30日,,                -71895,                -71895,,,                130432,                  1406,                   -711,                 13700,                 20753,                   -648,                              0,                              0,                  7015,                              0,                  5924,                177871,,,                              0,                 14273,                 47286,                     -6,                115035,                  7501,                    134,                184223,,                 28644,                 33703,                -48338,               -125509,                 -4467,               -114440,                 69783,                247654,                175759,                    647,                -20983,                  3428,                158851,,,                -45925,                  9102,                    330,                    767,,,               -132617,,               -168946,,              3668683,             -3494253,                 50000,                              0,               -110000,,                114430,                104335,                131561,                235896,                235896,                  1527,                   -603,,,,,,,,,,,,,,,,,,,,,,
2038,2014年01月01日至2014年03月31日,,                -51215,                -51215,,,                 67412,                  1055,                   -164,                   -756,                 10613,                   -201,,,                 19486,                              0,                  9516,                106961,,,                              0,                    -55,                 85038,                    -74,                506239,                 15626,                    732,                607506,,                 -4199,                 25576,                -14426,               -102877,                 -4031,                -99493,                508013,                614974,                563759,                    201,                -10970,                     -2,                552988,,,                -19262,,                    330,                -15247,,,                -24675,,                -59085,,              1338363,             -1673265,                 50000,,                -55000,,               -339902,                154001,                131561,                285562,                285562,                    464,                   -231,,,                552988,,,,,,,,,,,,,,,,,,,
2038,2013年度,,                -68949,                -68949,,,                228262,                  4233,                    612,                 -1018,                 57012,                   -525,,                    413,                  3970,,                 11102,,,,                 49392,                 -6471,               -157438,                 23718,                679765,                 29083,                   -678,                617371,,               -106729,               -115909,                -20027,                138720,                 -7717,               -107484,                509887,                820686,                751737,                    532,                -55305,                 -3613,                693351,,,                -89831,                    589,                    630,                -12932,,,               -136848,,               -238392,,              9401913,            -10227878,               -100000,              1298190,                -55000,,               -508416,                -53457,                185018,                131561,                131561,,                              0,,,                693351,,                  6738,                310799,                  4178,               -684462,                              0,                -48337,                -78130,                -11280,                 -3432,,,,,,,,,
2038,2013年01月01日至2013年12月31日,,                -68949,                -68949,,,                228262,                  4233,                    612,                 -1018,                 57012,                   -525,,                    413,                  3970,                              0,                 11102,,,,                 49392,                 -6471,               -157438,                 23718,                679765,                 29083,                   -678,                617371,,               -106729,               -115909,                -20027,                138720,                 -7717,               -107484,                509887,                820686,                751737,                    532,                -55305,                 -3613,                693351,,,                -89831,                    589,                    630,                -12932,,,               -136848,,               -238392,,              9401913,            -10227878,               -100000,              1298190,                -55000,,               -508416,                -53457,                185018,                131561,                131561,,                              0,,,                693351,,                  6738,                310799,                  4178,               -684462,,                -48337,                -78130,                -11280,                 -3432,,,                              0,                              0,                              0,                              0,                              0,,
2038,2013年01月01日至2013年09月30日,,               -109108,               -109108,,,                171926,                  3178,                 -1081,                  4517,                 44066,                   -288,,                    168,                 35694,,                  8950,,,,                 11456,                  5091,                247933,                 24117,               -813052,                -16282,                 -1377,               -542114,,                -99075,               -131043,                -74215,                 35391,                 -7589,               -273403,               -815517,               -541649,               -650757,                    290,                -41392,                 -3595,               -695454,,,                -49043,                              0,                              0,                 -2950,,,               -101667,,               -154396,,              7811434,             -7491452,                              0,              1298440,                              0,                              0,                792781,                -57069,                185018,                127949,                127949,,                   -736,,,,,                  6738,                273868,                  3128,               -684462,,                -48337,                -78130,                -11280,                 -3432,,,,,,,,,
