證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　　　　 預付款項（增加）減少,　　 其他金融資產減少,　　　　 攤銷費用,　　 發放現金股利,　　　　　 其他營業資產（增加）減少,　　 存出保證金增加,　　 其他金融資產增加,　　　　 其他項目,　　 短期借款減少
3312,2015年01月01日至2015年09月30日,,               -183405,               -183405,,,                  5318,                228405,                 29177,                   -990,                   -341,                     53,                261622,,,                  3510,                584262,                 -6099,                 11318,                633365,                              0,                  1039,              1227395,,               -489688,               -166291,                -13721,                  1353,                     -2,               -668349,                559046,                820668,                637263,                    990,                -29177,                -37022,                572054,,                  1464,                 -2665,                    134,                 -4921,                 -5988,,               -547547,                              0,                -25000,                 98735,               -473812,                 63885,                156139,                600154,                756293,                756293,,,,,,,,,,,,,,,
3312,2015年01月01日至2015年06月30日,,               -113357,               -113357,,,                  3572,                166603,                 19779,                   -714,                    229,                     15,                189484,,,                  7295,                508207,                -20811,                   -774,               -332328,                -14204,                 22487,                169872,,                 92173,               -166082,                -23640,                 -4033,                     -2,               -101584,                 68288,                257772,                144415,                    714,                -19779,                -13680,                111670,,,                 -1983,                    113,                 -3562,                 -5432,,                -17286,                -25000,,                              0,                -42286,                -31651,                 32301,                600154,                632455,                632455,,,,,,,,,,,,,,,
3312,2015年01月01日至2015年03月31日,,                -37166,                -37166,,,                  1847,                 87732,                 10249,                   -311,                    814,,                100331,,,                -60475,                243806,                -20336,                 -1041,               -160140,,                 -2902,                 -1088,,                399560,               -234529,                -30891,                  3549,                     -2,                137687,                136599,                236930,                199764,                    311,                -10249,                              0,                189826,,,                   -339,,,                 -1643,,                -98092,                              0,,,                -98092,                -12775,                 77316,                600154,                677470,                677470,                 -1304,                              0,,,,,,,,,,,,,
3312,2014年度,,                130383,                130383,,,                  6615,                 52247,                 33023,                 -4972,                    522,                              0,,,,                 38769,             -1434455,                 14218,                -28964,               -161222,,                -81961,             -1653615,,                -50255,                 33563,                 -3126,                  3043,                 -1058,                -17833,             -1671448,             -1584013,             -1453630,                  4972,                -33023,                -62502,             -1544183,,                  1083,                 -4360,                              0,                  2192,                -27085,,              1177137,                 25000,,                 95421,              1297558,                 81994,               -191716,                791870,                600154,                600154,,,,                 87435,                              0,                -26000,,,,,,,,,
3312,2014年01月01日至2014年09月30日,,                 78872,                 78872,,,                  4855,                 26009,                 23958,                 -4498,                              0,                              0,                 50324,,,                 34318,               -952615,                -11278,                -35796,               -730161,                -18675,                -61364,             -1775571,,                535264,                117064,                 -4888,                 13205,                    662,                661307,             -1114264,             -1063940,               -985068,                  4498,                -23958,                 -8718,             -1013246,,                  1083,                 -4360,                              0,                  1358,                 -1919,,                623455,                 50000,                              0,                 95421,                768876,                 22537,               -223752,                791870,                568118,                568118,,,,,,,,,,,,,,,
3312,2014年01月01日至2014年06月30日,,                -12027,                -12027,,,                  3155,                 30223,                 16085,                 -4208,                              0,                              0,                 45255,,,                 47970,               -225192,                 15389,                -24542,               -882666,                 -6374,                -34349,             -1109764,,                 49233,                173785,                -18540,                  8424,                    662,                213564,               -896200,               -850945,               -862972,                  4208,                -16085,                 -8050,               -882899,,,                 -4360,                              0,                  1916,                 -2444,,                582119,                 90000,,                 95421,                767540,                   -505,               -118308,                791870,                673562,                673562,,,,,,,,,,,,,,,
3312,2014年01月01日至2014年03月31日,,                 12647,                 12647,,,                  1594,                  4894,                  6968,                 -2304,                              0,,                 11152,,,                 65033,                -47028,                 -2056,                -39652,               -279354,,                -25906,               -328963,,                -22605,                -16767,                -26880,                  3498,                     54,                -62700,               -391663,               -380511,               -367864,                  2304,                 -6968,                    844,               -371684,,,                 -1525,,,                 -1139,,                463141,                 30000,,,                493749,                 22777,                143703,                791870,                935573,                935573,                    386,                    608,,,,,,,,,,,,,
3312,2013年度,,                180546,                180546,,,                  5924,                 15566,                  8032,                 -5152,                              0,                      1,,,,                -57362,             -1261345,                -87440,                -28812,               -618238,,                 11954,             -2041243,,                540659,                289301,                 31774,                  1224,                    354,                863312,             -1177931,             -1153560,               -973014,                  5152,                 -8032,                -14071,               -989965,,                  1913,                -13128,                    207,                 -5351,                -35859,,              1005265,                 50000,,                              0,              1055265,                 24707,                 54148,                737722,                791870,                791870,,,,                 24371,                -19500,                              0,,,,,,,,,
3312,2013年01月01日至2013年12月31日,,                180546,                180546,,,                  5924,                 15566,                  8032,                 -5152,,                      1,,,,                -57362,             -1261345,                -87440,                -28812,               -618238,,                 12676,             -2041243,,                540659,                289301,                 31774,                  1224,                    354,                863312,             -1177931,             -1148285,               -967739,                  5152,                 -8032,                -14071,               -984690,,                  1913,                -13128,                    207,                -10626,                -41134,,              1005265,                 50000,,                              0,              1055265,                 24707,                 54148,                737722,                791870,                791870,,,,                 29646,                -19500,,                   -722,,                  5275,                              0,,,,,
3312,2013年01月01日至2013年09月30日,,                117976,                117976,,,                  4361,,                  4387,                 -2756,,                     12,,,,                  4488,               -808911,                -30364,                 -9860,               -394718,,                  7191,             -1234141,,                683162,                 98218,                 28002,                  5348,                      2,                814732,               -419409,               -413405,               -295429,                  1871,                 -4301,                -20166,               -318025,,                  1913,                -12622,,                              0,                -15495,,                455935,                 50000,,                              0,                505935,                 18757,                191172,                737722,                928894,                928894,,,,                  6004,                -19500,,                 -1967,                 14714,,,,,,,
