證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 發放現金股利,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得採用權益法之投資,　　 其他金融資產增加
6285,2015年01月01日至2015年09月30日,,              1881996,              1881996,,,                802108,                 48658,                    267,                 -1229,                 21625,                -17835,                100893,                -10226,                 -7246,                 81414,              1018429,,,                 57705,             -2027252,                  4247,             -1983320,                -91608,             -4040228,,              2520899,                 37553,                300994,              2859446,             -1180782,               -162353,              1719643,                 19611,                -22658,               -413683,              1302913,,             -1297000,              1866236,                 -7713,             -1304295,                    752,                              0,                  2449,                -71440,                 27181,               -783830,,                270175,                              0,                              0,               -887661,                              0,               -617486,                 31020,                -67383,              4230147,              4162764,              4162764,,,,
6285,2015年01月01日至2015年06月30日,,              1092661,              1092661,,,                522549,                 34191,                -27433,                   -870,                 14493,                -12181,                 64048,                 -4110,                 -3865,                  2535,                589357,,,                119334,             -1100846,                  3345,               -163975,                 65505,             -1076637,,               -169636,                -24659,                -97403,               -291698,             -1368335,               -778978,                313683,                 13631,                -15434,               -215648,                 96232,,               -673000,              1008899,                              0,               -738851,                    324,                              0,                  2072,                -45396,                  4836,               -441116,,                292759,                              0,                              0,,                              0,                292759,                -43353,                -95478,              4230147,              4134669,              4134669,,,,
6285,2015年01月01日至2015年03月31日,,                585464,                585464,,,                257385,                 19269,                  2388,                 -1350,                  7132,                 -5765,                 28094,                 -2339,                 -1991,                 23574,                326397,,,                 11406,                -32856,                 10634,               -998375,               -126791,             -1135982,,                342479,                 -4292,               -286481,                 51706,             -1084276,               -757879,               -172415,                  6037,                 -6885,                -40014,               -213277,,               -249000,                509221,                              0,               -258499,                    209,                              0,                    405,                -11155,,                 -8819,,                172356,,,,                              0,                172356,                -19973,                -69713,              4230147,              4160434,              4160434,,,,
6285,2014年度,,              1780189,              1780189,,,                920717,                 75140,                 49355,                    396,                 50085,                -35198,                140165,                -10520,                -17475,                 92216,,,,                -47883,             -1998021,                 15563,             -1393859,               -254875,             -3679075,,              2415554,                 -8028,                 46485,              2454011,             -1225064,                 39817,              1820006,                 37047,                -37637,               -395272,              1424144,,             -1571000,              2821517,                -91132,             -1100655,                  1169,                   -991,,                -77958,                  6178,                -12872,,,               -226589,             -1500000,               -965304,                 17019,             -2674874,                 85616,             -1177986,              5408133,              4230147,              4230147,,              1264881,,
6285,2014年01月01日至2014年09月30日,,              1251784,              1251784,,,                677816,                 56556,                  1480,                    911,                 42947,                -29647,                107377,                 -8982,                -15237,                128507,                961728,,,                 18386,             -2153729,                -24078,               -712892,               -168899,             -3041212,,              2106196,                -11597,               -282105,              1812494,             -1228718,               -266990,                984794,                 31860,                -30735,               -375640,                610279,,             -1068000,              2382039,                -45036,               -770655,                  1124,                 -1715,                              0,                -69180,                  6178,                434755,,                              0,                -93868,             -1500000,               -965304,                 11822,             -2547350,                 17904,             -1484412,              5408133,              3923721,              3923721,,,,
6285,2014年01月01日至2014年06月30日,,                772239,                772239,,,                446835,                 39605,                 -1508,                   -474,                 35628,                -23189,                 97560,                 -5410,                -11059,                 11518,                589506,,,                 52609,             -1608423,                 -5610,                269130,                -41320,             -1333614,,                927725,                -34580,               -322175,                570970,               -762644,               -173138,                599101,                 24560,                -22163,               -195890,                405608,,               -578000,              1666019,                -45036,               -409545,                  1009,                 -1763,                              0,                -47897,                  6178,                590965,,                              0,                -66948,             -1500000,,                  6480,             -1560468,                -52522,               -616417,              5408133,              4791716,              4791716,,,,
6285,2014年01月01日至2014年03月31日,,                312164,                312164,,,                224383,                 22375,                  2069,                   -650,                 17869,                -11269,                 25173,                 -2894,                 -2697,                  3402,                277761,,,                 60709,                -38225,                 28240,                346104,                 -7193,                389635,,               -400758,                -28282,               -475406,               -904446,               -514811,               -237050,                 75114,                 10862,                 -9025,                -49392,                 27559,,               -354000,                484000,                -45036,               -214708,                     14,                   -582,                              0,                -33423,,               -163735,,                497732,,,,                  4442,                502174,                  1080,                367078,              5408133,              5775211,              5775211,,,,
6285,2013年度,,              1960103,              1960103,,,                908192,                 78218,                -48139,                   -183,                 65304,                -34232,                  9582,                -10211,                 -7633,                 87423,,,,                 81530,                -74297,                 38276,                161734,                108895,                316138,,                845484,                 27927,                296426,              1169837,              1485975,              2534296,              4494399,                 33355,                -40559,               -334095,              4153100,,             -2260700,              1198067,                              0,               -651977,                  7572,                 -2154,,                -80873,                              0,             -1790065,,,             -1015832,                              0,               -669268,                 48262,             -1636838,                 38561,                764758,              4643375,              5408133,              5408133,,              1048321,,
6285,2013年01月01日至2013年12月31日,,              1960103,              1960103,,,                908192,                 78218,                -48139,                   -183,                 65304,                -34232,                  9582,                -10211,                 -7633,                 87423,,,,                 81530,                -74297,                 38276,                161734,                108895,                316138,,                845484,                 27927,                296426,              1169837,              1485975,              2534296,              4494399,                 33355,                -40559,               -334095,              4153100,,             -2260700,              1198067,,               -651977,                  7572,                 -2154,,                -80873,,             -1790065,,,             -1015832,,               -669268,                 48262,             -1636838,                 38561,                764758,              4643375,              5408133,              5408133,,              1048321,,
6285,2013年01月01日至2013年09月30日,,              1542270,              1542270,,,                687265,                 51719,                -49493,                   -393,                 49084,                -24691,                              0,                 -8056,                 -4947,                 77268,,,,                 50930,             -1134935,                -22980,               -412423,                107492,             -1411916,,              2345375,                 28156,                 87494,              2461025,              1049109,              1826865,              3369135,                 22796,                -31176,               -303075,              3057680,,             -1838700,                810066,                              0,               -438320,                  4593,                              0,                     75,                -54178,,             -1516464,,,               -718599,                              0,               -669268,                 35978,             -1351889,                 44122,                233449,              4643375,              4876824,              4876824,,                777756,,
